Time_offload,Time_process,Time_reply,Time_e2e
39.60,54.51,-6.44,87.67
74.83,18.41,-6.06,87.17
91.70,18.28,-13.08,96.89
71.36,18.36,-1.69,88.03
88.10,18.27,-7.72,98.66
67.44,18.34,1.63,87.41
65.35,17.45,-14.22,68.58
79.30,17.41,2.99,99.71
93.80,17.59,-13.69,97.70
91.48,17.39,-13.99,94.88
70.96,17.33,-1.65,86.64
67.65,17.35,-13.70,71.30
64.17,17.33,-13.81,67.69
60.69,17.33,-13.69,64.33
57.21,17.38,-13.75,60.83
53.53,17.40,-13.84,57.09
50.15,17.94,-12.27,55.82
49.52,17.58,-10.03,57.07
49.26,17.40,-8.62,58.03
48.93,17.36,-8.40,57.88
49.35,17.34,-10.81,55.88
48.90,17.31,-5.56,60.65
49.12,17.64,-10.55,56.21
50.15,17.72,-11.82,56.04
49.17,17.37,-10.73,55.81
49.65,17.37,-11.42,55.61
48.78,17.58,-9.08,57.28
49.53,17.41,-10.08,56.85
49.31,17.37,-12.62,54.07
35.09,17.37,-2.90,49.55
55.72,17.43,-13.98,59.17
38.66,17.38,-7.05,48.99
40.24,17.37,-12.92,44.69
49.53,17.45,-13.89,53.10
45.66,17.39,-11.41,51.64
33.40,17.37,-14.14,36.63
31.06,17.31,-12.07,36.30
51.19,17.31,-10.76,57.74
47.97,17.35,-14.05,51.27
44.49,17.31,-13.46,48.34
42.01,17.32,-13.08,46.25
62.45,17.35,-7.70,72.10
52.98,17.36,-12.09,58.26
50.26,17.39,-13.44,54.22
47.58,17.98,-8.36,57.20
45.70,17.95,-12.10,51.55
43.90,17.99,-11.69,50.20
68.75,17.42,-14.01,72.16
64.90,17.43,-13.82,68.52
47.66,17.43,-12.79,52.31
44.21,17.41,-12.56,49.06
63.07,17.38,-14.03,66.42
41.80,17.36,-10.06,49.10
64.11,17.41,-14.01,67.51
42.46,17.42,-10.41,49.47
63.31,17.56,-13.99,66.88
45.54,17.48,-11.20,51.82
42.26,17.34,-4.05,55.55
61.87,17.45,-12.89,66.43
46.05,17.35,-7.12,56.29
65.98,17.39,-10.36,73.00
62.92,17.45,-13.51,66.86
43.49,17.35,-8.64,52.20
62.13,17.46,-14.11,65.48
41.29,17.39,-10.50,48.18
37.83,17.40,-6.78,48.45
34.39,17.37,-2.63,49.12
30.52,17.38,-14.09,33.81
26.99,17.33,-14.11,30.20
26.99,18.02,-13.35,31.67
27.09,17.66,-14.01,30.75
26.34,17.39,-13.86,29.88
26.32,17.38,-13.89,29.81
26.01,17.33,-13.91,29.44
25.33,17.33,-13.71,28.96
25.84,17.36,-13.88,29.32
26.85,17.36,-14.15,30.06
25.82,17.35,5.40,48.57
26.56,17.39,-11.53,32.43
26.00,17.65,-14.00,29.64
26.62,17.45,-13.23,30.84
26.88,17.37,-13.37,30.88
26.47,17.34,-11.54,32.27
26.34,17.38,-7.40,36.32
26.43,17.35,-12.59,31.20
26.34,17.35,-13.26,30.43
27.34,17.32,5.40,50.06
26.72,17.34,-11.45,32.60
26.53,17.34,18.12,62.00
39.01,17.45,-6.08,50.38
34.94,17.38,-2.13,50.19
38.23,17.36,87.71,143.30
160.42,17.43,52.23,230.09
250.58,17.72,28.57,296.87
333.70,17.40,10.82,361.93
285.07,17.38,-6.52,295.93
192.65,17.38,70.71,280.75
312.12,17.33,8.05,337.51
193.70,17.32,-1.22,209.80
188.67,17.36,2.37,208.41
201.18,17.41,-8.36,210.22
123.61,17.37,55.75,196.73
118.95,17.34,20.62,156.91
114.41,17.31,20.94,152.67
117.10,19.51,40.86,177.47
97.11,17.82,22.30,137.23
130.03,17.70,37.96,185.69
128.60,17.36,2.63,148.60
134.48,19.78,23.68,177.94
133.84,17.38,11.59,162.80
118.43,17.43,-1.43,134.43
88.28,17.41,35.16,140.86
84.37,18.00,-1.05,101.32
99.99,17.43,9.84,127.27
78.20,17.33,-7.63,87.91
93.39,17.61,-1.35,109.64
119.63,17.36,77.65,214.64
98.32,17.42,60.10,175.84
112.60,17.33,7.35,137.28
149.02,17.32,23.79,190.13
