Time_offload,Time_process,Time_reply,Time_e2e
106.97,35.22,-76.96,65.23
124.90,19.99,-80.15,64.73
145.54,18.59,-75.55,88.58
124.93,18.41,-79.92,63.41
122.77,18.26,-77.39,63.63
120.83,18.97,-80.90,58.89
119.23,18.26,-79.45,58.03
116.57,17.27,-78.28,55.56
112.94,17.57,-79.96,50.56
109.65,17.46,-70.57,56.55
106.02,17.32,-73.22,50.12
101.35,17.31,-80.82,37.84
97.90,17.32,-80.77,34.45
94.05,17.29,-80.78,30.56
92.75,17.31,-79.54,30.52
93.24,17.34,-80.26,30.31
93.08,17.33,-79.54,30.87
93.08,17.36,-80.69,29.75
93.12,17.35,-80.94,29.53
93.12,17.31,-78.74,31.69
96.10,17.33,-80.81,32.62
92.89,17.33,-79.47,30.75
93.14,17.88,-79.54,31.48
92.83,17.80,-78.70,31.93
93.04,17.36,-77.41,32.99
93.04,17.35,-80.72,29.68
92.75,17.73,-79.86,30.61
92.91,17.57,-77.72,32.76
93.08,17.79,-80.68,30.19
92.53,17.34,-80.26,29.62
92.56,17.33,-79.75,30.15
92.70,17.28,-78.21,31.76
92.27,17.59,-78.56,31.30
91.63,17.36,-80.74,28.25
91.95,17.29,-78.68,30.57
91.87,17.33,-79.05,30.16
92.76,17.32,-80.79,29.30
92.42,17.32,-78.24,31.51
92.44,17.34,-80.63,29.14
92.72,17.41,-80.71,29.41
92.94,17.42,-80.82,29.54
93.41,17.40,-79.12,31.69
93.35,17.41,-78.69,32.07
92.74,17.39,-80.86,29.27
93.37,17.44,-72.34,38.47
92.92,17.88,-79.55,31.25
94.36,17.70,-80.82,31.24
92.97,17.45,-80.80,29.62
91.89,17.45,-80.20,29.13
92.51,17.48,-80.71,29.28
91.99,17.40,-80.76,28.63
92.82,17.42,-80.54,29.70
94.52,17.53,-78.05,33.99
92.89,17.88,-80.62,30.15
92.77,17.47,-75.25,34.99
94.72,18.19,-80.65,32.25
92.97,17.81,-80.35,30.43
92.92,17.91,-80.62,30.20
92.83,17.49,-6.01,104.31
135.93,23.71,-69.85,89.79
155.87,17.43,-79.84,93.46
134.07,17.36,-79.97,71.47
112.69,17.38,-78.07,52.00
145.31,17.44,-76.38,86.36
124.85,17.42,-80.68,61.58
121.50,17.38,-80.61,58.26
118.45,17.94,-80.60,55.80
117.13,17.68,-76.52,58.29
114.63,17.42,-71.41,60.65
110.69,17.42,-77.75,50.36
109.70,17.38,-58.52,68.56
106.01,17.41,-73.20,50.22
101.81,17.39,-80.68,38.53
99.03,17.67,-66.54,50.16
95.46,17.43,-78.92,33.96
93.01,17.40,-80.65,29.75
94.75,17.42,-81.10,31.08
93.08,17.40,-80.65,29.84
92.19,17.42,-78.00,31.62
91.82,17.77,-80.68,28.91
92.61,18.25,-78.71,32.16
92.27,17.53,-78.86,30.94
92.56,17.47,-78.31,31.72
92.64,17.42,-78.30,31.75
92.96,17.41,-81.23,29.14
91.86,17.44,-80.67,28.63
91.52,17.84,-76.72,32.64
91.80,17.95,-79.77,29.99
91.91,17.61,-79.73,29.79
92.36,17.46,-73.50,36.32
92.41,17.38,-80.35,29.45
92.49,17.39,-79.68,30.20
92.85,17.43,-80.37,29.91
92.81,17.43,-80.30,29.94
92.60,17.40,-66.03,43.97
93.40,17.40,-81.00,29.81
92.46,17.70,-80.35,29.82
92.85,17.61,-80.70,29.77
93.19,17.44,-80.75,29.88
92.94,17.40,-80.44,29.90
91.93,17.42,-80.67,28.68
91.65,17.40,-80.52,28.52
92.32,17.42,-80.91,28.84
92.51,17.40,-80.87,29.03
92.59,17.45,-79.74,30.30
94.99,17.40,-80.65,31.74
96.59,17.37,-80.01,33.95
93.49,17.38,-80.96,29.91
93.49,17.39,-80.95,29.93
92.85,18.02,-79.22,31.66
93.28,18.10,-80.63,30.76
92.69,18.02,-79.69,31.02
93.18,17.71,-80.59,30.30
92.96,17.46,-80.27,30.15
92.81,17.40,-78.33,31.88
92.94,17.71,-74.19,36.46
93.00,17.46,-80.64,29.82
93.02,17.42,-80.75,29.69
93.25,17.41,-80.84,29.82
93.24,17.42,-77.53,33.13
