Created,Deserialized,Processing,Processed,Finished
1714383027.519375,1714383027.6275682,1714383027.6418865,1714383027.6604848,1714383027.583027
1714383027.559232,1714383027.679882,1714383027.6817415,1714383027.698201,1714383027.627824
1714383027.5997171,1714383027.7172973,1714383027.7191617,1714383027.7355754,1714383027.656586
1714383027.639115,1714383027.7545075,1714383027.7563682,1714383027.7727785,1714383027.6952682
1714383027.678161,1714383027.7916925,1714383027.793531,1714383027.8101366,1714383027.729147
1714383027.717659,1714383027.829208,1714383027.8310814,1714383027.846757,1714383027.774911
1714383027.75729,1714383027.8648908,1714383027.866752,1714383027.8823118,1714383027.807126
1714383027.7969012,1714383027.9004645,1714383027.9022849,1714383027.9178336,1714383027.841383
1714383027.8363671,1714383027.9359655,1714383027.93783,1714383027.953835,1714383027.873081
1714383027.8748999,1714383027.9729886,1714383027.9749048,1714383027.991047,1714383027.9103549
1714383027.913524,1714383028.0098083,1714383028.0117033,1714383028.027341,1714383027.946687
1714383027.9523158,1714383028.0459418,1714383028.0477967,1714383028.0634282,1714383027.983395
1714383027.991359,1714383028.0857048,1714383028.0875835,1714383028.103139,1714383028.040603
1714383028.0306199,1714383028.123893,1714383028.1257443,1714383028.1413116,1714383028.061905
1714383028.070147,1714383028.1646988,1714383028.1665397,1714383028.1820998,1714383028.1009762
1714383028.108639,1714383028.2012558,1714383028.203108,1714383028.2186556,1714383028.13789
1714383028.146973,1714383028.2394016,1714383028.2412348,1714383028.256772,1714383028.17644
1714383028.185517,1714383028.2779055,1714383028.2797642,1714383028.2953463,1714383028.2146041
1714383028.223881,1714383028.31648,1714383028.3183103,1714383028.3343542,1714383028.253279
1714383028.262326,1714383028.3546283,1714383028.3565137,1714383028.3726103,1714383028.2923121
1714383028.3003561,1714383028.3924308,1714383028.394286,1714383028.4099224,1714383028.350333
1714383028.338855,1714383028.4314787,1714383028.4333396,1714383028.448934,1714383028.3679569
1714383028.3775518,1714383028.470204,1714383028.472056,1714383028.4876125,1714383028.407549
1714383028.4162931,1714383028.5084977,1714383028.5103626,1714383028.5259264,1714383028.448865
1714383028.455019,1714383028.5476403,1714383028.5494614,1714383028.5650125,1714383028.484048
1714383028.494081,1714383028.5868855,1714383028.5887444,1714383028.6043277,1714383028.528517
1714383028.5326579,1714383028.6258285,1714383028.6277072,1714383028.643567,1714383028.562412
1714383028.571966,1714383028.6647594,1714383028.6666317,1714383028.682363,1714383028.6016488
1714383028.6111512,1714383028.704649,1714383028.7065108,1714383028.7220945,1714383028.6415172
1714383028.6510139,1714383028.7440786,1714383028.7459362,1714383028.7614946,1714383028.680481
1714383028.690305,1714383028.8124182,1714383028.8142982,1714383028.8298788,1714383028.75757
1714383028.7277708,1714383028.8480165,1714383028.8498454,1714383028.86541,1714383028.7842932
1714383028.765934,1714383028.865846,1714383028.867695,1714383028.8832362,1714383028.8023522
1714383028.8035789,1714383028.9013348,1714383028.9032176,1714383028.918751,1714383028.8382049
1714383028.841413,1714383028.936789,1714383028.9386394,1714383028.9541547,1714383028.8732722
1714383028.879209,1714383028.9722373,1714383028.974087,1714383028.9896176,1714383028.9089549
1714383028.917755,1714383029.010251,1714383029.0121171,1714383029.0276506,1714383028.946798
1714383028.956429,1714383029.0489037,1714383029.05073,1714383029.0662806,1714383028.9859881
1714383028.995491,1714383029.0875282,1714383029.0893922,1714383029.1049423,1714383029.026494
1714383029.033976,1714383029.1259055,1714383029.127757,1714383029.1437242,1714383029.067428
1714383029.072039,1714383029.16429,1714383029.1661706,1714383029.182285,1714383029.102873
1714383029.110445,1714383029.224467,1714383029.2263117,1714383029.2418864,1714383029.166829
1714383029.148362,1714383029.2676053,1714383029.2694383,1714383029.2849748,1714383029.20448
1714383029.1866848,1714383029.3127658,1714383029.3146136,1714383029.3301587,1714383029.262093
1714383029.225413,1714383029.3572302,1714383029.3590832,1714383029.3746297,1714383029.294094
1714383029.2635121,1714383029.3927464,1714383029.3946226,1714383029.4101388,1714383029.331508
1714383029.302193,1714383029.4281938,1714383029.4300442,1714383029.4455826,1714383029.365234
1714383029.341193,1714383029.4636538,1714383029.4654982,1714383029.4813712,1714383029.400956
1714383029.3806322,1714383029.500107,1714383029.5019662,1714383029.517636,1714383029.437099
1714383029.419977,1714383029.5357995,1714383029.5376596,1714383029.553236,1714383029.475889
1714383029.459199,1714383029.574128,1714383029.5759797,1714383029.5915534,1714383029.5154681
1714383029.4976761,1714383029.6142297,1714383029.616144,1714383029.632129,1714383029.552178
1714383029.535358,1714383029.650861,1714383029.6527698,1714383029.6687498,1714383029.588414
1714383029.573181,1714383029.687925,1714383029.6898234,1714383029.7056246,1714383029.6314392
1714383029.611161,1714383029.7254832,1714383029.7273245,1714383029.7428665,1714383029.6679811
1714383029.648986,1714383029.7638652,1714383029.765689,1714383029.7812197,1714383029.703867
1714383029.687288,1714383029.8029392,1714383029.8048,1714383029.8203108,1714383029.745665
1714383029.725844,1714383029.840922,1714383029.8427687,1714383029.8582878,1714383029.781491
1714383029.7644339,1714383029.8814304,1714383029.88331,1714383029.8988373,1714383029.8288908
1714383029.803093,1714383029.9200964,1714383029.9219384,1714383029.9374633,1714383029.856259
1714383029.841676,1714383029.95578,1714383029.9576201,1714383029.9731238,1714383029.8970308
1714383029.880204,1714383029.9962785,1714383029.998177,1714383030.0143616,1714383029.933815
1714383029.918585,1714383030.0345123,1714383030.0364199,1714383030.0526302,1714383029.9799879
1714383029.9569511,1714383030.0739493,1714383030.075869,1714383030.0917342,1714383030.0121331
1714383029.995295,1714383030.1107166,1714383030.1126134,1714383030.1281703,1714383030.052552
