Time_offload,Time_process,Time_reply,Time_e2e
108.19,32.92,-77.46,63.65
120.65,18.32,-70.38,68.59
117.58,18.28,-78.99,56.87
115.39,18.27,-77.51,56.15
113.53,18.44,-80.99,50.99
111.55,17.55,-71.85,57.25
107.60,17.42,-75.19,49.84
103.56,17.37,-76.45,44.48
99.60,17.87,-80.75,36.71
98.09,18.06,-80.69,35.45
96.28,17.53,-80.65,33.16
93.63,17.49,-80.03,31.08
94.35,17.43,-62.54,49.24
93.27,17.42,-79.41,31.29
94.55,17.40,-81.12,30.83
92.62,17.40,-80.77,29.25
92.43,17.37,-80.33,29.47
92.39,17.44,-80.74,29.09
92.60,17.87,-81.08,29.40
92.30,17.98,-80.30,29.99
92.07,17.49,-59.59,49.98
92.62,17.46,-80.98,29.10
92.65,17.41,-80.06,30.00
92.20,17.43,-77.06,32.57
92.62,17.37,-80.96,29.03
92.80,17.44,-75.81,34.44
93.17,17.74,-81.16,29.75
92.79,17.60,-80.71,29.68
93.50,17.45,-80.58,30.37
93.06,17.42,-81.01,29.47
122.11,17.46,-72.31,67.27
120.25,17.39,-81.12,56.52
99.91,17.39,-80.88,36.42
97.76,17.42,-80.55,34.63
95.38,17.37,-80.88,31.86
93.03,17.38,-80.66,29.75
92.50,17.40,-80.85,29.04
92.47,17.38,-80.29,29.56
92.04,17.41,-78.45,31.00
91.93,17.82,-76.30,33.45
92.25,18.00,-79.41,30.83
114.02,17.42,-75.06,56.38
119.24,17.37,-80.49,56.12
126.08,17.39,-68.07,75.41
131.82,17.40,-80.54,68.68
129.23,17.39,-78.63,68.00
126.00,17.39,-80.35,63.04
122.46,17.72,-80.42,59.76
119.47,17.53,-80.54,56.47
115.82,17.44,-77.35,55.91
114.93,17.43,-76.09,56.27
116.55,17.90,-79.95,54.50
115.50,17.89,-80.34,53.06
114.74,17.70,-74.19,58.26
114.32,17.38,-74.89,56.82
114.88,17.35,-77.35,54.88
115.65,17.37,-74.65,58.38
115.08,17.37,-76.80,55.65
117.00,17.41,-69.95,64.46
117.00,17.37,-81.20,53.17
114.10,17.34,-76.09,55.35
116.07,18.08,-80.55,53.61
115.93,18.12,-72.64,61.40
117.00,17.78,-79.60,55.18
115.42,17.45,-75.62,57.26
115.53,17.39,-78.36,54.56
115.27,17.37,-76.44,56.20
116.27,17.35,-80.80,52.82
114.00,17.35,-77.58,53.77
115.84,17.35,-79.81,53.38
114.02,17.41,-73.83,57.59
116.68,17.37,-78.80,55.25
114.46,17.37,-76.95,54.88
115.56,17.57,-78.31,54.82
115.18,17.39,-79.23,53.34
94.71,17.38,-79.23,32.85
92.44,17.40,-79.39,30.46
92.53,17.40,-78.41,31.51
92.83,17.39,-81.11,29.11
92.79,17.43,-80.89,29.33
93.16,17.40,-80.07,30.49
92.84,17.41,-80.59,29.66
114.01,17.36,-78.48,52.88
115.13,17.38,-79.10,53.42
113.86,17.38,-76.81,54.43
114.20,17.54,-78.46,53.28
114.77,18.13,-78.46,54.45
116.34,17.81,-81.22,52.92
115.34,17.43,-77.44,55.33
114.29,17.44,-78.17,53.57
114.83,17.40,-77.00,55.23
114.33,17.38,-77.68,54.03
114.11,17.39,-76.84,54.66
115.66,17.53,-79.55,53.65
113.87,17.34,-75.97,55.25
114.04,17.31,-77.58,53.77
114.28,17.60,-77.79,54.09
115.19,17.43,-78.32,54.30
115.03,17.35,-77.85,54.54
114.46,17.34,-77.60,54.20
115.09,17.35,-76.12,56.32
116.18,17.31,-78.04,55.46
115.59,17.35,-63.60,69.35
115.69,17.38,-75.27,57.80
114.81,17.29,-77.34,54.76
115.62,17.34,-77.07,55.89
116.95,17.94,-80.22,54.66
117.75,17.97,-80.81,54.91
116.47,17.74,-77.14,57.07
114.55,17.41,-78.02,53.94
94.03,18.03,-80.82,31.24
93.24,17.94,-79.27,31.90
93.22,17.44,-77.61,33.05
93.24,17.41,-80.94,29.71
92.39,17.38,-80.16,29.61
91.77,17.84,-80.89,28.72
92.51,18.10,-64.49,46.12
93.12,17.76,-80.93,29.95
93.38,17.42,-80.55,30.25
92.55,17.35,-79.59,30.31
