Time_offload,Time_process,Time_reply,Time_e2e
106.11,45.13,-80.97,70.28
112.41,18.81,-77.92,53.29
128.85,18.25,-78.56,68.54
126.94,18.60,-76.83,68.70
125.94,18.58,-81.48,63.04
125.95,19.07,-81.66,63.37
126.80,18.76,-80.00,65.56
126.63,18.33,-81.67,63.29
125.19,17.87,-81.81,61.25
123.30,17.36,-81.73,58.92
120.51,17.30,-81.87,55.94
116.56,17.32,-79.53,54.35
113.83,17.30,-77.10,54.03
110.42,17.30,-78.15,49.57
106.95,17.74,-76.55,48.14
103.94,17.45,-72.92,48.47
100.55,17.40,-79.81,38.14
97.57,17.40,-81.85,33.11
94.97,17.74,-81.62,31.09
93.59,17.43,-79.44,31.57
94.36,17.42,-81.44,30.33
93.65,17.35,-77.72,33.28
93.81,17.37,-81.90,29.28
95.43,17.36,-81.83,30.96
94.65,17.52,-73.93,38.23
93.63,17.65,-81.42,29.86
93.95,17.59,-82.16,29.39
94.16,18.03,-81.73,30.45
93.56,17.71,-81.85,29.43
93.46,17.52,-78.98,32.00
93.35,17.38,-81.08,29.66
93.56,17.35,-81.23,29.68
93.51,17.35,-80.02,30.83
94.13,17.32,-81.80,29.65
94.27,17.34,-74.57,37.04
95.08,17.35,-81.73,30.71
93.49,17.51,-76.50,34.50
93.76,17.47,-81.78,29.45
94.03,17.38,-81.89,29.52
93.74,17.35,-81.84,29.25
94.19,17.34,-81.46,30.07
93.17,17.68,-81.46,29.39
93.17,17.66,-75.63,35.20
93.01,17.42,-82.26,28.16
93.36,20.09,-79.35,34.09
97.24,19.62,-81.40,35.46
98.39,18.00,-81.70,34.68
96.29,17.38,-81.73,31.93
93.51,17.54,-81.80,29.25
95.09,17.37,-81.02,31.44
94.46,17.31,-77.26,34.51
93.90,17.40,-81.52,29.77
93.86,17.52,-67.66,43.72
93.90,17.37,-81.79,29.48
94.88,17.35,-81.61,30.62
93.50,17.38,-81.69,29.20
93.05,17.33,-81.98,28.39
93.61,17.33,-81.25,29.68
92.85,17.33,-81.65,28.54
93.44,17.68,-81.42,29.70
94.28,17.97,-79.09,33.16
93.56,17.66,-81.63,29.59
93.84,17.37,-81.34,29.88
93.86,17.35,-79.82,31.39
93.73,17.36,-81.91,29.19
93.10,17.92,-79.44,31.58
93.90,17.50,-80.92,30.48
94.16,17.48,-81.22,30.42
93.69,17.34,-78.39,32.65
92.72,17.37,-82.14,27.96
92.86,17.52,-81.39,28.99
93.35,17.62,-81.93,29.04
95.64,17.38,-81.78,31.25
93.87,17.31,-67.24,43.95
