Created,Deserialized,Processing,Processed,Finished
1714383109.6424901,1714383109.7529535,1714383109.7658122,1714383109.792275,1714383109.710389
1714383109.682005,1714383109.8317583,1714383109.8337142,1714383109.8504958,1714383109.776914
1714383109.721756,1714383109.8511534,1714383109.8530803,1714383109.8695946,1714383109.787724
1714383109.760808,1714383109.8886528,1714383109.8904696,1714383109.9069064,1714383109.8281322
1714383109.8000178,1714383109.9258358,1714383109.9276416,1714383109.9440658,1714383109.861781
1714383109.8391612,1714383109.962966,1714383109.9647863,1714383109.9811938,1714383109.89862
1714383109.8787048,1714383110.000082,1714383110.0018935,1714383110.0180612,1714383109.936724
1714383109.917218,1714383110.0360155,1714383110.037885,1714383110.0533168,1714383109.972917
1714383109.95592,1714383110.071388,1714383110.0732634,1714383110.0888314,1714383110.008565
1714383109.993952,1714383110.1068263,1714383110.1086497,1714383110.1241596,1714383110.046155
1714383110.031631,1714383110.1421504,1714383110.1440036,1714383110.1595573,1714383110.07973
1714383110.069877,1714383110.1774983,1714383110.1793005,1714383110.195135,1714383110.117016
1714383110.108397,1714383110.2139149,1714383110.2158048,1714383110.231664,1714383110.156304
1714383110.14719,1714383110.250003,1714383110.2518857,1714383110.2674458,1714383110.185001
1714383110.185156,1714383110.2854977,1714383110.287377,1714383110.3029425,1714383110.232276
1714383110.223839,1714383110.320981,1714383110.3228104,1714383110.3386545,1714383110.256276
1714383110.262114,1714383110.3581245,1714383110.3601172,1714383110.376349,1714383110.294135
1714383110.300239,1714383110.3954499,1714383110.3973312,1714383110.4130616,1714383110.332971
1714383110.338218,1714383110.4316702,1714383110.4335682,1714383110.4491687,1714383110.36677
1714383110.376568,1714383110.4702287,1714383110.4720333,1714383110.4875512,1714383110.40508
1714383110.415363,1714383110.5093606,1714383110.511174,1714383110.5267031,1714383110.444243
1714383110.454429,1714383110.5494742,1714383110.5512862,1714383110.5668106,1714383110.490457
1714383110.492467,1714383110.5866926,1714383110.5885046,1714383110.6040251,1714383110.524665
1714383110.531518,1714383110.627375,1714383110.6292326,1714383110.6447992,1714383110.5626822
1714383110.570549,1714383110.6649797,1714383110.6667879,1714383110.6823735,1714383110.60224
1714383110.60973,1714383110.704215,1714383110.7060232,1714383110.7215781,1714383110.644437
1714383110.648746,1714383110.7435787,1714383110.745375,1714383110.7609048,1714383110.678286
1714383110.688434,1714383110.783234,1714383110.7850978,1714383110.800843,1714383110.718242
1714383110.7280672,1714383110.822919,1714383110.8247478,1714383110.8403003,1714383110.757937
1714383110.7675421,1714383110.8633666,1714383110.8651931,1714383110.8807583,1714383110.7983801
1714383110.8070312,1714383110.9022565,1714383110.9041014,1714383110.919886,1714383110.8384929
1714383110.846739,1714383110.9409053,1714383110.94281,1714383110.9586291,1714383110.876273
1714383110.8857758,1714383110.9794922,1714383110.981322,1714383110.9969335,1714383110.914488
1714383110.924202,1714383111.0185444,1714383111.0204625,1714383111.036222,1714383110.953673
1714383110.962576,1714383111.0562925,1714383111.058097,1714383111.073702,1714383110.998216
1714383111.000294,1714383111.094605,1714383111.0964196,1714383111.1120043,1714383111.031141
1714383111.038392,1714383111.1335552,1714383111.1354058,1714383111.1509647,1714383111.068406
