Time_offload,Time_process,Time_reply,Time_e2e
110.46,39.32,-81.89,67.90
149.75,18.74,-73.58,94.91
129.40,18.44,-81.87,65.97
127.84,18.25,-78.77,67.32
125.82,18.23,-82.28,61.76
123.80,18.23,-82.57,59.46
121.38,17.98,-81.34,58.02
118.80,17.30,-80.40,55.70
115.47,17.44,-80.27,52.64
112.87,17.33,-78.00,52.20
110.52,17.41,-79.83,48.10
107.62,17.64,-78.12,47.14
105.52,17.75,-75.36,47.91
102.81,17.44,-82.44,37.81
100.34,17.44,-70.67,47.12
97.14,17.67,-82.38,32.44
96.01,18.22,-82.21,32.02
95.21,17.61,-80.09,32.73
93.45,17.50,-82.40,28.55
93.66,17.32,-82.47,28.51
94.00,17.34,-82.46,28.88
95.05,17.34,-76.35,36.03
94.23,17.33,-79.36,32.20
95.86,17.42,-82.12,31.16
94.43,17.39,-80.13,31.69
94.49,17.36,-77.14,34.71
94.83,17.33,-82.62,29.54
94.80,17.61,-82.60,29.81
94.85,17.38,-82.36,29.87
95.82,17.39,-82.38,30.84
95.23,17.63,-81.39,31.46
94.17,17.72,-82.36,29.53
93.72,17.44,-82.45,28.71
94.34,17.68,-82.55,29.47
93.72,17.41,-75.49,35.64
94.31,17.40,-80.86,30.85
95.16,17.41,-82.56,30.01
94.49,17.39,-82.17,29.71
94.90,17.36,-75.32,36.94
94.10,17.51,-80.52,31.09
93.66,17.59,-76.78,34.47
93.74,19.99,-79.58,34.15
97.14,19.96,-80.35,36.75
100.33,17.59,-80.50,37.42
98.43,17.32,-82.19,33.57
95.84,17.36,-82.14,31.07
94.64,17.36,-81.34,30.65
93.68,17.40,-82.46,28.61
95.54,20.10,-79.01,36.64
100.30,20.43,-72.40,48.33
103.12,17.64,-73.01,47.75
100.70,17.41,-81.03,37.08
98.93,17.39,-82.42,33.90
96.64,17.45,-82.28,31.81
94.23,17.75,-82.12,29.85
93.66,18.06,-79.25,32.48
93.67,18.02,-82.67,29.02
95.27,17.55,-81.75,31.07
94.14,17.46,-82.30,29.30
94.33,17.45,-81.37,30.41
94.27,17.47,-82.49,29.26
96.29,17.58,-78.36,35.51
100.10,17.43,-81.75,35.78
97.30,17.46,-80.01,34.75
94.31,17.46,-82.75,29.02
93.99,17.49,-80.79,30.69
94.18,17.46,-81.78,29.87
94.36,17.41,-79.67,32.11
93.43,17.42,-76.37,34.49
94.77,17.40,-65.99,46.18
95.41,17.39,-55.04,57.76
94.06,17.43,-64.06,47.42
94.19,17.43,-74.88,36.74
94.27,17.39,-68.43,43.24
94.34,17.46,-79.37,32.43
94.41,17.41,-77.49,34.34
94.19,17.42,-52.17,59.45
94.63,17.43,-81.48,30.58
94.05,17.87,-81.80,30.11
94.32,17.58,-63.07,48.83
96.56,17.66,-81.35,32.87
94.50,17.45,-77.97,33.98
94.37,17.43,-79.83,31.97
94.38,17.48,-55.57,56.29
94.65,17.43,-56.82,55.26
94.53,17.42,-65.37,46.59
94.04,17.43,-79.39,32.08
94.90,17.42,-69.70,42.62
94.25,17.55,-76.77,35.03
93.70,17.44,-78.11,33.02
94.85,17.38,-76.11,36.12
93.96,17.41,-75.41,35.96
93.75,17.43,-82.34,28.85
93.37,17.42,-82.18,28.61
93.79,17.43,-82.27,28.96
94.10,17.38,-73.99,37.50
94.42,17.41,-81.91,29.92
93.84,17.41,-81.80,29.45
93.97,17.40,-82.19,29.18
94.59,17.50,-76.46,35.63
94.29,17.42,-81.45,30.25
94.13,17.75,-82.11,29.76
94.41,18.12,-81.19,31.34
94.03,17.57,-81.78,29.82
93.39,17.47,-80.91,29.95
93.69,17.45,-81.76,29.38
93.61,17.42,-80.13,30.90
95.00,17.51,-80.53,31.97
94.01,17.47,-82.18,29.31
93.60,18.00,-82.06,29.54
94.36,18.05,-82.05,30.36
94.73,17.56,-82.30,29.99
93.94,17.67,-80.25,31.36
94.42,17.46,-81.88,30.00
94.27,17.46,-79.65,32.08
94.69,17.41,-81.56,30.55
94.44,17.45,-63.64,48.25
94.61,17.45,-81.72,30.34
94.24,17.41,-81.53,30.12
94.91,17.43,-82.51,29.84
94.10,17.46,-82.57,28.99
93.26,17.80,-81.91,29.15
93.81,18.01,-82.62,29.20
93.94,17.92,-77.65,34.21
93.79,17.50,-77.83,33.46
93.99,17.86,-79.54,32.30
94.21,17.53,-82.59,29.16
94.31,17.50,-81.80,30.00
94.28,17.43,-82.61,29.10
95.04,17.54,-82.43,30.15
94.48,17.43,-82.22,29.68
94.25,17.43,-80.44,31.23
94.45,17.43,-79.77,32.11
94.60,17.37,-81.17,30.80
159.99,17.43,-77.68,99.74
174.27,17.57,-82.69,109.14
152.64,17.43,-77.11,92.96
166.38,17.38,-81.52,102.25
145.66,17.38,-76.98,86.06
124.75,17.40,-78.23,63.91
156.75,17.38,-79.94,94.19
135.61,17.42,-82.56,70.47
114.77,17.41,-79.97,52.21
146.74,17.39,-76.19,87.94
125.87,17.43,-76.76,66.54
122.05,17.38,-78.22,61.22
117.97,17.40,-80.81,54.56
115.35,17.39,-78.46,54.29
112.53,17.38,-78.83,51.08
109.41,17.69,-77.28,49.82
106.57,17.78,-75.46,48.89
103.55,17.55,-77.60,43.50
100.80,17.49,-82.51,35.79
97.91,17.50,-81.20,34.20
94.89,17.75,-80.63,32.01
94.96,17.88,-82.35,30.49
94.25,17.78,-80.46,31.56
95.77,17.60,-82.46,30.91
95.39,17.51,-82.46,30.44
94.64,17.52,-78.51,33.65
94.47,17.64,-82.73,29.38
94.01,17.51,-81.89,29.63
94.32,17.80,-80.79,31.33
94.43,18.14,-80.85,31.72
94.62,17.75,-81.06,31.31
94.51,17.55,-81.44,30.62
95.25,17.50,-81.20,31.55
95.10,17.50,-81.00,31.61
94.62,17.51,-82.35,29.78
94.06,17.50,-82.66,28.90
94.06,17.50,-76.14,35.42
94.10,17.49,-82.61,28.98
96.65,17.58,-82.04,32.18
94.16,17.94,-82.22,29.88
93.63,17.63,-81.85,29.41
94.10,17.53,-81.89,29.74
93.93,17.54,-81.17,30.30
94.95,17.54,-82.37,30.12
94.41,17.53,-82.10,29.85
94.52,17.54,-78.86,33.20
96.20,17.52,-82.10,31.62
94.62,17.48,-82.68,29.43
94.42,17.66,-62.86,49.21
94.60,17.64,-80.21,32.03
95.41,17.56,-82.34,30.62
94.57,17.51,-82.72,29.35
94.66,17.50,-82.62,29.53
95.12,17.51,-82.55,30.08
95.60,17.51,-82.69,30.41
94.38,17.52,-80.45,31.45
93.75,17.53,-64.62,46.66
93.72,17.51,-81.31,29.92
93.49,17.50,-82.53,28.46
94.42,17.48,-82.78,29.12
93.96,17.53,-82.35,29.15
94.34,17.53,-81.59,30.28
94.35,18.04,-79.72,32.68
94.63,17.86,-82.61,29.87
94.81,17.57,-62.98,49.40
95.03,17.52,-80.81,31.74
95.60,17.53,-82.46,30.67
94.57,17.53,-82.51,29.59
94.93,17.51,-82.34,30.09
94.57,17.53,-74.21,37.89
95.07,17.54,-81.94,30.66
95.90,17.53,-82.78,30.66
95.37,18.02,-82.91,30.48
94.95,18.16,-82.85,30.26
94.75,17.59,-81.16,31.17
97.34,17.53,-82.59,32.28
94.91,17.47,-82.04,30.33
94.90,17.48,-82.67,29.71
95.30,17.51,-82.74,30.07
95.18,17.48,-80.18,32.49
97.84,17.49,-82.07,33.26
96.12,17.68,-82.33,31.47
95.40,17.96,-75.35,38.01
95.09,17.81,-82.93,29.97
95.65,17.54,-81.35,31.84
94.85,18.05,-82.53,30.37
94.73,18.00,-82.54,30.19
94.96,17.57,-81.84,30.68
94.83,17.56,-81.00,31.39
94.80,17.50,-79.55,32.75
94.74,17.48,-82.25,29.98
95.62,17.51,-80.38,32.75
94.00,17.78,-77.33,34.45
96.72,17.57,-82.67,31.61
94.82,17.50,-82.45,29.88
94.31,17.51,-82.65,29.17
94.81,17.51,-82.76,29.56
94.60,17.49,-81.37,30.72
94.64,17.50,-82.60,29.54
94.64,17.51,-82.58,29.57
94.25,17.54,-82.51,29.27
95.02,17.54,-82.39,30.18
94.69,17.49,-79.45,32.73
94.88,17.52,-76.03,36.36
94.75,17.46,-82.12,30.09
95.54,17.95,-82.40,31.09
96.02,18.12,-81.25,32.89
95.07,17.64,-80.36,32.36
94.74,17.55,-82.65,29.64
93.41,17.48,-80.47,30.42
93.63,17.48,-80.72,30.39
94.20,17.50,-79.11,32.59
94.04,17.48,-82.37,29.14
94.30,17.50,-82.13,29.67
94.55,17.55,-82.51,29.59
94.52,17.83,-80.64,31.71
94.70,17.58,-81.66,30.62
94.68,17.50,-80.41,31.77
93.83,17.51,-80.62,30.72
93.79,17.53,-82.59,28.73
93.83,17.50,-82.46,28.87
93.88,17.51,-82.72,28.66
95.42,17.53,-82.02,30.94
95.08,17.46,-82.74,29.80
94.48,17.50,-81.80,30.18
95.69,18.30,-79.76,34.23
95.14,17.70,-82.68,30.16
94.68,17.52,-81.60,30.60
95.03,17.59,-74.53,38.09
96.24,18.10,-82.58,31.76
95.30,17.77,-82.55,30.52
94.99,17.59,-82.73,29.84
95.06,17.53,-82.63,29.96
94.72,17.53,-81.86,30.39
95.27,18.01,-81.64,31.64
94.86,18.21,-82.45,30.61
96.37,18.02,-82.59,31.79
94.99,17.80,-82.52,30.26
94.77,17.49,-82.67,29.59
95.01,17.48,-82.68,29.82
94.95,17.50,-78.13,34.32
96.54,17.51,-82.85,31.20
95.12,17.51,-82.65,29.98
94.96,17.53,-82.96,29.53
93.66,17.53,-82.61,28.57
93.90,17.47,-77.95,33.43
94.02,17.50,-81.17,30.35
95.34,18.35,-81.61,32.08
94.62,17.99,-80.75,31.86
94.48,17.58,-81.27,30.79
94.66,17.75,-80.38,32.02
94.83,17.59,-82.01,30.41
94.75,17.96,-82.83,29.89
