Time_offload,Time_process,Time_reply,Time_e2e
117.95,1550.82,-56.49,1612.28
1629.65,29.49,-75.29,1583.84
1589.21,29.49,-75.18,1543.52
1607.92,28.47,-82.80,1553.59
1568.09,28.47,-82.74,1513.83
1557.39,28.29,-71.79,1513.90
163.68,27.54,-82.90,108.32
124.61,27.54,-82.85,69.30
141.77,26.94,-79.25,89.45
103.43,26.94,-79.20,51.17
119.92,27.92,-83.28,64.55
109.51,28.07,-82.25,55.33
99.87,27.79,-78.33,49.34
101.21,28.24,-78.66,50.79
99.78,28.12,-68.78,59.12
100.19,28.13,-79.23,49.09
99.98,27.62,-78.01,49.59
100.62,27.59,-78.86,49.36
100.27,28.11,-79.25,49.13
100.09,27.40,-77.85,49.63
100.25,27.23,-70.08,57.39
100.96,27.17,-72.19,55.94
100.55,27.08,-70.46,57.17
99.94,27.12,-69.99,57.07
100.78,27.08,-66.96,60.90
100.43,27.09,-77.58,49.93
100.72,28.03,-78.72,50.03
100.64,27.71,-78.42,49.94
101.50,27.27,-79.05,49.71
100.65,27.15,-78.29,49.52
100.46,27.18,-76.03,51.61
100.48,27.17,-78.18,49.47
100.57,27.17,-78.21,49.53
100.81,27.11,-78.53,49.39
100.18,27.09,-78.42,48.84
99.89,27.09,-77.84,49.14
100.40,27.60,-78.36,49.64
100.69,27.33,-76.01,52.01
100.86,27.31,-77.25,50.93
98.54,27.12,-78.79,46.87
98.85,27.10,-78.68,47.27
98.89,27.13,-78.12,47.90
99.72,27.12,-78.19,48.66
104.54,27.51,-74.55,57.50
100.12,27.18,-77.79,49.51
100.41,27.16,-77.85,49.73
100.11,27.11,-77.73,49.49
100.62,27.15,-78.78,48.99
99.80,27.06,-77.42,49.44
100.24,27.13,-77.46,49.91
100.47,27.51,-78.47,49.51
100.03,27.69,-78.08,49.64
101.86,27.30,-80.34,48.82
99.01,27.25,-71.86,54.40
98.33,27.14,-78.66,46.80
99.15,27.25,-79.04,47.36
99.99,27.38,-76.86,50.51
99.73,27.25,-78.29,48.69
100.41,27.09,-80.62,46.89
98.45,27.11,-79.24,46.32
98.78,27.14,-78.89,47.03
99.05,27.09,-78.29,47.85
99.39,27.14,-78.12,48.40
99.64,27.13,-78.04,48.73
100.52,27.50,-78.80,49.22
100.30,27.80,-77.76,50.35
100.46,28.04,-80.70,47.79
99.33,27.35,-79.62,47.06
99.94,27.20,-79.35,47.78
99.01,27.66,-78.37,48.30
99.69,28.30,-76.41,51.59
100.10,27.45,-72.08,55.47
99.57,27.22,-78.16,48.63
100.31,27.16,-0.68,126.79
161.71,38.88,-72.57,128.02
162.46,27.39,-81.98,107.86
123.20,27.39,-81.93,68.66
139.52,27.10,-78.08,88.55
100.20,27.10,-77.99,49.31
115.83,27.22,-83.23,59.81
104.99,27.50,-81.61,50.88
100.63,27.34,-78.42,49.55
100.36,27.31,-78.11,49.55
103.89,27.17,-81.32,49.74
104.14,27.03,-41.61,89.56
103.58,27.06,-80.35,50.29
100.57,27.02,-78.00,49.59
99.68,27.10,-77.39,49.39
100.83,27.09,-78.21,49.71
100.66,27.11,-78.16,49.61
101.36,27.09,-77.44,51.01
98.83,27.13,-79.37,46.59
100.59,27.03,-77.80,49.82
99.10,27.58,-79.20,47.48
99.32,27.85,-79.18,47.99
99.43,27.26,-78.32,48.37
99.53,27.20,-78.30,48.43
99.97,27.12,-65.70,61.39
100.20,27.06,-78.28,48.99
101.23,27.05,-72.23,56.06
100.14,27.13,-78.48,48.78
101.68,27.06,-79.37,49.37
100.49,27.24,-78.42,49.32
100.29,27.43,-78.16,49.56
100.20,27.39,-78.00,49.59
101.11,27.14,-78.59,49.66
100.47,27.11,-78.05,49.54
100.25,27.14,-78.23,49.16
100.54,27.15,-74.87,52.83
100.48,27.07,-77.68,49.86
100.25,27.10,-83.73,43.62
100.16,27.13,-77.76,49.53
98.55,27.16,-79.29,46.42
98.75,27.17,-76.10,49.83
99.39,27.15,-78.49,48.06
99.39,27.18,-77.95,48.62
101.49,27.57,-78.51,50.55
99.89,27.87,-77.24,50.52
100.10,27.73,-69.39,58.44
100.49,27.84,-78.66,49.67
100.26,28.07,-76.49,51.83
100.44,27.33,-78.60,49.16
100.89,28.01,-77.03,51.87
100.81,27.41,-78.39,49.84
101.88,27.13,-79.13,49.87
100.75,27.10,-78.14,49.72
100.28,27.65,-80.01,47.93
99.07,27.34,-78.99,47.42
99.13,27.28,-78.26,48.15
99.82,27.14,-77.33,49.63
100.72,27.12,-72.04,55.80
99.89,27.07,-77.85,49.11
100.74,27.06,-78.36,49.45
100.49,27.09,-70.80,56.78
100.42,27.01,-70.35,57.08
100.77,27.17,-70.65,57.30
100.87,27.09,-60.97,66.99
101.68,27.10,-36.97,91.81
115.21,30.03,-55.98,89.26
106.85,27.08,-71.38,62.55
103.37,27.57,-64.76,66.17
102.97,27.74,-79.08,51.64
100.76,27.27,-80.40,47.63
98.44,27.13,-76.59,48.99
98.27,27.09,-78.01,47.36
98.94,27.10,-79.14,46.90
98.17,27.09,-78.99,46.27
98.75,27.09,-80.17,45.67
98.67,27.11,-78.57,47.21
99.15,27.11,-78.60,47.66
99.22,27.28,-78.35,48.14
99.78,27.56,-71.55,55.79
100.42,27.25,-79.02,48.66
99.53,27.14,-77.87,48.79
100.25,27.12,-78.58,48.78
99.85,27.10,-77.90,49.05
100.86,27.15,-78.28,49.73
100.77,27.13,-78.14,49.76
101.12,27.05,-78.43,49.74
101.25,27.07,-78.70,49.62
100.37,27.11,-77.94,49.54
100.73,27.07,-77.78,50.02
100.61,27.07,-79.46,48.21
99.78,27.33,-77.16,49.95
98.48,28.01,-72.31,54.17
98.51,27.32,-78.35,47.48
99.47,27.31,-75.38,51.40
99.86,27.13,-78.06,48.93
100.37,27.14,-78.49,49.02
101.40,27.12,-79.27,49.25
101.66,27.08,-79.06,49.68
100.15,27.13,-75.62,51.65
100.59,28.05,-79.88,48.76
101.26,27.85,-78.43,50.68
100.03,28.23,-79.19,49.07
100.08,27.64,-78.63,49.09
100.01,27.33,-76.04,51.30
100.67,27.20,-71.07,56.80
100.08,27.12,-77.75,49.45
100.09,27.08,-77.27,49.90
101.48,27.15,-78.70,49.93
101.01,27.12,-77.97,50.17
101.15,27.16,-78.55,49.76
101.01,27.09,-78.78,49.32
100.41,27.15,-78.22,49.34
100.45,27.13,-77.94,49.63
101.29,27.15,-78.76,49.68
100.86,27.09,-78.17,49.79
101.10,27.87,-79.91,49.05
100.20,27.56,-78.43,49.32
100.21,27.25,-71.35,56.12
100.71,27.20,-78.18,49.72
100.82,27.22,-78.80,49.25
100.39,27.43,-78.89,48.92
100.42,27.15,-79.62,47.95
99.47,27.15,-80.34,46.28
98.55,27.09,-75.52,50.11
98.94,27.11,-78.63,47.42
99.18,27.13,-78.12,48.20
99.64,27.10,-74.70,52.04
100.33,27.12,-78.63,48.82
99.77,27.10,-77.91,48.95
100.41,27.06,-78.29,49.18
100.57,27.22,-78.40,49.39
100.38,27.68,-76.32,51.74
100.80,27.21,-78.27,49.74
100.30,27.77,-78.42,49.65
100.48,27.54,-78.94,49.07
99.73,27.32,-77.89,49.16
101.25,27.14,-78.54,49.86
100.71,27.50,-77.91,50.29
101.03,27.46,-78.09,50.41
101.11,27.17,-78.70,49.59
101.15,27.10,-78.34,49.91
100.89,27.09,-79.18,48.80
99.17,27.09,-79.12,47.15
99.58,27.12,-81.13,45.56
100.39,27.07,-80.50,46.96
98.89,27.15,-75.98,50.06
99.48,27.26,-78.90,47.84
100.59,27.17,-79.39,48.37
99.68,27.13,-78.31,48.51
99.86,27.64,-78.34,49.16
100.25,28.11,-78.55,49.81
100.56,28.39,-69.10,59.85
99.74,27.83,-78.17,49.40
100.29,28.03,-75.39,52.92
107.23,28.54,-79.25,56.53
100.31,28.16,-78.84,49.62
101.74,27.42,-79.41,49.76
101.17,27.24,-76.17,52.24
100.75,27.18,-77.50,50.43
101.72,27.13,-69.55,59.30
99.44,27.20,-80.17,46.47
98.58,27.23,-78.94,46.86
99.21,27.83,-79.57,47.47
99.76,27.38,-79.26,47.88
99.35,27.11,-77.89,48.56
100.48,27.11,-78.92,48.67
99.71,27.15,-78.30,48.57
100.12,27.11,-77.86,49.38
100.86,27.11,-78.32,49.64
100.97,27.08,-78.46,49.59
100.83,27.13,-78.50,49.46
100.84,27.11,-76.25,51.71
100.71,27.07,-58.77,69.01
100.71,27.18,-79.01,48.88
100.57,27.14,-77.19,50.51
98.66,27.81,-79.99,46.49
100.56,27.39,-80.77,47.18
99.30,27.34,-78.91,47.73
100.21,27.10,-79.11,48.21
99.63,27.09,-78.12,48.60
99.99,27.13,-78.55,48.57
99.78,27.09,-77.90,48.97
100.31,27.09,-79.51,47.89
98.40,27.05,-78.94,46.51
99.19,27.22,-80.53,45.88
99.13,27.60,-79.85,46.89
99.32,27.39,-80.39,46.32
98.16,27.19,-71.96,53.39
98.32,27.11,-78.71,46.73
99.41,27.19,-79.55,47.04
98.90,27.27,-78.40,47.76
99.72,27.05,-78.35,48.42
100.10,27.12,-78.75,48.47
99.98,27.13,-71.10,56.01
100.19,27.08,-80.15,47.12
98.94,27.15,-80.26,45.83
98.81,27.14,-78.95,46.99
99.49,27.07,-78.71,47.85
99.50,27.49,-78.61,48.38
99.69,27.72,-78.34,49.07
100.54,27.25,-78.39,49.39
100.46,27.33,-71.58,56.20
100.73,27.22,-78.05,49.91
100.91,27.17,-78.16,49.92
103.30,27.35,-80.46,50.19
100.31,27.72,-78.24,49.79
101.10,27.68,-78.55,50.23
103.73,28.01,-79.80,51.95
100.82,28.03,-78.59,50.26
102.68,27.66,-80.19,50.14
101.10,27.23,-78.50,49.83
100.32,27.14,-77.95,49.50
100.14,27.12,-77.45,49.82
101.49,27.12,-79.24,49.37
100.62,27.13,-77.77,49.98
101.00,27.08,-78.39,49.69
100.63,27.07,-77.91,49.78
100.73,27.10,-77.64,50.19
101.67,27.15,-78.50,50.32
101.12,27.05,-76.47,51.71
100.93,27.18,-76.00,52.12
100.57,28.02,-78.06,50.54
101.27,27.33,-78.42,50.19
100.77,27.34,-77.27,50.83
101.02,27.20,-78.19,50.02
101.01,27.06,-78.02,50.05
100.23,27.07,-83.23,44.08
