Time_offload,Time_process,Time_reply,Time_e2e
111.75,34.45,-82.17,64.03
107.19,28.66,-70.45,65.40
99.79,28.42,-78.24,49.97
99.25,28.31,-80.82,46.75
99.94,28.31,-80.78,47.47
101.60,28.30,-79.04,50.86
100.29,29.11,-80.00,49.40
100.87,27.57,-80.78,47.66
139.04,37.73,-80.30,96.47
100.40,37.70,-80.23,57.87
128.12,27.14,-84.14,71.12
117.41,27.19,-84.50,60.11
107.49,27.10,-79.18,55.42
101.46,27.25,-79.92,48.79
100.71,27.44,-80.32,47.83
99.99,28.27,-80.23,48.03
100.33,27.85,-80.76,47.42
99.53,27.47,-68.81,58.19
100.49,27.33,-80.27,47.55
99.89,27.27,-79.73,47.43
99.76,27.05,-1.69,125.11
168.38,40.80,-77.91,131.27
170.88,27.17,-84.24,113.81
131.97,27.17,-84.16,74.98
149.13,27.09,-84.37,91.86
111.56,27.09,-84.29,54.36
128.25,27.02,-82.73,72.54
117.12,27.28,-82.14,62.26
111.62,27.67,-79.37,59.92
110.23,27.42,-80.60,57.05
101.48,28.00,-57.86,71.61
106.48,28.11,-74.61,59.98
106.94,28.25,-80.05,55.14
105.71,27.46,-77.95,55.22
100.33,27.17,-78.66,48.84
100.27,27.23,-76.83,50.68
100.28,27.45,-79.47,48.26
101.10,27.18,-79.98,48.29
100.83,27.19,-79.90,48.13
101.36,27.26,-79.78,48.85
100.47,27.13,-76.51,51.09
100.43,27.12,-78.36,49.19
100.63,27.04,-78.56,49.11
104.90,27.68,-75.37,57.20
99.91,28.04,-80.01,47.93
99.84,27.40,-79.95,47.29
99.94,27.70,-80.64,47.00
100.02,27.96,-78.92,49.06
100.02,27.51,-80.71,46.82
99.68,27.69,-76.75,50.62
100.55,27.62,-79.57,48.60
100.28,27.26,-78.78,48.76
102.85,27.18,-80.96,49.07
100.71,27.12,-78.84,48.99
101.51,27.20,-79.55,49.16
100.71,27.12,-78.90,48.93
101.10,27.08,-80.45,47.73
99.53,27.18,-79.55,47.16
100.21,27.09,-77.99,49.31
100.53,27.30,-67.98,59.85
101.43,27.35,-81.01,47.78
100.33,27.19,-79.45,48.06
101.00,27.03,-79.85,48.18
101.71,27.12,-80.28,48.56
100.80,27.05,-79.50,48.36
100.53,27.06,-79.22,48.37
100.45,27.18,-79.09,48.54
100.80,27.07,-77.04,50.83
101.00,27.07,-79.10,48.96
100.97,27.05,-78.88,49.14
101.56,27.10,-79.29,49.38
101.87,27.05,-78.82,50.10
101.83,27.50,-79.38,49.95
103.55,27.93,-79.46,52.03
100.73,27.48,-80.31,47.90
100.95,27.33,-81.38,46.91
100.45,27.23,-77.80,49.88
99.53,27.19,-79.49,47.24
100.25,27.31,-81.12,46.44
100.71,27.22,-80.52,47.41
100.29,27.33,-80.13,47.49
101.81,27.33,-74.60,54.54
100.49,27.71,-80.35,47.85
100.22,27.23,-77.08,50.37
99.97,27.26,-78.92,48.30
100.52,27.33,-78.87,48.98
100.76,27.36,-80.05,48.07
102.05,27.18,-80.63,48.60
101.06,27.16,-71.23,56.99
101.10,27.12,-78.31,49.91
99.75,27.72,-80.59,46.88
108.08,27.93,-70.47,65.53
101.06,27.32,-80.98,47.40
100.11,27.16,-79.41,47.86
100.94,28.00,-72.78,56.17
100.83,27.92,-78.42,50.33
101.74,28.17,-74.59,55.32
100.98,27.38,-80.85,47.52
99.68,27.30,-76.00,50.98
101.80,27.62,-79.95,49.47
100.03,28.42,-82.08,46.37
99.65,28.11,-81.24,46.52
99.80,28.13,-74.44,53.50
99.72,27.54,-80.00,47.27
100.21,27.26,-76.82,50.65
100.32,27.13,-79.53,47.92
100.73,27.17,-79.06,48.83
101.14,27.55,-78.93,49.76
100.58,27.16,-79.43,48.32
101.79,27.12,-81.05,47.86
103.14,27.15,-78.77,51.52
100.53,27.14,-78.74,48.94
101.85,27.46,-81.16,48.15
100.55,27.45,-77.26,50.74
