Time_offload,Time_process,Time_reply,Time_e2e
111.21,51.90,-76.56,86.56
123.48,30.21,-83.65,70.05
114.26,28.34,-83.27,59.33
103.73,28.20,-79.59,52.35
96.76,28.25,-80.57,44.44
95.45,28.28,-77.21,46.53
96.30,27.00,-78.58,44.72
96.76,26.91,-79.11,44.57
96.03,30.22,-76.81,49.44
95.33,29.55,-78.83,46.05
95.81,27.12,-79.57,43.36
96.05,27.02,-71.52,51.55
97.95,27.00,-81.23,43.73
96.27,27.01,-78.91,44.38
95.70,27.00,-78.17,44.53
96.18,27.01,-78.91,44.28
96.38,26.93,-78.85,44.47
97.34,27.00,-79.66,44.68
198.97,27.63,-83.50,143.11
187.91,27.58,-78.44,137.05
147.96,27.57,-78.37,97.16
136.31,27.62,-79.51,84.41
125.12,27.47,-83.02,69.57
113.60,27.02,-84.00,56.62
102.18,27.03,-72.67,56.53
96.29,27.19,-77.63,45.85
96.24,27.45,-78.78,44.91
96.66,27.38,-79.32,44.72
99.72,27.27,-76.11,50.88
99.54,27.10,-60.83,65.81
104.10,27.27,-81.24,50.13
95.91,27.12,-79.97,43.06
95.48,27.11,-76.24,46.36
95.32,27.57,-79.10,43.80
95.44,27.84,-77.46,45.82
95.80,27.42,-79.04,44.19
95.71,27.48,-79.11,44.09
96.44,27.20,-79.75,43.89
97.80,27.01,-80.19,44.61
96.76,27.00,-79.08,44.68
96.24,27.05,-78.93,44.36
96.27,26.97,-78.58,44.67
95.91,26.99,-77.92,44.98
98.00,27.07,-80.13,44.95
96.34,26.98,-78.04,45.28
96.38,27.01,-78.62,44.77
99.00,27.21,-79.84,46.37
96.88,27.50,-79.56,44.81
96.28,27.68,-79.24,44.72
96.29,27.19,-78.62,44.86
96.54,27.13,-76.80,46.87
97.46,27.03,-79.13,45.36
96.91,27.12,-77.03,46.99
96.41,27.06,-78.44,45.04
95.58,27.01,-78.50,44.09
97.02,27.00,-78.92,45.10
96.88,27.10,-77.87,46.12
96.04,44.75,-82.97,57.82
101.67,27.44,-79.42,49.70
96.12,27.10,-81.21,42.02
95.17,27.11,-79.81,42.47
95.65,27.13,-77.02,45.76
95.19,27.04,-79.51,42.73
95.62,27.06,-62.64,60.04
97.84,27.14,-78.78,46.20
95.65,27.09,-79.83,42.91
96.03,27.02,-78.70,44.35
96.47,27.02,-78.99,44.50
95.92,27.02,-78.97,43.97
95.96,27.02,-78.46,44.53
95.84,27.49,-79.30,44.04
97.36,27.69,-78.98,46.06
96.08,27.23,-79.49,43.82
95.76,27.83,-79.47,44.12
96.67,27.97,-77.06,47.59
96.66,27.38,-76.63,47.42
96.64,27.15,-78.79,44.99
96.31,27.10,-78.56,44.86
96.46,27.04,-79.07,44.43
97.05,27.06,-79.24,44.87
96.53,27.48,-78.67,45.35
96.20,27.49,-78.94,44.75
95.30,27.13,-81.09,41.34
95.44,26.99,-79.34,43.09
95.64,27.04,-65.67,57.00
95.26,27.65,-77.07,45.84
96.04,27.50,-80.78,42.75
96.16,27.05,-80.45,42.77
95.28,27.01,-75.81,46.48
95.78,27.05,-79.34,43.49
95.34,27.03,-78.49,43.88
96.19,27.03,-79.19,44.03
95.42,26.97,-78.32,44.07
96.73,27.35,-80.55,43.53
95.86,27.59,-78.80,44.65
96.60,27.28,-79.09,44.79
96.76,27.20,-79.98,43.98
112.46,30.94,-84.10,59.30
108.49,27.11,-82.80,52.80
96.49,27.01,-78.32,45.17
96.63,26.99,-79.21,44.41
96.18,27.00,-78.10,45.08
96.13,27.22,-78.09,45.25
97.63,27.40,-78.20,46.83
95.86,27.10,-78.46,44.50
95.66,27.05,-78.18,44.54
96.26,27.06,-78.73,44.59
95.93,26.98,-78.16,44.75
96.29,27.09,-78.74,44.64
112.30,31.39,-81.43,62.26
110.70,27.09,-79.88,57.91
99.57,26.96,-80.34,46.19
95.74,27.03,-77.73,45.04
95.40,26.99,-76.72,45.67
95.94,26.95,-79.54,43.35
95.20,27.03,-78.44,43.79
95.95,27.80,-80.58,43.17
95.31,27.39,-79.29,43.42
95.89,27.40,-63.09,60.19
95.44,27.00,-78.95,43.49
95.42,27.04,-78.37,44.09
96.14,27.12,-77.47,45.79
97.36,27.05,-79.78,44.63
97.57,27.45,-80.89,44.12
98.06,27.54,-79.45,46.14
99.35,27.14,-80.37,46.12
95.97,27.87,-66.86,56.98
96.97,27.92,-80.31,44.57
95.41,27.32,-78.16,44.58
95.78,27.09,-78.47,44.40
96.48,27.01,-78.32,45.18
96.73,27.04,-70.01,53.76
96.25,26.99,-78.33,44.91
97.39,26.98,-74.44,49.94
95.18,27.06,-79.56,42.68
95.16,27.00,-79.35,42.81
95.37,27.40,-76.04,46.74
96.25,28.17,-77.74,46.68
95.80,27.39,-78.86,44.33
95.79,27.26,-70.74,52.31
96.34,27.06,-80.38,43.03
94.87,27.09,-79.29,42.67
96.31,27.07,-80.53,42.85
95.93,27.00,-79.36,43.56
96.53,26.98,-79.68,43.82
97.64,27.01,-81.32,43.33
96.00,27.19,-79.20,43.99
95.71,27.72,-78.73,44.71
98.13,27.23,-79.09,46.27
96.14,27.18,-76.74,46.58
96.26,27.23,-78.37,45.12
96.87,27.26,-79.33,44.80
96.58,27.06,-77.56,46.08
97.41,27.26,-77.45,47.22
96.26,27.50,-76.66,47.10
96.88,27.18,-78.85,45.21
97.39,27.09,-79.30,45.18
96.48,27.10,-78.59,44.99
96.49,27.04,-78.37,45.15
96.03,27.30,-78.32,45.02
96.46,27.64,-76.91,47.19
97.56,27.28,-79.73,45.10
96.19,27.29,-78.65,44.84
97.52,27.11,-79.84,44.79
95.80,27.06,-79.01,43.86
95.16,27.08,-74.22,48.01
94.88,27.06,-78.61,43.33
95.72,27.17,-79.04,43.84
96.11,27.62,-80.47,43.25
95.67,27.46,-78.80,44.32
96.60,27.15,-79.67,44.08
97.23,27.07,-80.04,44.25
96.49,27.11,-79.42,44.18
96.06,27.12,-78.93,44.25
97.04,27.09,-79.39,44.73
95.66,27.08,-78.52,44.22
96.15,27.02,-77.95,45.22
96.34,27.07,-78.37,45.04
96.44,27.11,-78.16,45.39
96.21,28.05,-79.38,44.88
96.38,27.92,-79.51,44.79
95.92,27.26,-78.02,45.17
95.84,27.62,-78.50,44.96
96.76,27.47,-72.69,51.53
95.78,27.31,-78.20,44.89
96.32,27.08,-77.40,46.00
102.62,27.72,-80.90,49.44
95.17,27.07,-79.65,42.60
95.26,27.28,-76.16,46.38
95.47,27.96,-79.79,43.65
95.58,27.37,-79.00,43.95
96.31,31.63,-80.42,47.53
96.09,29.29,-79.54,45.84
96.70,27.06,-79.14,44.62
95.66,27.07,-77.64,45.09
95.80,27.47,-78.66,44.62
96.23,28.26,-79.00,45.49
96.75,27.78,-78.13,46.39
96.28,27.11,-77.92,45.47
96.83,27.06,-78.90,44.99
96.45,27.05,-78.46,45.04
97.10,27.08,-77.20,46.98
96.50,27.01,-78.53,44.97
96.47,27.01,-78.30,45.18
96.60,27.03,-78.10,45.53
96.10,27.66,-78.89,44.87
96.28,27.26,-78.92,44.62
96.98,27.30,-79.41,44.87
96.19,27.04,-78.66,44.57
96.45,26.94,-69.28,54.11
96.94,26.97,-78.82,45.10
96.32,27.02,-78.76,44.57
96.65,28.24,-79.02,45.87
