Time_offload,Time_process,Time_reply,Time_e2e
119.07,34.03,-80.74,72.36
132.33,28.89,-78.73,82.49
109.55,28.88,-78.67,59.77
174.38,27.78,-82.84,119.31
152.50,27.78,-82.79,97.49
159.30,26.97,-86.36,99.91
165.16,26.98,-80.99,111.16
198.99,26.96,-82.69,143.26
177.43,26.96,-82.64,121.76
210.76,26.90,-83.68,153.99
189.86,26.90,-83.62,133.14
223.32,27.15,-73.94,176.52
201.92,27.15,-73.88,155.19
235.60,27.13,-84.05,178.68
242.81,27.20,-20.76,249.25
221.17,27.20,-20.70,227.67
254.97,26.95,-75.87,206.05
233.25,26.93,-75.82,184.36
266.22,26.95,-85.71,207.45
271.72,26.95,-77.50,221.17
249.74,26.95,-77.43,199.25
256.36,26.91,-81.32,201.95
290.22,26.96,-77.57,239.61
268.21,26.96,-77.51,217.67
301.24,26.96,-82.40,245.81
306.67,27.04,-84.97,248.74
284.99,27.04,-84.92,227.10
319.06,27.08,-72.91,273.23
297.28,27.08,-72.85,251.51
331.30,27.07,-72.98,285.39
336.64,27.07,-78.21,285.49
314.64,27.07,-78.16,263.54
348.13,27.61,-84.56,291.18
354.93,27.70,-80.19,302.44
333.88,27.69,-80.13,281.44
369.73,28.09,-82.11,315.72
348.04,28.08,-82.02,294.10
383.59,27.27,-81.01,329.84
389.54,27.12,-79.67,336.99
367.79,27.12,-79.61,315.29
402.21,27.05,-86.24,343.02
380.51,27.05,-86.18,321.38
414.13,27.11,-83.78,357.45
419.62,27.10,-85.54,361.18
397.60,27.10,-85.48,339.23
431.35,27.13,-83.11,375.37
437.37,27.26,-84.08,380.55
415.91,27.26,-84.02,359.15
450.23,27.12,-82.40,394.95
428.21,27.12,-82.34,372.99
461.96,27.13,-86.03,403.05
468.13,27.29,-79.04,416.38
446.02,27.29,-78.99,394.33
480.95,27.44,-86.28,422.11
459.39,27.43,-86.23,400.59
493.57,27.06,-81.37,439.25
499.94,27.03,-79.50,447.47
477.99,27.03,-79.44,425.58
511.39,27.08,-82.50,455.97
516.77,27.07,-86.41,457.43
495.38,27.07,-86.35,436.10
528.97,27.07,-86.37,469.67
506.97,27.07,-86.31,447.73
540.54,27.08,-86.19,481.42
546.34,27.04,-86.31,487.07
525.32,27.04,-86.25,466.12
559.64,27.53,-76.43,510.74
538.91,27.52,-76.37,490.06
573.51,27.21,-84.74,515.99
580.22,27.02,-84.10,523.14
558.76,27.02,-84.04,501.74
592.58,27.18,-84.80,534.96
598.56,27.18,-83.02,542.72
577.50,27.18,-82.96,521.72
611.43,27.13,-80.61,557.95
589.59,27.13,-80.56,536.16
623.10,27.13,-85.79,564.43
629.70,27.29,-86.00,570.99
608.81,27.29,-85.94,550.17
643.32,27.13,-85.94,584.52
649.04,27.08,-84.52,591.60
627.22,27.08,-84.45,569.85
661.26,27.09,-84.43,603.92
640.23,27.09,-84.37,582.95
674.60,27.06,-86.15,615.51
680.08,27.00,-80.98,626.10
657.79,27.00,-80.94,603.85
691.84,27.08,-81.86,637.06
670.15,27.08,-81.81,615.43
703.99,27.08,-84.62,646.45
709.97,27.10,-84.30,652.78
688.41,27.10,-84.24,631.27
722.66,27.12,-73.87,675.91
728.32,27.05,-82.20,673.17
706.86,27.05,-82.14,651.76
740.79,27.12,-80.01,687.90
719.27,27.12,-79.96,666.43
753.75,27.47,-86.41,694.80
760.42,27.20,-76.47,711.15
739.17,27.20,-76.41,689.96
773.88,27.10,-82.32,718.66
752.83,27.10,-82.27,697.65
786.65,27.07,-79.15,734.57
792.06,27.05,-73.48,745.64
770.56,27.05,-73.40,724.21
805.05,27.09,-76.91,755.23
811.89,27.09,-82.73,756.25
790.74,27.09,-82.68,735.15
825.32,27.73,-85.98,767.07
803.74,27.73,-85.92,745.55
839.63,27.95,-84.12,783.47
846.56,27.49,-85.92,788.14
825.04,27.49,-85.87,766.66
860.21,27.10,-85.47,801.84
838.62,27.10,-85.40,780.32
872.58,27.05,-86.46,813.16
878.40,27.03,-83.88,821.55
857.56,27.03,-83.82,800.77
891.15,27.07,-84.51,833.72
896.80,27.01,-81.77,842.04
875.55,27.01,-81.72,820.85
909.45,27.05,-84.27,852.22
888.67,27.05,-84.22,831.49
922.38,27.03,-79.62,869.79
928.51,27.29,-86.10,869.70
907.09,27.29,-86.05,848.34
942.66,27.76,-82.75,887.68
949.16,27.60,-84.40,892.36
927.38,27.60,-84.34,870.63
961.77,27.14,-81.83,907.08
939.93,27.14,-81.77,885.30
973.49,27.04,-86.29,914.24
979.09,27.06,-77.78,928.37
957.74,27.06,-77.73,907.06
991.62,27.06,-86.44,932.24
970.44,27.06,-86.38,911.12
1003.81,27.05,-78.64,952.21
1009.49,27.14,-80.64,955.99
988.62,27.14,-80.59,935.17
1022.53,27.10,-85.92,963.71
1029.04,27.06,-79.12,976.99
1007.14,27.06,-79.06,955.14
1041.14,27.19,-86.55,981.78
