Time_offload,Time_process,Time_reply,Time_e2e
9.08,3.62,0.45,13.14
7.35,3.43,0.42,11.20
8.63,3.12,0.41,12.17
5.28,2.08,0.41,7.77
8.12,3.59,0.39,12.10
7.94,3.63,0.47,12.03
7.63,3.65,0.63,11.91
7.70,3.43,0.44,11.57
7.47,3.53,0.46,11.46
7.58,3.43,0.44,11.45
7.79,3.29,0.38,11.46
8.51,3.55,0.52,12.58
3.97,1.62,0.23,5.83
8.12,3.00,0.36,11.48
4.87,1.98,0.29,7.14
7.80,3.50,0.45,11.75
8.02,3.85,0.56,12.43
7.63,3.53,0.44,11.60
8.45,3.07,0.42,11.94
7.72,3.51,0.44,11.67
7.87,2.66,0.31,10.85
4.09,1.58,0.22,5.89
6.28,2.27,0.29,8.84
5.60,2.21,0.33,8.13
5.22,1.96,0.24,7.42
8.59,3.61,0.38,12.58
19.52,6.65,0.34,26.51
7.46,3.04,0.57,11.06
4.37,1.69,0.24,6.30
4.49,1.62,0.37,6.48
4.18,1.67,0.23,6.08
7.80,2.91,0.51,11.22
4.28,1.69,0.32,6.29
4.50,1.60,0.38,6.49
6.48,2.51,0.26,9.24
5.22,2.07,0.29,7.59
3.95,1.67,0.25,5.87
4.45,1.63,0.32,6.40
5.62,2.29,0.40,8.32
20.09,1.81,0.39,22.29
7.37,3.10,0.47,10.95
5.50,1.97,0.37,7.84
8.39,3.07,0.39,11.86
8.08,3.51,0.47,12.06
8.23,3.71,0.47,12.40
8.04,3.49,0.50,12.03
8.43,3.57,0.40,12.40
7.62,3.61,0.54,11.77
8.43,3.53,0.41,12.37
7.48,3.50,0.41,11.39
9.17,3.10,0.55,12.82
7.70,3.49,0.49,11.68
6.95,3.66,0.48,11.09
7.96,3.17,0.48,11.61
7.34,3.44,0.39,11.17
6.98,2.53,0.33,9.85
9.00,3.28,0.48,12.76
5.67,2.16,0.27,8.10
33.38,8.18,0.38,41.93
5.43,2.19,0.38,7.99
8.24,3.90,0.93,13.06
4.60,1.80,0.27,6.67
8.03,3.62,0.70,12.35
5.36,2.00,0.26,7.62
8.58,3.68,0.53,12.79
7.74,3.65,0.64,12.02
8.12,3.75,0.68,12.56
8.29,2.73,0.34,11.36
9.08,3.66,0.42,13.16
7.00,2.57,0.41,9.98
9.03,3.77,0.67,13.47
5.73,2.21,0.31,8.25
10.17,2.98,0.41,13.56
4.88,1.84,0.26,6.97
7.53,3.42,0.41,11.37
6.50,2.49,0.33,9.33
9.10,3.39,0.41,12.90
8.91,3.64,0.56,13.11
7.59,3.32,0.45,11.36
7.77,2.67,0.34,10.79
10.14,2.96,0.41,13.51
7.96,3.01,0.42,11.39
8.05,2.84,0.40,11.29
6.65,2.59,0.53,9.78
8.94,3.09,0.39,12.42
5.47,1.91,0.27,7.64
10.57,3.68,0.70,14.95
4.46,1.66,0.22,6.34
8.36,3.87,0.53,12.77
5.86,2.22,0.43,8.51
30.65,8.52,0.36,39.53
8.71,3.22,0.49,12.41
9.24,3.04,0.39,12.67
10.39,3.18,0.44,14.02
9.76,3.60,0.41,13.77
9.55,3.16,0.44,13.15
10.34,3.07,0.46,13.87
7.34,2.60,0.37,10.31
8.21,3.63,0.54,12.38
9.94,3.06,0.39,13.39
7.33,3.21,0.73,11.27
8.88,3.43,0.41,12.72
8.36,3.09,0.64,12.10
9.43,2.99,0.38,12.80
4.18,1.62,0.26,6.07
6.79,2.46,0.33,9.59
4.94,1.80,0.34,7.07
7.58,2.65,0.56,10.79
4.61,1.74,0.34,6.69
5.50,2.23,0.27,8.00
5.63,1.95,0.28,7.86
5.25,1.96,0.39,7.60
7.36,3.09,0.45,10.89
5.13,2.07,0.25,7.45
7.69,3.22,0.66,11.57
8.29,3.11,0.84,12.25
8.35,3.82,0.37,12.54
9.11,3.89,0.54,13.54
8.19,3.54,0.46,12.19
7.70,3.73,0.40,11.83
8.56,3.55,0.42,12.53
7.83,3.76,0.40,11.99
29.62,8.27,0.37,38.27
7.49,2.19,0.68,10.36
9.67,3.01,0.41,13.09
4.13,1.86,0.35,6.35
4.46,1.68,0.32,6.45
4.27,1.79,0.29,6.35
8.44,2.93,0.38,11.74
7.42,2.58,0.33,10.33
9.04,3.02,0.40,12.46
4.17,1.61,0.24,6.03
5.25,2.02,0.26,7.54
5.07,1.99,0.26,7.33
4.25,1.61,0.25,6.11
4.96,1.72,0.25,6.92
5.45,2.05,0.25,7.75
5.60,2.20,0.29,8.08
5.06,1.78,0.24,7.08
7.24,3.63,0.54,11.41
4.08,1.64,0.28,6.00
5.28,2.14,0.34,7.75
5.49,2.14,0.27,7.90
8.29,3.69,0.49,12.47
7.76,2.50,0.34,10.60
7.06,3.64,0.45,11.15
5.87,2.26,0.28,8.42
7.08,3.62,0.43,11.14
5.17,2.01,0.25,7.43
7.01,3.47,0.39,10.87
4.52,1.85,0.27,6.64
8.45,3.06,0.35,11.86
4.21,1.63,0.22,6.06
6.47,2.36,0.30,9.14
19.77,6.12,0.28,26.18
5.85,2.23,0.28,8.35
4.40,1.64,0.31,6.35
4.05,1.63,0.22,5.89
5.56,2.07,0.29,7.93
4.06,1.66,0.35,6.06
5.20,1.95,0.29,7.43
4.11,1.69,0.23,6.03
4.91,1.86,0.29,7.05
8.49,2.98,0.47,11.93
6.37,2.41,0.31,9.09
13.81,3.46,0.45,17.72
9.32,3.04,0.41,12.76
7.58,3.48,0.42,11.48
7.80,3.58,0.43,11.81
7.90,2.77,0.47,11.14
7.94,3.65,0.38,11.96
8.02,3.73,0.53,12.28
7.20,3.54,0.38,11.12
7.89,3.06,0.45,11.40
8.72,3.19,0.57,12.48
7.25,2.56,0.42,10.22
7.70,3.42,0.46,11.58
7.41,3.49,0.46,11.36
4.15,1.61,0.25,6.02
4.14,1.66,0.30,6.10
4.66,1.83,0.27,6.77
4.28,1.61,0.39,6.28
4.44,1.72,0.33,6.50
8.08,3.08,0.58,11.74
4.21,1.65,0.24,6.10
7.91,3.48,0.37,11.77
18.04,6.12,0.28,24.45
8.01,3.53,0.42,11.96
4.10,1.68,0.24,6.01
5.02,1.96,0.26,7.24
4.08,1.67,0.54,6.28
4.08,1.59,0.22,5.89
5.77,2.27,0.31,8.35
7.35,2.65,0.47,10.47
5.19,2.03,0.25,7.47
