Time_offload,Time_process,Time_reply,Time_e2e
10.82,3.05,4.16,18.03
4.98,2.32,4.10,11.40
4.47,2.33,0.38,7.17
4.41,2.28,0.38,7.08
4.40,2.25,0.37,7.02
4.19,2.24,0.36,6.79
4.44,2.34,0.40,7.18
4.43,2.35,0.40,7.17
4.28,2.33,0.43,7.04
4.53,2.29,0.38,7.20
4.47,2.33,4.41,11.22
4.34,2.34,0.35,7.02
4.45,2.29,0.25,7.00
4.25,2.26,0.23,6.73
4.30,2.35,0.50,7.15
4.43,2.26,0.24,6.93
4.27,2.44,0.24,6.95
4.31,2.37,0.23,6.92
4.63,2.24,0.24,7.11
4.32,2.28,0.24,6.85
13.70,2.36,0.61,16.67
7.01,3.02,5.36,15.40
5.56,2.26,0.39,8.21
4.31,2.32,0.38,7.01
19.72,8.59,4.12,32.43
4.40,2.29,0.39,7.07
4.44,2.26,0.57,7.27
4.31,2.25,0.43,6.99
4.39,3.01,5.42,12.82
5.70,2.30,0.43,8.43
4.57,2.36,4.11,11.04
4.33,2.22,0.40,6.95
4.36,2.24,0.26,6.87
4.24,2.25,0.28,6.78
4.67,2.29,0.23,7.18
4.48,2.30,0.25,7.04
4.37,2.23,0.26,6.86
4.20,2.30,0.28,6.77
4.21,2.24,0.26,6.72
4.30,2.27,0.27,6.85
4.31,2.24,0.25,6.81
4.20,2.24,0.37,6.80
4.98,2.27,4.10,11.36
4.18,2.44,0.26,6.88
4.24,2.27,0.35,6.86
4.21,2.96,5.50,12.67
5.80,2.42,4.17,12.39
4.68,2.43,4.15,11.27
4.58,2.22,0.26,7.06
5.30,2.45,4.11,11.86
4.45,2.46,4.14,11.06
4.20,2.31,0.28,6.78
4.38,2.28,0.25,6.91
4.36,2.38,0.22,6.97
4.33,2.27,0.32,6.92
4.40,2.34,0.38,7.11
18.91,9.25,4.22,32.39
4.40,2.27,0.36,7.03
4.24,2.30,4.47,11.02
4.32,2.26,0.25,6.83
4.38,2.29,0.25,6.93
4.31,2.34,0.26,6.90
4.24,2.49,0.23,6.96
4.25,2.22,0.24,6.71
