Time_offload,Time_process,Time_reply,Time_e2e
6.68,3.13,4.02,13.83
4.92,2.36,4.07,11.36
4.47,2.35,0.50,7.31
4.60,2.33,4.17,11.10
4.41,2.27,0.35,7.04
4.31,2.24,0.39,6.94
4.56,2.31,0.40,7.27
4.29,2.31,0.46,7.07
4.42,2.33,0.42,7.17
4.30,2.23,0.41,6.94
5.08,2.35,4.05,11.48
4.48,2.24,0.44,7.16
4.37,2.48,0.29,7.15
4.63,2.34,4.31,11.28
4.37,2.25,0.40,7.02
4.27,2.27,0.44,6.98
4.25,2.33,0.25,6.83
4.30,2.55,4.26,11.11
4.35,2.24,0.45,7.04
4.35,2.41,0.26,7.02
6.94,2.30,4.15,13.38
4.68,2.30,4.66,11.64
4.92,2.38,4.20,11.50
4.32,2.26,0.27,6.85
19.75,9.03,4.53,33.31
4.33,2.35,0.32,7.00
4.21,2.35,0.40,6.96
4.16,2.23,0.34,6.73
4.38,2.24,0.31,6.93
4.31,2.34,0.32,6.97
4.22,2.23,0.32,6.77
4.24,2.26,0.36,6.85
4.43,2.28,0.36,7.07
4.28,2.45,0.39,7.11
4.32,2.24,0.36,6.92
4.27,2.31,0.23,6.81
4.29,2.27,0.28,6.84
4.54,2.27,4.13,10.94
4.25,2.33,0.38,6.96
4.84,2.32,3.88,11.03
4.24,2.26,0.36,6.86
4.82,2.26,4.12,11.21
4.16,2.26,0.31,6.73
4.24,2.41,0.26,6.91
4.20,2.27,0.32,6.79
4.29,2.42,0.41,7.13
4.39,2.29,0.36,7.03
4.40,2.30,0.35,7.04
4.30,2.33,0.27,6.90
4.54,2.24,0.36,7.14
4.23,2.23,0.37,6.83
4.30,2.30,0.29,6.88
4.26,2.28,0.37,6.91
4.45,2.31,0.27,7.03
4.22,2.43,0.24,6.90
4.25,2.25,0.34,6.84
19.20,8.75,4.14,32.09
4.39,2.44,4.30,11.13
4.33,2.40,4.30,11.02
4.26,2.25,0.50,7.01
4.25,2.25,0.29,6.79
4.38,2.29,0.46,7.13
