Time_offload,Time_process,Time_reply,Time_e2e
-7013.62,13.15,7036.32,35.85
-7013.14,5.20,7038.38,30.43
-7018.65,2.67,7035.82,19.85
-7025.34,2.64,7039.44,16.73
-7026.32,3.23,7039.05,15.96
-7028.12,3.49,7037.56,12.93
-7027.81,3.53,7036.34,12.06
-7027.26,3.34,7036.25,12.33
-7029.33,2.92,7038.68,12.27
-7029.25,3.25,7038.16,12.15
-7028.65,3.40,7037.90,12.65
-7026.13,4.07,7036.58,14.52
-7027.16,3.41,7036.19,12.44
-7029.21,2.96,7038.40,12.15
-7029.09,3.26,7038.10,12.28
-7028.14,3.67,7036.79,12.32
-7029.10,3.30,7038.01,12.22
-7028.70,3.44,7038.10,12.85
-7028.92,3.42,7037.87,12.37
-7026.74,3.73,7037.63,14.63
-7026.22,3.76,7036.13,13.67
-7027.56,3.07,7037.07,12.58
-7028.82,2.98,7038.78,12.94
-7028.39,3.37,7052.44,27.42
-7008.36,15.20,7037.13,43.97
-7015.90,1.80,7036.00,21.90
-7022.26,1.81,7035.92,15.47
-7027.76,1.83,7038.33,12.40
-7029.20,1.82,7039.53,12.15
-7029.21,2.29,7038.66,11.74
-7028.93,2.78,7038.19,12.03
-7029.00,3.02,7038.06,12.07
-7027.41,3.63,7035.90,12.13
-7016.83,6.37,7039.73,29.27
-7018.29,3.63,7037.03,22.37
-7023.27,2.50,7040.82,20.06
-7027.45,2.06,7113.98,88.59
-6956.73,12.08,7036.36,91.71
-6952.03,6.03,7035.76,89.76
-6954.25,2.95,7039.04,87.74
-6959.63,2.00,7036.99,79.35
-6965.28,1.82,7036.15,72.69
-6971.78,1.79,7036.06,66.07
-6978.26,1.79,7039.49,63.02
-6985.49,1.79,7037.94,54.25
-6987.49,1.83,7038.82,53.16
-6992.41,1.82,7037.61,47.01
-6997.36,1.80,7039.75,44.20
-6937.40,11.56,7036.15,110.31
-6933.50,5.85,7036.02,108.37
-6935.97,3.05,7039.78,106.86
-6940.04,1.87,7063.85,125.68
-6945.70,1.82,7061.98,118.10
-6952.50,1.81,7060.13,109.44
-6958.77,1.78,7058.24,101.25
-6965.01,1.80,7056.38,93.17
-6945.36,11.67,7036.09,102.39
-6955.49,1.85,7041.24,87.60
-6961.92,1.84,7039.41,79.33
-6968.22,1.81,7037.55,71.14
-6974.06,1.84,7063.56,91.34
-6980.05,1.77,7061.74,83.47
-6986.53,1.78,7059.93,75.17
-6993.00,1.77,7057.99,66.76
-6982.86,3.12,7037.16,57.42
-6987.00,2.44,7035.76,51.20
-6992.56,1.90,7039.06,48.39
-6998.65,1.83,7037.02,40.21
