Time_offload,Time_process,Time_reply,Time_e2e
-7021.02,5.86,7039.73,24.56
-7025.59,11.39,7041.44,27.25
-7017.63,11.66,7039.98,34.01
-7023.35,11.28,7040.64,28.57
-7025.90,11.46,7039.95,25.51
-7024.11,11.49,7040.57,27.95
-7020.63,11.57,7049.08,40.02
-7022.04,11.56,7040.98,30.51
-7022.60,11.54,7041.03,29.98
-7022.35,11.59,7041.02,30.26
-7027.28,11.17,7041.38,25.27
-7023.84,11.44,7040.56,28.16
-7022.45,11.59,7041.11,30.25
-7025.08,11.46,7039.35,25.73
-7031.10,11.25,7041.01,21.16
-7030.39,11.26,7040.26,21.12
-7028.05,11.34,7040.48,23.77
-7023.59,11.51,7042.30,30.22
-7021.29,11.46,7040.11,30.28
-7023.91,11.24,7041.83,29.16
-7023.30,11.47,7040.43,28.60
-7022.04,11.61,7041.76,31.33
-7029.30,11.37,7040.14,22.21
-7025.85,11.57,7040.31,26.03
-7000.60,20.86,7042.22,62.48
-7029.73,5.34,7040.23,15.85
-7019.72,11.58,7042.05,33.91
-7026.59,11.47,7040.73,25.61
-7027.19,11.44,7041.20,25.46
-7023.09,11.59,7040.42,28.93
-7024.34,11.52,7040.36,27.55
-7026.87,11.50,7040.85,25.48
-7031.05,11.16,7039.56,19.68
-7031.21,11.36,7039.60,19.75
-7023.09,11.58,7040.29,28.78
-7022.84,11.62,7041.19,29.97
-7021.97,11.58,7047.55,37.16
-7024.71,11.47,7040.44,27.20
-6961.93,11.56,7041.27,90.90
-6999.12,6.29,7051.62,58.79
-7023.61,8.16,7040.66,25.22
-7023.73,11.30,7039.68,27.24
-6996.21,11.62,7042.56,57.97
-7025.61,8.19,7039.97,22.55
-7022.89,11.44,7041.26,29.81
-7020.61,11.47,7040.32,31.17
-7024.31,11.40,7040.86,27.95
-7022.70,11.19,7040.33,28.82
-7024.43,11.35,7040.53,27.44
-7024.37,11.39,7040.71,27.74
-7022.40,11.39,7040.64,29.62
-7023.07,11.39,7040.43,28.74
-7023.05,11.47,7040.74,29.16
-7022.36,11.39,7040.38,29.42
-7025.33,11.25,7040.11,26.04
-7027.84,11.30,7040.38,23.84
-6995.44,21.96,7054.13,80.65
-7020.87,7.39,7040.82,27.34
-7024.30,11.24,7043.19,30.13
-7032.00,11.06,7041.53,20.60
-7031.55,11.13,7039.91,19.49
-7023.00,11.43,7040.11,28.54
-7023.84,11.41,7040.29,27.86
-7025.57,11.46,7044.71,30.60
-7021.70,11.49,7042.01,31.80
-7021.55,11.44,7040.47,30.36
-7027.02,11.33,7040.61,24.92
-7020.70,11.50,7040.74,31.54
-7023.39,11.38,7042.51,30.51
-7028.11,11.01,7040.97,23.87
-7020.25,11.48,7040.28,31.50
-7022.39,11.43,7040.38,29.43
-7022.80,11.44,7040.42,29.06
-7025.11,11.37,7042.14,28.40
-7025.30,11.37,7040.83,26.90
-7026.59,11.32,7040.99,25.72
-7021.28,11.41,7039.36,29.49
-7030.86,10.73,7040.01,19.88
-7025.79,11.41,7040.79,26.40
-7023.36,11.44,7040.91,29.00
-7020.11,11.37,7040.93,32.19
-7023.56,11.41,7041.80,29.65
-7022.63,11.38,7041.05,29.80
-7023.38,11.43,7040.38,28.43
-7021.84,11.46,7042.56,32.18
-7025.30,11.25,7041.10,27.05
-7022.81,11.47,7045.32,33.97
-7023.31,11.38,7041.52,29.59
-7000.80,20.33,7058.29,77.82
-7015.65,9.57,7041.44,35.37
-7024.71,11.78,7041.25,28.32
-7018.17,11.50,7041.80,35.13
-7022.05,11.45,7040.30,29.71
-7022.86,11.40,7043.93,32.47
-7024.12,11.38,7041.18,28.43
-7021.49,11.46,7041.66,31.64
-7024.80,11.45,7040.59,27.24
-7022.69,11.46,7040.42,29.19
-7023.26,11.42,7041.13,29.29
-7024.63,11.46,7041.36,28.18
-7020.75,11.48,7041.13,31.87
-7024.12,10.86,7041.38,28.12
-7024.18,11.50,7040.85,28.17
-7022.82,11.40,7042.13,30.71
-7031.78,11.06,7039.25,18.53
-7030.62,11.16,7039.86,20.39
-7023.11,11.41,7039.92,28.22
-7019.63,11.52,7039.60,31.48
-7029.99,10.98,7040.22,21.21
-7001.50,11.65,7044.44,54.60
-7016.88,9.98,7040.41,33.52
-7021.69,11.35,7041.02,30.68
-7020.97,11.50,7041.32,31.85
-7007.53,11.58,7040.53,44.57
-7025.26,10.43,7040.69,25.86
-7023.88,11.28,7040.13,27.53
-7025.22,11.39,7040.21,26.39
-7026.34,11.41,7040.99,26.06
-7022.49,11.48,7040.49,29.48
-7026.60,11.33,7040.56,25.29
-7002.81,20.21,7039.42,56.82
-7032.58,4.00,7039.44,10.86
-7023.52,11.29,7041.85,29.62
-7021.72,11.39,7040.68,30.36
-7025.45,11.10,7041.57,27.22
-7022.17,11.42,7044.36,33.61
-7023.99,11.55,7041.33,28.89
-7025.00,11.38,7040.39,26.78
-7020.40,11.58,7039.97,31.15
-7024.10,11.38,7041.14,28.42
-7021.30,11.44,7042.70,32.83
-7027.41,11.31,7041.80,25.71
-7027.71,11.30,7040.28,23.88
-7027.81,11.27,7040.36,23.83
-7020.19,11.49,7041.47,32.77
-7023.55,11.24,7042.31,30.00
-7023.08,11.42,7040.76,29.10
-7024.07,11.42,7040.78,28.13
-7023.21,11.49,7041.04,29.32
-7023.18,11.43,7040.76,29.02
-7021.97,11.54,7045.03,34.61
-7023.21,11.33,7041.05,29.17
-7023.78,11.43,7040.49,28.14
-7023.26,11.46,7043.75,31.95
-7027.74,11.25,7040.65,24.16
-7021.85,11.38,7040.93,30.47
-7024.08,11.31,7041.40,28.62
-7021.72,11.49,7042.27,32.05
-7025.01,11.43,7041.01,27.42
-7002.41,11.72,7040.84,50.14
-7031.41,7.39,7039.42,15.40
-7030.67,11.11,7039.71,20.15
