Time_offload,Time_process,Time_reply,Time_e2e
-7026.15,11.50,7049.06,34.41
-7032.20,11.11,7050.24,29.14
-7030.68,11.23,7048.47,29.01
-7031.39,11.36,7048.48,28.45
-7022.15,11.35,7049.82,39.01
-7030.31,10.73,7049.13,29.55
-7028.91,11.15,7049.25,31.49
-7037.51,11.06,7048.21,21.76
-7038.70,6.60,7047.67,15.57
-7034.11,11.64,7048.24,25.78
-7037.56,10.41,7048.75,21.59
-7016.22,11.57,7064.86,60.21
-7030.58,10.81,7048.98,29.21
-7030.20,11.25,7049.20,30.25
-7036.63,11.23,7048.69,23.29
-7032.00,11.29,7048.74,28.03
-7031.37,11.37,7055.70,35.70
-7032.80,11.32,7047.97,26.49
-7036.25,11.29,7049.05,24.09
-7036.69,11.14,7048.13,22.58
-7036.03,11.06,7049.49,24.51
-7030.48,11.46,7049.17,30.15
-7030.52,11.39,7049.47,30.34
-7031.33,11.45,7048.42,28.54
-7004.78,20.44,7055.27,70.93
-7035.76,3.68,7048.29,16.22
-7028.99,11.36,7051.28,33.65
-7031.60,11.37,7048.38,28.15
-7033.59,11.42,7048.84,26.67
-7033.83,11.36,7048.38,25.91
-7035.00,11.35,7048.56,24.92
-7030.79,11.47,7049.91,30.58
-7029.16,11.16,7048.31,30.30
-7039.53,11.07,7047.97,19.51
-7039.70,11.10,7048.46,19.85
-7035.18,11.37,7048.74,24.92
-7028.80,11.39,7049.13,31.72
-7030.25,11.42,7048.77,29.93
-7031.34,11.43,7049.97,30.06
-7032.11,11.44,7051.39,30.72
-7031.90,11.43,7049.40,28.92
-7033.80,11.47,7049.14,26.80
-7032.20,11.35,7049.23,28.38
-7031.79,10.93,7049.54,28.67
-7033.15,11.46,7049.10,27.41
-7031.69,11.37,7049.43,29.11
-7035.08,11.42,7049.21,25.55
-7025.47,11.44,7049.81,35.78
-7030.40,11.28,7048.60,29.47
-7032.44,11.47,7049.40,28.43
-7030.21,11.42,7048.52,29.74
-7028.42,11.38,7048.64,31.59
-7037.85,11.05,7048.25,21.46
-7031.13,11.36,7048.09,28.32
-7040.64,10.28,7047.90,17.54
-7039.88,11.11,7048.27,19.51
-6997.93,19.94,7047.84,69.84
-7041.09,2.79,7047.68,9.37
-7034.45,11.03,7049.52,26.11
-7032.41,11.29,7048.97,27.86
-7038.73,11.27,7048.77,21.31
-7030.21,11.33,7049.27,30.38
-7027.78,11.42,7048.83,32.47
-7029.32,11.31,7048.07,30.06
-7040.24,10.69,7047.86,18.31
-7034.33,12.01,7049.31,27.00
-7032.05,11.28,7049.23,28.46
-7031.46,11.45,7049.72,29.71
-7032.73,11.35,7048.33,26.95
-7031.13,11.19,7049.53,29.59
-7031.01,11.45,7049.21,29.65
-7030.76,11.33,7050.16,30.73
-7032.07,11.33,7049.00,28.26
-7030.42,11.47,7048.81,29.86
-7030.85,11.38,7049.27,29.79
-7030.66,11.28,7048.95,29.57
-7032.47,10.99,7049.28,27.80
-7030.65,11.41,7049.83,30.59
-7031.31,11.43,7050.01,30.14
-7030.20,11.47,7051.41,32.68
-7030.67,11.43,7054.63,35.39
-7030.15,11.42,7049.87,31.14
-7029.91,11.42,7050.08,31.58
-7031.32,11.26,7048.93,28.87
-7030.48,11.50,7054.89,35.91
-7033.16,11.36,7049.53,27.73
-7032.53,11.31,7048.94,27.72
-7032.68,11.19,7048.92,27.43
-7005.02,20.50,7060.72,76.20
-7029.35,5.93,7049.40,25.98
-7034.09,11.28,7049.38,26.57
-7032.54,11.30,7049.14,27.90
-7029.91,11.41,7049.94,31.45
-7030.96,11.45,7049.39,29.87
-7027.65,11.37,7051.27,35.00
-7032.05,11.27,7048.12,27.34
-7040.46,11.20,7049.02,19.76
-7030.47,12.00,7049.95,31.48
-7037.33,6.44,7047.73,16.84
-7039.12,11.39,7048.13,20.40
-7038.97,11.21,7048.71,20.95
-7033.02,11.36,7048.73,27.07
