Time_offload,Time_process,Time_reply,Time_e2e
-7031.54,11.64,7056.50,36.61
-7042.99,11.17,7055.24,23.42
-7039.35,11.44,7056.06,28.15
-7034.94,11.50,7056.24,32.79
-7039.14,11.32,7056.31,28.49
-7040.97,11.42,7056.01,26.45
-7036.02,11.54,7063.42,38.94
-7037.19,11.48,7055.01,29.30
-7047.75,11.00,7054.77,18.03
-7047.52,11.31,7054.91,18.69
-7044.84,11.32,7055.12,21.60
-7039.93,11.53,7056.17,27.77
-7039.06,11.56,7055.73,28.23
-7037.92,11.41,7056.97,30.46
-7040.35,11.50,7055.23,26.38
-7040.79,11.37,7056.00,26.58
-7037.21,11.47,7055.27,29.54
-7037.98,11.45,7057.61,31.08
-7038.37,11.51,7055.82,28.96
-7037.53,11.49,7056.37,30.34
-7037.07,11.50,7056.20,30.63
-7033.19,11.53,7056.36,34.69
-7038.69,11.36,7055.86,28.54
-7047.19,11.29,7055.60,19.70
-7022.14,19.71,7055.33,52.90
-7042.17,5.24,7055.26,18.33
-7042.15,11.29,7054.93,24.08
-7042.49,11.46,7055.75,24.73
-7035.83,11.53,7057.48,33.18
-7040.34,11.44,7055.92,27.02
-7039.23,11.49,7056.16,28.43
-7041.44,11.38,7055.35,25.29
-7033.47,11.62,7055.62,33.77
-7042.49,11.35,7062.42,31.28
-7039.84,11.53,7055.86,27.55
-7037.00,11.57,7055.86,30.43
-7039.79,11.38,7056.47,28.06
-7042.72,11.36,7060.21,28.84
-7038.58,11.36,7056.44,29.21
-7037.63,11.46,7055.85,29.68
-7033.13,11.47,7055.82,34.16
-7038.53,11.33,7056.25,29.05
-7039.05,11.45,7056.00,28.41
-7037.07,11.50,7056.59,31.02
-7036.61,11.57,7055.47,30.43
-7041.50,11.34,7057.94,27.79
-7035.84,11.59,7055.91,31.66
-7040.64,11.31,7055.81,26.48
-7045.59,11.29,7055.45,21.15
-7039.05,11.48,7055.95,28.38
-7036.91,11.40,7055.31,29.80
-7037.44,11.36,7055.79,29.71
-7036.31,11.53,7055.29,30.51
-7045.70,11.28,7056.18,21.76
-7047.41,11.11,7055.52,19.23
-7038.87,11.56,7055.23,27.92
-7009.93,20.34,7066.58,76.98
-7036.70,5.79,7059.27,28.36
-7038.72,11.32,7056.10,28.70
-7044.51,11.30,7055.51,22.31
-7042.15,11.34,7055.83,25.01
-7036.34,11.47,7056.30,31.43
-7038.74,11.37,7056.32,28.95
-7038.54,11.44,7057.03,29.93
-7041.35,11.39,7055.92,25.96
-7041.44,11.42,7056.38,26.35
-7036.37,11.50,7055.87,31.00
-7038.14,11.49,7055.77,29.12
-7046.29,11.28,7055.98,20.97
-7046.91,11.28,7054.98,19.35
-7045.32,11.06,7055.67,21.42
-7041.21,11.45,7055.96,26.20
-7038.09,11.47,7055.78,29.15
-7041.33,11.48,7055.99,26.14
-7040.05,11.32,7056.65,27.92
-7041.01,11.44,7055.90,26.33
-7042.04,11.55,7056.34,25.85
-7035.28,11.56,7056.55,32.82
-7040.15,11.38,7055.64,26.88
-7037.78,11.51,7062.35,36.08
-7038.90,11.44,7056.03,28.57
-7037.28,11.49,7055.61,29.82
-7040.42,11.24,7055.88,26.70
-7014.71,11.61,7060.16,57.06
-7036.66,9.59,7056.50,29.44
-7037.47,11.33,7056.13,30.00
-7039.41,11.41,7056.99,28.99
-7040.14,11.53,7055.86,27.26
-7012.73,21.03,7064.21,72.51
-7039.09,4.67,7055.91,21.49
-7040.19,11.30,7055.51,26.62
-7044.51,11.32,7056.57,23.39
-7014.94,11.57,7060.42,57.04
-7038.22,9.87,7063.58,35.23
-7043.23,11.12,7055.31,23.20
-7037.53,11.46,7056.58,30.52
-7038.54,11.28,7056.59,29.33
-7039.12,11.42,7055.35,27.65
-7047.56,11.18,7054.85,18.46
-7047.07,11.20,7056.12,20.25
-7041.60,11.38,7057.10,26.88
-7041.17,11.47,7056.09,26.40
-7036.78,11.47,7056.04,30.73
-7038.69,11.50,7058.02,30.83
-7040.72,11.40,7056.24,26.93
-7040.97,11.54,7056.56,27.12
-7038.12,11.46,7056.58,29.92
-7038.39,11.47,7055.75,28.83
-7038.30,11.58,7056.41,29.69
-7039.26,11.46,7055.79,27.98
-7034.28,11.59,7055.26,32.57
-7044.90,10.78,7056.13,22.02
-7012.59,11.59,7065.20,64.20
-7034.72,10.44,7055.13,30.85
-7047.57,10.96,7054.98,18.37
-7044.51,11.17,7056.04,22.71
-7039.87,11.48,7056.61,28.21
-7028.79,11.61,7055.66,38.48
-7040.57,10.82,7057.05,27.29
-7042.49,11.33,7055.19,24.03
-7022.12,20.70,7061.88,60.46
-7044.76,3.69,7055.56,14.50
-7037.13,11.51,7062.06,36.44
-7038.72,11.51,7065.28,38.07
-7039.40,11.47,7055.93,28.00
-7040.82,11.36,7056.28,26.82
-7041.15,11.43,7055.58,25.86
-7038.72,11.43,7056.13,28.83
-7033.75,11.53,7059.66,37.44
-7035.21,11.50,7056.49,32.79
-7037.93,11.45,7055.96,29.48
-7041.58,11.53,7056.76,26.71
-7039.05,11.44,7056.27,28.66
-7038.42,11.48,7057.13,30.19
-7035.24,11.52,7055.68,31.96
-7040.73,11.44,7056.26,26.96
-7039.45,11.46,7055.81,27.82
-7037.09,11.50,7056.96,31.37
-7037.14,11.42,7055.76,30.04
-7040.81,11.37,7058.29,28.85
-7038.81,11.53,7056.23,28.95
-7040.74,11.45,7056.25,26.96
-7040.42,11.47,7056.85,27.89
-7046.92,11.21,7054.92,19.21
-7046.90,11.14,7055.76,20.00
-7039.11,11.50,7056.33,28.72
-7040.69,11.38,7055.78,26.47
-7040.38,11.45,7058.70,29.77
-7042.85,11.42,7055.53,24.11
-7041.38,11.49,7056.20,26.31
-7038.20,11.56,7057.57,30.92
-7038.96,11.46,7055.83,28.33
-7018.25,20.88,7061.91,64.54
-7045.68,3.79,7054.96,13.08
-7038.38,11.44,7055.85,28.91
-7038.20,11.38,7056.09,29.27
-7033.20,11.50,7055.83,34.13
-7043.14,11.27,7060.27,28.40
-7038.70,11.48,7055.71,28.49
-7044.38,11.27,7055.29,22.18
-7046.69,11.29,7055.23,19.83
-7046.15,11.25,7056.42,21.52
-7040.50,11.45,7057.02,27.97
-7041.87,11.40,7056.26,25.79
-7038.80,11.44,7056.07,28.70
-7041.23,11.46,7056.21,26.45
-7043.25,11.42,7055.92,24.09
-7038.63,11.58,7056.84,29.79
-7039.03,11.43,7056.27,28.67
-7038.48,11.42,7056.39,29.33
-7037.16,11.52,7056.35,30.71
-7039.68,11.46,7055.96,27.74
-7039.08,11.56,7056.91,29.39
-7036.73,11.56,7056.63,31.46
-7037.94,11.46,7055.89,29.42
-7033.99,11.58,7057.87,35.46
-7036.95,11.37,7056.31,30.74
-7045.12,11.24,7055.65,21.77
-7037.67,11.45,7056.47,30.26
-7039.40,11.51,7056.03,28.14
-7039.47,11.53,7055.84,27.90
-7038.33,11.53,7059.90,33.09
-7038.66,11.53,7055.46,28.33
-7038.90,11.60,7056.57,29.27
-7012.65,20.50,7068.54,76.39
-7037.86,5.87,7055.51,23.52
-7034.68,11.49,7060.86,37.67
-7037.38,11.16,7059.34,33.12
-7047.62,11.06,7055.77,19.20
-7043.50,11.21,7055.94,23.65
-7036.05,11.46,7057.21,32.61
-7039.16,11.37,7056.11,28.31
-7043.38,11.41,7056.01,24.03
-7036.92,11.46,7055.88,30.42
-7036.95,11.48,7056.71,31.23
-7022.65,11.69,7068.16,57.20
-7040.42,10.55,7056.42,26.55
-7039.27,11.49,7057.98,30.20
-7037.04,11.53,7056.49,30.98
-7039.94,11.48,7057.17,28.70
-7039.45,11.27,7056.60,28.42
-7035.37,11.60,7056.95,33.18
-7040.62,11.40,7056.39,27.17
-7044.22,11.26,7056.17,23.20
-7040.73,11.41,7056.37,27.06
-7042.48,11.35,7055.05,23.93
-7046.26,11.06,7056.39,21.20
-7042.68,11.37,7056.48,25.17
-7041.67,11.38,7056.52,26.23
-7038.51,11.50,7056.33,29.32
-7040.25,11.39,7058.40,29.54
-7040.03,11.47,7060.03,31.47
-7035.94,11.46,7056.83,32.34
-7040.94,11.40,7056.52,26.98
-7039.03,11.44,7055.82,28.23
-7038.31,11.48,7056.68,29.84
-7010.90,20.94,7062.92,72.96
-7041.63,3.98,7056.88,19.23
-7036.36,11.47,7056.90,32.01
-7040.19,11.44,7056.33,27.58
-7039.20,11.40,7056.44,28.64
-7038.28,11.52,7055.91,29.15
-7039.33,11.40,7055.79,27.86
-7039.68,11.35,7063.24,34.91
-7041.12,11.40,7056.46,26.74
-7039.90,11.39,7056.46,27.95
-7041.01,11.44,7056.50,26.93
-7037.99,11.59,7058.49,32.09
-7038.82,11.49,7056.03,28.69
-7039.02,11.54,7056.72,29.24
-7038.97,11.51,7056.30,28.84
-7039.19,11.50,7056.75,29.07
-7041.34,11.44,7059.74,29.85
-7045.92,11.33,7056.09,21.51
-7043.47,11.30,7056.06,23.89
-7038.48,11.42,7055.75,28.69
-7039.56,11.47,7056.78,28.69
-7036.71,11.49,7057.24,32.02
-7038.99,11.56,7058.44,31.01
-7037.93,11.50,7056.46,30.04
