Time_offload,Time_process,Time_reply,Time_e2e
-7035.32,3.90,7058.54,27.11
-7043.84,3.87,7054.95,14.99
-7043.59,3.88,7055.14,15.42
-7044.11,3.85,7055.20,14.94
-7043.75,3.82,7055.99,16.06
-7031.72,3.87,7055.83,27.98
-7042.29,3.85,7054.99,16.55
-7044.21,3.86,7055.40,15.05
-7049.00,3.86,7055.56,10.42
-7041.51,3.85,7055.53,17.87
-7043.94,3.85,7055.43,15.34
-7045.46,3.85,7054.93,13.32
-7042.27,3.86,7055.70,17.29
-7041.01,3.85,7055.16,18.00
-7042.48,3.87,7055.45,16.84
-7044.20,3.87,7055.12,14.79
-7044.80,3.84,7055.79,14.84
-7043.48,3.83,7059.82,20.18
-7042.65,3.85,7055.36,16.55
-7010.49,3.83,7058.87,52.20
-7042.24,3.84,7055.29,16.89
-7041.59,3.83,7055.29,17.53
-7042.82,3.85,7055.16,16.19
-7043.43,3.82,7055.81,16.19
-7045.71,3.84,7055.61,13.74
-7043.51,3.83,7055.47,15.79
-7027.94,3.85,7055.97,31.88
-7040.82,3.82,7055.87,18.87
-7042.63,3.87,7055.94,17.18
-7043.18,3.83,7059.90,20.55
-7041.97,3.84,7055.45,17.31
-7034.74,3.85,7054.39,23.50
-7049.07,3.85,7054.39,9.17
-7047.46,3.85,7055.29,11.67
-7043.90,3.82,7055.07,14.99
-7041.85,3.86,7055.68,17.69
-7044.32,3.84,7055.69,15.21
-7042.61,3.83,7055.79,17.01
-7044.24,3.86,7054.92,14.54
-7042.40,3.84,7055.22,16.65
-7041.12,3.85,7055.43,18.17
-7047.68,3.82,7054.45,10.59
-7049.46,3.85,7054.87,9.26
-7049.31,3.84,7055.78,10.30
-7044.00,3.84,7056.48,16.33
-7043.53,3.84,7055.86,16.17
-7043.09,3.84,7055.74,16.48
-7043.81,3.83,7055.57,15.58
-7043.27,3.86,7056.82,17.40
-7047.12,3.86,7055.12,11.85
-7041.90,3.81,7055.61,17.52
-7040.41,3.81,7054.91,18.31
-7044.30,3.84,7055.63,15.17
-7038.73,3.86,7055.92,21.05
-7041.73,3.85,7055.35,17.46
-7037.56,3.86,7056.28,22.58
-7043.13,3.82,7055.59,16.27
-7045.37,3.87,7060.85,19.36
-7048.89,3.86,7054.46,9.43
-7049.12,3.82,7054.68,9.39
-7046.78,3.87,7055.63,12.72
-7043.54,3.83,7055.23,15.52
-7038.03,3.87,7055.70,21.54
-7043.75,3.84,7055.28,15.38
-7043.35,3.86,7055.35,15.86
-7041.99,3.83,7055.38,17.22
-7044.24,3.87,7055.41,15.05
-7044.15,3.87,7055.51,15.23
-7043.92,3.85,7055.07,15.01
-7044.67,3.85,7055.77,14.95
-7043.01,3.85,7055.77,16.61
-7045.32,3.85,7055.40,13.93
-7044.16,3.85,7059.09,18.78
-7044.20,3.82,7056.29,15.91
-7040.29,3.88,7055.78,19.37
-7043.56,3.87,7056.67,16.98
-7043.45,3.87,7055.32,15.73
-7041.82,3.87,7055.96,18.00
-7038.48,3.88,7056.42,21.81
-7046.04,3.85,7054.89,12.70
-7043.01,3.89,7055.81,16.69
-7047.52,3.84,7054.88,11.19
-7049.31,3.87,7054.50,9.06
-7030.41,3.88,7055.61,29.08
-7043.12,3.83,7055.14,15.86
-7042.42,3.85,7054.96,16.40
-7042.11,3.84,7055.74,17.47
-7042.90,3.86,7055.80,16.76
-7028.15,3.85,7055.71,31.40
-7042.78,3.85,7055.69,16.76
-7043.64,3.84,7055.03,15.23
-7043.57,3.84,7054.79,15.07
-7048.13,3.83,7054.43,10.13
-7048.60,3.86,7054.53,9.78
-7042.37,3.85,7055.31,16.80
-7044.90,3.84,7055.77,14.71
-7046.25,3.84,7054.84,12.43
-7043.27,3.85,7055.07,15.65
-7042.29,3.84,7056.75,18.30
-7041.68,3.84,7056.00,18.17
-7044.48,3.86,7055.57,14.95
-7043.44,3.85,7055.47,15.87
-7041.24,3.86,7057.66,20.28
-7043.67,3.88,7055.29,15.50
-7043.69,3.85,7056.21,16.36
-7042.72,3.86,7056.98,18.13
-7043.04,3.81,7055.10,15.87
-7048.72,3.86,7054.62,9.76
-7042.77,3.85,7056.10,17.18
-7044.03,3.87,7055.93,15.77
-7033.72,3.82,7055.36,25.45
-7042.73,3.84,7055.85,16.96
-6980.53,3.83,7056.64,79.94
-7019.82,1.23,7055.17,36.59
-7043.37,3.84,7055.92,16.39
-7042.11,3.82,7058.80,20.51
-7047.27,3.86,7054.66,11.25
-7044.05,3.84,7056.06,15.84
-7043.08,3.84,7056.30,17.06
-7043.15,3.83,7055.60,16.28
-7041.30,3.83,7055.23,17.76
-7044.62,3.83,7055.65,14.86
-7043.34,3.83,7056.30,16.80
-7041.13,3.80,7060.82,23.49
-7044.37,3.86,7055.22,14.71
-7041.99,3.83,7055.66,17.50
-7043.94,3.85,7055.58,15.48
-7037.62,3.85,7057.07,23.30
-7042.69,3.87,7055.75,16.94
-7020.27,3.83,7055.42,38.98
-7042.64,3.85,7058.90,20.12
-7046.62,3.86,7054.56,11.80
-7049.38,3.82,7055.17,9.62
-7046.18,3.83,7055.96,13.62
-7043.49,3.85,7056.28,16.64
-7043.33,3.84,7055.59,16.11
-7044.07,3.84,7055.97,15.73
-7042.57,3.83,7055.94,17.20
-7043.07,3.86,7055.61,16.40
-7042.78,3.83,7055.85,16.90
-7041.81,3.82,7059.19,21.20
-7047.50,3.80,7054.73,11.03
-7049.15,3.85,7055.22,9.91
-7049.34,3.84,7055.02,9.52
-7046.07,3.84,7055.92,13.69
-7045.29,3.83,7055.30,13.84
-7045.96,3.86,7055.33,13.23
-7042.23,3.84,7056.67,18.28
-7043.60,3.86,7055.43,15.70
-7042.59,3.85,7055.53,16.79
-7044.89,3.86,7055.69,14.65
-7043.48,3.80,7055.67,15.99
-7042.00,3.86,7055.53,17.40
-7034.90,3.85,7055.20,24.15
-7044.73,3.86,7055.49,14.62
-7044.56,3.84,7055.78,15.06
-7045.93,3.85,7054.72,12.63
-7045.67,3.83,7055.46,13.62
-7044.82,3.84,7055.27,14.30
-7042.97,3.82,7054.84,15.70
-7043.87,3.85,7055.91,15.89
-7043.08,3.85,7055.85,16.62
-7043.57,3.83,7056.05,16.31
-7044.67,3.82,7055.25,14.40
-7031.11,3.83,7055.47,28.19
-7042.66,3.79,7054.89,16.02
-7044.23,3.80,7055.29,14.86
-7042.41,3.85,7055.68,17.12
-7042.51,3.80,7057.33,18.63
-7042.68,3.84,7056.03,17.19
-7045.76,3.86,7055.67,13.77
-7041.62,3.78,7055.01,17.17
-7043.74,3.84,7055.96,16.06
-7044.80,3.83,7055.84,14.87
-7043.30,3.86,7055.77,16.33
-7044.21,3.83,7056.04,15.66
-7042.47,3.85,7056.62,18.01
-7044.17,3.85,7058.09,17.77
-7014.38,3.85,7063.03,52.50
-7041.70,3.84,7059.47,21.61
-7043.90,3.87,7055.15,15.12
-7047.96,3.85,7058.59,14.47
-7048.86,3.82,7055.65,10.61
-7043.32,3.81,7055.33,15.82
-7045.47,3.85,7055.87,14.25
-7043.07,3.81,7056.04,16.79
-7031.23,3.86,7056.12,28.74
-7042.21,3.84,7056.08,17.71
-7044.62,3.85,7055.89,15.12
-7041.07,3.85,7055.72,18.50
-7040.82,3.83,7056.38,19.39
-7034.42,3.84,7058.06,27.47
-7047.68,3.85,7054.42,10.59
-7048.14,3.83,7055.71,11.40
-7041.16,3.84,7058.94,21.62
-7042.77,3.85,7055.06,16.13
