Time_offload,Time_process,Time_reply,Time_e2e
-7013.57,3.93,7059.84,50.20
-7049.28,3.84,7060.38,14.94
-7008.56,3.83,7059.77,55.04
-7035.21,3.82,7060.72,29.33
-7046.66,3.87,7060.38,17.59
-7039.32,3.84,7060.52,25.03
-7047.73,3.85,7059.38,15.51
-7036.88,3.83,7059.71,26.66
-6999.57,3.88,7060.61,64.92
-7032.18,1.78,7060.07,29.67
-7024.14,3.85,7061.01,40.72
-7029.53,3.84,7060.44,34.74
-7000.61,3.84,7065.65,68.88
-7037.63,1.36,7063.57,27.31
-7046.23,3.84,7060.06,17.67
-7041.55,3.83,7059.99,22.27
-7045.79,3.84,7060.42,18.47
-7046.19,3.84,7060.25,17.90
-7034.95,3.86,7061.06,29.97
-7039.08,3.80,7061.08,25.81
-7043.08,3.86,7061.09,21.88
-7046.68,3.83,7060.23,17.39
-7048.51,3.85,7060.05,15.39
-7027.22,3.85,7061.57,38.19
-7047.52,3.83,7060.09,16.41
-7043.75,3.84,7062.96,23.04
-7030.92,3.84,7060.51,33.43
-7029.34,3.83,7061.24,35.73
-7018.46,3.84,7059.33,44.71
-7048.15,3.82,7059.30,14.97
-7036.21,3.85,7060.02,27.66
-7036.88,3.83,7061.10,28.04
-7024.64,3.84,7060.32,39.52
-7032.11,3.83,7059.43,31.15
-7045.01,3.84,7059.60,18.42
-7047.22,3.83,7060.07,16.68
-7049.15,3.85,7059.85,14.55
-7006.19,3.81,7060.64,58.25
-7043.25,1.40,7059.59,17.74
-7045.46,3.86,7059.97,18.37
-7028.71,3.85,7061.12,36.26
-7049.09,3.83,7060.31,15.05
-7031.17,3.83,7060.58,33.25
-7034.08,3.85,7060.82,30.60
-7038.10,3.82,7061.30,27.03
-7042.75,4.03,7061.22,22.49
-7026.28,3.83,7075.25,52.81
-7029.36,3.85,7060.71,35.20
-7046.02,3.85,7060.50,18.33
-7027.97,3.85,7060.90,36.78
-7028.28,3.85,7060.65,36.23
-7045.15,3.85,7060.82,19.52
-7036.69,3.81,7060.01,27.13
-7046.66,3.81,7060.85,18.00
-6982.26,3.84,7061.13,82.71
-7019.44,0.57,7059.91,41.05
-7047.79,3.82,7059.97,15.99
-7029.74,3.85,7059.24,33.34
-7051.58,3.83,7059.24,11.49
-7042.13,3.83,7059.88,21.58
-7047.55,3.82,7059.89,16.17
-7049.45,3.84,7060.57,14.96
-7048.02,3.84,7060.82,16.63
-7044.41,3.84,7060.87,20.30
-7043.01,3.83,7061.75,22.57
-7047.21,3.84,7059.95,16.57
-7046.50,3.83,7061.40,18.73
-7042.39,3.83,7060.32,21.76
-7049.59,3.83,7060.31,14.56
-7051.34,3.84,7061.32,13.82
-7047.52,3.83,7061.83,18.14
-7047.94,3.85,7060.93,16.84
-7047.30,3.84,7060.93,17.46
-7048.01,3.86,7059.96,15.81
-7047.94,3.79,7060.44,16.29
-7047.58,3.82,7060.98,17.22
-7048.06,3.80,7060.99,16.73
-7046.41,3.86,7060.82,18.27
-7048.71,3.82,7060.50,15.61
-7042.94,3.85,7060.72,21.63
-7053.97,3.83,7060.27,10.13
-7047.64,3.86,7060.86,17.08
-7043.44,3.83,7060.42,20.81
-7047.56,3.83,7060.12,16.39
-7047.95,3.83,7060.29,16.17
-7047.90,3.85,7060.44,16.40
-7047.25,3.82,7060.79,17.37
-7036.35,3.86,7060.75,28.26
-7047.60,3.83,7060.72,16.96
-7037.25,3.86,7060.76,27.36
-7046.66,3.82,7060.63,17.78
-7047.34,3.83,7065.14,21.63
-7051.36,3.84,7059.99,12.46
-7046.95,3.84,7060.73,17.62
-7036.93,3.82,7060.97,27.86
-7045.71,3.81,7064.78,22.88
-7047.91,3.82,7060.47,16.38
-7049.55,3.84,7060.77,15.06
-7049.53,3.84,7060.55,14.86
-7043.01,3.83,7060.58,21.41
-7048.26,3.83,7060.26,15.83
-7021.77,3.84,7062.84,44.91
-7050.17,3.85,7060.56,14.23
-7046.35,3.85,7060.46,17.96
-7049.48,3.84,7060.67,15.03
-7047.78,3.83,7060.59,16.64
-7047.83,3.83,7060.39,16.39
-7048.03,3.84,7059.87,15.68
-7052.75,3.84,7059.32,10.41
-7049.84,3.87,7059.74,13.77
-7051.43,3.85,7060.61,13.04
-7048.85,3.86,7060.15,15.17
-7036.46,3.84,7060.31,27.70
-7047.78,3.85,7060.36,16.43
-7045.54,3.83,7060.06,18.34
-7048.00,3.85,7064.93,20.78
-7045.18,3.86,7059.87,18.54
-7048.39,3.84,7060.04,15.49
-7049.26,3.85,7060.12,14.71
-7047.61,3.86,7060.37,16.62
-7047.12,3.82,7061.84,18.54
-7050.13,3.85,7059.41,13.14
-7054.46,3.84,7059.66,9.04
-7051.02,3.82,7059.77,12.56
-7054.00,3.84,7059.94,9.78
-7049.32,3.84,7060.37,14.89
-7049.64,3.85,7060.37,14.58
-7048.39,3.86,7060.65,16.12
-7048.05,3.83,7060.52,16.31
-7051.69,3.86,7059.40,11.57
-7054.34,3.86,7060.05,9.57
-7048.95,3.85,7060.63,15.53
-7049.05,3.84,7060.34,15.13
-7048.64,3.84,7062.68,17.89
-7040.41,3.83,7059.95,23.36
-7033.72,3.86,7060.74,30.88
-7048.57,3.84,7060.55,15.81
-7046.85,3.82,7061.19,18.17
-7048.28,3.83,7060.65,16.20
-7044.65,3.84,7060.51,19.70
-7049.35,3.79,7060.38,14.82
-7050.28,3.88,7059.79,13.40
-7047.40,3.83,7061.45,17.88
-7045.81,3.86,7060.81,18.85
-7047.87,3.85,7060.37,16.35
-7048.25,3.85,7060.58,16.18
-7048.26,3.84,7060.02,15.60
-7047.69,3.87,7060.28,16.46
-7048.67,3.82,7060.35,15.50
-7047.95,3.84,7062.79,18.69
-7048.67,3.85,7060.69,15.87
-7046.98,3.84,7059.47,16.33
-7045.05,3.84,7061.01,19.79
-7052.92,3.86,7060.25,11.18
-7051.32,3.82,7060.24,12.74
-7048.17,3.84,7060.81,16.48
-7049.02,3.84,7061.91,16.73
-7036.22,3.85,7061.22,28.85
-7049.60,3.82,7059.51,13.73
-7054.32,3.84,7059.44,8.96
-7053.98,3.82,7059.26,9.10
-7051.93,3.85,7059.90,11.83
-7048.28,3.83,7060.59,16.14
-7049.07,3.86,7061.75,16.54
