Time_offload,Time_process,Time_reply,Time_e2e
-7050.91,3.85,7061.79,14.72
-7045.19,3.82,7061.72,20.34
-7045.99,3.85,7062.72,20.59
-7049.62,3.85,7062.18,16.42
-7051.45,3.84,7061.79,14.18
-7043.85,3.83,7062.59,22.58
-7046.81,3.84,7062.43,19.46
-7047.15,3.86,7062.16,18.88
-7051.82,3.86,7072.59,24.63
-7055.47,3.83,7061.21,9.56
-7053.94,3.83,7061.75,11.64
-7049.91,3.81,7073.42,27.32
-7048.37,3.84,7062.63,18.11
-7049.57,3.84,7061.64,15.91
-7048.11,3.83,7061.44,17.16
-7056.11,3.85,7061.20,8.94
-7054.09,3.85,7061.96,11.72
-7052.23,3.85,7062.46,14.08
-7050.19,3.83,7062.34,15.97
-7051.99,3.85,7061.69,13.55
-7053.77,3.83,7062.39,12.46
-7050.19,3.86,7062.13,15.80
-7047.61,3.84,7062.72,18.95
-7045.55,3.85,7061.69,19.99
-7048.43,3.83,7062.41,17.81
-7048.86,3.84,7062.24,17.23
-7049.47,3.84,7063.13,17.51
-7049.61,3.85,7062.34,16.57
-7049.87,3.83,7062.11,16.08
-7051.26,3.83,7061.60,14.17
-7051.44,3.86,7062.22,14.63
-7050.81,3.84,7062.52,15.55
-7049.60,3.83,7063.01,17.24
-7054.04,3.85,7061.74,11.55
-7046.63,3.86,7062.44,19.67
-7047.44,3.85,7062.05,18.46
-7050.17,3.84,7062.52,16.19
-7049.41,3.84,7062.18,16.61
-7049.12,3.84,7062.25,16.97
-7044.68,3.85,7062.11,21.28
-7047.64,3.85,7062.50,18.71
-7051.97,3.83,7062.94,14.80
-7049.87,3.85,7062.07,16.06
-7052.01,3.84,7066.45,18.29
-7049.43,3.85,7062.31,16.73
-7049.85,3.83,7062.40,16.39
-7049.54,3.83,7062.20,16.49
-7051.22,3.84,7062.44,15.07
-7051.53,3.85,7062.95,15.26
-7051.65,3.85,7064.73,16.93
-7051.54,3.83,7065.29,17.58
-7050.09,3.86,7062.65,16.42
-7049.74,3.82,7062.28,16.37
-7049.96,3.83,7062.17,16.03
-7047.73,3.85,7062.78,18.89
-7049.20,3.85,7062.30,16.94
-7049.55,3.84,7061.67,15.96
-7053.49,3.85,7061.99,12.35
-7046.03,3.84,7061.48,19.28
-7054.15,3.82,7061.25,10.92
-7049.07,3.86,7062.03,16.82
-7049.55,3.86,7062.33,16.64
-7048.61,3.84,7062.51,17.74
-7049.73,3.85,7062.08,16.21
-7053.46,3.84,7062.51,12.89
-7056.05,3.84,7061.27,9.06
-7052.02,3.84,7061.61,13.44
-7051.11,3.83,7062.52,15.23
-7048.65,3.83,7061.69,16.87
-7049.55,3.83,7062.74,17.02
-7050.10,3.83,7062.78,16.50
-7049.68,3.82,7062.40,16.53
-7042.23,3.84,7061.85,23.45
-7050.68,3.84,7062.30,15.46
-7049.62,3.86,7062.75,16.98
-7029.73,3.89,7063.25,37.41
-7050.14,3.80,7062.21,15.87
-7048.91,3.84,7061.95,16.88
-7050.81,3.82,7061.63,14.64
-7050.55,3.82,7062.61,15.88
-7050.87,3.82,7062.50,15.45
-7044.86,3.83,7064.10,23.07
-7048.34,3.84,7062.64,18.15
-7034.31,3.84,7062.75,32.28
-7051.02,3.85,7062.63,15.46
-7050.32,3.86,7062.60,16.13
-7048.62,3.83,7065.61,20.82
-7048.14,3.84,7062.07,17.77
-7050.17,3.82,7062.08,15.74
-7050.44,3.81,7064.91,18.27
-7046.29,3.84,7062.44,20.00
-7049.88,3.85,7061.43,15.41
-7054.26,3.85,7061.42,11.00
-7053.99,3.84,7061.60,11.45
-7050.04,3.84,7062.73,16.52
-7048.99,3.82,7062.64,17.47
-7047.76,3.84,7061.66,17.74
-7051.55,3.83,7061.19,13.47
