Time_offload,Time_process,Time_reply,Time_e2e
-7067.01,3.88,7084.88,21.75
-7070.64,3.85,7083.07,16.28
-7070.20,3.85,7084.66,18.31
-7070.78,3.85,7083.65,16.72
-7070.65,3.82,7082.81,15.98
-7077.16,3.85,7084.99,11.68
-7063.94,3.85,7084.23,24.14
-7070.68,3.85,7083.24,16.41
-7073.05,3.79,7083.52,14.26
-7069.34,3.86,7083.57,18.09
-7073.48,3.84,7083.85,14.21
-7069.40,3.83,7082.87,17.29
-7076.63,3.85,7082.60,9.82
-7070.10,3.86,7082.16,15.93
-7077.24,3.84,7082.31,8.92
-7034.04,3.84,7083.55,53.34
-7068.53,0.75,7082.63,14.84
-7073.04,3.84,7083.32,14.11
-7071.56,3.81,7083.42,15.67
-7071.03,3.86,7083.29,16.12
-7068.51,3.83,7083.20,18.53
-7069.40,3.82,7083.60,18.03
-7066.87,3.82,7083.56,20.51
-7069.96,3.82,7089.22,23.08
-7072.01,3.84,7082.95,14.78
-7073.08,3.83,7085.35,16.09
-7072.03,3.86,7083.36,15.19
-7072.19,3.83,7083.48,15.12
-7069.72,3.85,7083.46,17.59
-7072.34,3.85,7083.40,14.91
-7070.38,3.86,7083.95,17.43
-7065.35,3.84,7083.24,21.72
-7068.03,3.87,7083.28,19.12
-7072.54,3.84,7082.90,14.20
-7070.69,3.82,7082.97,16.10
-7074.33,3.85,7082.39,11.91
-7075.59,3.85,7083.26,11.51
-7071.34,3.84,7083.45,15.95
-7072.90,3.84,7083.20,14.15
-7071.28,3.85,7082.99,15.56
-7070.57,3.84,7083.84,17.11
-7070.74,3.82,7083.63,16.71
-7071.00,3.86,7082.92,15.77
-7072.72,3.83,7084.11,15.22
-7070.69,3.84,7083.95,17.10
-7054.15,3.85,7084.17,33.86
-7071.17,3.83,7083.63,16.28
-7070.78,3.82,7084.07,17.11
-7070.98,3.84,7082.90,15.76
-7071.03,3.84,7083.38,16.18
-7069.59,3.82,7085.26,19.49
-7071.66,3.84,7082.56,14.75
-7073.69,3.82,7083.55,13.68
-7071.70,3.81,7082.49,14.60
-7069.23,3.83,7084.14,18.74
-7075.52,3.84,7082.79,11.11
-7070.88,3.85,7083.24,16.21
-7072.82,3.83,7082.37,13.38
-7074.71,3.84,7082.81,11.94
-7070.67,3.82,7082.69,15.83
-7066.97,3.86,7083.93,20.82
-7073.02,3.85,7087.74,18.58
-7076.97,3.84,7082.59,9.45
-7076.95,3.84,7082.36,9.25
-7077.19,3.85,7082.31,8.97
-7076.57,3.80,7083.23,10.47
-7072.96,3.85,7083.36,14.25
-7055.93,3.83,7084.63,32.54
-7070.72,3.85,7083.34,16.48
-7070.90,3.80,7082.93,15.83
-7071.81,3.85,7083.32,15.35
-7071.12,3.84,7083.50,16.22
-7069.54,3.87,7083.19,17.52
-7071.25,3.82,7082.98,15.54
-7074.09,3.86,7083.05,12.82
-7067.97,3.85,7083.86,19.74
-7066.52,3.85,7083.31,20.64
-7070.37,3.82,7084.00,17.44
-7070.64,3.83,7085.00,18.18
-7072.46,3.84,7085.66,17.05
-7070.65,3.80,7083.38,16.53
-7069.39,3.83,7082.92,17.36
-7073.52,3.86,7083.34,13.68
-7070.01,3.83,7083.17,16.99
-7071.55,3.83,7083.62,15.90
-7070.30,3.83,7083.39,16.92
-7071.62,3.84,7083.25,15.47
-7073.16,3.79,7082.75,13.38
-7065.67,3.83,7082.45,20.60
-7073.96,3.83,7083.35,13.22
-7070.68,3.84,7083.68,16.83
-7070.78,3.84,7083.47,16.53
-7071.78,3.85,7082.92,14.99
-7071.78,3.82,7083.59,15.62
-7072.37,3.81,7082.79,14.24
-7073.17,3.83,7082.77,13.43
-7071.85,3.81,7083.64,15.60
-7062.73,3.84,7083.44,24.55
-7071.33,3.84,7083.68,16.20
-7072.54,3.86,7083.35,14.67
-7064.72,3.85,7083.35,22.48
