Time_offload,Time_process,Time_reply,Time_e2e
-6827.38,3.91,6839.05,15.57
-6828.65,3.83,6836.61,11.79
-6827.72,3.29,6839.35,14.92
-6826.56,2.98,6839.00,15.41
-6827.23,2.36,6836.52,11.64
-6827.54,2.10,6836.55,11.12
-6829.79,1.81,6836.32,8.34
-6830.94,1.58,6838.11,8.75
-6829.10,2.08,6836.73,9.71
-6829.42,2.04,6836.63,9.25
-6829.20,2.04,6837.10,9.94
-6831.64,1.57,6838.88,8.82
-6831.23,1.90,6838.71,9.37
-6830.81,2.13,6837.72,9.05
-6831.56,2.04,6838.20,8.68
-6831.61,2.00,6838.60,9.00
-6831.28,2.02,6837.38,8.12
-6831.60,1.87,6838.83,9.10
-6831.60,2.06,6838.84,9.30
-6831.32,2.14,6838.32,9.15
-6831.65,2.12,6838.54,9.02
-6828.07,2.75,6836.47,11.16
-6830.87,2.03,6836.82,7.97
-6831.50,1.80,6838.93,9.23
-6831.14,1.97,6837.71,8.54
-6827.38,2.49,6836.82,11.93
-6830.55,1.90,6837.02,8.37
-6831.20,1.75,6837.94,8.50
-6831.44,1.78,6839.48,9.82
-6831.16,1.96,6837.99,8.79
-6831.95,1.91,6838.69,8.66
-6829.04,2.39,6836.94,10.29
-6831.36,1.81,6837.84,8.29
-6831.69,1.82,6838.51,8.65
-6831.87,1.98,6838.44,8.54
-6831.61,2.04,6838.94,9.37
-6831.10,2.21,6838.02,9.13
-6831.56,2.13,6838.07,8.64
-6831.98,2.01,6838.54,8.57
-6831.54,2.14,6838.27,8.87
-6831.47,2.04,6838.79,9.36
-6829.91,2.35,6836.57,9.01
-6831.46,1.95,6838.21,8.70
-6832.03,1.94,6838.57,8.49
-6831.56,2.08,6837.95,8.47
-6831.34,2.08,6838.33,9.07
-6831.25,2.08,6838.51,9.34
-6831.43,2.03,6838.43,9.03
-6831.84,2.06,6838.40,8.61
-6831.50,2.08,6838.04,8.63
-6829.70,2.35,6836.50,9.15
-6828.94,2.37,6836.25,9.67
-6831.47,1.86,6837.80,8.20
-6831.74,1.86,6838.32,8.44
-6831.70,1.98,6838.34,8.62
-6831.40,2.02,6837.94,8.55
-6831.82,2.01,6838.11,8.31
-6831.50,2.03,6837.67,8.21
-6831.94,1.97,6838.35,8.38
-6831.83,1.98,6838.14,8.29
-6831.87,2.04,6837.97,8.15
-6831.52,2.02,6837.70,8.20
-6831.90,2.07,6837.87,8.04
-6831.56,2.05,6837.62,8.11
-6831.94,1.97,6838.12,8.15
-6831.62,2.01,6837.88,8.28
-6831.56,1.98,6838.15,8.56
-6826.79,2.85,6838.46,14.51
-6830.04,2.06,6836.38,8.40
-6829.76,2.02,6837.11,9.37
-6831.68,1.58,6838.00,7.91
-6831.49,1.70,6837.97,8.17
-6831.13,1.86,6837.41,8.15
-6830.79,1.93,6837.11,8.24
-6830.04,2.11,6836.22,8.30
-6832.08,1.76,6838.16,7.84
-6832.24,1.79,6838.20,7.75
-6830.57,2.04,6836.77,8.24
-6832.21,1.79,6838.23,7.81
-6832.25,1.93,6838.21,7.90
-6831.61,2.01,6837.75,8.14
-6831.72,1.92,6838.31,8.51
-6831.64,1.96,6838.77,9.08
-6830.98,2.15,6837.21,8.38
-6803.25,3.83,6838.48,39.05
-6805.59,3.75,6836.57,34.73
-6807.38,2.96,6836.69,32.27
-6810.61,2.14,6838.37,29.90
-6824.43,1.62,6836.48,13.66
-6828.90,1.24,6836.49,8.83
-6832.01,1.09,6838.25,7.34
-6828.89,1.85,6836.23,9.19
-6831.17,1.61,6837.72,8.16
-6832.00,1.73,6838.30,8.03
-6832.03,1.87,6838.16,8.01
-6831.96,1.97,6838.16,8.16
-6831.58,2.02,6837.77,8.21
-6832.09,1.90,6838.23,8.04
-6831.13,2.03,6837.36,8.26
-6831.77,1.97,6838.18,8.39
-6831.79,2.00,6838.28,8.49
-6831.70,2.03,6838.05,8.38
-6831.39,2.00,6837.62,8.23
-6832.01,1.96,6838.14,8.10
-6831.67,1.98,6837.79,8.10
-6832.10,1.93,6838.32,8.16
-6831.52,2.08,6837.59,8.16
-6830.99,2.13,6836.90,8.04
-6831.70,1.89,6837.84,8.03
-6832.08,1.88,6838.26,8.06
-6831.65,1.93,6837.77,8.04
-6830.69,2.15,6836.76,8.22
