Time_offload,Time_process,Time_reply,Time_e2e
-6832.12,3.82,6851.16,22.86
-6837.11,4.86,6845.86,13.61
-6835.81,4.88,6846.04,15.11
-6836.45,4.86,6845.70,14.11
-6837.26,4.88,6846.59,14.20
-6836.03,4.85,6845.88,14.70
-6837.87,4.85,6845.71,12.69
-6835.35,4.88,6845.97,15.50
-6835.76,4.85,6846.20,15.28
-6835.34,4.83,6846.20,15.69
-6835.53,4.87,6845.75,15.10
-6811.54,5.13,6849.41,43.00
-6823.75,4.95,6845.89,27.09
-6835.79,3.23,6846.18,13.62
-6836.31,4.81,6846.02,14.52
-6835.78,4.86,6845.93,15.00
-6835.25,4.85,6846.59,16.20
-6834.13,4.86,6846.58,17.31
-6837.78,4.86,6848.06,15.14
-6836.85,4.86,6846.70,14.70
-6835.92,4.87,6847.93,16.89
-6833.36,4.86,6853.23,24.74
-6836.02,4.87,6846.20,15.04
-6837.48,4.87,6846.21,13.60
-6836.94,4.85,6846.83,14.73
-6836.10,4.87,6846.13,14.90
-6834.94,4.88,6847.37,17.31
-6834.89,4.85,6846.85,16.81
-6833.48,4.88,6854.28,25.68
-6834.09,4.85,6855.41,26.18
-6835.04,4.85,6846.58,16.39
-6834.79,4.87,6846.14,16.22
-6837.12,4.84,6846.00,13.71
-6835.72,4.84,6845.91,15.04
-6835.84,4.88,6845.92,14.96
-6837.13,4.86,6845.87,13.60
-6836.37,4.88,6846.02,14.53
-6834.05,4.86,6846.66,17.47
-6834.91,4.87,6845.93,15.89
-6811.36,4.96,6849.43,43.03
-6824.33,4.24,6846.15,26.05
-6834.87,3.86,6846.03,15.01
-6834.76,3.83,6846.15,15.22
-6832.66,3.83,6846.07,17.24
-6836.35,3.83,6846.14,13.62
-6823.80,3.83,6846.86,26.89
-6834.14,3.87,6846.13,15.86
-6838.48,3.83,6847.45,12.80
-6836.99,3.84,6846.15,13.01
-6833.61,3.82,6846.50,16.72
-6835.43,3.84,6846.39,14.80
-6835.21,3.86,6846.79,15.43
-6834.34,3.84,6846.69,16.18
-6834.26,3.81,6846.16,15.71
-6837.18,3.84,6845.77,12.44
-6836.36,3.83,6845.52,12.99
-6840.32,3.86,6845.57,9.11
-6838.00,3.84,6845.68,11.52
-6839.21,3.84,6846.58,11.21
-6836.84,3.83,6846.41,13.40
-6835.28,3.81,6845.83,14.36
-6836.87,3.86,6845.57,12.56
-6803.26,3.84,6845.74,46.32
-6814.12,3.85,6845.43,35.16
-6825.06,3.77,6845.45,24.16
-6834.82,2.62,6845.37,13.18
-6840.45,2.85,6845.56,7.97
-6840.29,3.77,6845.49,8.96
-6839.39,3.85,6845.66,10.12
-6808.61,3.82,6848.05,43.25
-6821.81,3.72,6847.09,28.99
-6837.04,3.58,6845.60,12.14
-6835.33,3.83,6845.97,14.47
-6831.31,3.84,6845.84,18.37
-6838.24,3.81,6846.35,11.92
-6825.00,3.84,6845.51,24.34
-6834.94,3.84,6845.85,14.75
-6836.96,3.84,6845.84,12.71
-6836.16,3.81,6846.10,13.75
-6832.38,3.83,6845.89,17.35
-6815.33,3.83,6854.25,42.76
-6827.77,3.69,6849.86,25.78
-6815.02,3.83,6847.04,35.85
-6828.92,3.81,6849.35,24.25
-6836.13,3.85,6845.62,13.33
-6839.75,3.83,6845.54,9.63
-6839.76,3.79,6846.74,10.77
-6840.59,3.84,6845.48,8.73
-6840.27,3.84,6845.66,9.23
-6840.54,3.85,6845.54,8.85
-6837.86,3.85,6845.53,11.53
-6837.62,3.83,6845.65,11.86
-6824.10,3.84,6845.70,25.44
-6823.13,3.83,6845.92,26.61
-6829.85,3.84,6852.62,26.60
-6834.58,3.85,6845.89,15.17
-6834.47,3.84,6845.82,15.18
-6833.50,3.84,6846.09,16.43
-6836.86,3.86,6845.63,12.63
-6837.69,3.84,6845.52,11.67
-6838.13,3.83,6845.71,11.41
-6837.36,3.83,6845.95,12.42
-6834.19,3.83,6845.96,15.60
-6834.71,3.84,6846.36,15.48
-6836.60,3.84,6845.92,13.15
-6834.97,3.85,6845.84,14.72
-6835.11,3.83,6846.42,15.14
-6836.49,3.85,6845.97,13.33
-6836.65,3.83,6846.16,13.34
-6835.52,3.82,6845.77,14.07
-6835.69,3.84,6845.83,13.98
-6835.21,3.84,6846.24,14.87
-6832.12,3.85,6847.09,18.82
-6837.29,3.84,6845.75,12.30
-6836.56,3.82,6845.78,13.04
-6838.30,3.86,6845.84,11.40
-6836.88,3.84,6846.81,13.77
-6838.13,3.83,6846.36,12.06
-6836.86,3.84,6846.85,13.84
-6836.11,3.83,6846.61,14.33
-6836.01,3.84,6846.56,14.39
-6810.73,3.84,6853.67,46.78
-6824.51,3.75,6849.09,28.32
-6833.92,3.84,6846.48,16.40
-6834.14,3.82,6846.12,15.81
-6833.78,3.83,6847.71,17.76
-6835.50,3.82,6845.95,14.28
-6834.09,3.85,6846.20,15.95
-6834.08,3.83,6846.02,15.78
-6833.67,3.85,6846.33,16.51
-6833.70,3.84,6845.85,15.98
-6836.89,3.83,6847.31,14.25
-6823.98,3.84,6846.82,26.68
-6836.25,3.82,6846.05,13.62
-6837.09,3.81,6845.81,12.53
-6838.67,3.83,6845.87,11.02
-6838.33,3.83,6847.05,12.55
-6837.68,3.83,6846.72,12.87
-6837.68,3.83,6845.82,11.98
-6837.76,3.84,6846.05,12.13
-6834.42,3.84,6846.52,15.94
-6835.07,3.87,6847.07,15.87
-6834.31,3.83,6846.22,15.73
-6836.05,3.82,6847.05,14.82
-6826.44,3.85,6847.49,24.90
-6839.37,3.82,6845.53,9.97
-6840.57,3.85,6845.53,8.80
-6840.52,3.83,6845.78,9.08
-6840.14,3.83,6845.46,9.15
-6840.33,3.81,6845.48,8.96
-6840.15,3.84,6845.89,9.58
-6819.52,3.84,6846.24,30.56
-6831.00,3.73,6848.54,21.27
-6837.86,3.84,6846.33,12.31
-6838.51,3.84,6846.25,11.57
-6838.62,3.83,6845.81,11.02
-6838.59,3.83,6845.83,11.07
-6838.92,3.82,6846.05,10.95
-6838.09,3.83,6845.91,11.65
-6836.70,3.83,6846.15,13.28
-6837.14,3.82,6847.49,14.18
-6835.12,3.83,6845.96,14.67
-6838.93,3.83,6846.28,11.18
-6837.90,3.85,6847.21,13.15
-6837.62,3.83,6846.60,12.80
-6837.41,3.84,6845.96,12.39
-6839.44,3.84,6847.59,11.99
-6835.93,3.80,6846.34,14.21
-6834.45,3.84,6846.15,15.54
-6817.62,3.84,6846.33,32.54
-6833.02,3.74,6846.68,17.39
-6835.54,3.85,6846.81,15.12
-6836.00,3.82,6846.94,14.76
