Time_offload,Time_process,Time_reply,Time_e2e
-6830.05,3.87,6846.09,19.92
-6832.42,3.84,6845.47,16.89
-6832.72,3.84,6846.61,17.73
-6820.89,3.77,6849.33,32.21
-6835.01,3.85,6845.60,14.45
-6833.87,3.86,6846.34,16.32
-6833.19,3.85,6845.57,16.24
-6833.26,3.85,6845.77,16.36
-6834.28,3.84,6845.61,15.17
-6833.69,3.85,6846.18,16.35
-6834.68,3.84,6845.68,14.84
-6833.00,3.81,6846.02,16.83
-6835.85,3.85,6846.42,14.43
-6835.32,3.85,6845.95,14.48
-6835.69,3.87,6845.02,13.20
-6839.79,3.84,6845.16,9.21
-6839.86,3.86,6845.09,9.09
-6839.00,3.86,6846.45,11.31
-6836.36,3.83,6845.29,12.76
-6835.51,3.84,6845.31,13.63
-6836.83,3.86,6845.15,12.18
-6836.53,3.85,6845.34,12.66
-6833.97,3.84,6846.62,16.48
-6831.78,3.82,6845.47,17.52
-6831.91,3.83,6846.59,18.50
-6835.39,3.86,6846.25,14.71
-6834.20,4.76,6846.03,16.59
-6811.33,3.83,6846.08,38.57
-6832.55,3.73,6845.50,16.68
-6835.51,3.81,6845.57,13.86
-6834.39,3.83,6845.49,14.93
-6831.76,3.88,6845.52,17.64
-6835.31,3.84,6845.61,14.14
-6837.24,3.85,6845.34,11.94
-6834.93,3.78,6846.92,15.78
-6833.55,3.82,6846.32,16.59
-6815.65,3.84,6845.68,33.88
-6833.16,3.81,6845.64,16.28
-6832.56,3.84,6846.49,17.76
-6831.32,3.85,6845.84,18.37
-6813.40,3.86,6845.79,36.24
-6831.43,3.85,6845.81,18.23
-6835.87,3.84,6845.30,13.28
-6839.05,3.87,6845.15,9.96
-6836.94,3.82,6845.41,12.29
-6833.91,3.84,6845.53,15.46
-6836.87,3.85,6847.03,14.00
-6837.82,3.86,6845.98,12.02
-6834.80,3.86,6846.27,15.33
-6820.94,3.86,6849.33,32.26
-6833.77,3.84,6846.28,16.34
-6836.89,3.83,6846.14,13.08
-6833.82,3.80,6847.48,17.46
-6833.89,3.84,6845.46,15.41
-6835.52,3.87,6848.75,17.09
-6837.75,3.83,6845.87,11.95
-6834.94,3.85,6846.24,15.14
-6834.48,3.83,6846.43,15.78
-6795.24,3.84,6848.75,57.34
-6816.64,3.73,6846.39,33.48
-6835.77,3.75,6845.55,13.52
-6834.44,3.84,6845.53,14.94
-6832.31,3.84,6846.09,17.62
-6834.18,3.87,6847.78,17.47
-6835.43,3.85,6846.30,14.72
-6834.63,3.86,6846.71,15.93
-6837.08,3.82,6845.60,12.35
-6840.07,4.79,6845.08,9.80
-6838.71,3.84,6845.02,10.15
-6837.93,3.86,6845.26,11.19
-6821.78,3.88,6849.58,31.68
-6833.77,3.85,6846.43,16.51
-6834.31,3.86,6846.44,15.98
-6831.00,3.84,6845.99,18.84
-6834.66,3.87,6846.77,15.98
-6837.61,3.86,6845.44,11.69
-6836.03,3.83,6846.21,14.01
-6834.16,3.83,6845.72,15.39
-6835.79,3.87,6846.12,14.20
-6831.27,3.84,6846.48,19.05
-6834.79,3.84,6846.20,15.25
-6833.92,3.87,6845.52,15.47
-6833.56,3.86,6846.47,16.77
-6832.82,3.86,6847.07,18.11
-6833.78,3.84,6845.89,15.95
-6835.73,3.83,6845.46,13.57
-6834.23,3.82,6845.86,15.45
-6825.26,3.83,6846.02,24.59
-6834.61,3.85,6845.88,15.12
-6833.64,3.85,6845.44,15.64
-6833.89,3.82,6845.00,14.94
-6833.95,3.84,6846.39,16.28
-6834.08,3.83,6846.28,16.03
-6835.64,3.84,6846.04,14.25
-6807.62,3.85,6846.48,42.72
-6827.25,3.73,6846.34,22.82
-6834.05,3.86,6847.48,17.28
-6834.42,3.84,6847.64,17.06
-6835.01,3.83,6846.36,15.18
-6834.21,3.83,6847.81,17.43
-6832.83,3.87,6848.19,19.23
-6836.13,3.85,6846.15,13.88
-6834.91,3.86,6846.11,15.06
-6834.87,3.86,6846.09,15.08
-6833.32,3.84,6845.80,16.32
-6834.40,3.85,6846.00,15.45
-6834.42,3.85,6846.14,15.57
-6834.69,3.85,6845.66,14.82
-6835.63,3.81,6846.13,14.31
-6834.57,3.87,6845.69,14.99
-6834.31,3.85,6845.47,15.02
-6833.76,3.87,6845.74,15.85
-6833.65,3.83,6845.82,16.00
-6836.03,3.81,6846.46,14.24
