Created,Deserialized,Processing,Processed,Finished
1714995035.1899803,1714995028.3584077,1714995028.3622622,1714995028.3622725,1714995035.210173
1714995035.2057233,1714995028.3686152,1714995028.372447,1714995028.372458,1714995035.2216573
1714995035.2175536,1714995028.377931,1714995028.381762,1714995028.381772,1714995035.232273
1714995035.2286286,1714995028.3922343,1714995028.3960552,1714995028.3960638,1714995035.2437248
1714995035.2397614,1714995028.4001117,1714995028.4035332,1714995028.4035444,1714995035.2550051
1714995035.2509742,1714995028.4110367,1714995028.4146595,1714995028.4146678,1714995035.2613585
1714995035.262614,1714995028.4234564,1714995028.4271815,1714995028.4271903,1714995035.2788439
1714995035.2740908,1714995028.4348948,1714995028.438696,1714995028.4387045,1714995035.2854803
1714995035.285611,1714995028.4460704,1714995028.4498136,1714995028.4498224,1714995035.2965174
1714995035.296615,1714995028.4573476,1714995028.4610755,1714995028.461083,1714995035.3126767
1714995035.3076046,1714995028.4704187,1714995028.4741778,1714995028.474186,1714995035.3261485
1714995035.3201563,1714995028.4824345,1714995028.4862096,1714995028.4862185,1714995035.339462
1714995035.333345,1714995028.495878,1714995028.4997017,1714995028.4997106,1714995035.3525774
1714995035.3467102,1714995028.5657246,1714995028.5695453,1714995028.5695553,1714995035.4162862
1714995035.3598938,1714995028.570788,1714995028.5714338,1714995028.571435,1714995035.4179196
1714995035.3699088,1714995028.5714777,1714995028.572038,1714995028.572039,1714995035.4180458
1714995035.3794124,1714995028.572166,1714995028.5727265,1714995028.572728,1714995035.4188945
1714995035.388697,1714995028.5728383,1714995028.573403,1714995028.5734038,1714995035.4220524
1714995035.4195838,1714995028.5798934,1714995028.5826523,1714995028.5826585,1714995035.4323075
1714995035.4292917,1714995028.5908,1714995028.5940444,1714995028.5940516,1714995035.4447246
1714995035.439632,1714995028.6009548,1714995028.604329,1714995028.6043367,1714995035.4511263
1714995035.4523244,1714995028.6272445,1714995028.6310973,1714995028.6311073,1714995035.4790072
1714995035.4640324,1714995028.6319811,1714995028.6356933,1714995028.6357002,1714995035.48252
1714995035.4762306,1714995028.6364317,1714995028.639168,1714995028.6391733,1714995035.490109
1714995035.4867585,1714995028.6717594,1714995028.6755826,1714995028.6755924,1714995035.5242407
1714995035.497369,1714995028.6789498,1714995028.6827836,1714995028.682794,1714995035.5318124
1714995035.5081587,1714995028.683345,1714995028.686545,1714995028.6865506,1714995035.53314
1714995035.5179908,1714995028.6871593,1714995028.6893563,1714995028.6893604,1714995035.5359712
1714995035.5285065,1714995028.6897585,1714995028.6913483,1714995028.691351,1714995035.537609
1714995035.5388434,1714995028.6989179,1714995028.7013173,1714995028.701323,1714995035.5480108
1714995035.5493004,1714995028.708983,1714995028.711951,1714995028.7119577,1714995035.5586045
1714995035.5598629,1714995028.7265472,1714995028.7303917,1714995028.730401,1714995035.5773335
1714995035.5707424,1714995028.7312737,1714995028.7344112,1714995028.7344174,1714995035.5810037
1714995035.5823715,1714995028.742613,1714995028.7462132,1714995028.7462215,1714995035.596974
1714995035.5932755,1714995028.7531424,1714995028.756793,1714995028.7568014,1714995035.6074314
1714995035.603738,1714995028.7642505,1714995028.7678442,1714995028.767852,1714995035.6183043
1714995035.6147556,1714995028.7746387,1714995028.778165,1714995028.7781727,1714995035.6283913
