Created,Deserialized,Processing,Processed,Finished
1714995064.3306744,1714995057.4980845,1714995057.5019336,1714995057.5019438,1714995064.3504162
1714995064.3455777,1714995057.5284789,1714995057.5323215,1714995057.5323315,1714995064.3795633
1714995064.3577654,1714995057.5332603,1714995057.53699,1714995057.5369976,1714995064.3841012
1714995064.3692913,1714995057.5377645,1714995057.5412433,1714995057.5412498,1714995064.3882952
1714995064.380769,1714995057.5418766,1714995057.5442498,1714995057.544254,1714995064.3953273
1714995064.3914924,1714995057.5512726,1714995057.5539834,1714995057.5539896,1714995064.4015205
1714995064.4029853,1714995057.5637445,1714995057.5673666,1714995057.567375,1714995064.4196565
1714995064.41474,1714995057.5761797,1714995057.5799417,1714995057.5799503,1714995064.43275
1714995064.4269862,1714995057.588941,1714995057.592767,1714995057.5927773,1714995064.4452589
1714995064.4401739,1714995057.6012437,1714995057.6050863,1714995057.605096,1714995064.4584658
1714995064.4524283,1714995057.6147041,1714995057.6185355,1714995057.6185458,1714995064.4729848
1714995064.4658597,1714995057.62978,1714995057.6336303,1714995057.633639,1714995064.4878802
1714995064.4803913,1714995057.6440399,1714995057.6478775,1714995057.6478875,1714995064.501083
1714995064.495232,1714995057.6571708,1714995057.6609797,1714995057.6609895,1714995064.514163
1714995064.5082972,1714995057.671178,1714995057.6750317,1714995057.6750414,1714995064.5260348
1714995064.5214047,1714995057.6820486,1714995057.6858644,1714995057.6858742,1714995064.5377991
1714995064.5333223,1714995057.69375,1714995057.6975043,1714995057.697513,1714995064.5503616
1714995064.5448105,1714995057.7064998,1714995057.7103186,1714995057.7103271,1714995064.5637748
1714995064.557701,1714995057.7216833,1714995057.7255306,1714995057.7255404,1714995064.5775654
1714995064.571111,1714995057.7332408,1714995057.7370627,1714995057.7370727,1714995064.590277
1714995064.5845482,1714995057.7461798,1714995057.7499928,1714995057.7500014,1714995064.599119
1714995064.5970974,1714995057.756737,1714995057.760484,1714995057.7604918,1714995064.6084342
1714995064.6063635,1714995057.7642007,1714995057.767228,1714995057.7672346,1714995064.614269
1714995064.615463,1714995057.7734864,1714995057.7764828,1714995057.7764893,1714995064.6236298
1714995064.6249394,1714995057.7829232,1714995057.785967,1714995057.7859733,1714995064.6332102
1714995064.634575,1714995057.7925577,1714995057.7957225,1714995057.7957299,1714995064.642879
1714995064.6442122,1714995057.8019576,1714995057.8051388,1714995057.8051465,1714995064.6550088
1714995064.6530066,1714995057.8315036,1714995057.8353384,1714995057.8353472,1714995064.683415
1714995064.6624606,1714995057.836333,1714995057.8400605,1714995057.8400683,1714995064.6872675
1714995064.6717808,1714995057.8409843,1714995057.8439732,1714995057.8439786,1714995064.6934319
1714995064.681101,1714995057.8444784,1714995057.8465552,1714995057.8465588,1714995064.693615
1714995064.6904187,1714995057.8495753,1714995057.8514144,1714995057.8514187,1714995064.6983197
1714995064.7006469,1714995057.8606892,1714995057.8634527,1714995057.8634586,1714995064.7106616
1714995064.711884,1714995057.8722544,1714995057.875755,1714995057.8757627,1714995064.7229903
1714995064.7231064,1714995057.8848073,1714995057.8885734,1714995057.8885822,1714995064.7401
1714995064.7359493,1714995057.8960135,1714995057.8997152,1714995057.8997242,1714995064.7517133
1714995064.7471745,1714995057.9078183,1714995057.9115348,1714995057.9115448,1714995064.76513
1714995064.7590957,1714995057.9211159,1714995057.9249573,1714995057.924967,1714995064.7777476
1714995064.7725108,1714995057.9342246,1714995057.9380198,1714995057.9380276,1714995064.7883756
1714995064.7850077,1714995057.9440145,1714995057.9475703,1714995057.947578,1714995064.7948716
1714995064.7949312,1714995057.9545848,1714995057.9580834,1714995057.95809,1714995064.8093781
1714995064.805707,1714995057.9657574,1714995057.969362,1714995057.9693692,1714995064.8211563
1714995064.8166442,1714995057.9783313,1714995057.9820726,1714995057.9820807,1714995064.8357508
1714995064.8286328,1714995057.9920394,1714995057.9958732,1714995057.9958825,1714995064.850338
1714995064.8432472,1714995058.0056925,1714995058.0095143,1714995058.0095234,1714995064.8599925
1714995064.8575714,1714995058.0158472,1714995058.0196135,1714995058.0196226,1714995064.8698726
1714995064.866897,1714995058.0259633,1714995058.029518,1714995058.0295253,1714995064.8816538
1714995064.8769636,1714995058.0375865,1714995058.0412276,1714995058.0412357,1714995064.8929517
1714995064.8886166,1714995058.0511382,1714995058.0549273,1714995058.0549355,1714995064.9058094
1714995064.9003415,1714995058.0618727,1714995058.0655062,1714995058.0655146,1714995064.9196162
1714995064.9133744,1714995058.0756361,1714995058.0794563,1714995058.0794654,1714995064.9332674
1714995064.927047,1714995058.0894473,1714995058.09328,1714995058.09329,1714995064.9463685
1714995064.9406688,1714995058.1026454,1714995058.10646,1714995058.1064699,1714995064.9570677
1714995064.9537234,1714995058.1129906,1714995058.1167176,1714995058.1167262,1714995064.9685638
1714995064.9642627,1714995058.1392078,1714995058.1430452,1714995058.1430542,1714995064.99341
1714995064.9759429,1714995058.1438854,1714995058.1476028,1714995058.1476102,1714995064.9956453
1714995064.9882324,1714995058.149514,1714995058.152434,1714995058.15244,1714995065.004417
1714995065.000058,1714995058.1604512,1714995058.1638036,1714995058.1638114,1714995065.0111353
1714995065.0112214,1714995058.172875,1714995058.1766164,1714995058.1766255,1714995065.030898
1714995065.024167,1714995058.186962,1714995058.1907957,1714995058.190805,1714995065.0435402
1714995065.0382955,1714995058.199536,1714995058.2033682,1714995058.2033777,1714995065.0555995
1714995065.0508068,1714995058.211621,1714995058.2154496,1714995058.2154589,1714995065.0672724
1714995065.0629883,1714995058.2282145,1714995058.23205,1714995058.23206,1714995065.0816703
1714995065.0749645,1714995058.2375236,1714995058.2413101,1714995058.2413194,1714995065.094613
1714995065.0895247,1714995058.250703,1714995058.2545106,1714995058.2545202,1714995065.1087995
1714995065.1021256,1714995058.264904,1714995058.2687309,1714995058.2687411,1714995065.1204014
1714995065.1161892,1714995058.276279,1714995058.2801137,1714995058.2801232,1714995065.1332903
1714995065.127823,1714995058.2892978,1714995058.2931464,1714995058.2931564,1714995065.1477356
1714995065.1411808,1714995058.3039825,1714995058.3078258,1714995058.307836,1714995065.161741
1714995065.1554844,1714995058.3174732,1714995058.3213015,1714995058.3213105,1714995065.1760552
1714995065.1691666,1714995058.3321407,1714995058.3359752,1714995058.3359852,1714995065.1900716
1714995065.1834354,1714995058.3471303,1714995058.350968,1714995058.3509781,1714995065.203082
1714995065.1976054,1714995058.359074,1714995058.3628917,1714995058.3629017,1714995065.212287
1714995065.2102933,1714995058.3687305,1714995058.3723354,1714995058.372343,1714995065.2216804
1714995065.2195246,1714995058.3792582,1714995058.382828,1714995058.3828356,1714995065.2312582
1714995065.22895,1714995058.3877687,1714995058.3908734,1714995058.3908808,1714995065.2409012
1714995065.2380204,1714995058.3973107,1714995058.400308,1714995058.4003146,1714995065.247546
1714995065.24764,1714995058.4074473,1714995058.4106393,1714995058.4106455,1714995065.2581644
1714995065.2582443,1714995058.418924,1714995058.422527,1714995058.422535,1714995065.276481
1714995065.2700593,1714995058.4495478,1714995058.453384,1714995058.453394,1714995065.3035345
1714995065.2839124,1714995058.454242,1714995058.457967,1714995058.4579751,1714995065.3060184
1714995065.297865,1714995058.461166,1714995058.464522,1714995058.4645286,1714995065.3164244
1714995065.3104534,1714995058.473584,1714995058.4773293,1714995058.477338,1714995065.330053
1714995065.3239086,1714995058.4863224,1714995058.4901378,1714995058.4901469,1714995065.3437996
1714995065.3379843,1714995058.4999757,1714995058.5038188,1714995058.5038283,1714995065.3574643
1714995065.351205,1714995058.5135036,1714995058.517343,1714995058.5173523,1714995065.3702326
1714995065.364729,1714995058.557946,1714995058.56177,1714995058.5617795,1714995065.411807
1714995065.3777463,1714995058.5629792,1714995058.5666897,1714995058.5666983,1714995065.4146826
1714995065.3920865,1714995058.5671358,1714995058.5707726,1714995058.5707781,1714995065.4182909
1714995065.4057248,1714995058.5714037,1714995058.57389,1714995058.5738938,1714995065.422086
1714995065.4183862,1714995058.57979,1714995058.582419,1714995058.5824249,1714995065.4333868
1714995065.4292703,1714995058.5890489,1714995058.591916,1714995058.5919237,1714995065.4394512
1714995065.4408338,1714995058.602392,1714995058.606049,1714995058.6060567,1714995065.4585173
1714995065.4534068,1714995058.6143556,1714995058.6180518,1714995058.6180606,1714995065.4716995
1714995065.4656448,1714995058.6355119,1714995058.63934,1714995058.6393495,1714995065.486769
1714995065.4791565,1714995058.6427162,1714995058.646482,1714995058.6464906,1714995065.4961705
1714995065.4921517,1714995058.6538472,1714995058.657621,1714995058.6576302,1714995065.5078692
1714995065.5034232,1714995058.6657908,1714995058.6695445,1714995058.6695542,1714995065.5224988
1714995065.5153446,1714995058.6791284,1714995058.6829524,1714995058.682962,1714995065.5355375
1714995065.5299275,1714995058.6914794,1714995058.6953225,1714995058.6953323,1714995065.5498054
1714995065.5429838,1714995058.7061474,1714995058.7099545,1714995058.7099643,1714995065.5634
1714995065.5573318,1714995058.719211,1714995058.7230296,1714995058.72304,1714995065.5753639
1714995065.5706613,1714995058.731518,1714995058.7353451,1714995058.7353544,1714995065.5867648
1714995065.5825768,1714995058.7427282,1714995058.7465212,1714995058.7465298,1714995065.5976965
1714995065.5938308,1714995058.7535665,1714995058.7572398,1714995058.7572474,1714995065.6043553
1714995065.6044288,1714995058.7638535,1714995058.767408,1714995058.7674155,1714995065.6146662
1714995065.6147416,1714995058.7737546,1714995058.777173,1714995058.7771807,1714995065.6243582
1714995065.6255658,1714995058.784702,1714995058.7883239,1714995058.7883317,1714995065.6401272
1714995065.6356127,1714995058.7974172,1714995058.8012083,1714995058.8012168,1714995065.653239
1714995065.6474452,1714995058.8129146,1714995058.8167365,1714995058.8167467,1714995065.6654265
1714995065.6605763,1714995058.8211923,1714995058.8245351,1714995058.8245428,1714995065.671914
1714995065.6720312,1714995058.8324978,1714995058.8360302,1714995058.8360384,1714995065.689245
1714995065.6838686,1714995058.845513,1714995058.8492908,1714995058.8492994,1714995065.7037108
1714995065.6967971,1714995058.8598034,1714995058.8636231,1714995058.8636324,1714995065.7181804
1714995065.711401,1714995058.876606,1714995058.8804317,1714995058.880441,1714995065.7326736
1714995065.725537,1714995058.8883703,1714995058.8922083,1714995058.8922174,1714995065.7462268
1714995065.7397268,1714995058.9023876,1714995058.90619,1714995058.9061995,1714995065.7568665
1714995065.7535882,1714995058.9155362,1714995058.919411,1714995058.9194205,1714995065.7682242
1714995065.7641149,1714995058.9244452,1714995058.9279385,1714995058.9279451,1714995065.781686
1714995065.77575,1714995058.961307,1714995058.965141,1714995058.9651504,1714995065.8124971
1714995065.7890074,1714995058.9663877,1714995058.970091,1714995058.9701169,1714995065.821546
1714995065.802142,1714995058.9704494,1714995058.9738483,1714995058.9738533,1714995065.8215637
1714995065.8158195,1714995058.978661,1714995058.9817789,1714995058.981785,1714995065.8340435
1714995065.8289108,1714995058.9897738,1714995058.993342,1714995058.9933493,1714995065.8459344
1714995065.8407724,1714995059.0023224,1714995059.0060418,1714995059.006051,1714995065.8558755
1714995065.8531559,1714995059.0117583,1714995059.0151987,1714995059.015206,1714995065.862462
1714995065.862516,1714995059.0205042,1714995059.023612,1714995059.023618,1714995065.8740118
1714995065.8717706,1714995059.0295808,1714995059.03275,1714995059.0327568,1714995065.8799827
1714995065.88114,1714995059.0395133,1714995059.0427117,1714995059.0427196,1714995065.8921258
1714995065.890039,1714995059.0476606,1714995059.0506508,1714995059.0506573,1714995065.897879
1714995065.8991086,1714995059.0579488,1714995059.0612109,1714995059.0612187,1714995065.9084814
1714995065.9098287,1714995059.0697155,1714995059.073385,1714995059.0733924,1714995065.925471
1714995065.9207833,1714995059.081708,1714995059.0854075,1714995059.0854156,1714995065.9392407
1714995065.9331722,1714995059.0955193,1714995059.0993698,1714995059.0993803,1714995065.9514506
1714995065.9465444,1714995059.1075592,1714995059.1113935,1714995059.1114035,1714995065.9648511
1714995065.9587893,1714995059.1220715,1714995059.1258829,1714995059.1258929,1714995065.9792578
1714995065.9722202,1714995059.1354437,1714995059.139286,1714995059.1392953,1714995065.9919891
1714995065.9865656,1714995059.1479268,1714995059.1517518,1714995059.1517618,1714995066.0040576
1714995065.9991133,1714995059.1600478,1714995059.1638734,1714995059.1638834,1714995066.0161157
1714995066.0111883,1714995059.1726177,1714995059.1764207,1714995059.17643,1714995066.0277653
1714995066.023405,1714995059.183493,1714995059.1872199,1714995059.187229,1714995066.038253
1714995066.0345151,1714995059.1946917,1714995059.198365,1714995059.198373,1714995066.0492294
1714995066.0454757,1714995059.2069097,1714995059.2106512,1714995059.2106597,1714995066.0601473
1714995066.056462,1714995059.2161121,1714995059.2194893,1714995059.2194965,1714995066.0666988
1714995066.0667908,1714995059.2257864,1714995059.22901,1714995059.2290175,1714995066.0801435
1714995066.0770824,1714995059.2361739,1714995059.239706,1714995059.2397144,1714995066.0901182
1714995066.0870261,1714995059.263854,1714995059.2676976,1714995059.2677073,1714995066.1163046
1714995066.0973752,1714995059.2685559,1714995059.2722855,1714995059.2722938,1714995066.1196198
1714995066.1086302,1714995059.273116,1714995059.2759392,1714995059.2759445,1714995066.1292853
1714995066.1239014,1714995059.285855,1714995059.289578,1714995059.2895865,1714995066.1413646
1714995066.1366246,1714995059.2972865,1714995059.3009653,1714995059.3009737,1714995066.15398
1714995066.1483884,1714995059.3099527,1714995059.313747,1714995059.3137548,1714995066.1678784
1714995066.1612365,1714995059.3248599,1714995059.328698,1714995059.3287072,1714995066.1803792
1714995066.175324,1714995059.3360717,1714995059.339904,1714995059.3399143,1714995066.1934576
1714995066.187785,1714995059.3491511,1714995059.3529885,1714995059.352997,1714995066.2051988
1714995066.2004237,1714995059.3611016,1714995059.3649247,1714995059.3649342,1714995066.217519
1714995066.2124696,1714995059.3732457,1714995059.37705,1714995059.3770578,1714995066.2286873
1714995066.2245324,1714995059.3844914,1714995059.3882747,1714995059.3882835,1714995066.239631
1714995066.2357762,1714995059.395275,1714995059.3990335,1714995059.3990424,1714995066.250365
1714995066.2465289,1714995059.4064598,1714995059.4102414,1714995059.4102495,1714995066.2596238
1714995066.25761,1714995059.4156065,1714995059.419059,1714995059.4190657,1714995066.2688265
1714995066.2667012,1714995059.4256895,1714995059.4291458,1714995059.429153,1714995066.2782428
1714995066.276122,1714995059.4338477,1714995059.4368687,1714995059.4368749,1714995066.2869575
1714995066.2848935,1714995059.4426115,1714995059.4456036,1714995059.4456098,1714995066.2927666
1714995066.2938979,1714995059.452175,1714995059.4554617,1714995059.4554687,1714995066.304897
1714995066.302774,1714995059.4619563,1714995059.4653206,1714995059.4653287,1714995066.3142333
1714995066.312144,1714995059.4701762,1714995059.473143,1714995059.4731493,1714995066.320195
1714995066.3213246,1714995059.4795322,1714995059.4825354,1714995059.4825418,1714995066.3296595
1714995066.3309443,1714995059.490956,1714995059.4944894,1714995059.4944968,1714995066.3465395
1714995066.341382,1714995059.502195,1714995059.5058835,1714995059.5058913,1714995066.3575838
1714995066.3532176,1714995059.5142703,1714995059.5179782,1714995059.5179858,1714995066.3689737
1714995066.3649914,1714995059.5249522,1714995059.528615,1714995059.5286226,1714995066.3800848
1714995066.375848,1714995059.536012,1714995059.5396237,1714995059.5396314,1714995066.392286
1714995066.3874893,1714995059.547837,1714995059.551596,1714995059.551605,1714995066.3989215
1714995066.399011,1714995059.5599313,1714995059.5637128,1714995059.563721,1714995066.4157898
1714995066.4110231,1714995059.5720954,1714995059.5758722,1714995059.5758812,1714995066.4293787
1714995066.4230754,1714995059.586767,1714995059.5905945,1714995059.5906043,1714995066.4418364
1714995066.4367673,1714995059.5974767,1714995059.601315,1714995059.601325,1714995066.454902
1714995066.449061,1714995059.6109486,1714995059.6147726,1714995059.6147828,1714995066.4687383
1714995066.4624426,1714995059.624845,1714995059.6286776,1714995059.6286876,1714995066.4824471
1714995066.4762068,1714995059.6382232,1714995059.642039,1714995059.6420484,1714995066.4970484
