Time_offload,Time_process,Time_reply,Time_e2e
-6835.79,3.87,6850.77,18.85
-6837.11,3.83,6848.98,15.70
-6837.53,3.85,6849.83,16.15
-6838.78,3.86,6849.05,14.13
-6837.22,3.85,6849.39,16.01
-6838.61,3.86,6849.86,15.11
-6837.92,3.85,6849.02,14.96
-6839.09,3.85,6849.04,13.79
-6837.24,3.84,6849.66,16.26
-6836.78,3.84,6849.80,16.86
-6836.77,3.85,6851.14,18.23
-6837.78,3.84,6850.56,16.62
-6836.08,3.83,6850.77,18.53
-6838.90,3.85,6849.29,14.24
-6840.16,3.80,6849.80,13.44
-6840.01,3.81,6850.42,14.22
-6841.04,3.81,6848.94,11.72
-6843.24,3.85,6848.66,9.27
-6843.45,3.84,6848.68,9.07
-6842.52,3.84,6848.71,10.03
-6838.97,3.84,6850.06,14.93
-6839.25,3.85,6849.07,13.67
-6837.54,3.83,6849.24,15.52
-6836.55,3.83,6848.68,15.96
-6843.56,3.85,6848.51,8.80
-6843.53,3.84,6848.61,8.93
-6843.37,3.83,6848.89,9.35
-6839.22,3.85,6849.18,13.81
-6836.65,3.86,6849.07,16.28
-6830.31,3.85,6849.26,22.79
-6838.86,3.85,6849.13,14.12
-6837.38,3.83,6848.92,15.37
-6838.03,3.83,6848.94,14.75
-6837.48,3.80,6849.14,15.46
-6837.06,3.86,6851.31,18.11
-6839.66,3.85,6849.20,13.39
-6836.97,3.84,6848.92,15.79
-6840.61,3.84,6848.97,12.20
-6837.69,3.84,6850.11,16.26
-6836.80,3.84,6849.13,16.18
-6838.41,3.85,6849.74,15.17
-6837.42,3.83,6849.69,16.10
-6832.43,3.87,6850.34,21.77
-6837.82,3.86,6850.20,16.24
-6837.23,3.84,6849.42,16.04
-6828.73,3.84,6854.58,29.69
-6839.86,3.85,6849.14,13.13
-6842.21,3.85,6848.98,10.62
-6842.93,3.83,6848.97,9.88
-6837.10,3.85,6849.14,15.89
-6829.84,3.85,6850.19,24.20
-6822.20,3.83,6849.06,30.70
-6838.96,3.84,6849.23,14.12
-6840.30,3.85,6851.44,14.99
-6838.65,3.83,6849.81,14.99
-6840.14,3.90,6849.83,13.59
-6840.90,3.85,6849.12,12.07
-6838.39,3.86,6849.67,15.14
-6833.43,3.84,6849.55,19.95
-6840.31,3.83,6849.17,12.69
-6839.85,3.85,6849.28,13.29
-6838.31,3.84,6849.22,14.75
-6839.57,3.84,6849.77,14.04
-6838.63,3.84,6849.32,14.54
-6837.83,3.82,6851.23,17.22
-6837.91,3.84,6850.85,16.78
-6838.08,3.83,6850.04,15.79
-6837.98,3.84,6850.00,15.87
-6812.61,3.84,6849.49,40.72
-6831.85,0.69,6850.73,19.58
-6821.01,3.85,6851.07,33.91
-6835.96,3.84,6849.53,17.42
-6833.94,3.83,6850.61,20.51
-6835.62,3.85,6850.92,19.15
-6835.67,3.85,6849.51,17.70
-6837.10,3.84,6850.13,16.88
-6834.00,3.85,6852.69,22.55
-6837.12,3.83,6849.80,16.51
-6836.42,3.83,6850.43,17.85
-6838.16,3.84,6849.98,15.66
-6837.72,3.84,6850.90,17.02
-6829.88,3.84,6855.61,29.58
-6839.04,3.88,6849.88,14.72
-6835.86,3.85,6849.89,17.88
-6837.19,3.84,6849.85,16.49
-6837.82,3.84,6849.46,15.48
-6837.39,3.81,6849.31,15.73
-6815.34,3.84,6849.90,38.39
-6835.98,3.73,6849.82,17.57
-6837.91,3.86,6849.44,15.39
-6836.74,3.84,6849.30,16.40
-6836.97,3.86,6849.36,16.24
-6840.67,3.86,6849.46,12.65
-6836.47,3.86,6849.97,17.36
-6839.28,3.83,6849.67,14.22
-6836.82,3.84,6849.22,16.24
-6836.36,3.84,6848.94,16.42
-6837.65,3.85,6849.06,15.27
-6836.13,3.85,6849.01,16.72
-6839.74,3.83,6848.95,13.05
-6837.09,3.84,6849.01,15.76
-6837.00,3.86,6849.04,15.90
-6842.55,3.83,6848.91,10.19
-6842.03,3.84,6848.71,10.52
-6842.97,3.83,6848.52,9.39
-6839.99,3.82,6849.20,13.04
-6842.82,3.85,6848.82,9.84
-6838.52,3.83,6848.69,14.00
-6841.26,3.83,6848.54,11.12
-6843.43,3.85,6848.79,9.22
-6843.71,3.85,6848.58,8.72
-6843.18,3.82,6848.79,9.42
-6841.76,3.85,6848.64,10.73
-6842.72,3.81,6848.68,9.78
-6840.32,3.83,6849.08,12.59
-6837.71,3.84,6849.11,15.24
-6836.78,3.83,6849.24,16.29
-6837.81,3.84,6849.16,15.18
-6832.74,3.81,6849.15,20.22
-6840.50,3.85,6848.74,12.08
-6842.99,3.83,6848.74,9.58
-6840.47,3.83,6849.15,12.52
-6838.42,3.79,6849.22,14.59
-6838.59,3.83,6849.53,14.77
-6838.16,3.83,6849.37,15.04
-6842.27,3.85,6848.81,10.38
-6839.56,3.85,6849.39,13.68
-6836.16,3.83,6849.23,16.90
-6837.85,3.83,6850.10,16.08
-6836.47,3.81,6849.35,16.69
-6821.81,3.83,6851.24,33.27
-6838.20,3.83,6849.75,15.38
-6838.72,3.85,6849.80,14.93
-6842.19,3.84,6848.92,10.57
-6840.72,3.86,6849.14,12.28
-6837.47,3.83,6849.10,15.46
-6835.75,3.83,6850.87,18.96
-6836.92,3.84,6849.92,16.84
-6836.75,3.85,6850.10,17.20
-6835.26,3.84,6850.25,18.83
-6837.92,3.84,6849.60,15.53
-6835.88,3.84,6849.98,17.94
-6837.95,3.84,6849.86,15.74
-6837.08,3.85,6849.37,16.13
-6838.45,3.84,6850.76,16.15
-6839.84,3.85,6849.95,13.96
-6840.80,3.84,6849.00,12.04
-6837.10,3.84,6850.06,16.80
-6836.32,3.83,6851.11,18.61
-6836.50,3.85,6850.72,18.07
-6836.88,3.86,6850.81,17.78
-6837.28,3.85,6850.05,16.62
-6837.28,3.83,6849.97,16.52
-6839.29,3.85,6851.01,15.57
-6837.81,3.85,6850.04,16.07
-6834.21,3.82,6849.44,19.04
-6838.79,3.82,6849.25,14.28
-6836.80,3.81,6849.28,16.29
-6837.07,3.87,6849.80,16.59
-6837.80,3.85,6849.85,15.89
-6838.25,3.84,6850.35,15.94
-6837.39,3.83,6849.81,16.25
-6839.02,3.82,6850.60,15.41
-6808.78,3.84,6850.47,45.53
-6828.65,3.71,6856.66,31.73
-6838.26,3.85,6849.52,15.11
-6840.21,3.82,6849.62,13.22
-6838.42,3.84,6850.01,15.44
-6838.53,3.82,6850.25,15.55
-6838.90,3.85,6849.88,14.83
-6837.68,3.83,6849.89,16.03
-6838.04,3.83,6849.98,15.77
-6834.86,3.83,6849.97,18.94
-6840.06,3.86,6849.02,12.81
-6837.67,3.83,6850.45,16.62
-6837.05,3.85,6850.06,16.86
-6832.68,3.84,6849.66,20.82
-6837.07,3.84,6849.62,16.39
-6835.56,3.83,6849.51,17.79
-6800.41,3.84,6852.34,55.77
-6820.62,1.27,6850.25,30.90
-6839.16,3.86,6849.02,13.71
-6836.64,3.84,6849.19,16.39
-6837.56,3.84,6849.36,15.65
-6837.24,3.85,6849.39,16.00
-6837.40,3.82,6849.60,16.02
-6838.57,3.85,6849.12,14.39
-6837.27,3.85,6849.34,15.93
-6837.26,3.85,6850.27,16.86
-6837.28,3.84,6849.25,15.82
-6837.20,3.83,6848.96,15.59
-6842.31,3.83,6849.07,10.59
-6841.29,3.84,6848.58,11.13
-6843.72,3.84,6848.68,8.80
-6841.03,3.83,6849.09,11.89
-6838.49,3.85,6849.35,14.71
-6839.42,3.83,6848.68,13.10
-6841.23,3.84,6848.79,11.40
-6839.61,3.86,6849.06,13.31
-6820.22,3.85,6848.69,32.32
-6835.11,3.75,6849.08,17.72
-6802.12,3.84,6848.69,50.41
-6817.88,0.59,6848.15,30.87
-6836.93,0.58,6848.19,11.84
-6843.81,3.86,6848.64,8.69
-6842.99,3.83,6850.52,11.35
-6842.13,3.83,6849.19,10.89
-6838.14,3.85,6848.92,14.63
-6837.18,3.82,6849.09,15.72
-6838.62,3.85,6849.16,14.39
-6820.17,3.86,6849.29,32.98
-6835.91,3.84,6849.08,17.00
-6837.38,3.82,6850.12,16.57
-6835.89,3.82,6848.84,16.77
-6843.25,3.85,6848.78,9.38
-6843.32,3.84,6848.93,9.45
-6841.33,3.85,6849.07,11.59
-6842.28,3.83,6849.14,10.68
-6840.95,3.84,6849.05,11.94
-6841.07,3.84,6849.19,11.95
-6841.18,3.84,6848.90,11.56
-6839.63,3.84,6849.39,13.60
-6835.36,3.80,6849.96,18.40
-6821.99,3.85,6851.75,33.60
-6837.53,3.86,6849.19,15.52
-6840.12,3.83,6849.55,13.26
-6841.93,3.83,6848.85,10.75
-6843.30,3.84,6848.75,9.29
-6842.43,3.84,6848.84,10.25
-6842.11,3.83,6849.04,10.76
-6836.80,3.83,6848.88,15.90
-6840.29,3.83,6848.93,12.48
-6837.28,3.83,6848.91,15.46
-6834.81,3.80,6849.09,18.08
-6838.99,3.84,6854.17,19.02
-6837.41,3.83,6849.10,15.52
-6837.04,3.84,6849.39,16.19
-6839.87,3.86,6849.03,13.02
-6837.17,3.83,6849.62,16.27
-6837.95,3.83,6849.33,15.20
