Time_offload,Time_process,Time_reply,Time_e2e
-6839.84,3.83,6850.39,14.38
-6840.23,3.72,6850.32,13.80
-6841.16,3.46,6854.06,16.37
-6842.05,2.28,6851.21,11.44
-6842.12,2.04,6851.78,11.70
-6844.35,1.44,6851.20,8.29
-6845.52,1.38,6851.55,7.40
-6845.39,1.55,6851.18,7.35
-6845.27,1.72,6851.00,7.46
-6845.35,1.75,6851.66,8.07
-6842.91,2.17,6849.96,9.22
-6843.14,2.03,6850.61,9.50
-6845.02,1.60,6850.80,7.38
-6845.50,1.56,6851.59,7.65
-6845.39,1.64,6851.77,8.01
-6845.11,1.69,6851.32,7.91
-6843.71,2.02,6849.90,8.20
-6845.08,1.67,6850.63,7.21
-6845.07,1.65,6851.00,7.58
-6843.77,1.91,6849.69,7.83
-6845.15,1.63,6850.41,6.89
-6845.37,1.52,6851.26,7.41
-6845.30,1.64,6851.06,7.40
-6845.46,1.69,6851.13,7.37
-6845.31,1.68,6852.86,9.23
-6845.00,1.80,6850.63,7.42
-6845.23,1.76,6851.17,7.71
-6845.16,1.70,6851.87,8.41
-6844.43,1.86,6851.09,8.52
-6844.49,1.91,6850.38,7.80
-6845.43,1.82,6851.32,7.70
-6845.36,1.80,6851.43,7.87
-6845.19,1.83,6851.13,7.77
-6845.21,1.89,6850.99,7.67
-6845.32,1.83,6850.98,7.50
-6844.22,1.99,6850.02,7.79
-6845.21,1.74,6851.82,8.36
-6844.81,1.87,6851.23,8.28
-6844.87,1.88,6851.97,8.98
-6844.24,1.94,6851.57,9.27
-6844.63,1.97,6852.37,9.71
-6843.69,2.12,6852.34,10.77
-6843.04,2.21,6851.68,10.85
-6843.52,2.19,6851.68,10.34
-6844.17,2.14,6851.77,9.74
-6844.46,2.11,6851.85,9.50
-6844.12,2.15,6852.25,10.28
-6843.54,2.27,6852.45,11.18
-6843.16,2.36,6852.26,11.45
-6842.10,2.64,6851.43,11.96
-6842.75,2.34,6852.63,12.23
-6842.91,2.48,6851.35,10.92
-6814.38,3.85,6855.02,44.50
-6816.47,3.74,6850.68,37.95
-6817.23,3.06,6854.05,39.88
-6819.69,2.15,6851.72,34.18
-6823.38,1.58,6850.21,28.42
-6829.21,1.25,6853.90,25.95
-6835.70,1.02,6852.78,18.10
-6841.93,0.89,6851.29,10.25
-6844.38,1.16,6852.01,8.79
-6844.88,1.40,6852.47,8.99
-6843.97,1.74,6852.05,9.82
-6844.03,1.84,6851.52,9.33
-6822.47,3.84,6852.94,34.31
-6824.30,3.69,6850.83,30.22
-6825.08,2.56,6851.24,28.72
-6828.66,1.88,6850.10,23.32
-6833.41,1.51,6851.65,19.75
-6837.99,1.17,6850.15,13.33
-6842.97,0.99,6849.47,7.49
-6844.75,1.02,6850.55,6.82
-6845.63,1.10,6852.44,7.91
-6844.76,1.48,6851.24,7.96
-6845.32,1.60,6851.10,7.38
-6845.40,1.59,6851.10,7.29
-6845.55,1.68,6851.20,7.32
-6844.16,1.80,6849.90,7.54
-6845.51,1.64,6851.89,8.03
-6844.80,1.78,6851.93,8.92
-6844.39,1.93,6852.15,9.69
-6844.01,2.02,6851.98,9.99
-6844.07,2.09,6851.36,9.39
-6844.62,2.05,6851.00,8.43
-6845.02,1.97,6851.00,7.95
-6845.06,1.86,6850.88,7.68
-6845.35,1.76,6851.02,7.43
-6845.46,1.75,6850.98,7.27
-6845.32,1.70,6851.00,7.38
-6845.43,1.76,6851.69,8.02
-6844.90,1.83,6851.71,8.64
-6844.64,1.96,6852.04,9.35
-6844.22,2.05,6852.85,10.68
-6843.62,2.17,6851.39,9.94
-6843.96,2.10,6851.35,9.49
-6844.99,2.03,6851.26,8.30
-6845.18,1.95,6850.88,7.66
-6845.27,1.87,6851.28,7.88
-6844.90,1.83,6852.73,9.66
-6843.54,2.16,6852.56,11.17
-6843.34,2.27,6851.64,10.57
-6842.30,2.45,6851.19,11.33
-6826.29,3.84,6850.15,27.69
-6827.01,3.39,6850.19,26.57
-6829.27,2.43,6850.89,24.05
-6832.43,1.77,6850.67,20.01
-6835.74,1.41,6851.89,17.56
-6839.89,1.14,6850.72,11.97
-6843.54,0.95,6850.81,8.23
-6845.69,0.92,6851.69,6.92
-6845.23,1.17,6851.74,7.69
-6845.37,1.35,6851.53,7.50
-6845.32,1.45,6851.29,7.42
-6845.50,1.52,6851.55,7.57
-6845.33,1.67,6851.31,7.65
-6845.10,1.77,6851.59,8.26
-6844.94,1.83,6852.26,9.16
-6844.38,2.00,6851.82,9.44
-6831.60,3.85,6852.73,24.98
-6833.11,3.04,6850.44,20.37
-6836.77,2.18,6852.85,18.26
-6841.19,1.65,6850.76,11.22
-6843.73,1.73,6852.91,10.91
-6843.17,1.99,6852.66,11.49
-6841.72,2.50,6849.94,10.73
-6844.18,2.00,6853.49,11.31
-6844.17,2.06,6850.43,8.31
-6843.51,2.05,6850.33,8.86
-6842.55,1.92,6850.32,9.69
-6844.16,1.53,6850.73,8.11
-6844.57,1.53,6851.40,8.35
-6844.25,1.78,6850.85,8.38
-6844.58,1.77,6851.96,9.14
-6843.08,2.13,6849.95,9.01
-6844.81,1.93,6851.52,8.64
-6844.24,2.15,6850.24,8.15
-6845.30,2.02,6851.15,7.87
-6845.15,2.07,6851.68,8.60
-6844.52,2.19,6851.28,8.94
-6844.72,2.25,6851.21,8.73
-6844.50,2.27,6852.35,10.12
-6843.64,2.45,6851.67,10.48
-6844.06,2.50,6852.52,10.97
-6842.96,2.69,6851.60,11.33
-6843.60,2.70,6852.47,11.57
-6842.90,2.78,6851.02,10.89
-6844.07,2.66,6850.72,9.31
-6843.85,2.57,6849.85,8.58
-6845.07,2.16,6851.40,8.48
