Time_offload,Time_process,Time_reply,Time_e2e
-6837.68,3.83,6855.60,21.75
-6839.33,3.89,6853.51,18.07
-6841.57,3.43,6852.77,14.62
-6843.93,2.28,6853.07,11.42
-6845.05,1.74,6852.95,9.64
-6846.00,1.30,6851.65,6.95
-6843.62,1.60,6852.39,10.37
-6845.78,1.29,6854.02,9.52
-6846.35,1.17,6850.97,5.79
-6846.25,1.20,6851.68,6.63
-6846.02,1.30,6851.34,6.61
-6846.40,1.41,6851.25,6.25
-6846.36,1.42,6851.13,6.19
-6846.35,1.31,6851.46,6.42
-6846.43,1.38,6851.52,6.47
-6846.29,1.45,6851.13,6.29
-6846.50,1.47,6851.38,6.35
-6846.23,1.58,6851.56,6.90
-6846.04,1.60,6850.78,6.34
-6846.11,1.51,6851.51,6.92
-6846.28,1.58,6850.96,6.26
-6845.24,1.72,6851.19,7.68
-6846.47,1.51,6851.67,6.71
-6846.30,1.64,6852.61,7.94
-6846.24,1.61,6850.52,5.89
-6845.55,1.65,6850.47,6.56
-6846.45,1.50,6851.42,6.47
-6846.37,1.59,6851.05,6.27
-6846.33,1.58,6851.06,6.32
-6846.41,1.59,6851.29,6.47
-6842.88,2.10,6851.34,10.56
-6844.68,1.65,6853.08,10.05
-6845.82,1.47,6850.43,6.08
-6846.38,1.37,6851.42,6.42
-6846.38,1.46,6851.18,6.26
-6846.32,1.53,6851.13,6.34
-6846.32,1.54,6851.03,6.24
-6846.30,1.52,6851.00,6.23
-6846.36,1.54,6851.96,7.14
-6845.21,1.70,6851.03,7.52
-6846.47,1.49,6850.57,5.59
-6842.64,2.00,6851.45,10.82
-6844.56,1.57,6850.53,7.54
-6845.51,1.43,6850.65,6.56
-6846.37,1.41,6851.53,6.57
-6840.69,2.32,6856.92,18.55
-6841.35,1.91,6853.43,13.99
-6837.82,2.34,6853.02,17.54
-6837.28,2.11,6853.12,17.95
-6838.44,1.64,6851.03,14.23
-6836.36,1.95,6853.10,18.68
-6837.54,1.49,6855.72,19.66
-6840.07,1.26,6854.37,15.56
-6840.24,1.35,6866.72,27.83
-6841.93,1.22,6864.37,23.66
-6837.28,2.06,6854.32,19.09
-6827.55,3.34,6856.62,32.41
-6827.69,2.29,6853.62,28.22
-6827.13,2.01,6853.56,28.44
-6828.87,1.53,6851.63,24.29
-6828.44,1.57,6851.34,24.47
-6830.41,1.18,6850.17,20.95
-6833.62,1.01,6852.90,20.29
-6836.93,0.86,6852.00,15.93
-6840.87,0.76,6851.09,10.98
-6844.27,0.66,6850.43,6.82
-6846.27,0.67,6851.83,6.23
-6846.39,0.85,6852.24,6.69
-6846.17,1.07,6851.83,6.74
-6846.30,1.25,6851.60,6.55
-6846.30,1.39,6851.41,6.51
-6846.20,1.43,6851.47,6.69
-6846.14,1.51,6851.15,6.52
-6846.13,1.54,6850.94,6.34
-6845.59,1.65,6850.59,6.65
-6846.27,1.51,6851.57,6.81
-6846.33,1.62,6850.92,6.21
-6846.22,1.62,6850.81,6.20
-6846.38,1.58,6851.10,6.29
-6846.28,1.57,6851.14,6.42
-6845.84,1.70,6850.51,6.37
-6846.29,1.56,6851.21,6.48
-6846.35,1.58,6851.09,6.31
-6846.17,1.61,6850.81,6.25
-6846.38,1.57,6851.03,6.22
-6846.20,1.55,6851.00,6.34
-6846.28,1.56,6851.27,6.55
-6844.87,1.76,6850.97,7.86
-6846.28,1.57,6851.60,6.89
-6846.13,1.63,6851.33,6.83
-6839.73,2.60,6851.98,14.85
-6841.02,1.96,6850.67,11.60
-6843.04,1.61,6852.43,11.00
-6845.33,1.27,6850.88,6.82
-6845.99,1.32,6851.37,6.70
-6846.16,1.42,6851.66,6.91
-6846.06,1.47,6851.53,6.94
-6846.34,1.58,6851.11,6.34
-6843.30,1.99,6851.89,10.57
-6843.79,1.77,6852.57,10.55
-6844.28,1.62,6852.53,9.87
-6844.63,1.55,6852.53,9.46
-6844.50,1.57,6852.59,9.67
-6844.51,1.49,6852.54,9.53
-6844.52,1.44,6852.51,9.43
-6844.18,1.49,6852.53,9.83
-6844.07,1.51,6852.68,10.11
-6844.20,1.49,6852.48,9.77
-6844.39,1.46,6852.46,9.53
-6844.28,1.44,6852.63,9.79
-6844.21,1.43,6852.63,9.85
-6844.37,1.42,6852.51,9.56
-6845.90,1.26,6850.58,5.93
-6846.05,1.28,6851.04,6.27
-6846.46,1.33,6859.83,14.69
-6846.22,1.46,6855.21,10.45
-6843.50,1.84,6852.07,10.42
-6845.46,1.52,6850.43,6.49
-6846.21,1.42,6851.34,6.55
-6846.38,1.49,6851.07,6.18
-6846.43,1.49,6851.19,6.24
-6846.37,1.52,6851.23,6.38
-6846.36,1.58,6851.43,6.64
-6846.36,1.60,6850.97,6.21
-6846.20,1.59,6850.80,6.19
-6846.38,1.57,6851.34,6.53
-6844.93,1.75,6853.62,10.43
-6844.61,1.78,6852.77,9.94
-6846.31,1.48,6850.71,5.87
-6846.23,1.47,6851.01,6.24
-6846.20,1.48,6850.96,6.24
-6846.36,1.49,6851.16,6.29
-6846.18,1.38,6851.11,6.31
-6846.52,1.35,6851.45,6.28
-6846.20,1.48,6851.02,6.30
-6846.49,1.51,6851.39,6.40
-6844.97,1.72,6850.87,7.61
-6846.47,1.47,6851.53,6.52
-6846.17,1.59,6851.00,6.41
-6846.40,1.57,6851.46,6.63
-6846.00,1.65,6850.88,6.53
-6846.42,1.58,6851.20,6.37
-6846.16,1.58,6851.02,6.44
-6846.36,1.62,6851.15,6.42
-6845.84,1.63,6850.85,6.64
-6846.27,1.59,6851.19,6.51
-6845.96,1.63,6851.20,6.87
-6846.15,1.57,6850.49,5.92
-6846.45,1.51,6851.36,6.41
-6846.39,1.54,6851.49,6.64
-6845.45,1.71,6850.72,6.98
-6846.15,1.59,6850.58,6.01
-6846.01,1.58,6851.33,6.90
-6846.36,1.57,6851.57,6.79
-6846.41,1.58,6851.23,6.41
-6846.29,1.63,6851.29,6.63
-6845.88,1.67,6850.88,6.67
-6846.23,1.67,6850.99,6.43
-6846.24,1.62,6851.01,6.39
-6846.38,1.60,6851.33,6.55
-6845.09,1.79,6851.42,8.11
-6846.24,1.64,6851.37,6.76
-6846.11,1.64,6850.90,6.42
-6846.33,1.63,6851.08,6.38
-6846.15,1.66,6851.03,6.54
-6846.31,1.60,6851.09,6.38
-6846.31,1.64,6851.08,6.41
-6846.36,1.60,6851.19,6.43
-6846.39,1.62,6851.11,6.34
-6846.36,1.59,6851.23,6.47
-6844.84,1.84,6850.90,7.89
-6846.41,1.57,6850.56,5.72
-6846.27,1.48,6851.11,6.32
-6846.39,1.48,6851.13,6.23
-6846.38,1.53,6851.19,6.33
-6846.34,1.61,6850.97,6.24
-6846.34,1.56,6852.07,7.30
-6846.45,1.56,6851.21,6.32
-6846.19,1.61,6850.77,6.20
-6846.39,1.56,6851.07,6.23
-6846.58,1.51,6851.38,6.32
-6846.37,1.58,6855.72,10.92
-6843.97,1.93,6852.78,10.74
-6845.77,1.55,6850.68,6.46
-6844.75,1.66,6850.60,7.51
-6846.52,1.41,6852.15,7.04
