Time_offload,Time_process,Time_reply,Time_e2e
-6841.93,3.98,6850.68,12.73
-6842.38,3.74,6850.24,11.60
-6842.70,3.39,6852.12,12.81
-6843.00,2.19,6852.47,11.67
-6844.04,1.63,6850.00,7.60
-6845.50,1.38,6850.80,6.68
-6845.81,1.39,6850.72,6.30
-6844.49,1.52,6850.48,7.51
-6845.75,1.31,6851.05,6.61
-6843.14,1.74,6851.93,10.53
-6845.38,1.32,6850.32,6.25
-6844.17,1.52,6850.52,7.86
-6845.34,1.28,6850.81,6.75
-6845.74,1.33,6850.72,6.32
-6845.65,1.36,6850.64,6.35
-6817.24,4.08,6850.08,36.93
-6816.62,3.72,6852.86,39.96
-6817.36,2.39,6849.93,34.96
-6819.95,1.80,6853.02,34.88
-6824.34,1.40,6851.53,28.58
-6828.78,1.15,6850.31,22.68
-6832.66,0.95,6850.73,19.02
-6835.84,0.81,6849.87,14.84
-6839.83,0.70,6852.74,13.61
-6843.67,0.64,6851.54,8.51
-6842.48,1.10,6849.93,8.56
-6844.66,1.02,6851.74,8.10
-6845.24,1.19,6851.34,7.30
-6844.60,1.36,6850.15,6.91
-6845.57,1.30,6850.80,6.53
-6844.71,1.41,6849.86,6.57
-6845.79,1.29,6851.09,6.59
-6844.81,1.47,6849.84,6.51
-6845.86,1.35,6851.14,6.63
-6845.76,1.44,6850.61,6.29
-6845.66,1.50,6850.51,6.35
-6845.82,1.50,6850.48,6.16
-6845.90,1.48,6850.61,6.19
-6845.91,1.50,6850.82,6.41
-6845.68,1.59,6850.41,6.31
-6845.78,1.53,6850.61,6.35
-6845.78,1.54,6850.46,6.22
-6844.97,1.66,6849.67,6.35
-6845.73,1.50,6850.75,6.52
-6845.72,1.54,6850.46,6.27
-6845.81,1.54,6850.63,6.35
-6845.79,1.55,6850.60,6.35
-6845.81,1.54,6850.53,6.26
-6843.18,1.90,6852.04,10.76
-6845.17,1.51,6850.25,6.60
-6844.26,1.71,6850.00,7.46
-6845.90,1.44,6851.06,6.60
-6845.79,1.51,6850.79,6.52
-6845.64,1.53,6850.91,6.80
-6845.73,1.61,6850.48,6.36
-6844.01,1.81,6850.06,7.87
-6845.88,1.48,6851.28,6.88
-6844.01,1.84,6850.23,8.06
-6845.86,1.51,6851.53,7.18
-6831.83,3.70,6850.56,22.43
-6832.00,2.74,6851.59,22.33
-6833.83,1.96,6853.15,21.28
-6837.11,1.51,6851.62,16.01
-6840.76,1.29,6850.19,10.72
-6843.57,1.01,6850.73,8.18
-6845.74,0.95,6852.27,7.49
-6844.77,1.26,6850.00,6.50
-6845.77,1.22,6850.89,6.34
-6845.74,1.26,6850.74,6.26
-6842.97,1.71,6852.12,10.86
-6845.15,1.31,6850.55,6.71
-6844.89,1.38,6849.89,6.39
-6845.66,1.27,6850.61,6.21
-6845.66,1.29,6850.55,6.18
-6845.64,1.27,6850.68,6.31
-6845.50,1.31,6850.42,6.23
-6845.76,1.27,6850.82,6.33
-6845.61,1.29,6850.83,6.51
-6845.37,1.37,6850.37,6.38
-6845.00,1.47,6849.97,6.43
-6845.86,1.32,6851.05,6.51
-6845.76,1.38,6850.64,6.26
-6845.86,1.38,6850.74,6.26
-6845.58,1.40,6850.58,6.39
-6843.44,1.66,6850.04,8.26
-6845.66,1.30,6850.50,6.15
-6845.65,1.32,6850.75,6.42
-6845.32,1.32,6850.23,6.23
-6844.88,1.38,6851.48,7.97
-6845.45,1.23,6851.53,7.31
-6845.32,1.39,6850.51,6.58
-6845.44,1.36,6851.06,6.98
-6844.98,1.46,6850.40,6.88
-6844.75,1.47,6849.93,6.65
-6845.81,1.34,6852.15,7.68
-6845.81,1.41,6850.85,6.45
-6844.90,1.52,6849.98,6.60
-6844.49,1.60,6850.36,7.47
-6845.02,1.58,6850.92,7.48
-6845.16,1.66,6850.20,6.70
-6845.66,1.61,6850.40,6.35
-6843.97,1.79,6849.75,7.57
-6845.86,1.48,6850.91,6.54
-6845.52,1.57,6850.16,6.21
-6845.73,1.51,6851.70,7.48
-6845.62,1.54,6850.60,6.51
-6845.72,1.58,6850.44,6.31
-6845.52,1.57,6850.29,6.33
-6845.73,1.58,6850.61,6.46
-6845.53,1.58,6850.24,6.29
-6845.82,1.53,6850.47,6.18
-6845.49,1.57,6850.18,6.26
-6845.95,1.51,6850.88,6.43
-6845.51,1.58,6850.25,6.32
-6845.81,1.54,6850.49,6.22
-6845.62,1.55,6850.40,6.33
-6845.79,1.55,6850.51,6.27
-6845.70,1.58,6850.39,6.28
-6845.15,1.63,6849.98,6.46
-6845.46,1.56,6850.41,6.51
-6845.77,1.55,6850.50,6.28
-6845.49,1.59,6850.17,6.27
-6845.79,1.51,6850.60,6.32
-6845.86,1.51,6850.64,6.28
-6845.24,1.65,6849.90,6.32
-6843.80,1.77,6849.96,7.94
-6845.85,1.46,6851.37,6.97
-6845.51,1.62,6850.54,6.65
-6845.65,1.55,6851.05,6.95
-6845.53,1.62,6850.55,6.64
-6845.76,1.64,6850.38,6.26
-6845.54,1.60,6850.24,6.30
-6845.84,1.57,6850.44,6.17
-6845.66,1.55,6850.62,6.51
-6845.67,1.56,6850.74,6.63
-6845.64,1.60,6850.93,6.89
-6845.51,1.60,6850.81,6.90
-6845.54,1.68,6850.06,6.20
-6845.81,1.56,6850.54,6.28
-6845.60,1.58,6851.47,7.45
-6844.88,1.67,6849.89,6.69
-6845.27,1.68,6850.02,6.42
-6845.86,1.51,6850.78,6.42
-6845.59,1.57,6850.84,6.82
-6845.32,1.63,6850.47,6.79
-6845.63,1.61,6850.46,6.43
-6845.83,1.58,6850.55,6.30
-6843.67,1.90,6849.76,7.99
-6845.63,1.55,6851.16,7.08
-6844.77,1.72,6850.68,7.63
-6845.86,1.50,6850.85,6.48
-6845.62,1.61,6850.23,6.22
-6845.78,1.55,6850.42,6.19
-6845.63,1.60,6850.33,6.30
-6845.71,1.54,6850.49,6.33
-6845.65,1.59,6850.26,6.20
-6845.78,1.53,6851.01,6.76
-6845.03,1.68,6850.02,6.68
-6846.00,1.56,6850.76,6.31
-6844.17,1.78,6849.92,7.53
-6845.83,1.53,6850.71,6.41
-6845.61,1.57,6850.36,6.31
-6845.82,1.51,6850.62,6.32
-6845.57,1.54,6850.59,6.57
-6844.35,1.70,6851.26,8.62
-6845.71,1.52,6850.46,6.27
-6845.73,1.51,6850.68,6.46
-6845.50,1.56,6850.24,6.29
-6845.84,1.53,6850.61,6.30
-6844.96,1.67,6850.08,6.79
-6845.58,1.57,6851.01,7.00
-6844.64,1.77,6850.31,7.44
-6842.27,2.06,6851.90,11.70
-6844.30,1.61,6849.94,7.26
-6845.85,1.53,6850.60,6.28
-6845.74,1.52,6850.72,6.51
-6813.77,4.10,6850.63,40.96
-6813.32,3.84,6850.47,41.00
-6813.45,2.76,6851.99,41.30
-6815.38,1.85,6850.29,36.76
-6818.57,1.52,6852.04,34.99
-6822.39,1.18,6850.77,29.57
-6827.20,1.01,6849.99,23.80
-6832.30,0.82,6849.97,18.49
-6836.65,0.72,6852.36,16.43
-6840.39,0.63,6851.65,11.89
-6844.84,0.58,6851.04,6.78
-6846.13,0.69,6851.63,6.19
-6846.04,0.91,6852.57,7.44
-6844.97,1.21,6851.68,7.92
-6845.41,1.33,6850.31,6.22
-6845.75,1.28,6850.79,6.33
-6845.41,1.32,6850.36,6.27
-6844.58,1.41,6849.86,6.69
-6845.44,1.27,6850.84,6.67
-6845.83,1.29,6850.92,6.37
-6845.57,1.35,6851.44,7.22
-6817.30,4.09,6851.62,38.41
-6817.32,3.61,6851.16,37.45
-6817.95,2.50,6851.90,36.45
-6820.53,1.79,6850.01,31.27
-6823.60,1.44,6849.83,27.67
-6827.20,1.15,6851.77,25.73
-6831.16,0.96,6850.76,20.56
-6835.20,0.80,6850.05,15.65
-6838.58,0.69,6850.11,12.22
-6841.99,0.64,6849.65,8.30
-6846.02,0.59,6851.93,6.50
-6844.82,0.91,6851.54,7.63
-6845.17,1.09,6850.93,6.85
-6845.55,1.17,6850.75,6.37
-6845.37,1.22,6850.47,6.32
-6845.68,1.22,6850.77,6.31
-6845.67,1.26,6850.74,6.33
-6845.62,1.27,6850.57,6.21
-6844.73,1.40,6850.77,7.44
-6845.73,1.23,6850.95,6.45
-6845.80,1.25,6850.91,6.36
-6845.52,1.31,6850.95,6.74
-6845.63,1.32,6850.93,6.62
-6845.70,1.34,6850.61,6.25
-6844.93,1.37,6849.97,6.41
-6845.83,1.27,6851.10,6.54
-6845.59,1.37,6850.44,6.22
-6845.80,1.42,6850.65,6.27
-6845.21,1.50,6849.98,6.26
-6845.93,1.46,6850.79,6.33
-6845.85,1.51,6850.66,6.32
-6845.81,1.53,6850.47,6.20
-6844.12,1.79,6853.26,10.93
-6843.36,1.81,6850.01,8.47
-6845.90,1.44,6851.52,7.06
-6845.72,1.60,6850.39,6.27
-6845.59,1.60,6850.31,6.31
-6845.77,1.60,6850.49,6.31
-6845.92,1.55,6850.68,6.32
-6845.78,1.58,6850.49,6.29
-6842.69,2.05,6851.95,11.31
-6844.64,1.58,6850.08,7.02
-6844.85,1.65,6850.10,6.90
