Time_offload,Time_process,Time_reply,Time_e2e
-6836.96,3.83,6851.52,18.39
-6839.05,3.84,6850.10,14.89
-6840.28,3.43,6850.43,13.57
-6841.31,2.28,6850.72,11.69
-6843.51,1.64,6849.97,8.09
-6846.14,1.32,6851.33,6.51
-6845.97,1.42,6850.80,6.24
-6844.96,1.51,6850.07,6.62
-6846.01,1.30,6851.27,6.56
-6845.93,1.35,6850.93,6.36
-6845.99,1.36,6850.92,6.29
-6846.02,1.37,6850.88,6.23
-6846.04,1.35,6851.15,6.47
-6845.72,1.37,6850.93,6.58
-6844.08,1.62,6850.40,7.94
-6846.11,1.37,6851.66,6.92
-6845.29,2.04,6850.62,7.37
-6846.10,2.69,6850.20,6.78
-6845.87,3.68,6852.94,10.75
-6845.11,3.26,6852.32,10.48
-6845.41,2.21,6850.75,7.56
-6846.12,1.81,6850.94,6.64
-6846.01,1.77,6850.67,6.43
-6846.09,1.67,6850.86,6.43
-6846.03,1.67,6850.70,6.34
-6846.10,1.62,6850.73,6.25
-6845.52,1.68,6850.16,6.32
-6846.23,1.59,6851.02,6.38
-6846.11,1.58,6850.92,6.39
-6846.14,1.57,6851.01,6.45
-6846.14,1.58,6851.13,6.56
-6846.04,1.63,6850.71,6.31
-6845.10,1.77,6850.68,7.35
-6846.26,1.50,6851.38,6.62
-6845.95,1.59,6850.84,6.48
-6846.19,1.60,6850.90,6.31
-6846.14,1.59,6850.80,6.25
-6846.13,1.62,6850.82,6.31
-6845.81,1.64,6850.56,6.39
-6843.06,1.99,6851.66,10.59
-6844.98,1.61,6850.12,6.75
-6845.90,1.46,6851.27,6.83
-6845.58,1.59,6851.81,7.82
-6844.71,1.72,6851.15,8.16
-6845.92,1.76,6850.74,6.58
-6846.08,1.68,6850.73,6.34
-6845.79,1.71,6850.56,6.48
-6846.24,1.60,6851.66,7.02
-6845.90,1.68,6851.24,7.02
-6846.24,1.66,6850.96,6.38
-6846.17,1.66,6850.91,6.40
-6845.84,1.64,6850.56,6.36
-6846.08,1.57,6850.99,6.48
-6846.13,1.59,6850.90,6.36
-6846.07,1.62,6851.00,6.55
-6845.93,1.61,6892.13,47.82
-6806.99,3.72,6850.40,47.13
-6806.64,3.76,6851.78,48.90
-6806.14,3.55,6852.07,49.48
-6805.47,2.22,6849.80,46.55
-6807.15,1.65,6851.44,45.94
-6809.69,1.35,6850.15,41.81
-6812.25,1.07,6849.93,38.75
-6815.22,0.88,6852.14,37.80
-6834.15,0.75,6851.34,17.93
-6839.22,0.64,6850.66,12.08
-6843.66,0.57,6850.03,6.93
-6846.10,0.60,6852.14,6.64
-6846.02,0.89,6851.49,6.37
-6846.09,1.02,6851.87,6.80
-6843.33,1.43,6852.92,11.01
-6843.18,1.48,6852.35,10.65
-6844.58,1.31,6850.16,6.88
-6845.98,1.23,6851.50,6.74
-6843.98,1.58,6853.22,10.82
-6842.82,1.77,6852.67,11.62
-6845.02,1.46,6850.85,7.30
-6842.64,1.81,6851.20,10.38
-6844.66,1.47,6858.16,14.98
-6843.91,1.57,6853.20,10.87
-6841.43,1.87,6851.22,11.66
-6843.42,1.52,6853.51,11.61
-6845.67,1.29,6851.47,7.08
-6839.76,2.21,6852.63,15.08
-6841.37,1.71,6850.55,10.89
-6831.12,3.20,6851.61,23.69
-6831.51,2.28,6853.08,23.84
-6833.78,1.83,6851.02,19.07
-6835.66,1.40,6850.94,16.68
-6837.45,1.24,6852.19,15.98
-6840.31,1.01,6850.94,11.64
-6834.21,2.07,6851.37,19.22
-6835.66,1.57,6850.28,16.18
-6838.38,1.30,6851.90,14.82
-6840.99,1.05,6850.48,10.54
-6844.11,0.91,6849.77,6.56
-6845.10,0.97,6852.21,8.08
-6844.28,1.26,6850.16,7.14
-6846.05,1.15,6851.63,6.74
-6846.10,1.29,6851.48,6.66
-6846.03,1.37,6851.45,6.79
-6845.74,1.50,6850.78,6.54
-6845.40,1.59,6850.71,6.90
-6845.48,1.56,6850.81,6.89
-6844.92,1.74,6850.57,7.39
