Time_offload,Time_process,Time_reply,Time_e2e
-6836.28,3.85,6850.97,18.53
-6840.02,3.75,6850.63,14.36
-6842.04,3.41,6850.40,11.77
-6840.06,2.59,6852.02,14.56
-6841.40,1.82,6850.80,11.23
-6843.25,1.33,6852.28,10.35
-6845.74,1.09,6851.02,6.37
-6845.98,1.17,6851.17,6.36
-6845.53,1.36,6850.39,6.21
-6844.67,1.47,6850.58,7.37
-6845.99,1.29,6851.07,6.38
-6846.26,1.33,6851.54,6.62
-6845.76,1.44,6850.95,6.63
-6846.15,1.45,6851.13,6.43
-6846.11,1.49,6850.84,6.22
-6846.23,1.52,6850.93,6.23
-6843.58,1.89,6852.15,10.46
-6845.57,1.49,6850.37,6.28
-6844.36,1.67,6850.48,7.80
-6846.23,1.41,6851.70,6.88
-6845.87,1.57,6850.75,6.44
-6846.27,1.52,6851.36,6.62
-6845.82,1.58,6850.94,6.70
-6845.41,1.65,6850.48,6.72
-6845.78,1.58,6850.94,6.75
-6846.12,1.55,6850.91,6.35
-6846.12,1.55,6850.91,6.34
-6846.12,1.54,6852.10,7.52
-6845.98,1.57,6850.85,6.44
-6845.32,1.68,6850.28,6.64
-6845.91,1.57,6851.00,6.65
-6846.09,1.57,6850.92,6.39
-6846.00,1.59,6850.82,6.41
-6846.22,1.56,6850.95,6.28
-6846.16,1.56,6850.89,6.30
-6846.21,1.55,6851.10,6.44
-6845.86,1.58,6850.59,6.32
-6845.37,1.60,6854.31,10.54
-6843.68,1.81,6852.26,10.39
-6845.73,1.50,6850.48,6.24
-6845.45,1.55,6850.34,6.43
-6846.09,1.44,6851.58,6.93
-6845.69,1.54,6851.21,7.07
-6845.91,1.58,6850.85,6.51
-6846.00,1.60,6850.82,6.42
-6843.84,1.85,6852.32,10.33
-6845.89,1.53,6850.33,5.97
-6846.28,1.46,6851.43,6.60
-6845.72,1.54,6850.71,6.53
-6846.25,1.47,6851.18,6.40
-6845.90,1.56,6850.76,6.42
-6846.09,1.56,6851.03,6.51
-6845.91,1.58,6850.75,6.42
-6846.19,1.55,6851.00,6.36
-6845.91,1.60,6850.82,6.51
-6846.13,1.54,6851.10,6.50
-6845.95,1.58,6850.61,6.24
-6846.13,1.56,6850.78,6.21
-6846.03,1.58,6850.71,6.27
-6846.11,1.57,6850.94,6.40
-6846.00,1.60,6850.75,6.34
-6846.14,1.57,6850.91,6.33
-6844.85,1.70,6850.53,7.37
-6846.20,1.47,6852.24,7.52
-6846.02,1.53,6850.95,6.45
-6846.11,1.56,6850.88,6.34
-6845.91,1.60,6850.72,6.41
-6844.78,1.76,6850.83,7.81
-6846.02,1.48,6851.66,7.12
