Created,Deserialized,Processing,Processed,Finished
1714995338.6919918,1714995331.8493705,1714995331.8532236,1714995331.8532345,1714995338.7076724
1714995338.6971366,1714995331.854238,1714995331.8579545,1714995331.8579633,1714995338.7119846
1714995338.701994,1714995331.8588262,1714995331.8620567,1714995331.8620627,1714995338.7160518
1714995338.70561,1714995331.863174,1714995331.8653753,1714995331.8653805,1714995338.7166688
1714995338.7094898,1714995331.867934,1714995331.8697145,1714995331.8697183,1714995338.7236702
1714995338.7135527,1714995331.8700814,1714995331.8714328,1714995331.8714352,1714995338.7237747
1714995338.7178445,1714995331.8719656,1714995331.873037,1714995331.8730392,1714995338.727747
1714995338.7210855,1714995331.8773496,1714995331.878596,1714995331.8785992,1714995338.731082
1714995338.7249584,1714995331.8812873,1714995331.882572,1714995331.8825746,1714995338.7344487
1714995338.7288837,1714995331.8828268,1714995331.8838944,1714995331.8838966,1714995338.737816
1714995338.7322824,1714995331.8851001,1714995331.886065,1714995331.886067,1714995338.74175
1714995338.735775,1714995331.8891938,1714995331.8903246,1714995331.8903267,1714995338.7418287
1714995338.739611,1714995331.8924325,1714995331.8935757,1714995331.8935778,1714995338.7460542
1714995338.742923,1714995331.8956487,1714995331.8968139,1714995331.8968165,1714995338.7484784
1714995338.7460997,1714995331.8989923,1714995331.9001427,1714995331.9001448,1714995338.7518377
1714995338.749762,1714995331.9033287,1714995331.9046206,1714995331.9046228,1714995338.756013
1714995338.7539606,1714995331.9066405,1714995331.9079132,1714995331.9079154,1714995338.7604048
1714995338.7582495,1714995331.9126997,1714995331.9142735,1714995331.9142766,1714995338.7682781
1714995338.7615745,1714995331.9147384,1714995331.9161062,1714995331.916109,1714995338.768345
1714995338.7661612,1714995331.9216452,1714995331.9234133,1714995331.9234166,1714995338.775979
1714995338.7695062,1714995331.9251552,1714995331.9267285,1714995331.9267316,1714995338.7800872
1714995338.7738144,1714995331.929905,1714995331.931575,1714995331.9315784,1714995338.7843668
1714995338.7779655,1714995331.9332414,1714995331.9347835,1714995331.9347866,1714995338.7969036
1714995338.7822084,1714995331.947685,1714995331.9508264,1714995331.950833,1714995338.8042486
1714995338.7856023,1714995331.95155,1714995331.9538612,1714995331.9538662,1714995338.8074827
1714995338.7897875,1714995331.9542556,1714995331.9560251,1714995331.9560277,1714995338.8075485
1714995338.7939866,1714995331.9564235,1714995331.957833,1714995331.957839,1714995338.811028
1714995338.7980309,1714995331.9583528,1714995331.9595547,1714995331.959557,1714995338.8110375
1714995338.8021414,1714995331.9597876,1714995331.960767,1714995331.960769,1714995338.812077
1714995338.8054774,1714995331.9661994,1714995331.9676156,1714995331.9676185,1714995338.8187776
1714995338.8088772,1714995331.9695551,1714995331.970949,1714995331.9709523,1714995338.822282
1714995338.8121142,1714995331.9734285,1714995331.9747748,1714995331.9747777,1714995338.8259647
1714995338.8163445,1714995331.980963,1714995331.9827328,1714995331.982737,1714995338.8376317
1714995338.82004,1714995331.9829395,1714995331.9843357,1714995331.9843383,1714995338.8376403
1714995338.8235042,1714995331.9847367,1714995331.9858718,1714995331.9858742,1714995338.8376455
1714995338.8271945,1714995331.985952,1714995331.9869585,1714995331.9869604,1714995338.838186
1714995338.83133,1714995331.988396,1714995331.9893599,1714995331.9893622,1714995338.8414562
1714995338.8355124,1714995331.9920006,1714995331.9930296,1714995331.9930322,1714995338.844659
1714995338.8393564,1714995331.993248,1714995331.994112,1714995331.9941142,1714995338.8453834
1714995338.8425777,1714995331.9958696,1714995331.9967575,1714995331.9967597,1714995338.8487065
1714995338.846625,1714995331.999513,1714995332.000447,1714995332.0004492,1714995338.855087
1714995338.8498201,1714995332.0046577,1714995332.0058076,1714995332.0058103,1714995338.8587375
1714995338.8530037,1714995332.0060668,1714995332.0070715,1714995332.0070736,1714995338.858805
1714995338.8567317,1714995332.0096242,1714995332.0106688,1714995332.010671,1714995338.862113
1714995338.8600261,1714995332.014677,1714995332.0159411,1714995332.0159435,1714995338.86721
1714995338.864224,1714995332.016917,1714995332.0180535,1714995332.0180557,1714995338.870767
