Time_offload,Time_process,Time_reply,Time_e2e
-6842.62,3.86,6854.44,15.68
-6842.90,3.73,6854.02,14.85
-6843.17,3.24,6853.99,14.06
-6842.44,2.21,6851.29,11.06
-6841.56,1.78,6853.95,14.18
-6843.47,1.35,6852.34,10.22
-6845.88,1.07,6854.71,9.90
-6843.74,1.25,6852.48,10.00
-6843.67,1.29,6851.87,9.49
-6846.06,1.07,6853.92,8.93
-6847.18,0.97,6855.68,9.47
-6846.58,1.13,6851.50,6.05
-6847.18,1.15,6852.48,6.44
-6847.27,1.17,6851.66,5.56
-6847.11,1.15,6851.69,5.74
-6846.43,1.29,6851.39,6.25
-6847.32,1.27,6852.49,6.44
-6845.55,1.58,6854.00,10.03
-6846.84,1.37,6852.24,6.77
-6844.52,1.77,6852.56,9.82
-6844.35,1.58,6853.36,10.58
-6843.91,1.67,6852.79,10.55
-6844.72,1.55,6862.12,18.94
-6834.52,3.15,6853.42,22.04
-6834.05,2.32,6853.62,21.88
-6835.53,1.77,6851.52,17.76
-6837.56,1.42,6853.19,17.04
-6839.68,1.20,6851.48,13.01
-6842.35,0.98,6851.31,9.94
-6839.28,1.42,6851.16,13.30
-6839.32,1.40,6851.33,13.40
-6838.69,1.35,6851.19,13.85
-6835.38,1.77,6854.89,21.29
-6837.10,1.40,6853.30,17.60
-6838.77,1.14,6851.77,14.14
-6841.24,1.01,6851.23,10.99
-6842.93,0.97,6852.09,10.13
-6843.51,1.03,6851.63,9.15
-6846.11,0.87,6851.27,6.03
-6846.71,0.89,6851.95,6.13
-6847.11,0.94,6854.64,8.46
-6845.16,1.15,6852.93,8.92
-6846.94,1.01,6851.73,5.80
-6847.11,1.05,6851.44,5.38
-6845.35,1.27,6851.27,7.18
-6847.31,1.14,6852.71,6.54
-6845.35,1.48,6853.75,9.88
-6847.14,1.25,6852.22,6.34
-6846.12,1.45,6858.28,13.62
-6847.29,1.25,6856.36,10.32
-6845.79,1.55,6851.26,7.01
-6847.31,1.32,6852.32,6.33
-6847.10,1.42,6852.00,6.31
-6846.95,1.49,6851.74,6.28
-6847.13,1.52,6852.06,6.45
-6846.92,1.93,6851.45,6.46
-6845.59,1.63,6851.50,7.55
-6846.87,1.46,6851.91,6.51
-6847.17,1.47,6852.00,6.30
-6846.90,1.51,6851.67,6.28
-6847.18,1.50,6851.99,6.31
-6844.11,1.96,6852.77,10.61
-6846.12,1.61,6851.17,6.65
-6844.70,1.74,6852.95,9.98
-6846.23,1.44,6851.23,6.44
-6846.21,1.50,6853.46,8.76
-6847.03,1.27,6851.29,5.53
-6845.78,1.48,6853.30,8.99
-6846.92,1.25,6851.44,5.77
-6843.48,1.68,6851.38,9.58
-6844.85,1.38,6853.30,9.83
-6844.80,1.44,6853.30,9.94
-6846.49,1.27,6851.53,6.31
-6846.89,1.29,6851.23,5.63
-6847.23,1.23,6851.64,5.64
-6847.18,1.25,6851.22,5.28
-6847.26,1.26,6852.39,6.39
-6847.13,1.38,6852.15,6.39
-6847.14,1.43,6852.11,6.40
-6847.15,1.48,6851.99,6.33
-6847.31,1.50,6852.21,6.40
-6846.92,1.59,6851.80,6.46
-6846.43,1.67,6853.39,8.63
-6846.40,1.58,6853.49,8.68
-6846.88,1.36,6851.21,5.69
-6846.28,1.41,6853.52,8.66
-6847.24,1.27,6851.22,5.25
-6847.18,1.22,6851.29,5.33
-6847.19,1.23,6855.80,9.84
-6846.99,1.37,6851.28,5.67
-6847.19,1.34,6854.46,8.61
-6846.33,1.40,6853.44,8.51
-6847.30,1.25,6851.36,5.31
-6846.33,1.35,6851.56,6.58
-6847.37,1.20,6852.43,6.26
-6846.24,1.44,6851.37,6.56
-6846.99,1.34,6852.36,6.70
-6846.21,1.59,6851.23,6.61
-6847.27,1.34,6851.21,5.28
-6847.01,1.34,6851.24,5.56
-6847.28,1.27,6851.50,5.49
-6847.05,1.30,6851.95,6.20
-6846.56,1.41,6851.44,6.30
-6847.26,1.39,6852.37,6.50
-6847.13,1.48,6851.27,5.62
-6847.05,1.40,6851.17,5.52
-6846.65,1.42,6851.64,6.42
-6847.24,1.32,6852.14,6.23
-6846.56,1.48,6851.56,6.47
-6847.16,1.30,6851.26,5.39
-6847.11,1.29,6856.55,10.74
-6845.02,1.67,6853.49,10.15
-6847.22,1.38,6851.83,5.99
-6847.30,1.41,6851.33,5.45
-6847.37,1.35,6852.67,6.66
-6846.65,1.51,6852.16,7.03
-6846.03,1.66,6853.34,8.97
-6846.98,1.43,6854.96,9.41
-6845.68,1.55,6853.25,9.12
-6846.84,1.34,6851.21,5.71
-6846.56,1.35,6851.18,5.97
-6846.89,1.32,6851.33,5.77
-6845.80,1.46,6853.13,8.79
-6847.31,1.24,6851.61,5.53
-6847.22,1.25,6851.50,5.52
-6846.13,1.36,6851.25,6.48
-6845.57,1.59,6851.27,7.30
-6846.30,1.47,6851.26,6.43
-6847.18,1.37,6851.25,5.45
-6847.27,1.32,6852.19,6.23
-6845.48,1.64,6853.34,9.50
-6846.86,1.37,6851.73,6.24
-6847.22,1.41,6851.28,5.47
-6845.99,1.48,6853.46,8.95
-6847.27,1.25,6851.72,5.70
-6847.20,1.30,6851.25,5.34
-6847.20,1.29,6852.23,6.33
-6846.97,1.40,6851.98,6.41
-6846.40,1.55,6854.71,9.86
-6847.14,1.33,6852.34,6.53
-6846.93,1.41,6851.28,5.76
-6847.29,1.37,6851.38,5.45
-6847.31,1.31,6852.33,6.34
-6843.85,1.89,6852.67,10.70
-6845.98,1.51,6855.20,10.73
-6845.05,1.67,6853.36,9.97
-6846.94,1.40,6851.24,5.69
-6846.43,1.42,6851.48,6.46
