Time_offload,Time_process,Time_reply,Time_e2e
-6842.78,3.87,6853.80,14.88
-6841.83,3.74,6852.42,14.33
-6842.12,3.41,6852.20,13.49
-6842.18,2.27,6852.46,12.55
-6843.32,1.73,6853.64,12.05
-6844.74,1.33,6852.04,8.63
-6846.53,1.04,6853.84,8.34
-6847.31,0.96,6851.55,5.20
-6846.65,1.04,6851.25,5.63
-6846.36,1.05,6851.94,6.63
-6847.25,0.93,6851.71,5.39
-6846.99,1.04,6851.42,5.46
-6847.09,1.09,6851.37,5.37
-6847.50,1.08,6852.13,5.72
-6847.13,1.15,6851.49,5.50
-6846.70,1.24,6851.72,6.26
-6847.22,1.17,6852.24,6.19
-6846.51,1.38,6851.64,6.51
-6847.32,1.25,6851.49,5.41
-6846.57,1.32,6851.79,6.55
-6847.17,1.19,6851.32,5.34
-6846.19,1.29,6853.79,8.88
-6847.24,1.17,6851.89,5.82
-6847.21,1.22,6852.09,6.11
-6846.68,1.30,6851.39,6.01
-6847.25,1.26,6851.54,5.55
-6845.89,1.42,6853.43,8.96
-6846.88,1.22,6851.48,5.82
-6847.06,1.24,6854.84,9.02
-6846.83,1.27,6851.45,5.89
-6847.02,1.28,6851.46,5.72
-6847.40,1.22,6851.75,5.57
-6847.11,1.29,6851.38,5.55
-6846.54,1.31,6854.35,9.11
-6847.23,1.20,6851.65,5.61
-6847.25,1.24,6851.40,5.38
-6847.11,1.22,6851.38,5.49
-6847.36,1.21,6851.64,5.48
-6846.34,1.31,6851.54,6.51
-6846.41,1.31,6851.46,6.36
-6846.92,1.38,6851.31,5.77
-6847.21,1.26,6851.80,5.85
-6847.01,1.27,6851.38,5.64
-6846.57,1.35,6854.72,9.50
-6843.85,1.65,6851.65,9.45
-6845.92,1.38,6853.30,8.76
-6844.68,1.49,6852.09,8.90
-6846.34,1.24,6851.51,6.41
-6846.68,1.18,6854.43,8.93
-6846.97,1.13,6851.67,5.83
-6847.09,1.19,6851.52,5.62
-6845.67,1.34,6853.45,9.11
-6847.03,1.18,6851.88,6.03
-6844.70,1.50,6853.17,9.98
-6846.59,1.31,6851.56,6.29
-6847.25,1.27,6854.78,8.79
-6847.43,1.27,6851.69,5.52
-6847.31,1.25,6851.46,5.40
-6847.14,1.11,6851.42,5.40
-6847.35,1.11,6852.02,5.79
-6823.70,3.77,6851.57,31.64
-6823.22,3.34,6854.74,34.87
-6823.01,2.31,6854.98,34.28
-6824.82,1.81,6853.10,30.09
-6827.06,1.45,6851.56,25.95
-6829.11,1.14,6856.93,28.96
-6832.07,0.96,6855.90,24.79
-6835.28,0.81,6855.03,20.56
-6838.50,0.71,6854.21,16.42
-6841.12,0.62,6853.46,12.96
-6842.68,0.62,6851.70,9.64
-6845.53,0.58,6854.40,9.46
-6840.93,1.14,6853.50,13.71
-6843.05,0.96,6852.30,10.22
-6843.38,0.98,6852.58,10.17
-6846.44,0.86,6854.73,9.15
-6845.21,1.06,6852.98,8.84
-6844.79,1.15,6852.47,8.83
-6846.68,0.96,6851.34,5.62
-6846.88,0.97,6851.39,5.48
-6841.70,1.50,6853.49,13.28
-6842.98,1.26,6868.01,26.29
-6845.75,1.07,6866.80,22.13
-6841.77,1.52,6858.49,18.24
-6843.14,1.26,6856.95,15.07
-6842.50,1.45,6851.92,10.87
-6843.58,1.27,6856.63,14.33
-6843.68,1.33,6852.29,9.94
-6842.33,1.43,6854.76,13.86
-6844.83,1.22,6853.29,9.67
-6843.10,1.37,6851.58,9.84
-6845.54,1.19,6853.21,8.86
