Created,Deserialized,Processing,Processed,Finished
1714995327.130017,1714995320.2924986,1714995320.2963645,1714995320.2963743,1714995327.1516502
1714995327.1376586,1714995320.297377,1714995320.301109,1714995320.3011174,1714995327.156321
1714995327.1463227,1714995320.3050153,1714995320.3087041,1714995320.308712,1714995327.1615782
1714995327.1530733,1714995320.3094494,1714995320.3119423,1714995320.3119473,1714995327.1666806
1714995327.15866,1714995320.3128808,1714995320.3147435,1714995320.3147473,1714995327.1706042
1714995327.1633024,1714995320.31791,1714995320.3196418,1714995320.3196456,1714995327.1708636
1714995327.1679664,1714995320.3218465,1714995320.3232882,1714995320.3232915,1714995327.174456
1714995327.172005,1714995320.3253086,1714995320.3265715,1714995320.3265746,1714995327.1776288
1714995327.1756024,1714995320.3287127,1714995320.3299346,1714995320.3299372,1714995327.181939
1714995327.1798577,1714995320.3328903,1714995320.3341632,1714995320.334166,1714995327.1864095
1714995327.1841815,1714995320.3375204,1714995320.3389442,1714995320.338947,1714995327.1906345
1714995327.1885371,1714995320.341491,1714995320.3429432,1714995320.3429463,1714995327.1948493
1714995327.1927714,1714995320.3472161,1714995320.3488672,1714995320.3488698,1714995327.2002335
1714995327.1969988,1714995320.3499126,1714995320.3513842,1714995320.351387,1714995327.2026072
1714995327.200279,1714995320.3534782,1714995320.3548806,1714995320.354883,1714995327.2060022
1714995327.2038522,1714995320.356749,1714995320.358071,1714995320.3580732,1714995327.2101622
1714995327.2081134,1714995320.3612795,1714995320.3627508,1714995320.3627534,1714995327.214355
1714995327.2122707,1714995320.3652854,1714995320.366782,1714995320.366785,1714995327.2186263
1714995327.2165034,1714995320.3697572,1714995320.3713272,1714995320.3713303,1714995327.2231271
1714995327.2209008,1714995320.3740504,1714995320.3756144,1714995320.3756173,1714995327.2273457
1714995327.2252486,1714995320.3782518,1714995320.37981,1714995320.3798127,1714995327.231748
1714995327.2294564,1714995320.3828638,1714995320.3844635,1714995320.3844666,1714995327.2360594
1714995327.233974,1714995320.3872306,1714995320.3888323,1714995320.388835,1714995327.2403588
1714995327.238288,1714995320.3933702,1714995320.3952522,1714995320.3952558,1714995327.2485192
1714995327.2424674,1714995320.3956292,1714995320.3971205,1714995320.397123,1714995327.2485876
1714995327.2464273,1714995320.3995047,1714995320.4009788,1714995320.4009814,1714995327.2529755
1714995327.2508237,1714995320.4039617,1714995320.4055352,1714995320.4055383,1714995327.2571714
1714995327.25513,1714995320.408141,1714995320.409647,1714995320.4096496,1714995327.26136
1714995327.2593226,1714995320.4125032,1714995320.4140782,1714995320.4140813,1714995327.2655258
1714995327.2634869,1714995320.4164553,1714995320.4180064,1714995320.4180093,1714995327.2709599
