Time_offload,Time_process,Time_reply,Time_e2e
-6837.52,3.88,6855.28,21.63
-6840.28,3.74,6855.20,18.66
-6841.31,3.70,6852.87,15.26
-6843.62,2.50,6854.73,13.61
-6845.78,1.87,6855.86,11.94
-6845.39,1.74,6851.22,7.56
-6846.12,1.45,6851.16,6.49
-6846.70,1.27,6851.05,5.62
-6846.89,1.22,6852.00,6.34
-6846.97,1.28,6852.24,6.55
-6846.66,1.43,6851.69,6.45
-6847.05,1.46,6851.90,6.31
-6845.56,1.65,6851.36,7.46
-6847.09,1.47,6851.22,5.61
-6846.80,1.40,6851.12,5.72
-6847.10,1.32,6852.09,6.31
-6846.83,1.47,6851.60,6.24
-6846.99,1.50,6851.84,6.36
-6846.75,1.57,6851.80,6.62
-6846.85,1.57,6851.73,6.44
-6847.00,1.56,6851.94,6.50
-6846.59,1.60,6851.59,6.60
-6846.74,1.60,6851.52,6.38
-6844.92,1.89,6853.26,10.23
-6846.84,1.49,6851.46,6.12
-6846.92,1.48,6851.99,6.55
-6846.86,1.58,6851.63,6.35
-6846.99,1.51,6851.71,6.23
-6846.82,1.58,6851.44,6.20
-6847.03,1.55,6852.95,7.47
-6846.85,1.59,6853.88,8.61
-6847.07,1.41,6851.21,5.55
-6847.05,1.33,6851.23,5.51
-6846.96,1.34,6851.98,6.36
-6846.94,1.50,6851.89,6.46
-6847.04,1.34,6852.30,6.59
-6846.60,1.46,6851.62,6.48
-6845.51,1.67,6851.30,7.45
-6846.90,1.44,6851.02,5.56
-6846.92,1.35,6851.17,5.60
-6846.86,1.34,6851.88,6.35
-6846.96,1.39,6851.92,6.35
-6845.01,1.78,6853.82,10.59
-6845.57,1.61,6853.52,9.56
-6840.54,2.25,6852.49,14.20
-6839.69,1.97,6852.88,15.16
-6841.30,1.68,6854.14,14.52
-6843.55,1.34,6852.56,10.35
-6846.42,1.12,6851.21,5.91
-6846.14,1.21,6851.32,6.40
-6846.56,1.29,6851.57,6.30
-6847.00,1.31,6851.99,6.30
-6846.98,1.40,6851.88,6.30
-6844.35,1.78,6853.00,10.43
-6846.43,1.52,6851.45,6.54
-6846.85,1.43,6851.05,5.63
-6847.05,1.35,6852.00,6.30
-6846.94,1.45,6851.81,6.33
-6847.03,1.49,6851.87,6.33
-6846.91,1.58,6851.62,6.28
-6846.97,1.56,6851.64,6.23
-6847.00,1.52,6852.23,6.75
-6845.46,1.76,6851.48,7.79
-6847.08,1.55,6851.14,5.60
-6846.78,1.46,6851.19,5.86
-6847.04,1.36,6851.56,5.88
-6846.86,1.43,6851.81,6.38
-6847.00,1.48,6851.86,6.34
-6847.01,1.50,6851.85,6.35
-6847.02,1.53,6851.75,6.26
-6846.94,1.58,6851.71,6.34
-6846.95,1.55,6851.75,6.35
-6846.97,1.58,6851.67,6.27
-6846.95,1.61,6851.75,6.41
-6846.97,1.57,6851.70,6.30
-6846.91,1.58,6851.87,6.54
-6847.03,1.56,6851.90,6.42
-6846.92,1.65,6852.29,7.03
-6845.37,1.87,6851.72,8.22
-6846.83,1.65,6851.77,6.59
-6846.94,1.64,6851.57,6.28
-6846.98,1.57,6851.67,6.26
-6847.01,1.57,6851.71,6.27
-6846.00,1.75,6851.67,7.42
-6847.09,1.51,6851.09,5.51
-6845.60,1.63,6853.12,9.15
-6847.08,1.34,6851.53,5.78
-6845.35,1.56,6853.48,9.69
-6846.98,1.40,6851.07,5.49
-6847.01,1.32,6852.11,6.42
-6846.64,1.49,6855.00,9.85
-6835.88,3.22,6851.15,18.48
-6835.23,2.27,6851.15,18.18
-6837.11,1.79,6853.09,17.77
-6839.48,1.50,6851.55,13.57
-6841.64,1.17,6851.05,10.58
-6843.81,1.01,6852.06,9.26
-6846.61,0.88,6851.04,5.31
-6846.24,0.98,6851.66,6.41
-6846.95,1.06,6852.35,6.46
-6846.98,1.20,6852.05,6.28
-6846.92,1.28,6851.86,6.22
-6846.92,1.26,6852.05,6.39
-6844.16,1.64,6852.94,10.42
-6846.43,1.32,6854.64,9.53
-6846.98,1.30,6851.23,5.55
-6847.12,1.26,6851.29,5.43
-6847.09,1.24,6852.19,6.34
-6846.94,1.40,6851.96,6.41
-6846.87,1.45,6851.79,6.36
-6846.94,1.51,6851.78,6.35
-6846.22,1.60,6851.11,6.48
-6846.83,1.54,6851.81,6.52
-6846.92,1.54,6851.77,6.39
-6846.86,1.56,6851.71,6.40
-6846.94,1.55,6851.69,6.30
-6846.92,1.60,6851.66,6.34
-6847.00,1.57,6851.73,6.31
-6846.96,1.54,6851.90,6.49
-6846.99,1.55,6851.05,5.61
-6846.97,1.45,6851.69,6.17
-6846.57,1.43,6851.19,6.04
-6847.02,1.41,6852.00,6.39
-6846.17,1.56,6851.05,6.45
-6846.99,1.50,6851.27,5.77
-6846.90,1.41,6851.20,5.71
-6847.06,1.39,6852.06,6.39
-6846.94,1.45,6851.75,6.25
-6846.99,1.49,6851.92,6.42
-6846.75,1.53,6851.67,6.46
-6845.95,1.68,6853.86,9.59
-6847.06,1.47,6851.07,5.48
-6847.15,1.41,6852.50,6.76
-6846.66,1.60,6851.56,6.51
-6846.91,1.56,6851.87,6.52
-6846.86,1.56,6852.10,6.79
-6846.67,1.65,6851.29,6.28
-6846.37,1.62,6853.88,9.14
-6845.06,1.83,6851.20,7.97
-6846.79,1.66,6851.60,6.46
-6846.40,1.61,6851.26,6.47
-6846.97,1.52,6852.12,6.67
-6846.02,1.65,6851.84,7.47
-6844.89,1.89,6853.57,10.56
-6846.91,1.54,6851.36,5.99
-6846.94,1.52,6851.21,5.79
-6846.92,1.46,6852.11,6.64
-6844.99,1.83,6853.21,10.06
-6847.04,1.47,6851.39,5.82
-6846.96,1.43,6851.83,6.30
-6846.99,1.50,6851.75,6.26
-6846.98,1.50,6851.75,6.26
-6846.99,1.52,6851.77,6.31
-6846.04,1.70,6851.07,6.73
-6846.86,1.57,6851.55,6.26
-6846.54,1.52,6851.16,6.14
-6847.11,1.40,6851.29,5.58
-6846.96,1.24,6852.29,6.58
-6846.76,1.35,6851.99,6.58
-6846.94,1.45,6851.77,6.28
-6844.96,1.70,6853.26,9.99
-6847.06,1.44,6851.37,5.75
-6846.39,1.53,6851.17,6.32
-6846.97,1.43,6851.95,6.41
-6846.40,1.55,6851.10,6.26
-6846.98,1.49,6852.05,6.56
-6825.92,3.85,6853.07,31.00
-6825.00,3.36,6853.44,31.79
-6824.74,2.27,6853.48,31.01
-6826.50,1.75,6851.64,26.89
-6828.65,1.37,6853.36,26.08
-6830.96,1.11,6851.81,21.97
-6833.97,0.93,6851.05,18.01
-6837.39,0.78,6853.54,16.93
-6840.83,0.69,6852.92,12.78
-6843.41,0.62,6852.08,9.28
-6846.27,0.57,6851.47,5.78
-6846.82,0.64,6851.76,5.59
-6844.26,0.99,6852.79,9.52
-6847.18,0.85,6851.66,5.34
-6846.01,1.04,6851.45,6.47
-6846.97,1.05,6852.41,6.49
-6846.97,1.20,6852.07,6.30
-6847.00,1.32,6851.96,6.28
-6846.97,1.42,6851.82,6.27
-6846.53,1.46,6851.39,6.32
-6846.45,1.50,6851.29,6.34
-6844.54,1.77,6853.28,10.51
-6844.64,1.68,6853.26,10.30
-6846.67,1.40,6851.57,6.31
-6846.28,1.50,6854.81,10.02
-6845.52,1.60,6853.35,9.43
-6846.76,1.33,6851.24,5.82
-6846.77,1.35,6851.82,6.40
-6846.78,1.43,6851.61,6.26
-6846.59,1.51,6851.68,6.60
-6846.67,1.49,6851.76,6.58
-6846.98,1.54,6851.82,6.37
-6844.68,1.86,6853.10,10.28
-6846.82,1.52,6851.30,5.99
-6846.88,1.49,6851.61,6.22
-6847.08,1.47,6851.86,6.25
-6846.79,1.58,6851.79,6.57
-6846.26,1.69,6851.07,6.50
-6846.99,1.53,6851.79,6.33
-6846.31,1.51,6851.17,6.37
-6846.94,1.46,6851.05,5.58
-6847.17,1.35,6851.25,5.43
-6846.89,1.34,6851.93,6.37
-6847.04,1.41,6851.90,6.26
-6846.83,1.50,6852.09,6.76
-6846.50,1.57,6851.74,6.81
-6845.54,1.75,6851.12,7.32
-6847.09,1.49,6851.98,6.38
-6845.02,1.83,6852.96,9.77
-6847.06,1.49,6852.09,6.52
-6846.88,1.44,6851.65,6.21
-6821.59,3.85,6853.51,35.77
-6821.71,3.71,6853.47,35.47
-6820.77,2.53,6853.10,34.86
-6822.30,1.88,6851.11,30.69
-6824.50,1.47,6853.04,30.01
-6827.15,1.20,6851.84,25.89
-6830.04,1.02,6850.85,21.83
-6833.22,0.85,6852.84,20.48
-6836.00,0.76,6852.04,16.79
-6839.28,0.65,6851.63,13.01
-6842.33,0.58,6851.03,9.28
-6845.17,0.57,6853.29,8.69
-6846.82,0.58,6851.70,5.46
-6844.15,0.87,6853.44,10.16
-6846.81,0.78,6851.90,5.87
-6846.83,0.92,6852.34,6.42
-6846.70,1.09,6852.17,6.56
-6846.93,1.20,6851.32,5.59
-6846.92,1.20,6851.23,5.50
-6844.33,1.53,6853.62,10.82
-6846.65,1.29,6851.88,6.52
-6844.55,1.59,6851.04,8.08
-6847.11,1.36,6851.03,5.28
