Time_offload,Time_process,Time_reply,Time_e2e
-6839.17,3.89,6851.34,16.06
-6839.57,3.87,6852.94,17.24
-6840.77,3.24,6852.79,15.25
-6841.93,2.16,6851.15,11.37
-6843.64,1.58,6852.83,10.77
-6845.44,1.27,6851.16,6.99
-6844.89,1.29,6850.70,7.11
-6843.81,1.55,6852.11,9.86
-6841.83,1.74,6850.79,10.69
-6844.00,1.36,6850.47,7.83
-6846.48,1.15,6851.02,5.70
-6846.64,1.17,6852.18,6.71
-6846.10,1.30,6851.56,6.77
-6846.64,1.37,6851.75,6.48
-6845.38,1.64,6851.09,7.35
-6846.75,1.42,6851.73,6.41
-6844.59,1.76,6852.97,10.14
-6846.68,1.45,6851.06,5.83
-6844.60,1.71,6852.93,10.05
-6846.61,1.42,6850.94,5.75
-6845.87,1.49,6850.76,6.38
-6846.58,1.41,6851.61,6.44
-6846.68,1.45,6851.68,6.45
-6846.52,1.53,6851.40,6.42
-6845.90,1.63,6850.83,6.56
-6846.68,1.51,6855.35,10.18
-6846.24,1.65,6850.70,6.11
-6846.46,1.50,6850.76,5.80
-6846.52,1.45,6851.44,6.37
-6846.63,1.48,6851.52,6.36
-6846.41,1.55,6851.40,6.55
-6846.53,1.59,6851.74,6.81
-6845.44,1.74,6851.67,7.97
-6844.03,1.93,6852.81,10.72
-6846.43,1.56,6851.83,6.95
-6845.82,1.59,6850.80,6.56
-6846.69,1.46,6851.84,6.62
-6846.53,1.56,6851.44,6.47
-6845.16,1.79,6853.19,9.82
-6846.71,1.48,6850.87,5.64
-6846.58,1.40,6851.52,6.34
-6846.56,1.52,6851.40,6.36
-6845.74,1.63,6850.68,6.56
-6846.64,1.50,6850.72,5.58
-6846.58,1.41,6851.68,6.51
-6846.41,1.49,6852.43,7.51
-6824.83,3.84,6851.65,30.66
-6824.19,3.55,6851.88,31.24
-6823.63,2.49,6852.62,31.49
-6824.85,1.72,6850.64,27.51
-6837.55,1.38,6851.81,15.63
-6841.05,1.08,6850.78,10.81
-6844.50,0.89,6852.87,9.26
-6846.66,0.77,6851.57,5.68
-6846.68,0.92,6852.97,7.21
-6845.71,1.27,6851.58,7.14
-6846.50,1.29,6851.69,6.47
-6846.60,1.32,6852.02,6.74
-6845.55,1.55,6851.02,7.01
-6846.26,1.49,6851.62,6.84
-6846.68,1.51,6851.60,6.44
-6846.70,1.60,6851.33,6.23
-6846.66,1.55,6851.52,6.41
-6844.80,1.82,6852.97,9.99
-6846.66,1.48,6850.97,5.79
-6846.55,1.48,6851.60,6.53
-6846.70,1.49,6851.56,6.34
-6846.47,1.52,6851.34,6.39
-6846.58,1.50,6851.53,6.45
-6846.62,1.54,6851.51,6.43
-6846.67,1.57,6851.82,6.72
-6846.43,1.65,6852.01,7.23
-6846.87,1.55,6851.65,6.34
-6846.67,1.56,6851.49,6.38
-6845.04,1.75,6850.79,7.50
-6846.75,1.49,6851.66,6.40
-6846.63,1.55,6851.53,6.45
-6846.57,1.61,6851.38,6.41
-6846.45,1.63,6851.13,6.31
-6846.54,1.56,6851.27,6.28
-6843.91,1.98,6852.79,10.86
-6845.86,1.59,6850.83,6.57
-6845.75,1.60,6850.68,6.53
-6846.71,1.49,6851.84,6.61
-6846.39,1.55,6851.30,6.46
-6846.63,1.56,6851.38,6.30
-6846.43,1.61,6851.14,6.31
-6842.70,2.10,6851.76,11.17
-6843.39,1.81,6852.81,11.23
-6844.88,1.49,6851.29,7.90
-6845.06,1.57,6853.44,9.94
-6842.62,1.95,6850.69,10.02
-6844.03,1.58,6852.67,10.22
-6846.28,1.28,6851.13,6.14
-6845.07,1.48,6854.20,10.61
-6842.41,1.86,6851.20,10.65
-6844.51,1.48,6853.02,10.00
-6844.33,1.56,6852.79,10.02
-6844.65,1.46,6853.29,10.10
-6846.15,1.27,6850.87,5.99
-6845.93,1.34,6851.07,6.48
-6825.24,3.83,6854.03,32.61
-6814.07,3.78,6860.86,50.57
-6803.26,3.76,6858.36,58.86
-6793.99,3.77,6850.88,60.66
-6793.24,2.90,6850.92,60.58
-6794.33,2.15,6851.31,59.13
