Created,Deserialized,Processing,Processed,Finished
1714995407.1871042,1714995400.3455536,1714995400.3494256,1714995400.349436,1714995407.2039587
1714995407.1933184,1714995400.3521652,1714995400.3559992,1714995400.3560097,1714995407.2091358
1714995407.1996436,1714995400.3583574,1714995400.3619568,1714995400.3619647,1714995407.2162163
1714995407.205164,1714995400.3646975,1714995400.3673007,1714995400.367307,1714995407.219717
1714995407.2102776,1714995400.3677983,1714995400.369579,1714995400.3695827,1714995407.2230222
1714995407.2141337,1714995400.3700147,1714995400.3713562,1714995400.3713586,1714995407.2260702
1714995407.2173367,1714995400.371598,1714995400.3726637,1714995400.372666,1714995407.226135
1714995407.2208326,1714995400.3737247,1714995400.3747084,1714995400.3747106,1714995407.2291894
1714995407.223995,1714995400.3762786,1714995400.3771598,1714995400.3771617,1714995407.2294185
1714995407.2271478,1714995400.3787985,1714995400.3796582,1714995400.3796604,1714995407.232762
1714995407.2306619,1714995400.3824062,1714995400.3834531,1714995400.3834558,1714995407.2360883
1714995407.2338972,1714995400.3881042,1714995400.39008,1714995400.3900843,1714995407.2436097
1714995407.2372983,1714995400.3916497,1714995400.3944266,1714995400.3944325,1714995407.2471626
1714995407.2412245,1714995400.3951209,1714995400.3984814,1714995400.3984878,1714995407.2536283
1714995407.2448356,1714995400.3991146,1714995400.4016118,1714995400.401616,1714995407.2538972
1714995407.2482994,1714995400.4020865,1714995400.4039717,1714995400.403975,1714995407.2572281
1714995407.2515233,1714995400.4043052,1714995400.4057508,1714995400.4057536,1714995407.2607348
1714995407.255016,1714995400.4087014,1714995400.410176,1714995400.4101799,1714995407.2640274
1714995407.2583904,1714995400.4105098,1714995400.4116545,1714995400.4116566,1714995407.2640378
1714995407.2618787,1714995400.4135907,1714995400.414694,1714995400.414697,1714995407.2672842
1714995407.2651937,1714995400.4176638,1714995400.418842,1714995400.4188447,1714995407.2737463
1714995407.2683988,1714995400.421393,1714995400.4225953,1714995400.4225976,1714995407.2769759
1714995407.2716246,1714995400.423668,1714995400.4247332,1714995400.4247355,1714995407.277126
1714995407.2748885,1714995400.426648,1714995400.4276986,1714995400.4277008,1714995407.2831993
1714995407.278235,1714995400.4336555,1714995400.4352005,1714995400.4352033,1714995407.2893176
1714995407.2811468,1714995400.43786,1714995400.439417,1714995400.4394205,1714995407.2926269
1714995407.2843938,1714995400.4397678,1714995400.4410923,1714995400.441095,1714995407.2955093
1714995407.2872665,1714995400.441349,1714995400.4424543,1714995400.4424562,1714995407.295576
1714995407.2905104,1714995400.442675,1714995400.443606,1714995400.4436076,1714995407.2958481
1714995407.2934837,1714995400.445122,1714995400.4460192,1714995400.4460208,1714995407.2990801
1714995407.2969966,1714995400.4486372,1714995400.449658,1714995400.4496598,1714995407.3022966
1714995407.300194,1714995400.4518716,1714995400.4529052,1714995400.452907,1714995407.3083215
1714995407.3034337,1714995400.4558933,1714995400.4570346,1714995400.4570365,1714995407.3114667
1714995407.3062837,1714995400.4579105,1714995400.4589605,1714995400.4589627,1714995407.3115273
1714995407.3094134,1714995400.4610598,1714995400.4621289,1714995400.4621313,1714995407.3147502
1714995407.312639,1714995400.46433,1714995400.4654198,1714995400.465422,1714995407.3179746
1714995407.3158898,1714995400.4675927,1714995400.4687457,1714995400.468748,1714995407.3211622
1714995407.3190923,1714995400.470723,1714995400.4718447,1714995400.4718466,1714995407.3243675
1714995407.3222775,1714995400.4738188,1714995400.4749744,1714995400.474977,1714995407.327526
1714995407.3254836,1714995400.4770606,1714995400.4781845,1714995400.4781861,1714995407.3307254
1714995407.3286421,1714995400.4802938,1714995400.481442,1714995400.4814441,1714995407.333985
1714995407.3318439,1714995400.4847376,1714995400.4860098,1714995400.4860122,1714995407.3403256
1714995407.3351128,1714995400.4867783,1714995400.4879174,1714995400.4879193,1714995407.3403888
1714995407.338285,1714995400.4899845,1714995400.49114,1714995400.4911416,1714995407.343584
1714995407.3415017,1714995400.493609,1714995400.4948032,1714995400.4948056,1714995407.3498788
1714995407.344695,1714995400.4963095,1714995400.4974437,1714995400.4974456,1714995407.3499453
1714995407.347833,1714995400.4993312,1714995400.5004508,1714995400.5004528,1714995407.3533468
1714995407.3512094,1714995400.5041916,1714995400.505454,1714995400.5054562,1714995407.3597765
1714995407.3545713,1714995400.5061269,1714995400.5072417,1714995400.5072436,1714995407.3598404
1714995407.35772,1714995400.510652,1714995400.5119371,1714995400.5119393,1714995407.3663468
1714995407.3609471,1714995400.5126421,1714995400.513749,1714995400.513751,1714995407.3663619
1714995407.3642516,1714995400.5159657,1714995400.5171282,1714995400.5171301,1714995407.369563
1714995407.3674824,1714995400.519829,1714995400.5210245,1714995400.5210268,1714995407.3758976
1714995407.370798,1714995400.5236795,1714995400.5249465,1714995400.5249488,1714995407.4190936
1714995407.3738286,1714995400.5671365,1714995400.5711439,1714995400.571154,1714995407.4248424
1714995407.3770237,1714995400.5724423,1714995400.5763776,1714995400.5763872,1714995407.4289787
1714995407.3801928,1714995400.5769544,1714995400.580305,1714995400.580311,1714995407.4326236
1714995407.3833094,1714995400.581567,1714995400.5836577,1714995400.5836627,1714995407.438992
1714995407.3864295,1714995400.5839555,1714995400.5854461,1714995400.5854495,1714995407.439001
1714995407.389574,1714995400.5855522,1714995400.5868263,1714995400.5868285,1714995407.442163
1714995407.392606,1714995400.5868964,1714995400.5879052,1714995400.587907,1714995407.4421709
1714995407.4202926,1714995400.5879655,1714995400.5888348,1714995400.5888364,1714995407.442244
1714995407.4260685,1714995400.5891554,1714995400.5898612,1714995400.5898623,1714995407.4422503
1714995407.43011,1714995400.5899074,1714995400.5905519,1714995400.590553,1714995407.4425995
1714995407.4337492,1714995400.5906277,1714995400.5911992,1714995400.5912,1714995407.4455795
1714995407.4368618,1714995400.5912364,1714995400.5918014,1714995400.5918021,1714995407.4456584
1714995407.4401393,1714995400.5926397,1714995400.5932422,1714995400.5932434,1714995407.4456654
1714995407.4434743,1714995400.5952868,1714995400.5958834,1714995400.595885,1714995407.448873
1714995407.4468348,1714995400.598627,1714995400.599286,1714995400.5992875,1714995407.452039
1714995407.449989,1714995400.6015527,1714995400.6023169,1714995400.6023183,1714995407.455415
1714995407.4531705,1714995400.6060085,1714995400.6069462,1714995400.6069484,1714995407.4618766
1714995407.4565527,1714995400.60819,1714995400.6090684,1714995400.60907,1714995407.461887
1714995407.4597466,1714995400.6129234,1714995400.614046,1714995400.6140482,1714995407.468315
1714995407.4629989,1714995400.6144915,1714995400.6154552,1714995400.6154575,1714995407.4683225
1714995407.466219,1714995400.617876,1714995400.6189172,1714995400.6189191,1714995407.471566
1714995407.469457,1714995400.6222486,1714995400.623453,1714995400.6234553,1714995407.4779317
1714995407.4727867,1714995400.6256373,1714995400.6268313,1714995400.6268337,1714995407.4812105
1714995407.4758105,1714995400.6273952,1714995400.6284287,1714995400.6284308,1714995407.4812763
1714995407.4791842,1714995400.6308181,1714995400.6319258,1714995400.6319277,1714995407.4846225
1714995407.4824486,1714995400.6380298,1714995400.6395607,1714995400.639564,1714995407.4940326
1714995407.4857368,1714995400.6398532,1714995400.641175,1714995400.6411772,1714995407.4942415
1714995407.4887664,1714995400.643429,1714995400.6447434,1714995400.6447458,1714995407.4975839
1714995407.4917073,1714995400.6449852,1714995400.646089,1714995400.6460907,1714995407.5006256
1714995407.495475,1714995400.6471019,1714995400.6481047,1714995400.6481066,1714995407.5007048
1714995407.4986224,1714995400.6501079,1714995400.6511564,1714995400.6511583,1714995407.5040276
1714995407.5018952,1714995400.6536324,1714995400.6547527,1714995400.654755,1714995407.5072827
1714995407.5051928,1714995400.6568923,1714995400.658055,1714995400.6580575,1714995407.5131385
1714995407.5084047,1714995400.6609826,1714995400.6622274,1714995400.66223,1714995407.5163577
1714995407.5110524,1714995400.6627252,1714995400.6637895,1714995400.6637917,1714995407.516607
1714995407.5143607,1714995400.665923,1714995400.6670415,1714995400.6670437,1714995407.520122
1714995407.5177352,1714995400.6695228,1714995400.6706758,1714995400.670678,1714995407.5233753
1714995407.5212405,1714995400.6729891,1714995400.6741812,1714995400.6741834,1714995407.5266914
1714995407.524622,1714995400.676262,1714995400.6774614,1714995400.677464,1714995407.5299473
1714995407.527832,1714995400.6795473,1714995400.6807353,1714995400.6807377,1714995407.5331533
1714995407.5310667,1714995400.6826363,1714995400.6838014,1714995400.6838036,1714995407.5363092
1714995407.534268,1714995400.6858776,1714995400.6870232,1714995400.6870253,1714995407.5394998
1714995407.5374236,1714995400.6898332,1714995400.6911077,1714995400.6911104,1714995407.545884
1714995407.5407171,1714995400.692319,1714995400.6934643,1714995400.6934667,1714995407.5459452
1714995407.5438764,1714995400.695487,1714995400.6966333,1714995400.6966355,1714995407.5493002
1714995407.5471938,1714995400.6988833,1714995400.700045,1714995400.7000473,1714995407.5525663
1714995407.550508,1714995400.7027106,1714995400.7039444,1714995400.7039468,1714995407.5592558
1714995407.5538473,1714995400.7065313,1714995400.7078087,1714995400.707811,1714995407.5625172
1714995407.557138,1714995400.7095878,1714995400.7108574,1714995400.7108598,1714995407.5656564
1714995407.5603755,1714995400.7120945,1714995400.7132342,1714995400.7132366,1714995407.5657184
1714995407.5635803,1714995400.7152464,1714995400.7164035,1714995400.7164054,1714995407.5689354
1714995407.5668352,1714995400.7185133,1714995400.7196517,1714995400.7196538,1714995407.572157
1714995407.5700974,1714995400.721732,1714995400.7229037,1714995400.7229059,1714995407.5754132
1714995407.5732858,1714995400.7248502,1714995400.7259963,1714995400.7259986,1714995407.5785892
1714995407.5765269,1714995400.7288294,1714995400.7300708,1714995400.7300727,1714995407.5849133
1714995407.5797038,1714995400.7312913,1714995400.7324288,1714995400.7324307,1714995407.5849767
1714995407.5828576,1714995400.7345495,1714995400.7356927,1714995400.735695,1714995407.5883145
1714995407.5861964,1714995400.7396975,1714995400.7410824,1714995400.7410846,1714995407.5949783
1714995407.5895677,1714995400.741349,1714995400.7425427,1714995400.7425451,1714995407.5949867
1714995407.59281,1714995400.7453926,1714995400.7466378,1714995400.7466404,1714995407.6013918
1714995407.5962086,1714995400.7477741,1714995400.7489288,1714995400.748931,1714995407.6014006
1714995407.599326,1714995400.7509289,1714995400.752067,1714995400.7520695,1714995407.604666
1714995407.6025145,1714995400.754241,1714995400.7554166,1714995400.7554188,1714995407.607957
1714995407.605869,1714995400.7575316,1714995400.7587254,1714995400.7587273,1714995407.6111777
1714995407.6091573,1714995400.7622178,1714995400.7635643,1714995400.7635667,1714995407.6177773
1714995407.61243,1714995400.7641,1714995400.7652287,1714995400.765231,1714995407.6181688
1714995407.6157365,1714995400.7675433,1714995400.7687316,1714995400.768734,1714995407.621527
1714995407.6193345,1714995400.7708929,1714995400.7720761,1714995400.7720783,1714995407.6247582
