Time_offload,Time_process,Time_reply,Time_e2e
-6841.55,3.88,6854.52,16.85
-6841.15,3.84,6853.13,15.82
-6841.29,3.61,6854.25,16.57
-6840.47,2.61,6852.41,14.55
-6842.48,1.78,6853.44,12.74
-6844.12,1.34,6854.71,11.94
-6845.74,1.07,6853.47,8.80
-6847.11,0.99,6854.48,8.36
-6847.72,0.88,6852.26,5.42
-6848.35,0.86,6853.10,5.61
-6848.26,1.05,6852.63,5.43
-6845.79,1.98,6853.53,9.71
-6845.65,2.78,6852.73,9.86
-6846.10,3.37,6855.14,12.40
-6845.72,2.50,6852.28,9.06
-6846.21,1.89,6853.25,8.93
-6847.22,1.45,6854.98,9.21
-6846.31,1.48,6853.85,9.01
-6847.88,1.15,6852.38,5.65
-6848.29,1.11,6852.59,5.41
-6847.53,1.18,6854.90,8.55
-6847.01,1.20,6854.38,8.58
-6847.96,1.07,6852.39,5.50
-6848.24,1.05,6855.50,8.31
-6844.58,1.55,6854.11,11.08
-6843.29,1.56,6853.21,11.48
-6844.63,1.33,6854.41,11.12
-6845.92,1.11,6853.12,8.31
-6847.84,0.93,6852.24,5.34
-6848.36,0.90,6853.06,5.60
-6848.36,1.02,6852.64,5.30
-6848.32,1.04,6855.41,8.13
-6847.54,1.14,6854.43,8.03
-6848.37,1.05,6852.56,5.24
-6848.35,1.07,6852.62,5.34
-6848.31,1.09,6852.55,5.34
-6848.30,1.16,6852.41,5.27
-6848.37,1.12,6852.52,5.28
-6848.46,1.16,6852.55,5.25
-6848.42,1.13,6852.54,5.24
-6848.35,1.15,6852.54,5.34
-6847.11,1.27,6854.31,8.48
-6848.33,1.14,6852.47,5.28
-6848.30,1.16,6852.44,5.30
-6847.89,1.20,6855.07,8.38
-6848.39,1.14,6852.50,5.25
-6848.50,1.12,6852.89,5.51
-6847.02,1.26,6854.32,8.57
-6848.44,1.12,6852.60,5.27
-6847.07,1.29,6854.41,8.63
-6848.30,1.11,6852.61,5.41
-6848.29,1.16,6852.43,5.31
-6847.65,1.20,6854.87,8.42
-6847.12,1.27,6894.14,48.30
-6806.69,4.02,6853.69,51.01
-6804.58,3.94,6852.59,51.95
-6803.24,3.36,6852.31,52.43
-6801.74,2.10,6855.33,55.68
-6802.47,1.49,6853.55,52.57
-6804.02,1.28,6855.33,52.59
-6805.71,1.01,6854.26,49.56
-6832.33,0.87,6853.41,21.95
-6836.91,0.71,6852.39,16.18
-6840.20,0.65,6852.05,12.49
-6843.12,0.57,6854.38,11.83
-6845.63,0.57,6853.86,8.80
-6847.50,0.60,6852.42,5.53
-6848.19,0.60,6852.99,5.40
-6848.21,0.66,6852.75,5.20
-6848.44,0.77,6853.10,5.43
-6847.16,0.94,6854.93,8.71
-6848.36,0.88,6852.82,5.33
-6846.82,1.12,6854.27,8.57
-6848.51,0.97,6852.86,5.32
-6848.34,1.04,6852.65,5.35
-6847.21,1.21,6854.48,8.47
-6847.15,1.20,6854.38,8.42
-6848.42,1.04,6852.85,5.47
-6848.37,1.11,6852.69,5.44
-6844.42,1.53,6854.47,11.58
-6845.88,1.32,6853.06,8.50
-6845.34,1.32,6852.84,8.82
-6846.72,1.11,6854.53,8.92
-6848.37,1.00,6852.60,5.23
-6848.51,1.05,6852.87,5.41
-6848.26,1.12,6852.53,5.39
-6848.30,1.17,6855.08,7.95
-6847.42,1.25,6854.13,7.95
-6848.33,1.07,6852.82,5.55
-6848.44,1.12,6853.08,5.76
-6848.21,1.16,6852.70,5.64
-6848.25,1.19,6852.51,5.45
-6848.36,1.20,6852.48,5.33
-6848.28,1.19,6852.42,5.32
-6848.43,1.17,6852.51,5.24
-6848.39,1.15,6852.47,5.23
-6847.59,1.28,6854.77,8.46
-6848.40,1.15,6852.48,5.23
-6848.39,1.15,6852.66,5.42
-6848.31,1.16,6852.52,5.37
-6847.80,1.24,6855.31,8.75
-6847.32,1.28,6854.71,8.67
-6847.55,1.27,6854.80,8.52
-6848.28,1.14,6852.48,5.34
-6848.33,1.16,6852.53,5.36
-6848.32,1.14,6852.50,5.32
-6848.37,1.17,6852.51,5.32
-6848.44,1.15,6852.59,5.30
-6847.70,1.24,6854.84,8.39
-6848.41,1.14,6852.55,5.27
-6848.31,1.15,6852.62,5.46
-6846.50,1.39,6853.89,8.78
-6848.22,1.20,6852.44,5.42
-6847.42,1.25,6854.75,8.58
-6848.43,1.16,6852.47,5.19
-6848.40,1.14,6852.60,5.34
-6848.27,1.18,6852.54,5.44
-6848.34,1.20,6852.45,5.31
-6846.94,1.35,6854.21,8.62
-6848.33,1.13,6852.94,5.74
-6848.19,1.19,6852.79,5.79
-6848.44,1.19,6852.68,5.42
-6848.31,1.21,6852.35,5.25
-6848.44,1.21,6852.44,5.20
-6848.36,1.18,6852.62,5.44
-6848.22,1.23,6852.63,5.64
-6848.34,1.20,6852.64,5.50
-6846.49,1.43,6853.51,8.45
-6848.11,1.21,6852.25,5.35
-6848.35,1.17,6852.68,5.50
-6848.38,1.16,6852.84,5.61
-6848.30,1.19,6852.62,5.52
-6846.65,1.41,6853.72,8.48
-6848.25,1.19,6852.25,5.19
-6848.38,1.15,6852.50,5.27
-6848.38,1.17,6852.49,5.28
-6848.46,1.15,6852.58,5.26
-6848.02,1.21,6852.34,5.53
-6847.47,1.23,6852.31,6.07
-6847.74,1.25,6852.44,5.95
-6848.33,1.22,6852.81,5.69
-6848.35,1.21,6852.52,5.38
-6846.88,1.38,6854.11,8.60
-6848.21,1.16,6852.38,5.33
-6847.95,1.24,6852.22,5.51
-6848.39,1.16,6852.73,5.51
-6848.32,1.20,6852.43,5.32
-6848.34,1.19,6852.50,5.35
-6848.33,1.19,6852.58,5.44
-6831.04,3.69,6854.76,27.41
-6830.09,2.71,6854.50,27.13
-6829.58,1.95,6854.92,27.29
-6830.52,1.47,6853.33,24.29
-6832.02,1.24,6852.06,21.28
-6833.82,1.04,6854.25,21.46
-6835.34,0.86,6852.95,18.47
-6837.54,0.73,6852.17,15.36
-6840.14,0.65,6854.40,14.91
-6842.47,0.59,6853.81,11.94
-6845.09,0.57,6853.17,8.65
-6846.82,0.60,6854.49,8.28
-6848.36,0.58,6853.08,5.30
-6847.45,0.70,6852.36,5.61
-6848.50,0.70,6853.59,5.79
-6848.56,0.85,6853.38,5.67
-6848.35,0.97,6852.87,5.49
-6846.82,1.15,6854.33,8.66
-6848.42,1.14,6852.62,5.33
-6848.19,1.47,6852.31,5.59
-6848.20,2.00,6854.90,8.69
-6848.23,2.61,6854.14,8.53
-6848.08,2.51,6854.23,8.65
-6847.82,2.00,6854.57,8.74
-6845.67,1.98,6852.52,8.84
-6846.52,1.48,6854.00,8.96
-6846.53,1.36,6854.11,8.94
-6848.25,1.12,6852.55,5.42
-6848.14,1.09,6852.58,5.53
-6848.25,1.10,6852.43,5.28
-6848.22,1.07,6852.52,5.38
-6848.26,1.08,6852.52,5.34
-6847.93,1.08,6852.25,5.40
-6848.19,1.06,6852.46,5.32
-6847.39,1.13,6854.69,8.43
-6847.58,1.08,6854.91,8.41
-6846.85,1.14,6854.31,8.60
-6847.97,1.04,6852.39,5.46
-6848.37,1.05,6852.66,5.33
-6848.33,1.07,6852.62,5.37
-6848.33,1.15,6852.54,5.36
-6848.27,1.15,6852.46,5.34
-6846.95,1.28,6854.32,8.66
-6848.48,1.14,6852.71,5.37
-6847.35,1.26,6854.69,8.60
-6848.44,1.15,6852.63,5.33
-6848.33,1.16,6852.62,5.45
-6824.35,3.83,6854.37,33.85
-6823.08,3.18,6853.68,33.78
-6822.41,2.27,6854.18,34.04
-6822.76,1.67,6852.42,31.34
-6823.95,1.34,6852.99,30.38
-6825.64,1.10,6852.16,27.62
-6827.62,0.92,6854.20,27.51
-6829.30,0.79,6852.96,24.44
-6831.58,0.68,6852.69,21.80
-6834.01,0.61,6852.05,18.65
-6836.48,0.56,6853.63,17.71
-6839.24,0.55,6853.05,14.36
-6841.96,0.56,6852.47,11.07
-6844.10,0.57,6854.94,11.41
-6846.92,0.57,6854.24,7.88
-6847.44,0.56,6852.42,5.54
-6848.40,0.59,6853.40,5.58
-6848.34,0.60,6853.14,5.41
-6848.10,0.72,6852.91,5.52
-6848.49,0.80,6853.12,5.43
-6848.37,0.87,6852.88,5.38
-6848.18,0.95,6852.57,5.33
-6848.55,0.94,6853.03,5.42
-6848.38,1.06,6852.57,5.24
-6848.39,1.07,6852.62,5.31
-6846.59,1.24,6853.91,8.55
-6848.42,1.11,6852.55,5.24
-6848.29,1.12,6852.54,5.37
-6848.38,1.12,6852.57,5.31
-6847.81,1.23,6852.21,5.63
-6848.35,1.18,6852.70,5.53
-6848.36,1.21,6852.57,5.42
-6848.19,1.20,6852.51,5.51
-6846.86,1.35,6854.12,8.60
-6848.45,1.16,6852.56,5.27
-6848.30,1.22,6852.35,5.28
-6848.43,1.17,6852.54,5.27
-6848.40,1.19,6852.51,5.30
-6848.34,1.19,6852.45,5.29
-6848.39,1.18,6852.46,5.24
-6844.62,1.62,6854.52,11.53
-6845.98,1.38,6852.91,8.31
-6845.97,1.30,6852.46,7.79
-6847.33,1.13,6852.36,6.16
