Time_offload,Time_process,Time_reply,Time_e2e
-6839.66,3.85,6852.36,16.55
-6839.01,3.76,6854.73,19.48
-6837.05,3.38,6853.13,19.46
-6836.81,2.37,6854.08,19.64
-6838.17,1.75,6852.22,15.80
-6839.49,1.32,6853.94,15.77
-6841.25,1.06,6852.80,12.61
-6843.53,0.89,6851.96,9.32
-6845.76,0.75,6854.53,9.52
-6843.77,1.13,6851.79,9.16
-6846.07,0.93,6853.72,8.59
-6847.77,0.85,6852.10,5.18
-6847.69,0.92,6852.11,5.34
-6847.88,0.95,6852.43,5.50
-6847.62,1.00,6852.18,5.56
-6847.80,1.04,6852.04,5.28
-6847.82,1.08,6852.16,5.41
-6847.96,1.10,6852.22,5.37
-6846.40,1.31,6854.03,8.94
-6847.87,1.13,6852.40,5.66
-6847.61,1.20,6852.10,5.69
-6848.09,1.18,6855.29,8.38
-6846.94,1.32,6854.09,8.47
-6847.59,1.18,6851.97,5.56
-6846.76,1.25,6854.21,8.70
-6847.65,1.18,6851.82,5.36
-6847.48,1.18,6854.93,8.63
-6847.65,1.18,6851.87,5.40
-6847.82,1.17,6852.05,5.39
-6847.56,1.21,6851.85,5.50
-6847.79,1.19,6852.14,5.54
-6847.50,1.24,6854.60,8.34
-6847.95,1.20,6852.13,5.38
-6846.99,1.26,6851.85,6.12
-6847.49,1.24,6852.20,5.96
-6847.66,1.27,6851.87,5.47
-6847.88,1.23,6852.10,5.45
-6847.62,1.28,6851.87,5.53
-6847.76,1.23,6852.03,5.50
-6847.70,1.27,6852.24,5.80
-6847.40,1.26,6855.08,8.93
-6847.76,1.25,6851.82,5.31
-6847.85,1.21,6852.24,5.61
-6847.84,1.24,6851.92,5.32
-6847.89,1.24,6851.91,5.26
-6847.76,1.23,6851.89,5.36
-6847.86,1.19,6852.05,5.38
-6847.67,1.26,6851.85,5.45
-6847.85,1.20,6852.10,5.45
-6847.03,1.33,6854.21,8.51
-6844.79,1.53,6851.93,8.66
-6846.11,1.30,6853.51,8.69
-6847.77,1.12,6855.07,8.42
-6847.10,1.23,6854.02,8.16
-6847.82,1.10,6851.89,5.17
-6846.51,1.28,6853.96,8.73
-6847.65,1.13,6852.01,5.48
-6847.39,1.18,6854.76,8.55
-6847.91,1.14,6851.99,5.22
-6847.81,1.16,6851.94,5.29
-6847.61,1.13,6851.89,5.40
-6847.70,1.11,6851.92,5.33
-6844.87,1.50,6851.92,8.55
-6846.33,1.26,6853.70,8.63
-6847.13,1.16,6851.89,5.91
-6847.68,1.15,6852.27,5.74
-6847.82,1.14,6851.95,5.27
-6847.77,1.16,6851.97,5.36
-6847.82,1.18,6851.92,5.28
-6847.70,1.26,6851.96,5.52
-6847.78,1.18,6852.14,5.54
-6847.63,1.22,6851.91,5.50
-6847.83,1.20,6852.26,5.62
-6847.66,1.25,6851.84,5.43
-6847.90,1.23,6852.42,5.75
-6847.26,1.32,6851.80,5.85
-6847.77,1.25,6852.01,5.49
-6847.76,1.25,6851.90,5.38
-6847.87,1.23,6852.06,5.42
-6847.55,1.27,6851.76,5.49
-6847.14,1.31,6852.15,6.32
-6847.08,1.30,6853.87,8.09
-6847.48,1.21,6851.77,5.50
-6847.54,1.15,6855.00,8.61
-6847.91,1.17,6851.93,5.19
-6847.66,1.19,6851.87,5.39
-6846.61,1.30,6853.88,8.57
-6847.70,1.19,6851.93,5.42
-6845.86,1.39,6853.05,8.57
-6847.17,1.20,6854.27,8.30
-6847.64,1.17,6851.91,5.44
-6847.13,1.27,6854.40,8.54
-6847.00,1.16,6853.91,8.06
-6844.29,1.42,6854.26,11.38
-6845.60,1.23,6852.77,8.41
-6839.79,1.89,6852.71,14.80
-6840.66,1.53,6854.10,14.97
-6841.89,1.26,6852.46,11.82
-6843.71,1.11,6851.53,8.93
-6845.69,0.96,6853.74,9.01
-6847.69,0.83,6852.66,5.80
-6847.58,0.95,6851.93,5.30
-6847.99,0.99,6852.57,5.58
-6847.56,1.08,6852.07,5.59
-6847.84,1.12,6852.02,5.30
-6847.07,1.21,6854.44,8.58
-6846.45,1.27,6853.83,8.65
-6845.92,1.32,6853.31,8.71
-6847.76,1.13,6851.92,5.29
-6847.08,1.20,6854.25,8.37
-6847.59,1.14,6851.84,5.40
-6845.42,1.40,6852.65,8.64
-6847.23,1.18,6854.43,8.38
-6846.20,1.24,6853.44,8.47
-6847.94,1.10,6852.11,5.27
-6845.11,1.43,6852.05,8.37
-6846.63,1.21,6853.85,8.43
-6847.06,1.17,6854.46,8.57
-6847.08,1.15,6854.45,8.52
-6846.16,1.28,6853.42,8.55
-6847.86,1.10,6852.15,5.39
-6847.52,1.16,6852.03,5.67
-6847.87,1.16,6852.19,5.47
-6847.82,1.18,6851.90,5.26
-6847.96,1.17,6851.96,5.17
-6846.09,1.36,6853.21,8.48
-6847.55,1.16,6851.88,5.49
-6847.80,1.14,6852.06,5.39
-6847.99,1.19,6852.08,5.27
