Time_offload,Time_process,Time_reply,Time_e2e
-6825.71,3.85,6853.41,31.55
-6830.18,0.94,6854.58,25.34
-6833.14,3.80,6855.58,26.24
-6831.83,2.53,6851.76,22.46
-6832.24,1.88,6856.78,26.42
-6833.64,1.50,6855.18,23.04
-6834.94,1.17,6856.76,22.99
-6837.34,0.97,6855.71,19.34
-6839.75,0.81,6854.86,15.92
-6842.15,0.70,6854.01,12.56
-6844.80,0.61,6853.44,9.25
-6842.97,0.92,6855.71,13.66
-6844.95,0.81,6854.16,10.03
-6843.74,1.04,6852.83,10.13
-6845.17,0.97,6857.34,13.14
-6846.59,0.91,6855.42,9.73
-6846.66,1.29,6851.87,6.51
-6846.48,1.29,6854.30,9.11
-6846.77,1.25,6853.96,8.43
-6846.37,1.25,6853.73,8.62
-6846.76,1.16,6854.40,8.81
-6846.37,1.23,6854.00,8.86
-6846.15,1.24,6853.58,8.67
-6845.43,1.37,6852.48,8.41
-6846.98,1.16,6854.21,8.38
-6847.84,1.08,6851.98,5.23
-6847.78,1.11,6852.00,5.34
-6847.84,1.16,6851.98,5.30
-6847.79,1.15,6851.96,5.32
-6847.77,1.14,6851.84,5.21
-6847.80,1.15,6851.96,5.31
-6847.80,1.19,6852.15,5.54
-6847.98,1.21,6852.27,5.50
-6847.67,1.25,6851.75,5.33
-6847.80,1.20,6851.85,5.25
-6847.72,1.21,6851.80,5.30
-6847.73,1.15,6851.85,5.26
-6847.75,1.17,6855.10,8.51
-6847.56,1.19,6851.74,5.38
-6847.92,1.18,6852.06,5.32
-6847.71,1.21,6851.83,5.33
-6845.69,1.45,6852.54,8.31
-6847.20,1.23,6854.42,8.45
-6847.77,1.16,6852.10,5.49
-6847.50,1.15,6851.96,5.61
-6847.71,1.18,6851.79,5.26
-6847.89,1.17,6852.00,5.28
-6847.74,1.20,6855.16,8.61
-6845.92,1.35,6853.39,8.82
-6847.40,1.19,6851.94,5.74
-6847.67,1.22,6852.56,6.12
-6847.21,1.29,6852.01,6.09
-6846.74,1.36,6853.78,8.41
-6847.79,1.24,6851.71,5.16
-6847.78,1.22,6851.88,5.33
-6847.74,1.21,6851.71,5.19
-6847.94,1.18,6851.97,5.20
-6847.69,1.21,6851.68,5.20
-6847.88,1.15,6851.86,5.13
-6846.92,1.24,6853.98,8.30
-6847.83,1.16,6854.77,8.10
-6847.82,1.14,6851.88,5.20
-6847.76,1.17,6855.11,8.51
-6846.66,1.29,6853.72,8.35
-6847.80,1.12,6851.95,5.28
-6846.30,1.29,6853.75,8.74
-6847.82,1.12,6852.20,5.50
-6847.54,1.15,6852.05,5.65
-6847.72,1.20,6851.89,5.36
-6847.70,1.19,6851.86,5.34
-6847.33,1.26,6854.49,8.42
-6847.78,1.23,6851.77,5.21
-6846.98,1.27,6854.01,8.30
-6847.87,1.18,6851.71,5.02
-6846.08,1.36,6853.28,8.56
-6846.79,1.22,6854.13,8.56
-6847.72,1.11,6852.00,5.39
-6847.68,1.13,6851.98,5.43
-6847.71,1.18,6851.83,5.30
-6847.78,1.17,6851.79,5.18
-6847.88,1.17,6851.90,5.20
-6847.75,1.21,6852.01,5.47
-6847.91,1.17,6852.06,5.32
-6827.28,3.76,6854.25,30.73
-6826.50,2.81,6851.87,28.18
-6825.72,1.99,6851.90,28.17
-6826.55,1.58,6853.23,28.26
-6827.96,1.27,6851.87,25.17
-6829.68,1.08,6851.54,22.95
-6831.62,0.92,6855.80,25.11
-6834.08,0.82,6854.95,21.69
-6836.46,0.70,6854.22,18.46
-6838.62,0.64,6853.33,15.34
-6841.97,0.57,6852.71,11.31
-6844.51,0.55,6852.13,8.17
-6846.78,0.55,6851.53,5.30
-6847.92,0.58,6852.77,5.43
-6846.99,0.68,6851.75,5.44
-6847.85,0.69,6852.52,5.36
-6847.10,0.83,6851.81,5.54
-6847.54,0.84,6852.28,5.58
-6847.88,0.92,6852.37,5.40
-6847.73,1.01,6852.32,5.60
-6847.51,1.09,6852.29,5.87
-6846.03,1.31,6853.62,8.90
-6847.87,1.10,6852.12,5.35
-6847.79,1.15,6851.96,5.32
-6847.28,1.19,6851.71,5.62
-6847.75,1.16,6852.25,5.66
-6847.56,1.10,6851.96,5.50
-6847.76,1.13,6851.92,5.29
-6847.88,1.11,6852.07,5.30
-6847.74,1.16,6852.32,5.74
-6847.54,1.21,6852.08,5.74
-6847.82,1.21,6852.19,5.57
-6846.61,1.33,6853.82,8.54
-6846.35,1.36,6853.27,8.28
-6847.74,1.16,6854.75,8.18
-6847.09,1.22,6854.00,8.14
-6847.87,1.12,6851.92,5.17
-6847.72,1.11,6852.02,5.41
-6847.70,1.16,6851.98,5.43
-6847.53,1.18,6851.70,5.34
-6844.86,1.51,6851.90,8.54
-6846.27,1.27,6853.52,8.52
-6847.82,1.10,6855.28,8.56
-6846.88,1.23,6854.07,8.42
-6847.66,1.14,6851.87,5.35
-6846.91,1.20,6853.95,8.23
-6847.86,1.10,6851.86,5.10
-6847.94,1.09,6852.12,5.27
-6847.73,1.16,6851.84,5.27
-6847.72,1.17,6851.75,5.20
-6846.50,1.28,6853.82,8.61
-6847.63,1.14,6852.17,5.69
-6845.04,1.47,6852.29,8.72
-6846.85,1.24,6853.93,8.32
-6846.70,1.20,6854.02,8.52
-6847.77,1.08,6852.07,5.37
-6847.77,1.13,6851.95,5.31
-6847.70,1.16,6851.89,5.35
-6847.29,1.19,6851.77,5.67
-6847.64,1.17,6852.15,5.68
-6847.66,1.22,6851.82,5.38
-6847.86,1.21,6851.97,5.32
-6847.72,1.21,6851.82,5.31
-6847.63,1.24,6851.77,5.39
-6847.48,1.24,6851.75,5.51
-6847.19,1.26,6851.79,5.86
-6846.91,1.29,6851.67,6.05
-6847.67,1.21,6852.13,5.67
-6847.69,1.23,6851.73,5.27
-6847.85,1.25,6851.81,5.22
-6846.00,1.41,6852.89,8.30
-6847.44,1.20,6854.67,8.43
-6847.25,1.18,6851.62,5.54
-6847.76,1.17,6852.03,5.45
-6846.46,1.35,6853.33,8.23
-6847.89,1.17,6851.87,5.14
-6847.73,1.18,6851.80,5.25
-6847.90,1.15,6852.12,5.37
-6847.71,1.19,6851.77,5.25
-6847.92,1.15,6851.93,5.16
-6847.78,1.17,6851.86,5.24
-6846.24,1.34,6853.45,8.55
-6847.93,1.15,6852.03,5.24
-6846.10,1.38,6853.29,8.57
-6847.02,1.20,6854.24,8.42
-6845.25,1.42,6852.24,8.41
-6846.71,1.19,6854.05,8.53
-6847.65,1.07,6852.01,5.42
-6847.63,1.11,6851.88,5.36
-6847.92,1.13,6851.98,5.19
-6847.80,1.13,6851.90,5.23
-6847.71,1.14,6851.89,5.33
-6847.72,1.20,6854.87,8.36
-6837.31,2.51,6855.85,21.05
-6837.00,1.94,6853.03,17.97
-6838.12,1.59,6851.68,15.15
-6839.46,1.33,6853.82,15.69
-6841.34,1.15,6852.61,12.42
-6843.01,0.98,6851.59,9.56
-6845.17,0.84,6853.59,9.27
-6847.33,0.78,6852.24,5.69
-6847.91,0.83,6852.44,5.36
-6846.36,1.07,6853.79,8.51
-6844.55,1.23,6851.81,8.49
-6846.33,1.02,6853.47,8.16
-6847.81,0.95,6852.05,5.19
-6847.82,0.93,6852.19,5.30
-6847.81,1.01,6852.11,5.31
-6846.66,1.16,6854.28,8.77
-6847.29,1.11,6851.74,5.55
-6846.42,1.22,6853.61,8.40
-6847.96,1.08,6852.10,5.21
-6847.77,1.11,6851.87,5.21
-6847.58,1.16,6851.76,5.34
-6847.82,1.12,6852.32,5.62
-6847.25,1.20,6851.69,5.65
-6847.80,1.19,6852.10,5.49
-6847.73,1.22,6851.86,5.35
-6847.70,1.22,6851.89,5.42
-6847.84,1.21,6852.04,5.41
-6847.70,1.21,6852.22,5.73
-6847.27,1.23,6851.85,5.80
-6847.73,1.26,6851.77,5.29
-6847.73,1.24,6851.83,5.33
-6847.76,1.20,6851.78,5.22
-6847.77,1.19,6851.87,5.28
-6847.75,1.19,6851.78,5.22
-6847.91,1.16,6852.40,5.65
-6847.25,1.25,6855.08,9.08
-6847.74,1.19,6851.94,5.39
-6847.69,1.25,6851.72,5.28
-6847.89,1.18,6851.90,5.19
-6847.79,1.22,6851.83,5.26
-6846.09,1.41,6853.15,8.46
-6847.66,1.19,6852.33,5.86
-6846.83,1.24,6851.69,6.09
