Created,Deserialized,Processing,Processed,Finished
1714995427.072894,1714995420.2336187,1714995420.2374947,1714995420.2375057,1714995427.0916822
1714995427.076466,1714995420.2383509,1714995420.2420368,1714995420.242045,1714995427.0950422
1714995427.079659,1714995420.2435641,1714995420.2466555,1714995420.2466614,1714995427.101282
1714995427.083015,1714995420.246862,1714995420.2490168,1714995420.24902,1714995427.1015615
1714995427.0862274,1714995420.2491412,1714995420.250768,1714995420.2507703,1714995427.1037447
1714995427.0894814,1714995420.2512534,1714995420.2524662,1714995420.2524688,1714995427.1070566
1714995427.0928113,1714995420.2526257,1714995420.2536113,1714995420.253613,1714995427.1070645
1714995427.0962696,1714995420.2536755,1714995420.254533,1714995420.2545345,1714995427.107118
1714995427.0992959,1714995420.2545786,1714995420.2552924,1714995420.2552934,1714995427.1104264
1714995427.1016052,1714995420.255455,1714995420.2560973,1714995420.2560985,1714995427.1104345
1714995427.1049304,1714995420.2562292,1714995420.2567844,1714995420.2567856,1714995427.1104395
1714995427.1083343,1714995420.260351,1714995420.2611227,1714995420.2611248,1714995427.113834
1714995427.1115994,1714995420.2632177,1714995420.2640269,1714995420.264029,1714995427.1171088
1714995427.1150506,1714995420.2665188,1714995420.2673993,1714995420.2674017,1714995427.1203191
1714995427.1182342,1714995420.269572,1714995420.2704842,1714995420.2704864,1714995427.1235523
1714995427.121491,1714995420.2738795,1714995420.2749598,1714995420.2749627,1714995427.1298084
1714995427.1246872,1714995420.2759311,1714995420.2768939,1714995420.2768965,1714995427.129878
1714995427.127674,1714995420.2802606,1714995420.2813327,1714995420.2813354,1714995427.136442
1714995427.1310408,1714995420.2823071,1714995420.2832737,1714995420.2832758,1714995427.1364527
1714995427.1343205,1714995420.2862465,1714995420.2873101,1714995420.287312,1714995427.139874
1714995427.137613,1714995420.2888653,1714995420.2899082,1714995420.2899106,1714995427.143176
1714995427.1410353,1714995420.2924404,1714995420.2935748,1714995420.2935772,1714995427.1463912
1714995427.1443188,1714995420.298776,1714995420.3002098,1714995420.3002126,1714995427.155462
1714995427.1475472,1714995420.300472,1714995420.3016899,1714995420.3016922,1714995427.155541
1714995427.1506042,1714995420.3041854,1714995420.3054292,1714995420.3054316,1714995427.1587641
1714995427.1532483,1714995420.3056726,1714995420.3067546,1714995420.3067565,1714995427.1617925
1714995427.156667,1714995420.3079262,1714995420.3089492,1714995420.3089514,1714995427.1618564
1714995427.1597593,1714995420.3111186,1714995420.3121872,1714995420.312189,1714995427.1650355
1714995427.162945,1714995420.3142984,1714995420.315372,1714995420.3153744,1714995427.168291
1714995427.1662817,1714995420.3175588,1714995420.3186646,1714995420.3186667,1714995427.1743736
1714995427.1694186,1714995420.323843,1714995420.3253074,1714995420.3253102,1714995427.1799607
1714995427.1722674,1714995420.3255801,1714995420.3268344,1714995420.3268366,1714995427.1800356
1714995427.1755512,1714995420.328894,1714995420.330137,1714995420.3301396,1714995427.1832523
1714995427.1778715,1714995420.3303638,1714995420.3314176,1714995420.3314195,1714995427.1861937
1714995427.1811504,1714995420.3323689,1714995420.3333461,1714995420.3333478,1714995427.1862543
1714995427.1841564,1714995420.3355772,1714995420.3365862,1714995420.3365881,1714995427.1895802
1714995427.1874814,1714995420.3388336,1714995420.339898,1714995420.3399005,1714995427.1926794
1714995427.190699,1714995420.3419235,1714995420.343033,1714995420.3430355,1714995427.1965346
1714995427.1938686,1714995420.3455322,1714995420.3466582,1714995420.3466604,1714995427.1999145
1714995427.1977155,1714995420.3492217,1714995420.3504422,1714995420.3504443,1714995427.2033
1714995427.2010489,1714995420.3526201,1714995420.3538475,1714995420.3538501,1714995427.2064764
1714995427.204483,1714995420.356232,1714995420.3574746,1714995420.357477,1714995427.212657
1714995427.2076313,1714995420.358801,1714995420.3599517,1714995420.3599539,1714995427.2155972
1714995427.210557,1714995420.3626347,1714995420.3638806,1714995420.363883,1714995427.2186987
1714995427.2135646,1714995420.364901,1714995420.366016,1714995420.366018,1714995427.2187598
1714995427.2167068,1714995420.3679004,1714995420.3690083,1714995420.3690102,1714995427.221923
1714995427.219886,1714995420.3711917,1714995420.3723383,1714995420.3723402,1714995427.225148
1714995427.2230494,1714995420.3761015,1714995420.3774178,1714995420.37742,1714995427.2315109
1714995427.2262933,1714995420.3776853,1714995420.3788805,1714995420.3788826,1714995427.231525
1714995427.229376,1714995420.3806098,1714995420.3817456,1714995420.3817477,1714995427.2348037
1714995427.232653,1714995420.3840668,1714995420.3852208,1714995420.3852232,1714995427.2380526
