Time_offload,Time_process,Time_reply,Time_e2e
-6839.28,3.89,6854.18,18.79
-6838.12,3.69,6853.00,18.58
-6836.09,3.10,6854.62,21.62
-6836.15,2.16,6852.54,18.55
-6837.09,1.63,6852.97,17.52
-6838.23,1.22,6854.59,17.58
-6840.19,0.99,6853.45,14.25
-6842.59,0.86,6852.58,10.85
-6844.72,0.71,6855.13,11.13
-6846.15,0.64,6854.34,8.83
-6848.70,0.56,6853.65,5.51
-6847.98,0.77,6852.71,5.50
-6848.38,0.81,6853.08,5.51
-6848.53,0.88,6852.92,5.27
-6848.66,0.91,6853.07,5.32
-6847.61,1.08,6854.85,8.32
-6848.76,0.97,6852.98,5.19
-6847.41,1.07,6855.11,8.77
-6848.73,0.97,6853.18,5.41
-6848.07,1.07,6852.56,5.55
-6848.75,1.05,6853.27,5.56
-6848.59,1.14,6852.81,5.36
-6845.54,1.44,6855.25,11.14
-6847.08,1.22,6853.85,7.99
-6846.42,1.25,6853.33,8.16
-6847.58,1.08,6855.04,8.54
-6848.74,1.03,6852.91,5.19
-6848.64,1.07,6852.85,5.28
-6848.65,1.08,6852.92,5.35
-6848.72,1.11,6855.71,8.09
-6845.58,1.47,6854.65,10.54
-6846.69,1.26,6853.20,7.77
-6846.66,1.25,6853.11,7.70
-6847.51,1.06,6854.77,8.32
-6848.78,0.98,6852.91,5.10
-6848.58,1.01,6852.99,5.42
-6848.65,1.07,6852.78,5.20
-6848.78,1.11,6853.50,5.84
-6848.34,1.13,6853.25,6.05
-6848.49,1.22,6852.86,5.58
-6848.43,1.23,6852.63,5.43
-6848.25,1.25,6855.18,8.17
-6848.83,1.15,6855.64,7.97
-6847.92,1.25,6854.82,8.14
-6848.66,1.12,6852.74,5.20
-6848.81,1.11,6852.91,5.22
-6848.69,1.15,6852.81,5.26
-6846.95,1.32,6854.09,8.46
-6848.61,1.20,6852.64,5.23
-6848.77,1.14,6853.06,5.43
-6848.59,1.16,6852.83,5.40
-6848.65,1.18,6852.76,5.30
-6848.71,1.16,6852.81,5.26
-6848.66,1.19,6852.69,5.22
-6844.65,1.66,6854.57,11.58
-6845.94,1.38,6855.42,10.86
-6845.13,1.39,6854.87,11.13
-6846.67,1.17,6853.47,7.97
-6847.82,1.05,6854.64,7.86
-6848.54,0.99,6852.22,4.67
-6848.71,0.95,6853.41,5.65
-6848.58,1.03,6855.15,7.60
