Time_offload,Time_process,Time_reply,Time_e2e
-6856.92,3.87,6872.87,19.82
-6860.13,3.86,6872.66,16.39
-6860.49,3.82,6872.81,16.15
-6861.34,3.87,6872.65,15.18
-6862.68,3.85,6872.52,13.69
-6854.15,3.85,6873.14,22.83
-6859.30,3.83,6873.05,17.58
-6862.82,3.84,6874.05,15.07
-6859.68,3.85,6872.94,17.10
-6864.11,3.85,6872.57,12.31
-6859.68,3.85,6873.01,17.18
-6860.96,3.86,6872.75,15.64
-6858.15,3.82,6873.13,18.81
-6858.66,3.82,6872.49,17.65
-6858.10,3.83,6873.05,18.78
-6861.46,3.82,6872.51,14.88
-6858.04,3.83,6872.79,18.58
-6861.95,3.83,6872.74,14.63
-6860.70,3.85,6872.92,16.06
-6860.53,3.84,6873.05,16.36
-6854.11,3.83,6872.79,22.51
-6861.94,3.81,6872.81,14.67
-6855.20,3.85,6875.61,24.26
-6861.40,3.81,6873.08,15.50
-6858.28,3.84,6874.19,19.76
-6859.63,3.82,6872.88,17.07
-6863.62,3.83,6872.60,12.80
-6860.13,3.83,6872.64,16.34
-6833.93,3.84,6872.95,42.87
-6836.21,3.82,6872.81,40.42
-6854.87,3.74,6878.97,27.84
-6862.36,3.84,6872.79,14.28
-6855.92,3.85,6873.43,21.35
-6863.11,3.85,6872.58,13.32
-6861.42,3.84,6872.44,14.86
-6864.19,3.88,6872.84,12.53
-6861.03,3.84,6872.97,15.78
-6860.08,3.84,6873.59,17.36
-6848.25,3.82,6875.20,30.76
-6860.99,3.85,6873.40,16.26
-6864.19,3.86,6872.55,12.22
-6861.21,3.86,6872.97,15.62
-6841.07,3.85,6873.30,36.08
-6859.08,3.80,6873.44,18.17
-6861.50,3.86,6872.97,15.32
-6855.18,3.82,6873.40,22.04
-6862.10,3.83,6872.95,14.68
-6858.25,3.84,6873.42,19.02
-6862.90,3.84,6873.03,13.97
-6861.99,3.83,6872.95,14.79
-6860.51,3.84,6873.34,16.67
