Time_offload,Time_process,Time_reply,Time_e2e
-6864.07,3.86,6882.91,22.70
-6865.64,3.85,6882.28,20.49
-6866.85,3.85,6882.91,19.90
-6866.94,3.84,6884.13,21.02
-6866.25,3.84,6883.62,21.21
-6867.53,3.82,6882.85,19.14
-6868.66,3.85,6877.09,12.27
-6867.58,3.83,6882.98,19.22
-6867.28,3.84,6877.17,13.73
-6869.97,3.84,6877.22,11.09
-6868.76,3.84,6877.13,12.21
-6870.21,3.84,6877.01,10.64
-6870.17,3.84,6877.14,10.81
-6869.68,3.84,6877.24,11.39
-6869.70,3.83,6877.10,11.23
-6869.23,3.83,6877.03,11.63
-6871.82,3.82,6877.03,9.03
-6871.31,3.84,6877.07,9.60
-6870.36,3.84,6877.06,10.55
-6870.28,3.82,6877.11,10.65
-6868.45,3.84,6877.09,12.48
-6869.04,3.84,6877.13,11.93
-6869.96,3.85,6877.13,11.02
-6870.02,3.85,6877.26,11.08
-6869.96,3.84,6877.65,11.53
-6871.33,3.82,6877.31,9.81
-6870.70,3.86,6877.08,10.25
-6870.74,3.84,6877.23,10.33
-6868.58,3.84,6877.19,12.46
-6870.17,3.85,6877.18,10.86
-6869.42,3.84,6877.20,11.62
-6869.46,3.84,6877.14,11.51
-6869.15,3.84,6877.26,11.96
-6869.34,3.85,6877.70,12.21
-6869.55,3.82,6877.99,12.25
-6870.64,3.84,6877.78,10.98
-6869.80,3.84,6882.66,16.69
-6870.44,3.86,6877.73,11.15
-6869.16,3.84,6885.56,20.24
-6866.98,3.85,6884.29,21.15
-6867.82,3.85,6878.22,14.25
-6866.30,3.86,6884.27,21.83
-6867.26,3.84,6877.77,14.34
-6865.78,3.83,6884.76,22.81
-6866.52,3.84,6877.79,15.12
-6864.32,3.82,6885.33,24.83
-6866.61,3.87,6877.72,14.98
-6866.81,3.82,6878.06,15.07
-6868.02,3.83,6877.48,13.28
-6868.87,3.84,6877.48,12.45
-6868.07,3.82,6877.23,12.97
-6868.53,3.85,6884.82,20.14
-6866.84,3.83,6882.83,19.83
-6868.77,3.84,6877.57,12.64
-6869.27,3.83,6877.44,11.99
-6868.55,3.83,6877.59,12.87
-6867.79,3.83,6877.58,13.62
-6867.59,3.86,6877.56,13.82
-6867.89,3.84,6877.64,13.59
-6867.26,3.83,6877.37,13.93
-6868.46,3.86,6877.28,12.68
-6869.41,3.83,6877.31,11.73
-6868.95,3.83,6877.21,12.09
-6869.76,3.85,6877.17,11.25
-6869.39,3.86,6877.13,11.60
-6870.18,3.82,6877.48,11.11
-6870.86,3.88,6877.20,10.22
-6871.25,3.82,6878.04,10.61
-6870.11,3.85,6883.38,17.12
-6871.14,3.87,6877.25,9.97
-6872.04,3.68,6877.08,8.72
-6871.78,3.69,6877.06,8.97
-6871.90,3.65,6877.10,8.85
-6871.92,3.60,6877.12,8.81
-6871.98,3.51,6877.41,8.95
-6872.08,3.61,6877.05,8.59
-6871.44,3.64,6877.66,9.87
-6871.07,3.73,6877.14,9.81
-6870.17,3.82,6877.16,10.82
-6870.25,3.84,6877.19,10.78
-6869.64,3.86,6877.16,11.37
-6868.84,3.85,6882.46,17.47
-6870.33,3.83,6877.40,10.91
-6871.55,3.82,6877.10,9.37
-6871.96,3.71,6877.29,9.04
-6871.49,3.72,6877.05,9.28
-6871.81,3.69,6877.20,9.08
-6871.08,3.77,6877.19,9.88
-6871.21,3.70,6877.51,9.99
-6871.31,3.73,6877.06,9.48
-6870.72,3.85,6877.90,11.03
-6869.99,3.83,6877.09,10.94
-6869.15,3.84,6881.92,16.61
-6869.08,3.83,6886.23,20.99
-6864.36,3.84,6883.91,23.39
-6867.39,3.83,6877.31,13.76
-6867.02,3.82,6877.63,14.43
-6866.46,3.84,6886.01,23.39
-6865.25,3.84,6881.89,20.48
-6868.19,3.85,6881.14,16.80
-6869.70,3.83,6877.11,11.25
-6869.98,3.83,6877.31,11.16
-6869.19,3.84,6877.29,11.94
-6868.80,3.80,6877.20,12.19
-6869.52,3.83,6877.15,11.47
-6869.76,3.83,6877.15,11.22
-6867.38,3.83,6883.29,19.73
-6867.71,3.85,6884.11,20.25
-6867.93,3.85,6884.25,20.17
-6868.01,3.81,6877.36,13.17
-6870.03,3.84,6877.44,11.25
-6869.68,3.82,6877.44,11.58
-6868.46,3.82,6878.47,13.83
-6867.37,3.84,6877.42,13.89
-6866.99,3.83,6885.58,22.42
-6862.29,3.82,6881.93,23.46
-6867.69,3.83,6877.32,13.46
-6868.49,3.79,6877.44,12.74
-6868.58,3.84,6877.65,12.91
-6867.27,3.81,6877.49,14.03
-6868.70,3.84,6877.61,12.76
-6869.31,3.84,6877.40,11.93
-6867.96,3.83,6877.37,13.25
-6868.05,3.83,6877.54,13.32
-6866.84,3.84,6877.54,14.53
-6868.08,3.84,6877.40,13.16
-6869.24,3.82,6877.55,12.14
-6870.89,3.82,6877.28,10.21
-6869.09,3.85,6877.58,12.34
-6867.27,3.83,6877.41,13.97
-6870.89,3.84,6877.20,10.15
-6870.91,3.84,6877.60,10.53
-6870.19,3.83,6881.00,14.64
-6872.01,3.78,6877.26,9.03
-6872.08,3.65,6883.34,14.91
-6864.47,3.83,6877.31,16.67
-6862.78,3.85,6878.57,19.64
-6869.22,3.29,6878.86,12.93
