Created,Deserialized,Processing,Processed,Finished
1714997052.279504,1714997045.413654,1714997045.417477,1714997045.4174867,1714997052.2985578
1714997052.2913954,1714997045.4201384,1714997045.4239614,1714997045.4239712,1714997052.3041031
1714997052.2998562,1714997045.426312,1714997045.4299886,1714997045.4299972,1714997052.3133082
1714997052.3083994,1714997045.4363449,1714997045.4398472,1714997045.4398563,1714997052.3225849
1714997052.3176823,1714997045.4457462,1714997045.4491084,1714997045.4491165,1714997052.332404
1714997052.3270097,1714997045.4565582,1714997045.4600434,1714997045.460051,1714997052.34028
1714997052.3367116,1714997045.463215,1714997045.4658074,1714997045.4658132,1714997052.348883
1714997052.3456836,1714997045.4719212,1714997045.474646,1714997045.4746525,1714997052.3576238
1714997052.3541236,1714997045.4805708,1714997045.4833446,1714997045.4833505,1714997052.3670173
1714997052.3620298,1714997045.4902217,1714997045.4931831,1714997045.49319,1714997052.3765914
1714997052.3715394,1714997045.499504,1714997045.5027158,1714997045.502723,1714997052.3852754
1714997052.3809972,1714997045.5085282,1714997045.511607,1714997045.5116134,1714997052.3937795
1714997052.3896317,1714997045.5195026,1714997045.522872,1714997045.5228803,1714997052.4056113
1714997052.3980615,1714997045.5250955,1714997045.52746,1714997045.527465,1714997052.4241116
1714997052.4069161,1714997045.5450735,1714997045.548881,1714997045.5488915,1714997052.4345284
1714997052.417736,1714997045.549804,1714997045.5529833,1714997045.5529902,1714997052.4345465
1714997052.4283872,1714997045.5582771,1714997045.5614405,1714997045.5614471,1714997052.442984
1714997052.4389226,1714997045.5657756,1714997045.5684621,1714997045.5684683,1714997052.4686255
1714997052.4473636,1714997045.5853946,1714997045.589227,1714997045.589237,1714997052.4702473
1714997052.4559214,1714997045.5897284,1714997045.5930452,1714997045.5930507,1714997052.4769151
1714997052.4640243,1714997045.593627,1714997045.5959017,1714997045.595906,1714997052.4770088
1714997052.473425,1714997045.5996122,1714997045.6017165,1714997045.6017215,1714997052.4849145
1714997052.4812884,1714997045.6077812,1714997045.610272,1714997045.6102781,1714997052.4943066
1714997052.4893167,1714997045.6172876,1714997045.6200628,1714997045.6200683,1714997052.5036926
1714997052.4986784,1714997045.6270134,1714997045.6300094,1714997045.6300163,1714997052.5138612
1714997052.508089,1714997045.6371453,1714997045.6403315,1714997045.640339,1714997052.5231895
