Time_offload,Time_process,Time_reply,Time_e2e
-6865.85,3.83,6881.07,19.05
-6871.26,3.83,6880.13,12.71
-6873.54,3.69,6883.31,13.45
-6872.05,3.51,6882.73,14.19
-6871.94,3.37,6883.29,14.72
-6870.45,3.49,6880.23,13.27
-6873.50,2.60,6883.07,12.17
-6873.76,2.73,6882.97,11.94
-6873.55,2.78,6883.67,12.89
-6871.81,2.97,6883.40,14.56
-6872.04,3.22,6882.55,13.74
-6872.47,3.09,6882.17,12.78
-6870.13,3.38,6882.73,15.98
-6872.97,2.37,6896.65,26.05
-6861.84,3.82,6885.64,27.61
-6867.93,3.19,6881.56,16.81
-6870.11,3.17,6881.54,14.60
-6873.15,2.69,6900.16,29.70
-6861.97,3.84,6881.01,22.88
-6866.19,3.32,6883.86,20.99
-6870.40,2.28,6881.10,12.98
-6873.81,2.11,6883.19,11.49
-6873.51,2.50,6884.03,13.02
-6872.03,2.78,6883.62,14.38
-6871.67,3.00,6883.84,15.18
-6870.94,3.19,6882.85,15.10
-6871.74,3.15,6881.84,13.24
-6873.22,2.70,6883.35,12.83
-6870.60,3.50,6879.91,12.82
-6873.68,2.47,6882.47,11.26
-6874.11,2.50,6882.75,11.14
-6874.04,2.62,6882.65,11.23
-6874.00,2.69,6883.85,12.53
-6872.85,2.88,6883.57,13.60
-6871.41,3.14,6881.48,13.21
-6873.15,2.69,6883.69,13.22
-6872.95,2.98,6882.27,12.30
-6872.91,2.79,6884.47,14.34
-6872.04,3.25,6884.14,15.35
-6869.00,3.67,6880.17,14.83
-6873.30,2.60,6882.66,11.96
-6874.10,2.61,6882.66,11.17
-6874.31,2.72,6882.40,10.81
-6874.09,2.61,6882.90,11.42
-6872.47,2.69,6882.66,12.88
-6872.76,2.80,6881.47,11.51
-6874.27,2.53,6883.77,12.04
-6873.19,2.84,6884.63,14.28
-6871.73,3.24,6882.19,13.70
-6872.67,2.99,6882.55,12.88
-6872.76,2.88,6883.80,13.92
-6870.61,3.26,6880.96,13.61
-6871.23,2.89,6881.25,12.91
-6873.52,2.55,6882.08,11.11
-6873.64,2.48,6883.42,12.26
-6872.92,2.87,6883.91,13.86
-6871.11,3.13,6881.91,13.92
-6873.11,2.76,6882.34,11.99
-6874.05,2.60,6880.82,9.37
-6873.64,2.47,6880.04,8.87
-6875.45,1.98,6881.93,8.47
-6874.92,2.04,6881.84,8.97
-6874.88,2.09,6881.93,9.14
-6875.41,2.13,6881.77,8.49
-6875.12,2.05,6882.11,9.04
-6871.76,2.62,6879.81,10.68
-6874.67,1.99,6881.93,9.25
-6875.46,2.01,6881.78,8.33
-6875.47,2.07,6881.88,8.47
-6875.44,2.12,6882.82,9.50
-6875.23,2.33,6882.42,9.53
-6874.62,2.36,6882.19,9.93
-6874.89,2.33,6882.81,10.25
-6874.16,2.51,6883.84,12.19
-6872.92,2.85,6883.25,13.18
-6872.96,3.04,6883.95,14.03
-6872.37,3.11,6884.13,14.87
-6871.15,3.51,6881.67,14.03
-6871.60,3.28,6881.04,12.71
-6873.64,2.65,6882.90,11.91
-6873.81,2.70,6882.70,11.60
-6874.02,2.63,6883.04,11.64
-6873.79,2.71,6883.50,12.42
-6872.34,3.04,6882.64,13.34
-6869.80,3.38,6880.91,14.49
-6871.11,2.88,6881.39,13.16
-6861.18,3.85,6880.20,22.87
-6865.88,3.32,6883.87,21.31
-6870.71,2.26,6881.06,12.62
-6870.71,2.53,6882.66,14.48
-6869.84,2.76,6881.92,14.84
-6872.66,2.57,6882.45,12.36
-6873.60,2.58,6883.29,12.27
-6873.53,2.87,6884.56,13.90
-6871.57,3.18,6881.97,13.58
-6872.80,2.87,6882.90,12.98
-6871.35,3.15,6881.40,13.20
-6871.48,2.98,6881.23,12.73
-6873.15,2.54,6884.03,13.41
-6872.71,2.95,6883.32,13.55
-6872.90,2.95,6883.25,13.29
-6870.53,3.36,6881.40,14.23
-6871.89,2.84,6883.25,14.20
-6872.31,2.88,6882.63,13.20
-6870.38,3.35,6881.73,14.69
-6870.89,2.90,6882.55,14.56
-6866.84,3.79,6880.13,17.08
-6870.70,2.66,6881.81,13.78
-6873.60,2.48,6882.08,10.96
-6874.27,2.42,6882.93,11.07
-6872.54,2.93,6883.06,13.45
-6871.62,2.91,6882.73,14.03
-6872.35,2.92,6882.99,13.55
-6871.95,2.94,6883.88,14.87
-6870.57,3.20,6882.94,15.56
-6871.28,3.15,6882.73,14.60
-6872.06,2.92,6882.94,13.79
-6872.61,2.96,6883.38,13.73
-6870.23,3.44,6880.34,13.55
-6873.86,2.37,6882.24,10.75
-6874.15,2.45,6882.02,10.31
-6873.65,2.61,6880.55,9.51
-6875.21,2.23,6881.91,8.94
-6872.93,2.66,6881.54,11.27
-6872.80,2.54,6883.79,13.53
-6871.47,2.96,6883.27,14.77
-6870.84,3.17,6881.97,14.30
-6871.99,2.87,6883.02,13.90
