Time_offload,Time_process,Time_reply,Time_e2e
-6874.26,3.86,6883.36,12.96
-6874.68,3.74,6883.83,12.89
-6875.33,3.40,6881.64,9.72
-6876.90,2.36,6882.13,7.58
-6877.09,2.02,6882.65,7.59
-6877.15,1.90,6883.03,7.77
-6877.09,1.90,6882.89,7.70
-6877.27,1.83,6883.04,7.60
-6876.14,1.98,6882.15,8.00
-6876.92,1.83,6882.91,7.82
-6869.68,2.83,6881.63,14.78
-6872.08,2.15,6883.74,13.81
-6874.89,1.63,6881.69,8.42
-6877.31,1.49,6883.40,7.58
-6877.10,1.64,6882.81,7.34
-6877.24,1.64,6882.90,7.30
-6877.33,1.69,6883.09,7.45
-6877.01,1.73,6882.90,7.61
-6877.47,1.74,6883.19,7.47
-6877.08,1.79,6882.84,7.56
-6877.20,1.79,6882.88,7.46
-6877.28,1.76,6882.73,7.21
-6877.40,1.73,6883.03,7.37
-6877.21,1.75,6882.73,7.28
-6877.39,1.76,6882.97,7.34
-6877.34,1.74,6882.94,7.34
-6877.45,1.74,6883.05,7.34
-6875.74,2.00,6882.02,8.29
-6877.40,1.57,6883.20,7.37
-6877.23,1.65,6883.61,8.04
-6875.82,1.78,6882.12,8.08
-6877.42,1.50,6883.53,7.61
-6877.23,1.58,6883.33,7.68
-6877.34,1.65,6883.18,7.49
-6877.19,1.70,6883.01,7.53
-6874.89,2.08,6885.20,12.39
-6876.38,1.73,6881.60,6.95
-6877.37,1.52,6883.21,7.36
-6877.12,1.59,6882.95,7.43
-6877.28,1.67,6882.98,7.37
-6877.27,1.67,6882.96,7.35
-6877.31,1.70,6883.01,7.40
-6877.34,1.80,6882.94,7.40
-6877.31,1.84,6882.92,7.45
-6877.26,1.83,6882.85,7.42
-6877.30,1.87,6882.83,7.40
-6877.36,1.88,6882.84,7.36
-6875.79,2.12,6881.46,7.79
-6877.21,1.76,6883.53,8.08
-6876.89,1.89,6883.86,8.86
-6876.15,2.00,6883.19,9.04
-6876.74,1.98,6882.84,8.08
-6877.08,1.91,6883.12,7.95
-6877.08,1.89,6883.46,8.27
-6876.02,2.02,6882.50,8.51
-6876.94,1.85,6882.97,7.87
-6877.24,1.81,6882.73,7.30
-6877.26,1.78,6882.69,7.20
-6877.32,1.72,6882.98,7.37
-6877.27,1.72,6883.02,7.46
-6877.28,1.77,6882.93,7.42
-6877.23,1.73,6882.74,7.24
-6877.35,1.68,6882.98,7.32
-6877.46,1.78,6882.90,7.22
-6877.34,1.80,6882.86,7.32
-6875.24,2.09,6881.96,8.81
-6877.15,1.58,6883.49,7.92
-6877.13,1.69,6882.67,7.23
-6876.09,1.84,6881.50,7.24
-6877.31,1.58,6883.13,7.39
-6877.32,1.65,6882.97,7.30
-6877.41,1.67,6883.29,7.54
-6877.23,1.76,6883.39,7.92
-6875.32,2.02,6882.41,9.10
-6876.13,1.87,6881.88,7.62
-6876.30,1.78,6881.83,7.31
-6877.32,1.62,6882.93,7.24
-6877.26,1.61,6882.99,7.33
-6877.36,1.60,6883.13,7.38
-6877.28,1.69,6882.96,7.37
-6877.26,1.66,6882.95,7.35
-6877.32,1.66,6883.07,7.41
-6877.36,1.76,6883.04,7.45
-6877.30,1.78,6883.08,7.56
-6877.26,1.72,6883.14,7.60
-6876.97,1.79,6882.80,7.61
-6877.43,1.72,6883.30,7.60
-6877.14,1.80,6882.68,7.35
-6877.06,1.76,6882.78,7.49
-6875.53,1.95,6881.42,7.84
-6877.13,1.61,6883.47,7.95
-6877.17,1.75,6883.14,7.71
-6874.94,2.13,6885.31,12.49
-6874.70,1.94,6882.57,9.81
-6877.44,1.53,6883.73,7.82
-6877.19,1.71,6883.15,7.66
-6876.99,1.78,6882.94,7.72
-6877.26,1.80,6882.84,7.37
-6877.24,1.74,6882.88,7.38
-6877.32,1.73,6882.96,7.36
-6877.16,1.75,6882.72,7.31
-6877.21,1.71,6882.87,7.37
-6877.37,1.70,6882.90,7.23
-6877.40,1.70,6882.98,7.28
-6876.67,1.82,6882.20,7.35
-6877.23,1.71,6882.91,7.39
-6877.36,1.71,6882.99,7.34
-6877.22,1.72,6882.75,7.26
-6876.02,1.90,6881.64,7.52
-6877.34,1.63,6883.53,7.82
-6876.92,1.78,6882.80,7.65
-6877.20,1.77,6882.82,7.38
-6876.12,1.89,6881.68,7.45
-6877.33,1.62,6883.34,7.63
-6877.18,1.75,6882.86,7.43
-6877.29,1.77,6882.93,7.42
-6877.31,1.76,6882.95,7.40
-6877.24,1.76,6882.70,7.23
-6877.29,1.76,6882.87,7.34
-6877.24,1.74,6883.03,7.53
-6877.28,1.79,6882.88,7.39
-6877.38,1.79,6882.95,7.36
-6877.02,1.85,6882.53,7.36
-6877.30,1.81,6882.99,7.51
-6876.52,1.91,6889.53,14.93
-6858.92,3.84,6883.86,28.78
-6860.19,3.37,6881.96,25.15
-6860.91,2.25,6881.91,23.25
-6863.66,1.75,6881.71,19.80
-6867.20,1.40,6883.65,17.85
-6870.89,1.12,6882.38,12.61
-6874.97,0.94,6882.76,8.73
-6877.61,0.92,6883.54,6.86
-6877.32,1.22,6883.45,7.35
-6877.33,1.42,6883.31,7.40
-6876.90,1.54,6882.83,7.46
-6877.30,1.61,6883.20,7.50
-6875.99,1.82,6881.55,7.38
-6877.44,1.55,6883.29,7.40
-6876.79,1.81,6882.37,7.38
-6877.36,1.73,6882.99,7.36
-6877.28,1.74,6882.89,7.36
-6876.28,1.90,6881.66,7.28
-6877.35,1.67,6883.12,7.44
-6877.30,1.68,6882.95,7.33
-6876.72,1.77,6882.36,7.41
-6877.47,1.70,6883.17,7.41
-6877.33,1.75,6882.92,7.33
-6877.20,1.74,6882.91,7.44
-6877.37,1.75,6882.99,7.36
-6875.93,1.97,6882.52,8.55
-6875.75,1.89,6881.54,7.68
-6876.24,1.75,6881.89,7.40
-6877.25,1.57,6882.99,7.31
-6877.43,1.58,6883.12,7.28
-6877.37,1.69,6883.04,7.37
-6877.27,1.67,6882.96,7.36
-6877.39,1.76,6882.98,7.34
-6877.38,1.82,6882.86,7.30
-6877.24,1.73,6882.87,7.37
-6877.17,1.76,6882.99,7.59
-6877.00,1.79,6882.84,7.62
-6876.52,1.87,6882.39,7.73
-6877.18,1.72,6882.81,7.35
-6877.40,1.70,6883.07,7.37
-6877.00,1.72,6882.71,7.43
-6875.33,2.00,6882.07,8.74
-6876.64,1.62,6882.77,7.76
-6877.27,1.61,6882.93,7.28
-6877.28,1.64,6882.89,7.25
-6875.98,1.83,6881.54,7.39
-6877.46,1.57,6883.32,7.43
-6877.17,1.67,6882.91,7.41
-6867.09,3.25,6881.91,18.07
-6868.27,2.25,6881.28,15.27
-6870.96,1.77,6882.83,13.65
-6874.35,1.38,6882.20,9.23
-6875.64,1.46,6881.80,7.62
-6877.24,1.40,6883.24,7.39
-6877.27,1.51,6883.21,7.45
-6877.45,1.58,6883.57,7.70
-6877.13,1.70,6883.07,7.64
-6876.77,1.73,6882.69,7.64
-6877.13,1.68,6888.42,12.97
-6874.19,2.18,6881.76,9.76
-6876.80,1.65,6882.94,7.79
-6877.19,1.76,6882.90,7.47
-6877.12,1.77,6882.97,7.62
-6876.97,1.68,6883.07,7.77
-6876.84,1.76,6882.57,7.49
-6877.37,1.78,6883.10,7.51
-6876.77,1.77,6882.65,7.65
-6876.58,1.86,6882.37,7.64
-6877.27,1.68,6883.23,7.65
-6877.04,1.78,6882.95,7.69
-6877.10,1.78,6882.90,7.57
-6876.65,1.76,6882.28,7.40
-6877.11,1.64,6882.86,7.40
-6877.05,1.64,6882.71,7.30
-6877.20,1.64,6882.99,7.44
-6876.80,1.66,6882.61,7.47
-6877.11,1.65,6882.70,7.24
-6877.32,1.65,6883.04,7.36
-6877.23,1.70,6882.88,7.35
-6877.19,1.79,6882.83,7.42
-6877.28,1.75,6882.95,7.43
-6876.45,1.96,6881.80,7.32
-6877.29,1.70,6882.97,7.37
-6875.65,1.88,6881.43,7.66
-6877.04,1.60,6882.95,7.51
-6877.05,1.66,6882.75,7.35
-6877.18,1.63,6882.95,7.39
-6877.11,1.69,6882.80,7.38
-6877.20,1.72,6882.81,7.32
-6877.40,1.71,6883.02,7.33
-6877.19,1.82,6882.73,7.36
-6876.28,1.99,6881.64,7.34
-6877.15,1.76,6882.99,7.59
-6877.43,1.80,6883.44,7.80
-6876.89,1.93,6882.72,7.76
-6877.25,1.91,6882.92,7.59
-6877.15,1.97,6882.94,7.76
-6877.39,1.90,6883.26,7.77
-6877.23,1.94,6882.89,7.60
-6877.09,1.97,6882.61,7.50
-6876.08,2.14,6881.48,7.55
-6877.41,1.90,6883.24,7.73
-6874.83,2.38,6881.75,9.30
-6877.00,1.87,6882.42,7.29
-6877.22,1.84,6883.22,7.84
-6875.11,2.22,6882.45,9.56
-6877.26,1.93,6883.14,7.81
-6877.18,2.02,6883.83,8.67
-6877.24,2.02,6882.99,7.76
-6877.18,2.03,6882.69,7.54
-6877.13,2.05,6882.52,7.43
-6877.20,2.00,6882.56,7.35
-6877.21,2.00,6882.70,7.49
-6877.18,1.99,6882.60,7.41
-6877.02,2.05,6882.29,7.31
-6873.26,2.63,6883.17,12.54
-6875.42,1.98,6885.81,12.38
-6877.31,1.68,6882.88,7.24
-6877.02,1.78,6882.61,7.38
-6877.19,1.80,6882.92,7.53
-6877.06,1.95,6882.61,7.49
-6877.23,1.92,6882.54,7.24
-6877.15,1.98,6882.91,7.74
-6876.79,2.01,6882.61,7.83
-6877.11,1.97,6882.67,7.53
-6877.11,2.01,6882.55,7.46
-6876.96,2.03,6882.41,7.48
-6877.17,1.96,6882.58,7.36
-6877.23,1.98,6882.61,7.36
-6877.16,1.95,6882.59,7.39
-6877.21,1.98,6882.57,7.34
-6877.24,1.94,6882.64,7.33
-6877.11,1.98,6882.59,7.45
-6876.12,2.16,6882.89,8.93
-6876.87,1.92,6882.90,7.95
-6877.22,1.98,6882.59,7.35
-6877.17,1.96,6882.65,7.44
-6877.16,1.97,6882.64,7.45
-6877.18,2.04,6882.52,7.39
-6877.18,1.94,6882.59,7.35
-6877.30,1.94,6882.69,7.33
-6877.17,1.99,6882.66,7.48
-6876.83,2.01,6882.61,7.79
-6876.84,1.98,6882.47,7.61
-6877.14,1.99,6882.60,7.44
-6877.26,1.97,6882.76,7.48
-6876.22,2.10,6881.66,7.53
-6877.03,1.99,6882.48,7.44
-6877.19,1.91,6882.64,7.36
-6877.21,1.91,6882.63,7.33
-6877.19,1.97,6882.53,7.32
-6877.22,1.95,6882.73,7.46
-6874.93,2.30,6882.44,9.81
-6876.58,1.90,6882.37,7.69
-6877.24,1.86,6882.64,7.26
-6877.13,1.96,6882.42,7.24
-6877.21,1.98,6882.57,7.34
-6877.47,1.87,6882.95,7.35
-6877.22,1.99,6882.67,7.44
-6877.44,1.94,6882.95,7.44
-6877.18,1.99,6882.74,7.55
-6877.39,1.95,6883.07,7.63
-6877.17,2.05,6882.56,7.45
-6876.39,2.10,6881.92,7.63
-6877.19,1.97,6882.45,7.22
-6875.35,2.29,6881.56,8.50
-6877.43,1.80,6883.26,7.63
-6876.79,2.00,6882.14,7.35
-6877.35,1.97,6882.74,7.36
-6877.36,1.90,6883.83,8.37
-6876.83,2.04,6882.21,7.43
-6877.41,1.96,6882.80,7.36
-6877.17,2.00,6882.50,7.33
-6876.27,2.11,6881.66,7.50
-6877.09,1.96,6883.15,8.02
-6876.82,1.97,6882.89,8.05
-6877.06,1.98,6882.69,7.61
-6877.27,1.96,6882.74,7.44
-6877.26,1.98,6882.74,7.47
-6877.37,2.02,6882.86,7.50
-6877.07,2.03,6882.51,7.47
-6877.38,1.96,6882.75,7.33
-6877.26,1.99,6882.54,7.27
-6877.16,1.96,6882.64,7.45
-6874.56,2.47,6881.96,9.87
-6876.86,1.87,6882.89,7.90
