Time_offload,Time_process,Time_reply,Time_e2e
-6869.39,3.83,6880.96,15.40
-6874.11,3.73,6882.98,12.60
-6874.27,3.58,6881.31,10.63
-6874.64,2.61,6881.61,9.58
-6875.44,2.13,6882.68,9.37
-6875.09,2.16,6882.03,9.11
-6875.50,2.09,6882.08,8.68
-6875.38,2.13,6881.90,8.65
-6874.93,2.03,6881.48,8.59
-6875.99,1.89,6882.50,8.40
-6876.06,1.84,6882.94,8.73
-6875.22,1.99,6882.73,9.50
-6876.42,1.73,6883.00,8.32
-6874.18,2.08,6883.10,10.99
-6876.06,1.72,6882.30,7.97
-6876.20,1.70,6882.93,8.42
-6876.23,1.85,6882.71,8.34
-6876.38,1.91,6882.78,8.31
-6876.39,1.94,6882.87,8.42
-6876.41,2.01,6882.90,8.50
-6859.77,3.84,6883.18,27.25
-6861.33,3.29,6880.82,22.77
-6861.76,2.50,6900.43,41.18
-6864.89,1.77,6898.16,35.04
-6868.76,1.40,6896.09,28.73
-6855.39,3.55,6881.56,29.72
-6856.80,2.50,6882.19,27.89
-6860.07,1.74,6880.84,22.51
-6864.81,1.38,6880.94,17.51
-6869.50,1.09,6883.11,14.70
-6873.35,0.99,6880.93,8.57
-6875.36,1.07,6882.70,8.41
-6876.54,1.26,6883.02,7.74
-6876.39,1.51,6883.14,8.25
-6876.54,1.78,6883.79,9.03
-6875.47,2.10,6884.30,10.93
-6874.62,2.51,6883.56,11.44
-6875.06,2.64,6882.62,10.21
-6874.70,2.59,6881.49,9.37
-6873.89,2.43,6881.46,10.01
-6875.28,2.09,6884.63,11.44
-6874.40,2.42,6883.10,11.12
-6874.98,2.35,6882.45,9.82
-6875.40,2.19,6882.16,8.95
-6874.75,2.17,6881.17,8.59
-6874.63,2.04,6883.32,10.74
-6875.63,1.93,6882.58,8.88
-6875.24,2.07,6881.78,8.61
-6876.05,1.98,6882.72,8.64
-6864.78,3.77,6889.06,28.05
-6866.43,2.63,6885.54,21.74
-6869.97,1.95,6883.33,15.31
