Created,Deserialized,Processing,Processed,Finished
1714997209.3759015,1714997202.503234,1714997202.5070858,1714997202.5070958,1714997209.3909261
1714997209.382674,1714997202.5080683,1714997202.5117893,1714997202.511798,1714997209.3973825
1714997209.3885176,1714997202.512637,1714997202.516083,1714997202.5160906,1714997209.398514
1714997209.3940709,1714997202.5179315,1714997202.5203314,1714997202.5203362,1714997209.403936
1714997209.4008615,1714997202.5242848,1714997202.5264404,1714997202.5264452,1714997209.4096653
1714997209.4071703,1714997202.5304527,1714997202.5324357,1714997202.5324407,1714997209.4149995
1714997209.4127905,1714997202.5351117,1714997202.5368824,1714997202.5368862,1714997209.4203362
1714997209.4182415,1714997202.5434074,1714997202.5456624,1714997202.545668,1714997209.427872
1714997209.4234545,1714997202.5461159,1714997202.5477505,1714997202.5477545,1714997209.4299972
1714997209.4279206,1714997202.5501285,1714997202.5516238,1714997202.551627,1714997209.43546
1714997209.433124,1714997202.5556421,1714997202.557283,1714997202.5572865,1714997209.4408386
1714997209.4387028,1714997202.5612128,1714997202.5628285,1714997202.5628324,1714997209.4460685
1714997209.4440198,1714997202.5660946,1714997202.5677247,1714997202.5677288,1714997209.451391
1714997209.4493067,1714997202.5717392,1714997202.573394,1714997202.5733984,1714997209.4566941
1714997209.4545798,1714997202.576858,1714997202.5785015,1714997202.5785053,1714997209.4620388
1714997209.4599457,1714997202.584033,1714997202.5859122,1714997202.5859168,1714997209.468053
1714997209.4651632,1714997202.5878983,1714997202.5894985,1714997202.5895026,1714997209.472356
1714997209.470217,1714997202.595358,1714997202.5972526,1714997202.5972574,1714997209.4820902
1714997209.4754837,1714997202.6052318,1714997202.6078334,1714997202.6078396,1714997209.493104
1714997209.4801023,1714997202.6382785,1714997202.6420887,1714997202.642113,1714997209.5259676
1714997209.4852228,1714997202.658132,1714997202.6619284,1714997202.661938,1714997209.5443833
1714997209.4903805,1714997202.6629448,1714997202.6666467,1714997202.6666543,1714997209.549635
