Time_offload,Time_process,Time_reply,Time_e2e
-6872.67,3.86,6883.83,15.02
-6874.61,3.73,6885.58,14.71
-6875.88,3.45,6882.42,10.00
-6876.14,2.40,6883.60,9.87
-6876.58,2.16,6883.22,8.80
-6876.72,1.99,6882.56,7.83
-6877.68,1.77,6883.45,7.55
-6874.83,2.26,6882.20,9.63
-6877.34,1.64,6882.24,6.54
-6877.79,1.50,6883.83,7.54
-6877.48,1.64,6883.55,7.71
-6877.49,1.62,6883.24,7.37
-6877.93,1.63,6883.66,7.37
-6877.57,1.66,6883.30,7.39
-6877.72,1.65,6883.53,7.46
-6875.91,1.88,6882.14,8.11
-6877.26,1.60,6882.85,7.19
-6874.86,1.90,6884.83,11.87
-6870.25,2.61,6885.26,17.62
-6841.82,3.83,6883.85,45.87
-6827.09,3.81,6882.45,59.16
-6827.44,3.71,6882.98,59.25
-6828.67,2.70,6884.55,58.58
-6832.40,1.99,6882.55,52.14
-6836.05,1.44,6884.88,50.26
-6840.22,1.14,6883.64,44.57
-6847.05,0.90,6882.43,36.28
-6851.93,0.76,6883.26,32.09
-6856.68,0.67,6882.55,26.53
-6860.93,0.66,6884.87,24.60
-6866.66,0.62,6883.20,17.16
-6871.10,0.59,6882.47,11.96
-6873.38,0.60,6881.97,9.19
-6876.41,0.61,6883.25,7.45
-6877.88,0.79,6884.52,7.43
-6877.77,1.05,6884.11,7.38
-6877.79,1.25,6884.11,7.57
-6877.82,1.48,6883.95,7.60
-6877.40,1.68,6883.13,7.41
-6877.70,1.79,6883.29,7.38
-6877.64,1.80,6883.40,7.56
-6877.62,1.90,6883.08,7.36
-6877.69,1.91,6883.20,7.42
-6877.63,1.94,6883.05,7.36
-6877.58,1.91,6883.04,7.38
-6877.62,1.96,6883.14,7.48
-6877.64,1.97,6883.09,7.41
-6877.68,1.97,6883.08,7.37
-6877.67,1.97,6883.09,7.39
-6877.60,1.95,6883.29,7.64
-6877.48,1.94,6883.10,7.57
-6877.67,2.00,6883.00,7.33
-6877.37,2.01,6882.78,7.41
-6877.56,1.93,6883.13,7.50
-6877.59,1.91,6883.07,7.39
-6876.45,2.08,6882.11,7.74
-6877.56,1.83,6882.48,6.75
-6877.71,1.82,6883.33,7.43
-6877.63,1.84,6883.34,7.55
-6877.55,1.90,6883.20,7.55
-6877.68,1.93,6883.07,7.31
-6877.69,1.99,6883.10,7.39
-6877.67,1.99,6883.13,7.45
-6876.60,2.13,6882.29,7.82
-6877.31,1.98,6882.49,7.17
-6877.62,1.84,6882.92,7.14
-6877.78,1.76,6883.85,7.83
-6877.03,1.87,6884.16,9.01
-6876.87,2.05,6882.87,8.05
-6877.59,1.99,6882.97,7.37
-6877.62,1.96,6883.21,7.55
-6877.71,1.93,6883.44,7.65
-6877.75,2.00,6883.32,7.57
-6877.52,2.00,6882.92,7.40
-6877.75,1.92,6883.25,7.41
-6877.64,2.01,6883.06,7.43
-6877.64,1.97,6883.15,7.48
-6877.64,1.98,6883.09,7.43
-6877.67,1.93,6883.15,7.41
-6877.60,1.99,6883.02,7.41
-6876.76,2.17,6882.27,7.68
-6877.82,1.88,6882.76,6.82
-6877.91,1.79,6883.56,7.44
-6874.56,2.44,6884.25,12.14
-6877.02,1.93,6882.22,7.14
-6877.99,1.65,6883.20,6.86
-6877.88,1.73,6883.58,7.43
-6878.03,1.84,6883.61,7.41
-6877.86,1.88,6883.56,7.57
-6877.68,1.98,6883.32,7.62
-6877.79,1.97,6883.85,8.02
-6877.55,2.08,6885.59,10.12
-6875.53,2.46,6883.01,9.95
-6876.36,2.30,6884.83,10.78
-6876.40,2.46,6882.85,8.92
-6875.53,2.46,6882.15,9.08
-6877.15,2.05,6882.52,7.43
-6877.89,1.91,6883.82,7.84
-6877.44,2.00,6883.86,8.42
-6877.26,2.11,6883.97,8.83
-6876.99,2.20,6883.49,8.70
-6877.45,2.14,6883.10,7.79
-6877.81,2.11,6883.12,7.41
-6877.84,2.03,6883.25,7.45
-6877.89,2.01,6883.31,7.43
-6877.80,2.02,6883.15,7.37
-6877.77,1.97,6883.31,7.50
-6877.87,1.96,6883.28,7.37
-6877.92,2.02,6883.27,7.37
-6877.87,1.98,6883.30,7.41
-6877.90,1.97,6883.76,7.83
-6877.29,2.09,6883.31,8.11
-6877.97,2.02,6884.59,8.65
-6877.12,2.27,6884.27,9.42
-6876.06,2.29,6885.23,11.46
-6875.61,2.57,6884.26,11.22
-6875.92,2.64,6884.11,10.82
-6876.02,2.62,6883.72,10.31
-6875.16,2.72,6882.50,10.06
-6877.98,2.09,6883.65,7.76
-6877.25,2.24,6882.60,7.59
-6877.89,2.06,6883.30,7.47
-6877.97,1.97,6883.38,7.38
-6877.90,2.01,6883.31,7.42
-6877.57,2.04,6882.98,7.45
-6877.92,1.96,6883.31,7.35
-6877.66,1.99,6887.53,11.86
-6877.61,1.98,6882.23,6.60
-6877.87,1.87,6883.58,7.58
-6877.89,1.89,6883.67,7.67
-6877.67,1.96,6883.18,7.47
-6878.02,1.96,6883.40,7.33
-6876.80,2.13,6882.21,7.54
-6878.09,1.85,6883.65,7.41
-6877.75,1.97,6883.12,7.33
-6877.88,1.96,6883.26,7.34
-6877.88,1.94,6883.51,7.58
-6875.74,2.29,6882.24,8.80
-6875.56,2.20,6882.51,9.15
-6875.89,2.11,6882.51,8.73
-6877.23,1.92,6883.61,8.30
-6877.11,2.05,6882.66,7.60
-6877.74,1.90,6883.46,7.62
-6877.96,1.94,6883.99,7.97
-6877.66,2.08,6884.04,8.46
-6876.72,2.27,6884.55,10.10
-6875.54,2.48,6884.30,11.24
-6874.16,2.84,6882.80,11.48
-6876.82,2.29,6882.39,7.85
-6877.68,2.00,6883.23,7.54
-6876.61,2.22,6882.07,7.68
-6877.75,1.89,6882.63,6.76
-6877.95,1.77,6883.56,7.39
-6877.85,1.83,6883.45,7.43
-6877.62,1.97,6883.06,7.40
-6877.91,1.91,6883.35,7.36
-6876.60,2.22,6882.26,7.88
-6877.64,1.90,6883.77,8.02
-6877.65,2.04,6883.03,7.42
-6877.96,1.99,6883.23,7.26
-6877.69,2.00,6883.13,7.44
-6877.84,1.96,6883.48,7.60
-6877.88,1.93,6883.66,7.70
-6877.87,2.05,6883.30,7.49
-6877.85,2.00,6883.31,7.45
-6877.91,2.02,6883.29,7.40
-6877.71,2.00,6883.34,7.63
-6876.88,2.15,6882.65,7.92
-6877.41,2.01,6883.14,7.74
-6877.87,2.00,6883.26,7.39
-6877.69,2.01,6883.03,7.34
-6877.88,1.94,6883.37,7.43
-6877.90,1.95,6883.32,7.36
-6877.88,2.01,6883.15,7.27
-6877.74,1.98,6883.02,7.26
-6875.14,2.43,6882.34,9.63
-6877.71,1.84,6883.83,7.96
-6877.46,1.98,6883.28,7.81
-6877.97,1.98,6883.37,7.37
-6877.89,1.96,6883.35,7.42
-6877.71,2.00,6883.49,7.78
-6877.81,1.99,6882.73,6.91
-6877.92,1.87,6883.63,7.58
-6877.74,1.97,6883.48,7.72
-6877.97,1.99,6890.90,14.93
-6870.97,3.35,6886.38,18.77
-6873.19,2.41,6883.41,12.63
-6874.34,1.94,6884.27,11.86
-6877.10,1.53,6882.44,6.87
-6877.90,1.52,6883.89,7.51
-6877.67,1.74,6883.52,7.59
-6877.99,1.79,6883.75,7.55
-6877.86,1.96,6883.34,7.43
-6877.95,1.95,6883.37,7.37
-6874.39,2.53,6884.38,12.53
-6876.60,1.92,6882.32,7.64
-6877.75,1.78,6882.63,6.67
-6877.96,1.72,6883.57,7.33
-6877.91,1.84,6883.52,7.45
-6877.87,1.94,6883.23,7.30
-6877.16,2.02,6882.64,7.50
-6877.97,1.86,6883.61,7.50
-6877.75,1.98,6883.24,7.47
-6878.01,1.92,6883.66,7.57
-6877.74,2.01,6883.12,7.39
-6877.89,1.98,6883.44,7.53
-6876.56,2.22,6883.06,8.72
-6876.64,2.12,6882.57,8.05
-6876.67,1.92,6882.71,7.96
-6877.82,1.81,6883.94,7.93
-6877.43,2.02,6884.49,9.07
