Time_offload,Time_process,Time_reply,Time_e2e
-6873.98,3.84,6885.53,15.39
-6875.92,3.72,6885.20,12.99
-6876.30,3.09,6884.55,11.34
-6876.87,2.10,6882.96,8.19
-6877.39,1.71,6883.30,7.61
-6876.92,1.65,6883.94,8.67
-6876.01,1.63,6883.05,8.67
-6877.46,1.33,6882.98,6.85
-6877.94,1.38,6882.84,6.28
-6878.69,1.29,6883.81,6.41
-6878.60,1.42,6883.49,6.31
-6878.60,1.48,6883.55,6.43
-6878.58,1.49,6883.52,6.44
-6878.63,1.55,6883.50,6.43
-6878.56,1.58,6884.56,7.58
-6878.63,1.57,6883.74,6.68
-6878.60,1.62,6883.27,6.29
-6877.86,1.70,6882.68,6.52
-6878.65,1.55,6883.79,6.69
-6878.63,1.61,6885.47,8.46
-6876.53,1.90,6885.79,11.17
-6878.41,1.54,6883.96,7.09
-6878.37,1.60,6883.31,6.54
-6878.57,1.64,6883.31,6.39
-6878.64,1.60,6883.32,6.29
-6878.55,1.62,6883.24,6.31
-6878.36,1.62,6883.00,6.27
-6877.04,1.76,6883.38,8.10
-6875.15,1.96,6884.75,11.56
-6878.01,1.57,6883.83,7.38
-6877.01,1.71,6887.72,12.42
-6878.52,1.62,6884.08,7.17
-6877.52,1.87,6882.72,7.06
-6878.03,1.69,6883.51,7.17
-6878.63,1.68,6883.60,6.65
-6878.44,1.69,6883.07,6.32
-6878.32,1.65,6882.96,6.29
-6878.55,1.58,6883.91,6.95
-6877.22,1.82,6883.24,7.84
-6878.65,1.58,6884.35,7.28
-6878.28,1.77,6883.13,6.62
-6878.30,1.69,6883.37,6.76
-6874.71,2.27,6883.95,11.51
-6876.42,1.79,6882.86,8.23
-6876.77,1.75,6882.84,7.83
-6878.56,1.46,6883.81,6.71
-6878.31,1.58,6883.01,6.28
-6878.63,1.54,6883.40,6.30
-6878.32,1.60,6883.06,6.33
-6878.65,1.56,6883.46,6.37
-6878.42,1.59,6883.29,6.46
-6878.57,1.60,6883.46,6.50
-6878.38,1.62,6883.19,6.43
-6878.55,1.56,6883.26,6.27
-6878.49,1.56,6883.39,6.46
-6877.73,1.68,6882.76,6.70
-6878.66,1.61,6883.52,6.47
-6878.58,1.58,6883.38,6.37
-6878.34,1.64,6885.04,8.34
-6877.62,1.72,6883.17,7.28
-6871.82,2.80,6883.09,14.07
-6871.51,2.29,6883.31,14.09
-6874.03,1.73,6888.81,16.51
-6876.69,1.39,6887.10,11.81
-6876.40,1.60,6887.20,12.40
-6875.79,1.60,6883.46,9.28
-6876.16,1.58,6882.94,8.37
-6878.49,1.34,6884.72,7.57
-6878.48,1.53,6883.28,6.33
-6878.62,1.49,6883.52,6.39
-6878.37,1.53,6883.13,6.30
-6878.58,1.53,6883.42,6.38
-6878.55,1.55,6883.25,6.25
-6878.60,1.54,6883.33,6.27
-6877.04,1.77,6882.61,7.33
-6878.67,1.52,6883.52,6.38
-6878.53,1.50,6883.36,6.33
-6878.60,1.55,6883.61,6.56
-6877.19,1.76,6883.39,7.96
-6876.38,1.81,6883.26,8.69
-6877.64,1.68,6883.27,7.31
-6878.33,1.64,6883.20,6.50
-6878.39,1.62,6883.04,6.27
-6878.35,1.62,6883.04,6.31
-6878.44,1.59,6883.14,6.29
-6878.56,1.55,6883.29,6.28
-6878.39,1.57,6883.08,6.27
-6877.91,1.66,6882.71,6.47
-6876.05,1.86,6882.69,8.50
-6878.16,1.53,6884.00,7.37
-6877.45,1.75,6883.06,7.37
-6878.63,1.54,6883.45,6.35
-6878.31,1.57,6883.07,6.33
-6878.54,1.56,6883.31,6.33
-6878.60,1.52,6883.34,6.26
-6878.57,1.54,6883.48,6.45
-6878.62,1.62,6883.45,6.46
-6878.52,1.61,6883.21,6.30
-6878.62,1.59,6883.66,6.63
-6878.35,1.67,6883.29,6.61
-6878.54,1.60,6883.43,6.48
-6878.51,1.63,6883.48,6.59
-6878.55,1.60,6883.63,6.68
-6878.66,1.66,6883.44,6.43
-6873.61,2.32,6883.15,11.86
-6874.48,1.91,6884.54,11.98
-6875.55,1.74,6884.75,10.93
-6876.58,1.59,6882.74,7.74
-6877.06,1.59,6882.74,7.28
-6877.88,1.48,6883.32,6.92
-6877.38,1.67,6882.91,7.20
-6867.81,3.22,6884.06,19.46
-6865.28,2.92,6884.88,22.51
-6867.18,2.09,6882.70,17.61
-6869.86,1.58,6884.89,16.61
-6873.03,1.29,6883.51,11.76
-6876.63,1.07,6886.77,11.20
-6878.71,1.00,6884.35,6.64
-6877.79,1.34,6883.84,7.39
-6878.04,1.38,6885.31,8.64
-6875.88,1.70,6885.45,11.28
-6877.21,1.45,6882.64,6.88
-6877.97,1.34,6883.35,6.73
-6875.52,1.68,6884.81,10.96
-6876.24,1.49,6887.06,12.31
-6876.61,1.40,6883.12,7.91
-6874.64,1.73,6882.96,10.04
-6875.91,1.49,6883.79,9.37
-6877.16,1.49,6883.46,7.79
-6877.96,1.44,6883.35,6.83
-6878.15,1.41,6883.72,6.97
-6876.60,1.59,6882.81,7.80
-6875.76,1.66,6882.91,8.81
-6878.51,1.39,6883.64,6.53
-6877.20,1.58,6883.25,7.63
-6878.73,1.30,6884.02,6.59
-6878.65,1.42,6883.82,6.59
-6878.38,1.52,6883.42,6.56
-6878.54,1.54,6883.36,6.36
-6878.59,1.57,6883.48,6.46
-6878.36,1.57,6883.24,6.45
-6878.14,1.65,6882.86,6.37
-6878.42,1.60,6883.21,6.40
-6878.54,1.58,6883.37,6.41
-6878.34,1.57,6883.09,6.31
-6875.64,2.00,6885.17,11.53
-6877.46,1.64,6883.18,7.36
-6876.80,1.83,6883.26,8.30
-6876.93,1.75,6883.34,8.16
-6878.49,1.58,6884.52,7.61
-6877.81,1.88,6882.65,6.71
-6878.58,1.63,6883.93,6.98
-6878.09,1.73,6883.07,6.71
-6878.46,1.69,6883.18,6.41
-6878.38,1.67,6883.59,6.88
-6877.33,1.80,6882.66,7.14
-6878.39,1.63,6883.23,6.47
-6878.66,1.60,6883.44,6.38
-6878.40,1.65,6883.10,6.35
-6878.55,1.57,6883.42,6.44
-6878.38,1.62,6883.22,6.45
-6878.63,1.61,6883.47,6.44
-6878.66,1.62,6883.39,6.34
-6878.57,1.57,6883.28,6.28
-6878.38,1.65,6882.98,6.25
-6878.64,1.57,6883.36,6.29
-6878.40,1.66,6883.12,6.38
-6878.55,1.59,6883.35,6.39
-6878.45,1.57,6883.32,6.44
-6878.65,1.62,6883.42,6.39
-6878.66,1.58,6883.46,6.38
-6878.59,1.61,6883.45,6.47
-6878.30,1.64,6883.16,6.50
-6878.71,1.62,6883.52,6.42
-6878.30,1.67,6883.00,6.37
-6878.62,1.59,6883.40,6.37
-6878.34,1.62,6883.05,6.33
-6878.60,1.59,6883.39,6.38
-6878.36,1.63,6883.09,6.36
-6878.68,1.57,6883.46,6.35
-6877.46,1.73,6883.14,7.42
-6878.67,1.51,6883.67,6.51
-6878.35,1.66,6883.12,6.44
-6878.66,1.57,6883.42,6.34
-6878.37,1.59,6883.14,6.35
-6878.66,1.60,6883.52,6.47
-6878.40,1.64,6884.26,7.50
-6878.69,1.58,6885.39,8.28
-6878.46,1.58,6884.18,7.30
-6878.58,1.75,6883.21,6.38
-6878.25,1.74,6883.91,7.40
-6878.62,1.64,6883.51,6.52
-6877.64,1.74,6882.63,6.73
-6878.57,1.57,6884.30,7.31
-6878.18,1.69,6883.52,7.03
-6878.57,1.66,6883.16,6.24
-6878.38,1.69,6884.46,7.77
-6878.71,1.58,6884.12,6.99
-6878.50,1.68,6883.31,6.49
-6878.61,1.67,6883.20,6.25
-6878.41,1.69,6884.60,7.89
-6878.63,1.60,6884.02,6.99
-6876.96,1.94,6882.71,7.69
-6878.59,1.58,6883.91,6.90
-6878.41,1.64,6883.48,6.70
-6878.57,1.63,6883.24,6.31
-6878.44,1.66,6883.06,6.28
-6878.56,1.58,6883.30,6.32
-6878.37,1.60,6883.13,6.36
-6878.62,1.60,6883.47,6.45
-6878.33,1.62,6883.34,6.63
-6878.73,1.62,6883.62,6.51
-6878.13,1.69,6882.80,6.36
-6878.53,1.56,6883.26,6.29
-6878.54,1.59,6883.44,6.48
-6876.76,1.87,6883.02,8.13
-6876.70,1.77,6883.53,8.59
-6866.66,3.35,6884.89,21.58
-6867.32,2.31,6882.74,17.73
-6869.90,1.76,6884.27,16.12
-6873.09,1.49,6882.73,11.12
-6875.76,1.17,6882.82,8.23
-6875.37,1.33,6886.19,12.14
-6878.68,1.07,6884.73,7.12
-6874.95,1.78,6885.23,12.06
-6875.94,1.48,6882.88,8.43
-6876.80,1.46,6882.87,7.52
-6877.28,1.37,6882.67,6.76
-6878.20,1.23,6883.70,6.73
-6878.27,1.28,6883.32,6.34
-6878.46,1.28,6883.59,6.42
-6878.50,1.32,6883.55,6.37
-6878.57,1.34,6883.70,6.48
-6878.33,1.41,6884.62,7.70
-6877.26,1.54,6883.33,7.61
-6878.36,1.51,6883.09,6.24
-6878.64,1.51,6883.36,6.23
-6878.42,1.53,6883.17,6.28
-6875.62,1.91,6885.22,11.51
-6877.58,1.61,6883.25,7.28
-6877.03,1.75,6882.87,7.58
-6878.70,1.51,6883.55,6.36
-6878.59,1.53,6883.40,6.35
-6878.33,1.61,6883.16,6.43
-6878.59,1.56,6883.34,6.31
-6878.45,1.55,6883.28,6.37
-6878.60,1.56,6883.44,6.40
-6878.41,1.66,6883.16,6.41
-6878.56,1.58,6883.44,6.46
-6877.74,1.71,6882.55,6.52
-6878.77,1.56,6883.70,6.49
-6878.37,1.62,6883.11,6.36
-6878.64,1.61,6883.33,6.31
-6878.53,1.56,6883.50,6.53
-6878.60,1.57,6883.52,6.49
-6878.33,1.62,6883.04,6.33
-6878.57,1.60,6883.22,6.25
-6878.41,1.58,6884.44,7.61
-6878.72,1.53,6883.98,6.79
-6878.42,1.66,6883.03,6.27
-6878.61,1.63,6883.30,6.32
-6877.47,1.76,6883.27,7.56
-6877.70,1.67,6883.90,7.87
-6877.59,1.64,6882.67,6.72
-6878.66,1.58,6883.49,6.42
-6878.70,1.57,6883.54,6.42
-6878.55,1.63,6883.37,6.45
-6878.49,1.62,6883.47,6.60
-6878.44,1.61,6883.28,6.45
-6878.48,1.59,6883.33,6.45
-6877.87,1.70,6882.77,6.60
-6877.27,1.77,6883.26,7.75
-6877.79,1.67,6883.78,7.66
-6876.77,1.78,6882.77,7.78
-6878.65,1.50,6883.61,6.46
-6878.45,1.57,6883.09,6.21
-6878.60,1.59,6883.26,6.25
-6878.51,1.58,6883.18,6.25
-6878.65,1.57,6883.48,6.40
-6878.53,1.58,6883.22,6.27
-6878.58,1.55,6883.29,6.27
-6878.38,1.57,6883.18,6.37
-6878.61,1.56,6883.42,6.37
-6878.38,1.66,6883.12,6.39
-6877.18,1.80,6882.90,7.52
-6878.52,1.50,6883.41,6.39
-6878.59,1.54,6883.42,6.37
-6878.42,1.60,6883.22,6.39
-6878.74,1.59,6883.46,6.31
-6878.36,1.66,6884.07,7.37
-6878.72,1.55,6883.54,6.36
-6878.36,1.61,6883.20,6.46
-6878.58,1.60,6883.44,6.46
-6878.36,1.63,6883.14,6.40
-6878.63,1.59,6883.36,6.32
-6877.15,1.79,6882.91,7.56
-6878.68,1.49,6883.77,6.58
-6877.47,1.72,6883.09,7.34
-6878.74,1.48,6883.57,6.31
-6878.46,1.56,6883.28,6.38
-6878.62,1.60,6883.37,6.36
-6878.48,1.63,6883.21,6.36
-6878.63,1.58,6883.61,6.57
-6878.18,1.63,6883.03,6.48
-6878.54,1.64,6883.25,6.36
-6878.51,1.61,6883.24,6.34
-6878.59,1.56,6883.30,6.27
-6878.41,1.63,6883.17,6.39
-6878.59,1.62,6883.42,6.44
-6878.34,1.68,6883.14,6.48
-6878.51,1.58,6883.30,6.37
-6878.43,1.57,6883.21,6.35
-6878.63,1.58,6883.30,6.25
-6878.39,1.62,6883.86,7.09
-6878.24,1.62,6883.74,7.12
-6878.36,1.68,6882.95,6.28
-6878.58,1.63,6883.27,6.32
-6878.37,1.63,6883.11,6.37
-6878.62,1.63,6883.36,6.38
-6878.28,1.64,6882.98,6.34
-6876.75,1.81,6882.84,7.91
-6878.46,1.49,6883.87,6.90
-6878.57,1.60,6883.25,6.28
-6878.44,1.61,6883.16,6.32
-6878.55,1.59,6883.27,6.31
-6878.45,1.57,6883.18,6.30
-6878.63,1.60,6883.31,6.28
-6878.61,1.62,6883.36,6.36
-6878.70,1.57,6883.66,6.53
-6878.49,1.68,6883.08,6.27
-6878.64,1.56,6883.41,6.34
-6878.27,1.57,6883.14,6.44
-6876.63,1.85,6882.88,8.10
-6878.52,1.49,6884.08,7.05
-6877.69,1.79,6884.37,8.46
-6877.90,1.67,6882.70,6.47
-6878.66,1.54,6883.83,6.71
-6876.94,1.84,6883.29,8.19
-6878.61,1.50,6884.32,7.21
-6878.44,1.67,6883.15,6.38
-6878.63,1.65,6883.29,6.31
-6878.01,1.71,6882.74,6.44
-6877.73,1.69,6882.73,6.70
-6878.42,1.58,6883.91,7.06
-6877.45,1.77,6882.73,7.05
-6878.36,1.63,6883.40,6.66
-6878.63,1.70,6883.12,6.19
-6878.64,1.65,6883.26,6.27
-6878.60,1.60,6883.33,6.34
-6878.40,1.59,6883.17,6.35
-6878.50,1.58,6883.25,6.33
-6878.41,1.58,6883.38,6.55
-6878.36,1.60,6883.52,6.77
-6878.57,1.64,6883.29,6.35
-6878.61,1.64,6883.22,6.25
-6878.46,1.58,6883.14,6.27
-6878.59,1.56,6883.42,6.39
-6878.44,1.62,6883.18,6.35
-6878.63,1.59,6883.40,6.35
-6878.42,1.67,6883.18,6.42
-6878.63,1.60,6883.75,6.72
-6878.41,1.62,6883.50,6.71
-6878.59,1.65,6883.31,6.37
-6878.43,1.63,6883.14,6.34
-6878.63,1.65,6883.32,6.35
-6878.40,1.63,6883.56,6.79
-6877.98,1.66,6883.30,6.98
-6877.43,1.79,6882.82,7.18
-6878.71,1.50,6884.61,7.39
-6877.61,1.88,6882.74,7.01
-6878.31,1.67,6883.43,6.79
-6878.40,1.71,6882.99,6.30
-6878.62,1.62,6883.25,6.25
-6878.23,1.66,6883.93,7.36
-6878.77,1.56,6883.56,6.35
-6877.75,1.74,6882.45,6.44
-6878.69,1.52,6883.86,6.68
-6878.70,1.59,6883.68,6.58
-6876.74,1.89,6882.94,8.09
-6878.66,1.57,6884.13,7.04
-6878.55,1.64,6883.60,6.69
-6878.13,1.65,6883.16,6.67
-6878.61,1.64,6883.32,6.35
-6878.41,1.64,6884.25,7.48
-6878.65,1.58,6883.51,6.44
-6878.38,1.63,6883.28,6.53
-6878.53,1.60,6883.51,6.57
-6878.40,1.65,6883.15,6.40
-6878.59,1.62,6883.32,6.35
-6877.93,1.74,6882.83,6.64
-6878.49,1.58,6883.54,6.63
-6878.34,1.67,6883.10,6.43
-6878.61,1.61,6883.29,6.28
-6878.37,1.58,6884.00,7.20
-6878.74,1.53,6884.58,7.36
-6878.49,1.78,6884.23,7.52
-6878.64,1.66,6883.43,6.45
-6878.36,1.69,6882.95,6.28
-6876.86,1.84,6882.95,7.93
-6878.47,1.60,6883.91,7.04
-6878.51,1.62,6883.35,6.46
-6876.57,1.92,6882.94,8.29
-6877.78,1.61,6883.39,7.22
-6876.86,1.85,6882.96,7.95
-6877.09,1.77,6883.25,7.92
-6878.05,1.66,6882.77,6.38
-6878.75,1.52,6884.47,7.24
-6877.32,1.72,6883.57,7.97
-6878.12,1.70,6883.55,7.13
-6877.81,1.79,6883.35,7.33
-6878.73,1.58,6883.48,6.33
-6878.39,1.64,6883.14,6.39
-6878.58,1.66,6883.26,6.34
-6877.62,1.74,6883.21,7.33
-6878.74,1.54,6884.55,7.34
-6875.58,2.12,6884.69,11.23
-6875.72,1.89,6885.76,11.94
-6876.95,1.67,6884.28,9.00
-6874.47,2.14,6885.09,12.76
-6877.22,1.66,6883.08,7.52
-6878.25,1.64,6884.18,7.56
-6877.77,1.74,6883.49,7.46
-6878.38,1.74,6883.25,6.61
-6877.00,1.88,6882.94,7.82
-6877.57,1.71,6882.74,6.88
-6877.99,1.67,6882.98,6.66
-6877.84,1.65,6882.77,6.58
-6878.61,1.57,6883.40,6.36
-6878.19,1.62,6884.34,7.77
-6877.31,1.74,6883.87,8.31
-6878.71,1.59,6883.94,6.82
-6878.41,1.68,6882.98,6.26
-6878.61,1.61,6883.64,6.64
-6877.94,1.64,6882.94,6.64
-6877.93,1.73,6882.68,6.48
-6878.40,1.58,6883.75,6.93
-6878.50,1.59,6883.68,6.78
-6878.30,1.65,6883.05,6.40
-6878.60,1.62,6883.40,6.41
-6878.41,1.62,6883.18,6.39
-6878.67,1.60,6883.40,6.33
-6878.49,1.61,6883.25,6.36
-6878.71,1.62,6883.46,6.38
-6878.61,1.64,6883.37,6.40
-6878.56,1.62,6883.35,6.41
-6878.58,1.61,6883.34,6.36
-6878.58,1.57,6883.49,6.47
-6876.34,1.95,6885.82,11.44
-6877.62,1.62,6887.21,11.21
-6877.55,1.69,6883.04,7.19
-6877.66,1.63,6882.74,6.71
-6878.54,1.50,6883.74,6.70
-6878.61,1.57,6883.36,6.32
-6878.39,1.58,6883.21,6.41
-6878.54,1.65,6883.16,6.27
-6878.51,1.57,6883.35,6.41
-6877.14,1.77,6882.86,7.48
-6875.05,2.05,6884.58,11.57
-6877.00,1.68,6882.75,7.42
-6876.95,1.78,6883.10,7.92
-6878.52,1.49,6883.72,6.69
-6878.66,1.56,6883.38,6.29
-6878.61,1.55,6883.46,6.41
-6878.44,1.61,6883.18,6.36
-6878.63,1.60,6883.29,6.26
-6878.46,1.57,6883.18,6.29
-6878.67,1.57,6883.41,6.31
-6878.30,1.65,6883.09,6.44
-6878.66,1.56,6883.51,6.42
-6878.45,1.57,6883.14,6.25
-6877.74,1.69,6883.46,7.41
-6878.55,1.49,6883.55,6.48
-6878.57,1.60,6883.41,6.43
-6878.41,1.64,6883.13,6.36
-6878.67,1.59,6883.43,6.35
-6878.39,1.67,6884.02,7.30
-6878.70,1.57,6883.69,6.56
-6878.41,1.61,6883.32,6.52
-6878.67,1.57,6883.39,6.29
-6878.42,1.65,6883.00,6.24
-6878.65,1.57,6883.33,6.25
-6876.63,1.85,6882.77,7.99
-6878.61,1.49,6884.25,7.13
-6878.26,1.71,6882.81,6.26
-6878.68,1.61,6883.31,6.23
-6878.48,1.58,6883.16,6.26
-6878.67,1.60,6883.35,6.29
-6878.38,1.62,6883.14,6.37
-6878.63,1.59,6883.42,6.39
-6878.51,1.62,6883.28,6.40
-6878.71,1.59,6883.62,6.50
-6878.27,1.61,6883.33,6.67
-6878.56,1.61,6883.49,6.54
-6878.20,1.64,6883.06,6.50
-6878.56,1.64,6883.35,6.43
-6878.42,1.65,6883.31,6.54
-6878.62,1.59,6883.75,6.72
-6878.36,1.66,6883.01,6.32
-6878.60,1.58,6883.29,6.27
-6878.46,1.59,6883.22,6.35
-6878.69,1.54,6883.67,6.52
-6878.45,1.63,6883.02,6.20
-6878.65,1.60,6883.26,6.21
-6877.78,1.71,6883.84,7.76
-6878.43,1.55,6883.72,6.83
-6877.76,1.76,6884.11,8.10
-6877.23,1.73,6882.77,7.28
-6878.36,1.65,6883.04,6.33
-6878.67,1.56,6883.46,6.36
-6878.46,1.65,6883.07,6.26
-6878.67,1.57,6883.43,6.34
-6878.63,1.57,6883.40,6.34
-6878.62,1.60,6883.26,6.25
-6878.40,1.59,6883.11,6.29
-6878.64,1.58,6884.54,7.48
-6878.49,1.60,6883.26,6.37
-6878.63,1.57,6883.29,6.23
-6878.45,1.56,6883.12,6.23
-6877.17,1.78,6882.74,7.34
-6877.84,1.61,6884.43,8.19
-6876.95,1.72,6885.78,10.55
-6877.18,1.60,6883.15,7.57
-6878.76,1.46,6883.80,6.49
-6878.25,1.52,6883.29,6.56
-6878.67,1.54,6883.64,6.50
-6878.20,1.61,6883.51,6.92
-6878.27,1.64,6883.55,6.92
-6877.05,1.80,6882.78,7.53
-6875.98,1.89,6882.81,8.72
-6878.20,1.60,6883.25,6.65
-6877.67,1.75,6882.82,6.89
-6878.06,1.68,6883.44,7.07
-6878.53,1.67,6883.21,6.35
-6878.60,1.62,6883.21,6.22
-6878.65,1.59,6883.36,6.30
-6878.34,1.62,6883.07,6.35
-6878.61,1.61,6883.34,6.34
-6878.44,1.59,6884.23,7.39
-6878.72,1.56,6883.64,6.47
-6878.40,1.66,6883.10,6.35
-6878.66,1.58,6883.32,6.24
-6878.46,1.57,6883.63,6.74
-6878.25,1.66,6883.26,6.67
-6878.47,1.66,6883.34,6.53
-6878.44,1.63,6883.38,6.58
-6878.45,1.65,6883.10,6.31
-6878.64,1.61,6884.06,7.02
-6878.06,1.67,6883.43,7.03
-6878.45,1.67,6883.21,6.44
-6878.54,1.60,6883.50,6.56
-6878.59,1.65,6883.21,6.26
-6878.71,1.58,6883.63,6.51
-6878.34,1.64,6883.42,6.72
-6878.01,1.74,6883.29,7.02
-6878.01,1.69,6883.23,6.91
-6878.27,1.69,6882.90,6.32
-6878.80,1.58,6883.58,6.36
-6878.42,1.65,6883.39,6.62
-6878.37,1.64,6883.23,6.50
-6878.43,1.59,6883.17,6.33
-6878.83,1.55,6883.63,6.35
-6877.83,1.73,6883.59,7.49
-6878.60,1.56,6883.50,6.47
-6878.44,1.60,6883.18,6.34
-6876.93,1.82,6882.99,7.89
-6878.32,1.56,6883.57,6.82
-6878.58,1.58,6884.39,7.40
-6878.46,1.58,6883.41,6.53
-6878.68,1.57,6883.70,6.59
-6878.35,1.67,6883.18,6.50
-6877.65,1.73,6882.60,6.68
-6878.35,1.54,6883.66,6.86
-6878.70,1.56,6884.04,6.90
-6878.25,1.70,6883.21,6.66
-6878.52,1.65,6883.23,6.36
-6876.84,1.85,6882.82,7.84
-6878.47,1.52,6883.89,6.93
-6878.20,1.66,6882.97,6.43
-6878.47,1.62,6883.45,6.60
-6878.16,1.64,6882.95,6.43
-6878.58,1.61,6883.31,6.34
-6878.45,1.59,6883.15,6.29
-6878.65,1.54,6883.36,6.25
-6878.43,1.63,6883.24,6.44
-6878.09,1.61,6882.84,6.37
-6878.74,1.50,6883.48,6.24
-6878.59,1.57,6883.30,6.28
-6878.68,1.58,6883.33,6.23
-6878.67,1.56,6883.41,6.30
-6878.41,1.59,6883.38,6.56
-6878.61,1.56,6883.76,6.71
-6878.35,1.66,6883.12,6.43
-6878.62,1.59,6883.36,6.33
-6878.46,1.62,6884.68,7.85
-6878.71,1.56,6884.15,7.01
-6878.40,1.72,6883.00,6.31
-6878.59,1.64,6883.36,6.42
-6878.36,1.62,6883.10,6.36
-6878.58,1.61,6883.38,6.41
-6878.40,1.60,6883.20,6.40
-6877.70,1.72,6883.25,7.28
-6878.49,1.53,6883.29,6.33
-6878.65,1.54,6883.36,6.25
-6878.45,1.56,6883.25,6.36
-6878.56,1.57,6883.35,6.36
-6878.49,1.57,6883.26,6.34
-6878.64,1.58,6883.61,6.55
-6878.28,1.65,6883.30,6.67
-6878.65,1.58,6883.66,6.58
-6878.38,1.65,6883.02,6.29
-6878.66,1.59,6883.34,6.26
-6878.37,1.61,6883.21,6.45
