Time_offload,Time_process,Time_reply,Time_e2e
-6871.37,3.85,6886.15,18.64
-6874.08,3.72,6885.24,14.88
-6875.37,3.39,6884.42,12.44
-6876.87,2.36,6885.69,11.17
-6878.96,1.70,6884.69,7.43
-6879.04,1.55,6884.78,7.29
-6880.23,1.28,6885.18,6.22
-6880.12,1.30,6885.17,6.35
-6880.18,1.34,6885.09,6.24
-6878.45,1.52,6884.38,7.46
-6878.53,1.45,6884.57,7.49
-6880.29,1.22,6885.27,6.21
-6880.29,1.27,6885.36,6.33
-6880.29,1.36,6885.36,6.42
-6879.96,1.48,6884.77,6.29
-6880.31,1.46,6885.13,6.28
-6880.32,1.50,6885.10,6.28
-6879.48,1.68,6884.23,6.44
-6880.29,1.49,6885.27,6.46
-6880.07,1.57,6890.13,11.63
-6879.93,1.58,6885.80,7.45
-6880.30,1.49,6885.90,7.09
-6877.41,1.99,6886.44,11.02
-6873.61,2.52,6887.24,16.16
-6874.84,1.93,6884.92,12.01
-6874.50,1.81,6886.48,13.79
-6876.41,1.44,6884.76,9.79
-6878.36,1.16,6884.35,7.15
-6878.50,1.18,6884.79,7.47
-6878.85,1.23,6884.35,6.72
-6880.22,1.16,6885.81,6.75
-6879.80,1.39,6884.67,6.26
-6880.28,1.40,6885.25,6.38
-6878.62,1.75,6884.37,7.50
-6878.80,1.64,6884.25,7.09
-6879.91,1.48,6884.44,6.01
-6880.18,1.42,6885.11,6.34
-6880.04,1.47,6885.00,6.43
-6879.98,1.58,6884.65,6.25
-6880.04,1.54,6884.71,6.21
-6880.04,1.57,6884.79,6.32
-6879.76,1.62,6885.40,7.26
-6878.54,1.75,6884.22,7.44
-6879.74,1.49,6884.63,6.39
-6879.97,1.48,6884.89,6.40
-6879.04,1.64,6885.44,8.04
-6879.92,1.53,6885.23,6.84
-6878.67,1.82,6884.09,7.24
-6880.39,1.50,6885.16,6.28
-6879.67,1.61,6884.51,6.45
-6880.32,1.49,6885.51,6.68
-6880.25,1.61,6885.23,6.59
-6880.20,1.63,6884.96,6.39
-6879.65,1.73,6884.26,6.34
-6880.34,1.60,6889.76,11.01
-6878.75,1.77,6884.35,7.37
-6879.65,1.65,6888.47,10.46
-6878.90,1.72,6887.24,10.06
-6879.25,1.57,6884.66,6.98
-6880.39,1.38,6885.77,6.75
-6879.84,1.55,6885.17,6.88
-6880.25,1.60,6884.98,6.34
-6880.22,1.57,6884.90,6.25
-6880.15,1.56,6884.88,6.29
-6879.97,1.59,6884.65,6.28
-6880.19,1.55,6884.84,6.21
-6879.33,1.73,6884.28,6.68
-6880.02,1.55,6885.21,6.74
-6880.22,1.58,6884.93,6.29
-6880.23,1.63,6885.13,6.53
-6879.90,1.63,6884.74,6.47
-6879.23,1.76,6884.16,6.69
-6880.10,1.56,6885.10,6.57
-6876.94,2.04,6885.33,10.43
-6878.76,1.72,6884.31,7.27
-6880.18,1.44,6885.15,6.42
-6878.79,1.68,6884.34,7.23
-6879.45,1.51,6884.22,6.28
-6878.57,1.68,6884.38,7.50
-6877.90,1.69,6884.21,8.00
-6880.15,1.39,6885.91,7.15
-6879.08,1.54,6884.28,6.74
-6878.03,1.69,6886.48,10.15
-6878.05,1.69,6886.47,10.11
-6878.32,1.52,6884.33,7.52
-6878.65,1.49,6885.16,8.00
-6878.72,1.52,6884.25,7.05
-6880.24,1.42,6885.71,6.89
-6879.26,1.70,6884.31,6.74
-6880.26,1.53,6885.28,6.55
-6879.72,1.66,6884.42,6.36
-6879.15,1.71,6884.22,6.78
-6879.68,1.62,6884.75,6.69
-6879.08,1.67,6884.57,7.16
-6880.40,1.49,6885.15,6.24
-6877.73,1.85,6886.29,10.41
-6878.93,1.58,6884.67,7.32
-6878.09,1.66,6884.46,8.04
-6880.01,1.43,6885.48,6.90
-6879.80,1.54,6884.61,6.34
-6879.98,1.52,6884.77,6.30
-6880.11,1.55,6885.09,6.53
-6877.26,1.97,6886.03,10.74
-6879.43,1.61,6884.33,6.50
-6880.30,1.44,6885.33,6.46
-6880.32,1.54,6885.20,6.41
-6880.18,1.59,6885.08,6.48
-6880.22,1.60,6885.02,6.40
-6880.06,1.59,6884.86,6.38
-6880.30,1.57,6884.95,6.23
-6880.31,1.57,6885.09,6.36
-6880.25,1.57,6885.54,6.85
-6878.62,1.88,6884.36,7.63
-6880.37,1.56,6884.96,6.15
-6880.27,1.56,6884.93,6.21
-6880.26,1.57,6885.23,6.54
-6879.95,1.57,6885.07,6.70
-6880.13,1.63,6884.73,6.24
-6880.08,1.61,6884.82,6.34
-6879.23,1.70,6884.93,7.40
-6880.28,1.54,6885.12,6.39
-6879.19,1.76,6884.90,7.47
