Time_offload,Time_process,Time_reply,Time_e2e
-6875.41,3.85,6886.12,14.57
-6874.89,3.75,6885.63,14.49
-6874.11,3.31,6885.30,14.50
-6874.40,2.33,6886.66,14.59
-6875.90,1.69,6884.69,10.48
-6878.12,1.30,6884.75,7.94
-6879.55,1.17,6885.51,7.13
-6879.53,1.38,6884.46,6.31
-6879.57,1.38,6885.91,7.73
-6879.63,1.34,6885.28,6.99
-6877.36,1.81,6886.01,10.46
-6879.51,1.40,6884.31,6.19
-6879.36,1.37,6884.35,6.36
-6879.37,1.34,6884.66,6.62
-6879.34,1.36,6884.75,6.77
-6879.45,1.34,6884.76,6.65
-6879.43,1.40,6884.33,6.30
-6879.71,1.36,6884.56,6.21
-6879.71,1.46,6884.52,6.27
-6879.65,1.47,6884.55,6.38
-6879.73,1.52,6884.68,6.46
-6879.02,1.66,6883.83,6.47
-6879.75,1.48,6884.89,6.61
-6879.62,1.57,6884.38,6.34
-6879.75,1.59,6884.41,6.26
-6879.76,1.56,6884.57,6.37
-6879.63,1.62,6884.33,6.32
-6877.57,1.86,6885.94,10.23
-6879.59,1.54,6884.12,6.07
-6879.77,1.47,6884.75,6.46
-6879.64,1.55,6884.33,6.24
-6879.73,1.56,6884.38,6.22
-6879.66,1.58,6884.42,6.34
-6879.80,1.61,6884.50,6.31
-6879.60,1.58,6884.39,6.37
-6879.23,1.67,6883.90,6.34
-6879.00,1.63,6883.89,6.53
-6878.97,1.60,6884.01,6.64
-6877.75,1.83,6884.00,8.07
-6879.30,1.50,6884.80,7.01
-6879.43,1.66,6884.04,6.28
-6879.12,1.63,6883.79,6.31
-6878.92,1.63,6883.76,6.48
-6878.64,1.63,6883.77,6.76
-6879.10,1.65,6888.09,10.64
-6879.28,1.61,6884.01,6.34
-6879.53,1.52,6884.45,6.44
-6879.53,1.56,6884.30,6.33
-6879.52,1.59,6884.24,6.31
-6877.92,1.80,6883.80,7.68
-6877.60,1.82,6883.82,8.03
-6878.23,1.68,6887.33,10.78
-6879.70,1.46,6884.47,6.22
-6879.77,1.51,6884.47,6.21
-6879.59,1.56,6884.39,6.37
-6879.74,1.57,6884.45,6.28
-6879.53,1.59,6884.14,6.20
-6879.81,1.53,6884.48,6.20
