Created,Deserialized,Processing,Processed,Finished
1714997396.5789273,1714997389.7078853,1714997389.7117257,1714997389.7117348,1714997396.598421
1714997396.5855906,1714997389.7130222,1714997389.7167552,1714997389.716764,1714997396.6029282
1714997396.5911121,1714997389.7170472,1714997389.7205384,1714997389.7205443,1714997396.6072543
1714997396.5957193,1714997389.721447,1714997389.723773,1714997389.7237778,1714997396.6113496
1714997396.6006577,1714997389.72393,1714997389.725665,1714997389.7256675,1714997396.611416
1714997396.6051354,1714997389.7260153,1714997389.7273314,1714997389.7273335,1714997396.6124551
1714997396.6090636,1714997389.7290163,1714997389.7302485,1714997389.730251,1714997396.61559
1714997396.6135693,1714997389.7325108,1714997389.733713,1714997389.7337155,1714997396.6198483
1714997396.6177945,1714997389.7378266,1714997389.7392583,1714997389.7392616,1714997396.6242514
1714997396.6220105,1714997389.7413964,1714997389.742698,1714997389.742701,1714997396.6285918
1714997396.6264803,1714997389.7456303,1714997389.7469435,1714997389.7469466,1714997396.6327739
1714997396.6307113,1714997389.7498,1714997389.751162,1714997389.7511652,1714997396.637116
1714997396.6349406,1714997389.7540717,1714997389.7554753,1714997389.7554789,1714997396.641352
1714997396.639303,1714997389.759122,1714997389.7605443,1714997389.7605476,1714997396.6455827
1714997396.643473,1714997389.7623296,1714997389.7636409,1714997389.7636435,1714997396.6497817
1714997396.6477478,1714997389.7668512,1714997389.7682178,1714997389.7682207,1714997396.6539946
1714997396.6519399,1714997389.7719896,1714997389.7734509,1714997389.7734544,1714997396.659376
1714997396.6561139,1714997389.7762506,1714997389.7776241,1714997389.7776272,1714997396.6626794
1714997396.6604915,1714997389.7795227,1714997389.78076,1714997389.780763,1714997396.6669662
1714997396.6649082,1714997389.7840097,1714997389.785308,1714997389.7853107,1714997396.6711583
1714997396.6690907,1714997389.7881148,1714997389.7894354,1714997389.7894382,1714997396.6753411
1714997396.6732755,1714997389.792659,1714997389.7940524,1714997389.7940555,1714997396.6795087
1714997396.6774595,1714997389.796542,1714997389.7978668,1714997389.7978697,1714997396.683736
1714997396.6816325,1714997389.8016002,1714997389.803064,1714997389.8030674,1714997396.6881347
1714997396.6858578,1714997389.8048437,1714997389.8061519,1714997389.8061547,1714997396.692382
1714997396.690305,1714997389.8097363,1714997389.811139,1714997389.8111424,1714997396.6974115
1714997396.6945264,1714997389.8143425,1714997389.8157685,1714997389.8157716,1714997396.7015743
1714997396.699547,1714997389.8186386,1714997389.8200886,1714997389.820092,1714997396.7057917
1714997396.703738,1714997389.8227534,1714997389.8241708,1714997389.824174,1714997396.710058
