Time_offload,Time_process,Time_reply,Time_e2e
-6871.04,3.85,6886.69,19.49
-6872.57,3.74,6886.16,17.34
-6874.06,3.50,6886.71,16.14
-6874.27,2.33,6887.57,15.63
-6876.73,1.74,6885.75,10.76
-6879.12,1.32,6885.12,7.32
-6880.05,1.23,6885.34,6.53
-6881.06,1.20,6886.13,6.28
-6879.97,1.44,6884.99,6.46
-6880.61,1.30,6885.89,6.58
-6880.85,1.32,6885.83,6.29
-6880.91,1.37,6885.95,6.40
-6880.87,1.41,6885.87,6.41
-6880.18,1.43,6885.04,6.28
-6881.14,1.31,6886.14,6.31
-6880.90,1.37,6885.77,6.25
-6879.95,1.46,6885.92,7.44
-6879.86,1.38,6885.05,6.57
-6880.97,1.24,6886.20,6.47
-6880.90,1.30,6885.85,6.25
-6880.98,1.32,6885.90,6.25
-6880.62,1.40,6885.45,6.23
-6880.92,1.33,6885.87,6.28
-6880.03,1.47,6885.07,6.50
-6881.01,1.31,6886.23,6.52
-6880.57,1.41,6886.27,7.11
-6880.18,1.43,6885.80,7.05
-6880.91,1.45,6885.70,6.24
-6880.98,1.42,6885.88,6.32
-6880.93,1.41,6885.78,6.26
-6880.56,1.43,6885.41,6.27
-6881.09,1.36,6886.04,6.30
-6880.49,1.44,6885.24,6.19
-6880.83,1.37,6885.74,6.29
-6880.89,1.34,6885.79,6.24
-6881.02,1.35,6885.92,6.25
-6880.99,1.36,6886.00,6.38
-6880.27,1.53,6885.05,6.32
-6881.18,1.44,6886.65,6.91
-6880.62,1.59,6885.71,6.67
-6880.67,1.57,6885.40,6.30
-6880.28,1.68,6885.07,6.47
-6881.06,1.49,6886.07,6.50
-6881.05,1.50,6885.86,6.30
-6880.93,1.57,6886.95,7.58
-6881.16,1.52,6886.20,6.56
-6881.09,1.60,6886.38,6.89
-6880.51,1.67,6886.00,7.15
-6880.78,1.71,6885.54,6.47
-6880.98,1.65,6885.65,6.32
-6881.06,1.63,6886.02,6.59
-6880.25,1.68,6885.39,6.83
