Time_offload,Time_process,Time_reply,Time_e2e
-6872.32,3.86,6886.20,17.75
-6873.28,3.81,6886.02,16.55
-6875.25,3.47,6886.06,14.29
-6877.34,2.36,6887.62,12.64
-6879.43,1.68,6886.46,8.72
-6879.80,1.61,6886.23,8.04
-6880.42,1.36,6886.06,7.00
-6878.63,1.45,6888.92,11.74
-6880.23,1.16,6887.36,8.29
-6878.35,1.54,6886.04,9.24
-6880.29,1.36,6886.66,7.74
-6880.88,1.41,6886.69,7.22
-6881.52,1.48,6886.47,6.42
-6881.52,1.51,6886.34,6.33
-6881.57,1.48,6887.53,7.44
-6881.47,1.53,6886.51,6.57
-6881.58,1.56,6886.44,6.41
-6881.51,1.58,6886.19,6.26
-6881.68,1.58,6886.32,6.22
-6881.35,1.57,6886.14,6.35
-6881.63,1.52,6886.48,6.37
-6881.40,1.59,6886.07,6.26
-6881.64,1.58,6886.46,6.40
-6876.29,2.27,6889.04,15.03
-6877.82,1.81,6886.77,10.76
-6879.30,1.52,6887.72,9.94
-6881.34,1.33,6885.74,5.73
-6881.84,1.26,6886.92,6.35
-6881.49,1.42,6886.78,6.71
-6881.43,1.47,6886.53,6.57
-6881.74,1.50,6886.78,6.54
-6881.25,1.64,6886.01,6.40
-6881.61,1.57,6886.39,6.35
-6881.37,1.59,6886.17,6.39
-6881.58,1.58,6886.28,6.28
-6881.41,1.64,6886.19,6.43
-6881.62,1.58,6886.34,6.29
-6881.43,1.57,6886.15,6.29
-6881.56,1.61,6886.31,6.35
-6881.35,1.60,6886.18,6.42
-6881.33,1.62,6885.99,6.28
-6881.44,1.56,6886.28,6.40
-6881.54,1.53,6886.61,6.61
-6881.32,1.64,6886.03,6.35
-6881.61,1.58,6886.93,6.89
-6881.05,1.65,6886.32,6.92
-6881.70,1.64,6886.48,6.42
-6880.29,1.84,6888.84,10.39
-6879.84,1.83,6888.49,10.48
-6879.80,1.72,6885.85,7.77
-6881.64,1.42,6885.88,5.66
-6881.38,1.43,6886.41,6.46
-6881.59,1.43,6886.65,6.49
-6881.48,1.53,6886.48,6.52
-6881.55,1.56,6886.37,6.38
-6879.93,1.77,6888.32,10.15
-6876.93,2.20,6885.80,11.08
-6874.61,2.24,6887.17,14.80
-6875.36,1.89,6887.80,14.33
-6868.25,2.90,6887.82,22.47
-6868.92,2.11,6885.54,18.72
-6870.11,1.68,6890.70,22.26
-6872.48,1.35,6889.25,18.12
-6875.06,1.10,6887.93,13.97
-6877.72,0.93,6886.76,9.98
-6880.05,0.82,6885.51,6.28
-6881.38,0.88,6887.41,6.91
-6881.16,1.07,6886.84,6.75
-6881.37,1.22,6886.40,6.24
-6881.36,1.30,6886.43,6.36
-6880.75,1.43,6885.75,6.43
-6880.36,1.56,6885.72,6.92
-6881.24,1.47,6885.64,5.87
-6881.42,1.42,6886.79,6.79
-6881.36,1.47,6885.64,5.75
-6881.38,1.40,6886.46,6.48
-6881.36,1.48,6886.26,6.38
-6881.43,1.55,6886.27,6.39
-6881.15,1.59,6885.95,6.40
-6880.38,1.67,6888.75,10.03
-6881.45,1.49,6885.75,5.79
-6879.47,1.71,6887.93,10.17
-6879.83,1.65,6887.80,9.61
-6881.46,1.38,6886.06,5.99
-6881.33,1.37,6887.00,7.03
-6880.78,1.56,6886.17,6.95
-6881.22,1.55,6886.04,6.37
-6881.37,1.53,6886.06,6.22
-6881.38,1.56,6886.04,6.23
-6881.37,1.57,6886.15,6.35
-6881.52,1.50,6886.28,6.26
-6881.34,1.54,6886.17,6.37
-6881.38,1.57,6886.18,6.37
-6881.37,1.60,6886.20,6.44
-6881.30,1.57,6886.02,6.29
-6881.32,1.61,6886.07,6.36
-6880.57,1.67,6888.81,9.91
-6881.52,1.49,6885.75,5.72
-6881.48,1.43,6886.51,6.46
-6881.26,1.57,6886.11,6.41
-6881.34,1.57,6886.12,6.35
-6881.31,1.56,6886.04,6.28
-6881.39,1.53,6886.07,6.22
-6881.41,1.55,6886.15,6.30
-6881.31,1.58,6886.02,6.29
-6881.36,1.54,6886.27,6.45
-6881.29,1.59,6886.29,6.58
-6881.39,1.54,6889.98,10.13
-6881.45,1.62,6885.71,5.88
-6881.42,1.52,6886.42,6.52
-6881.31,1.54,6886.42,6.66
-6881.36,1.55,6886.43,6.62
-6881.47,1.55,6890.49,10.57
-6881.44,1.56,6886.18,6.31
-6881.03,1.67,6886.01,6.64
-6881.30,1.60,6886.16,6.46
-6881.32,1.61,6886.26,6.55
-6881.45,1.58,6886.56,6.69
-6880.89,1.67,6885.74,6.52
-6881.41,1.55,6886.36,6.50
-6881.32,1.59,6886.06,6.33
-6881.30,1.64,6886.05,6.39
-6879.99,1.77,6888.21,9.99
-6881.44,1.47,6885.72,5.76
-6881.50,1.46,6886.76,6.72
-6880.74,1.60,6886.00,6.86
-6881.46,1.56,6886.30,6.40
-6881.58,1.56,6886.34,6.32
-6881.62,1.56,6886.45,6.39
-6881.57,1.59,6886.36,6.38
-6881.54,1.58,6886.28,6.31
-6881.58,1.56,6886.32,6.30
-6881.52,1.57,6886.26,6.31
-6881.65,1.60,6886.33,6.28
-6881.59,1.59,6886.46,6.45
-6881.45,1.65,6886.15,6.35
