Time_offload,Time_process,Time_reply,Time_e2e
-6877.59,3.86,6887.16,13.42
-6878.61,3.70,6889.09,14.18
-6878.72,3.46,6888.78,13.52
-6878.79,2.49,6889.07,12.77
-6879.15,1.78,6886.89,9.52
-6881.33,1.37,6889.08,9.12
-6882.72,1.08,6887.60,5.97
-6882.73,1.17,6887.93,6.37
-6880.85,1.56,6889.59,10.30
-6882.68,1.25,6887.50,6.07
-6881.81,1.32,6887.21,6.72
-6882.61,1.30,6887.65,6.33
-6881.10,1.54,6889.10,9.55
-6881.28,1.43,6888.87,9.01
-6882.76,1.14,6887.42,5.80
-6882.66,1.23,6887.78,6.35
-6882.61,1.28,6887.80,6.47
-6882.69,1.32,6887.81,6.44
-6882.55,1.34,6887.66,6.45
-6882.41,1.39,6887.59,6.57
-6880.84,1.50,6889.08,9.74
-6882.24,1.27,6887.74,6.77
-6881.86,1.28,6886.76,6.18
-6881.48,1.31,6889.05,8.88
-6882.60,1.11,6886.93,5.44
-6882.78,1.08,6887.98,6.29
-6882.81,1.20,6887.89,6.28
-6882.92,1.34,6888.18,6.61
-6882.45,1.42,6887.78,6.75
-6882.67,1.51,6887.62,6.45
-6882.73,1.56,6887.47,6.31
-6882.81,1.52,6887.71,6.42
-6882.71,1.61,6887.82,6.72
-6881.93,1.72,6886.78,6.58
-6882.91,1.58,6887.55,6.21
-6881.04,1.82,6888.95,9.74
-6882.85,1.56,6890.58,9.29
-6881.24,1.63,6889.23,9.62
-6880.82,1.63,6889.05,9.86
-6882.11,1.35,6887.32,6.57
-6882.02,1.47,6887.07,6.52
-6882.71,1.43,6887.68,6.40
-6882.79,1.48,6887.67,6.36
-6882.63,1.53,6887.58,6.47
-6882.91,1.47,6887.75,6.31
-6881.47,1.71,6889.26,9.50
-6882.73,1.48,6887.62,6.37
-6882.82,1.42,6887.83,6.44
-6882.68,1.49,6887.63,6.44
-6882.77,1.49,6887.56,6.28
-6882.73,1.54,6887.46,6.27
-6882.15,1.57,6886.86,6.27
-6880.51,1.89,6888.89,10.26
-6882.20,1.49,6886.81,6.10
-6882.79,1.41,6887.83,6.45
-6882.87,1.48,6887.74,6.35
-6882.79,1.51,6887.48,6.20
-6882.77,1.54,6887.60,6.37
-6882.75,1.57,6887.49,6.31
-6882.72,1.59,6887.43,6.30
-6882.20,1.66,6886.78,6.24
-6882.78,1.53,6887.49,6.23
-6882.73,1.56,6887.44,6.27
-6881.94,1.65,6886.69,6.39
-6882.86,1.57,6886.76,5.47
-6882.75,1.46,6887.68,6.38
-6882.75,1.49,6887.60,6.34
-6882.76,1.54,6887.56,6.34
-6882.74,1.57,6887.44,6.27
-6882.80,1.57,6887.51,6.28
-6882.76,1.58,6887.95,6.77
-6882.54,1.59,6886.83,5.89
-6882.73,1.47,6887.70,6.44
-6882.70,1.54,6887.44,6.28
-6882.78,1.53,6888.54,7.28
-6882.80,1.58,6887.37,6.16
-6882.83,1.60,6887.40,6.17
-6882.80,1.58,6887.38,6.16
-6882.79,1.55,6887.89,6.65
-6882.59,1.61,6886.82,5.84
-6882.88,1.47,6886.79,5.38
-6882.90,1.37,6887.82,6.29
-6882.76,1.48,6887.69,6.41
-6882.54,1.59,6887.54,6.59
-6879.48,1.98,6888.62,11.12
-6881.59,1.61,6886.75,6.77
-6879.91,1.84,6888.05,9.97
-6881.52,1.50,6889.54,9.51
-6882.45,1.38,6886.71,5.65
-6882.84,1.29,6886.93,5.38
-6882.82,1.27,6887.73,6.19
-6882.77,1.40,6887.55,6.18
-6882.20,1.50,6886.85,6.15
