Created,Deserialized,Processing,Processed,Finished
1714997537.4290965,1714997530.5530696,1714997530.5569267,1714997530.5569372,1714997537.4455807
1714997537.436374,1714997530.5603437,1714997530.5641694,1714997530.5641792,1714997537.4534183
1714997537.4425654,1714997530.5654228,1714997530.5688717,1714997530.5688782,1714997537.4576535
1714997537.4467227,1714997530.5691087,1714997530.5715115,1714997530.5715163,1714997537.4608293
1714997537.4510424,1714997530.5719786,1714997530.5737028,1714997530.573706,1714997537.4640222
1714997537.4555779,1714997530.5740373,1714997530.5753615,1714997530.5753639,1714997537.4641325
1714997537.458795,1714997530.5756338,1714997530.5766785,1714997530.5766804,1714997537.46414
1714997537.4619699,1714997530.5789485,1714997530.5800235,1714997530.5800261,1714997537.4680583
1714997537.4652781,1714997530.5833566,1714997530.5845213,1714997530.584524,1714997537.471799
1714997537.469204,1714997530.5864222,1714997530.587502,1714997530.5875044,1714997537.4750302
1714997537.472929,1714997530.5901332,1714997530.5912542,1714997530.591257,1714997537.4804537
1714997537.477171,1714997530.5940616,1714997530.5952919,1714997530.5952952,1714997537.4825842
1714997537.4804988,1714997530.5973127,1714997530.5984828,1714997530.5984855,1714997537.486016
1714997537.483742,1714997530.6015413,1714997530.6028066,1714997530.6028094,1714997537.4902442
1714997537.487265,1714997530.6041465,1714997530.605296,1714997530.6052983,1714997537.4936752
1714997537.4913664,1714997530.608158,1714997530.609403,1714997530.6094053,1714997537.497021
1714997537.4948397,1714997530.611695,1714997530.612969,1714997530.6129715,1714997537.500213
1714997537.4981418,1714997530.61491,1714997530.616178,1714997530.6161807,1714997537.504844
1714997537.5023735,1714997530.6196706,1714997530.6210966,1714997530.6210997,1714997537.508493
1714997537.5060792,1714997530.6229463,1714997530.6242802,1714997530.624283,1714997537.511922
1714997537.5096395,1714997530.6264958,1714997530.627861,1714997530.6278644,1714997537.515354
1714997537.5130363,1714997530.6299202,1714997530.6312492,1714997530.631252,1714997537.5226858
1714997537.5165768,1714997530.6348956,1714997530.6363838,1714997530.6363873,1714997537.5264251
