Time_offload,Time_process,Time_reply,Time_e2e
-1318.83,23.10,1357.90,62.16
-1343.06,23.06,1358.17,38.18
-1318.98,5.60,1358.36,44.98
-1346.12,5.60,1358.70,18.18
-1322.53,19.99,1359.44,56.90
-1345.37,19.98,1359.64,34.25
-1321.01,18.19,1388.00,85.18
-1346.43,18.17,1388.41,60.15
-1316.00,18.52,1358.18,60.70
-1341.54,18.51,1358.47,35.44
-1326.89,15.27,1359.99,48.37
-1351.20,15.26,1360.09,24.15
-1324.04,17.94,1360.05,53.96
-1346.02,17.92,1360.21,32.11
-1319.80,18.43,1357.91,56.55
-1344.51,18.42,1358.01,31.92
-1323.30,17.24,1362.23,56.17
-1346.14,17.23,1362.38,33.47
-1320.53,18.52,1360.72,58.71
-1346.01,18.51,1361.13,33.62
-1321.76,18.15,1360.44,56.83
-1346.65,18.13,1360.71,32.20
-1320.62,18.38,1360.18,57.94
-1345.27,18.36,1360.36,33.46
-1321.79,18.08,1361.48,57.77
-1346.39,18.07,1361.68,33.35
-1321.42,18.30,1361.56,58.44
-1346.69,18.28,1362.24,33.83
-1319.84,18.67,1360.95,59.78
-1344.86,18.65,1361.13,34.92
-1320.71,18.25,1358.01,55.54
-1345.93,18.23,1358.15,30.45
-1319.31,18.37,1357.88,56.94
-1343.24,18.36,1358.59,33.71
-1322.03,17.00,1361.05,56.02
-1347.07,16.99,1361.25,31.17
-1321.58,18.31,1359.28,56.02
-1345.39,18.30,1359.43,32.34
-1321.63,17.99,1361.69,58.05
-1345.33,17.98,1361.89,34.54
-1319.97,18.50,1361.13,59.67
-1345.47,18.49,1361.32,34.35
-1322.53,17.78,1360.24,55.49
-1347.69,17.76,1360.37,30.44
-1321.61,18.19,1359.83,56.41
-1345.06,18.18,1360.16,33.28
-1323.61,17.59,1360.68,54.66
-1347.31,17.58,1360.81,31.08
-1321.27,18.47,1360.25,57.45
-1345.44,18.46,1360.39,33.41
-1322.43,18.05,1360.78,56.40
-1346.76,18.04,1360.93,32.21
