Time_offload,Time_process,Time_reply,Time_e2e
-1341.26,25.24,1361.81,45.79
-1351.14,25.22,1362.06,36.15
-1336.17,5.63,1360.02,29.48
-1345.81,5.63,1360.10,19.92
-1346.78,5.49,1361.23,19.93
-1354.80,5.49,1361.29,11.98
-1347.10,5.47,1360.03,18.40
-1354.25,5.48,1360.09,11.32
-1348.09,5.63,1359.92,17.46
-1355.15,5.63,1360.00,10.48
-1348.21,5.98,1359.87,17.64
-1355.29,5.99,1359.94,10.64
-1348.12,6.10,1359.76,17.73
-1355.32,6.10,1359.83,10.61
-1346.80,6.45,1360.39,20.04
-1354.04,6.45,1360.45,12.86
-1347.39,6.15,1361.06,19.82
-1355.11,6.15,1361.12,12.17
-1347.25,6.39,1361.16,20.30
-1354.91,6.39,1361.26,12.74
-1345.42,6.97,1360.55,22.10
-1354.28,6.97,1360.63,13.32
-1346.46,6.80,1362.12,22.45
-1354.36,6.80,1362.23,14.67
-1343.20,7.95,1359.87,24.62
-1353.75,7.95,1359.93,14.14
-1347.77,6.55,1361.09,19.87
-1355.19,6.55,1361.26,12.62
-1346.55,6.71,1361.12,21.28
-1353.75,6.71,1361.22,14.18
-1344.55,7.29,1359.81,22.55
-1353.85,7.29,1359.89,13.33
-1346.76,6.73,1360.59,20.55
-1354.84,6.73,1360.65,12.54
-1347.10,6.66,1361.38,20.93
-1354.90,6.66,1361.56,13.32
-1342.96,7.89,1360.47,25.41
-1352.65,7.89,1360.61,15.85
-1343.53,7.82,1360.52,24.80
-1353.56,7.82,1360.61,14.88
-1346.40,6.83,1361.36,21.79
-1354.62,6.83,1361.59,13.81
-1346.47,6.75,1360.09,20.37
-1354.54,6.75,1360.22,12.43
-1344.52,7.56,1360.54,23.57
-1353.02,7.56,1360.70,15.24
-1344.97,7.41,1361.99,24.42
-1353.58,7.41,1362.11,15.95
-1341.46,8.47,1360.77,27.79
-1352.46,8.47,1361.05,17.05
-1343.95,7.67,1360.73,24.45
-1353.25,7.67,1360.85,15.27
-1346.57,6.72,1359.87,20.02
-1354.59,6.72,1359.93,12.06
-1346.51,6.68,1359.81,19.98
-1353.89,6.68,1359.88,12.67
-1346.86,6.44,1359.88,19.46
-1354.96,6.44,1359.96,11.44
-1346.91,6.52,1361.85,21.46
-1354.66,6.52,1362.00,13.86
-1343.01,7.73,1360.00,24.72
-1352.94,7.73,1360.10,14.90
-1344.20,7.55,1359.85,23.20
-1353.70,7.55,1359.93,13.77
-1346.56,6.75,1360.55,20.74
-1354.63,6.75,1360.64,12.76
-1345.65,7.17,1359.94,21.45
-1353.51,7.17,1360.01,13.67
-1346.84,6.74,1359.75,19.66
-1354.87,6.74,1359.83,11.70
-1347.22,6.78,1360.20,19.75
-1355.05,6.78,1360.32,12.05
-1342.97,9.04,1363.09,29.16
-1351.41,9.04,1363.18,20.81
-1346.63,6.02,1360.52,19.91
-1354.27,6.02,1360.68,12.42
-1344.29,6.86,1360.01,22.57
-1353.35,6.86,1360.11,13.61
-1343.78,7.81,1360.45,24.48
-1352.21,7.81,1360.61,16.21
-1343.47,7.46,1360.29,24.28
-1353.77,7.46,1360.38,14.07
-1346.65,6.83,1360.33,20.51
-1354.72,6.83,1360.45,12.56
-1346.63,6.76,1360.59,20.72
-1354.33,6.77,1360.65,13.09
-1347.07,6.65,1360.22,19.80
-1354.83,6.65,1360.29,12.11
-1346.07,6.75,1360.37,21.05
-1353.45,6.75,1360.55,13.85
-1343.40,7.51,1361.40,25.50
-1352.62,7.51,1361.52,16.41
-1342.33,8.09,1359.88,25.64
-1352.91,8.09,1359.96,15.14
-1345.32,7.15,1361.15,22.98
-1354.45,7.15,1361.30,14.00
-1343.47,8.05,1359.93,24.50
-1353.38,8.05,1360.01,14.68
-1345.04,8.14,1360.05,23.15
-1353.77,8.14,1360.14,14.51
-1347.05,6.13,1360.92,20.00
-1353.35,6.13,1361.04,13.82
-1345.05,6.71,1360.61,22.27
-1354.21,6.71,1360.69,13.19
-1347.25,6.56,1360.53,19.84
-1354.98,6.56,1360.62,12.20
-1347.12,6.51,1362.06,21.45
-1354.69,6.51,1362.17,13.99
-1344.26,7.58,1360.03,23.35
-1354.25,7.58,1360.10,13.43
-1345.83,7.06,1360.17,21.40
-1354.04,7.06,1360.29,13.31
-1343.83,7.64,1360.51,24.32
-1353.22,7.64,1360.70,15.12
-1342.22,8.18,1359.98,25.94
-1352.42,8.18,1360.07,15.83
-1345.80,6.88,1359.91,20.98
-1354.39,6.88,1360.10,12.59
-1345.96,6.96,1360.12,21.12
-1354.41,6.96,1360.19,12.74
-1347.38,6.47,1359.87,18.95
-1355.04,6.47,1359.95,11.38
-1346.99,6.53,1365.05,24.59
-1354.72,6.53,1365.12,16.94
-1348.56,6.15,1360.26,17.85
-1355.28,6.15,1360.35,11.21
-1348.70,5.95,1360.01,17.27
-1355.58,5.95,1360.09,10.47
-1348.20,6.12,1360.72,18.64
-1355.56,6.13,1360.79,11.35
-1348.40,6.20,1360.10,17.89
-1355.59,6.20,1360.16,10.77
-1349.17,5.96,1359.94,16.72
-1355.78,5.96,1360.00,10.18
-1348.50,6.07,1360.43,18.00
-1355.60,6.07,1360.50,10.98
-1345.91,6.66,1362.11,22.87
-1352.82,6.66,1362.19,16.03
-1349.30,5.56,1360.33,16.59
-1355.75,5.57,1360.39,10.20
-1348.92,5.71,1362.21,18.99
-1355.65,5.72,1362.27,12.33
-1346.65,6.36,1359.95,19.67
-1353.89,6.37,1360.01,12.49
-1349.18,5.71,1360.07,16.60
-1355.57,5.71,1360.14,10.29
-1347.96,6.02,1361.05,19.11
-1355.10,6.02,1361.14,12.06
-1347.47,6.27,1360.23,19.03
-1355.11,6.28,1360.29,11.45
-1346.95,6.41,1360.51,19.97
-1354.94,6.41,1360.58,12.04
-1346.21,6.73,1359.89,20.40
-1353.55,6.73,1359.96,13.14
-1347.37,6.27,1360.49,19.39
-1354.98,6.27,1360.56,11.85
-1347.31,6.39,1359.93,19.02
-1354.46,6.40,1360.00,11.93
-1349.00,5.90,1360.40,17.30
-1355.69,5.90,1360.47,10.68
-1348.95,5.94,1360.78,17.76
-1355.67,5.94,1360.84,11.11
-1348.46,6.08,1361.03,18.64
-1355.64,6.09,1361.10,11.55
-1348.38,6.16,1359.81,17.59
-1354.98,6.17,1359.87,11.06
-1347.76,6.27,1359.89,18.41
-1355.26,6.28,1359.95,10.97
-1347.83,6.28,1360.32,18.78
-1355.28,6.29,1360.39,11.40
-1347.66,6.35,1359.74,18.42
-1354.77,6.35,1359.81,11.39
-1348.28,6.15,1359.74,17.61
-1355.40,6.15,1359.80,10.56
-1347.32,6.34,1361.92,20.94
-1354.59,6.35,1362.06,13.82
-1341.88,8.22,1360.40,26.75
-1351.85,8.22,1360.57,16.94
-1344.81,7.33,1359.92,22.44
-1353.20,7.33,1360.00,14.14
-1345.34,7.19,1360.07,21.91
-1354.14,7.19,1360.13,13.17
-1346.84,6.65,1360.34,20.15
-1355.05,6.66,1360.43,12.04
-1348.00,6.46,1361.00,19.45
-1355.47,6.46,1361.07,12.06
-1347.43,6.52,1360.92,20.01
-1355.16,6.52,1361.00,12.36
-1347.08,6.71,1359.88,19.52
-1354.91,6.71,1359.96,11.75
-1346.42,6.77,1359.89,20.24
-1354.38,6.77,1359.95,12.35
-1347.46,6.50,1360.24,19.28
-1355.25,6.50,1360.31,11.56
-1348.48,6.18,1360.42,18.13
-1355.50,6.19,1360.47,11.17
-1348.26,6.21,1361.10,19.05
-1355.08,6.21,1361.51,12.63
-1345.34,6.77,1361.69,23.13
-1353.79,6.78,1361.79,14.78
-1342.78,8.14,1360.09,25.45
-1352.89,8.14,1360.27,15.52
-1344.84,7.42,1359.95,22.53
-1354.05,7.42,1360.02,13.39
-1346.30,6.94,1360.00,20.64
-1354.33,6.94,1360.07,12.68
-1347.96,6.36,1360.39,18.78
-1355.15,6.36,1360.45,11.66
-1347.78,6.41,1360.38,19.00
-1355.15,6.41,1360.47,11.73
-1346.03,6.68,1379.44,40.09
-1353.36,6.68,1379.51,32.83
-1332.51,12.12,1361.56,41.18
-1354.12,12.11,1361.63,19.63
-1343.96,6.64,1361.39,24.08
-1351.32,6.65,1361.46,16.78
-1346.57,5.59,1360.38,19.41
-1353.92,5.60,1360.53,12.21
-1347.60,5.81,1360.22,18.43
-1355.32,5.82,1360.31,10.81
-1348.03,6.11,1361.15,19.24
-1354.71,6.11,1361.23,12.63
-1330.21,11.91,1362.76,44.45
-1336.87,11.90,1362.83,37.85
-1321.40,8.77,1366.72,54.09
-1328.63,8.77,1366.80,46.95
-1326.44,5.49,1360.80,39.85
-1333.57,5.50,1360.86,32.79
-1309.74,11.41,1363.26,64.93
-1316.26,11.41,1363.37,58.52
-1311.89,5.63,1360.00,53.75
-1319.85,5.63,1360.09,45.87
-1321.69,5.51,1362.26,46.08
-1329.59,5.51,1362.44,38.36
-1331.58,5.46,1361.65,35.53
-1339.64,5.47,1361.77,27.59
-1341.17,5.51,1364.00,28.34
-1349.02,5.52,1364.11,20.61
-1344.85,5.47,1360.11,20.72
-1353.12,5.48,1360.22,12.58
-1346.38,5.51,1360.31,19.44
-1354.72,5.51,1360.39,11.19
-1347.31,5.99,1362.03,20.72
-1354.58,6.00,1362.18,13.59
-1342.37,7.61,1360.07,25.31
-1352.24,7.61,1360.16,15.53
-1344.96,7.39,1360.69,23.12
-1353.66,7.39,1360.81,14.54
-1344.07,7.54,1360.20,23.67
-1353.74,7.54,1360.28,14.08
-1346.61,6.80,1360.36,20.56
-1355.24,6.80,1360.44,11.99
-1347.63,6.47,1360.40,19.24
-1355.17,6.47,1360.46,11.76
