Time_offload,Time_process,Time_reply,Time_e2e
-1346.59,24.81,1360.98,39.20
-1354.22,24.79,1361.09,31.66
-1336.46,5.58,1360.82,29.93
-1343.74,5.58,1360.94,22.78
-1344.52,5.46,1360.89,21.83
-1351.20,5.47,1360.95,15.21
-1350.12,5.53,1360.59,15.99
-1356.24,5.53,1360.65,9.94
-1350.16,5.49,1360.68,16.01
-1356.34,5.49,1360.74,9.90
-1350.60,5.47,1360.44,15.30
-1356.40,5.47,1360.50,9.57
-1349.94,5.48,1360.80,16.34
-1355.56,5.48,1360.87,10.79
-1350.25,5.47,1360.66,15.88
-1356.04,5.47,1360.72,10.15
-1350.62,5.47,1360.80,15.65
-1356.42,5.48,1360.86,9.93
-1350.49,5.51,1360.53,15.54
-1356.43,5.51,1360.59,9.67
-1350.54,5.48,1362.37,17.31
-1356.43,5.49,1362.43,11.48
-1351.08,5.46,1360.55,14.94
-1356.47,5.47,1360.61,9.61
-1350.77,5.47,1360.43,15.14
-1356.46,5.48,1360.50,9.52
-1350.97,5.46,1360.62,15.11
-1356.46,5.46,1360.68,9.68
-1350.66,5.46,1360.55,15.36
-1356.37,5.47,1360.61,9.71
-1350.58,5.49,1360.57,15.48
-1356.48,5.50,1360.63,9.65
-1350.65,5.50,1360.48,15.32
-1356.37,5.50,1360.55,9.68
-1350.09,5.56,1360.78,16.25
-1355.83,5.56,1360.84,10.57
-1350.16,5.55,1360.41,15.81
-1356.25,5.56,1360.47,9.78
-1350.76,5.50,1360.77,15.51
-1356.44,5.51,1360.83,9.91
-1350.46,5.51,1360.51,15.57
-1356.46,5.52,1360.58,9.65
-1350.71,5.54,1360.82,15.66
-1356.50,5.55,1360.89,9.94
-1350.33,5.57,1360.49,15.73
-1356.44,5.57,1360.64,9.77
-1349.92,5.58,1361.35,17.01
-1355.81,5.58,1361.41,11.18
-1350.24,5.56,1360.57,15.89
-1356.44,5.56,1360.63,9.75
-1350.62,5.53,1360.47,15.38
-1356.53,5.54,1360.52,9.53
-1350.88,5.52,1360.52,15.15
-1356.50,5.52,1360.58,9.60
-1350.62,5.54,1361.89,16.81
-1356.29,5.54,1361.95,11.20
-1350.20,5.57,1360.54,15.91
-1356.44,5.58,1360.60,9.74
-1350.57,5.53,1360.66,15.61
-1356.36,5.53,1360.73,9.91
-1350.58,5.53,1360.58,15.54
-1356.45,5.54,1360.65,9.74
-1350.01,5.57,1365.77,21.33
-1355.78,5.57,1365.83,15.62
-1349.24,5.70,1363.44,19.90
-1355.55,5.70,1363.49,13.65
-1350.62,5.49,1360.64,15.51
-1356.35,5.50,1360.71,9.86
-1350.80,5.49,1360.69,15.37
-1356.44,5.50,1360.75,9.80
-1350.65,5.51,1360.56,15.43
-1356.45,5.52,1360.62,9.69
-1350.70,5.48,1360.52,15.31
-1356.44,5.49,1360.59,9.64
-1350.70,5.46,1360.53,15.29
-1356.45,5.47,1360.58,9.60
-1350.76,5.49,1360.78,15.50
-1356.50,5.49,1360.85,9.84
-1350.38,5.52,1361.00,16.15
-1356.38,5.53,1361.07,10.22
-1350.26,5.56,1361.31,16.60
-1356.53,5.56,1361.36,10.39
-1351.11,5.49,1360.57,14.94
-1356.53,5.49,1360.64,9.60
-1350.76,5.48,1360.45,15.17
-1356.50,5.49,1360.51,9.50
-1350.86,5.48,1361.04,15.66
-1356.50,5.49,1361.16,10.14
-1350.06,5.55,1361.73,17.22
-1356.18,5.56,1361.81,11.18
-1350.27,5.59,1360.45,15.76
-1356.34,5.59,1360.50,9.76
-1350.32,5.54,1360.64,15.87
-1356.23,5.55,1360.70,10.02
-1350.60,5.55,1360.48,15.43
-1356.48,5.55,1360.54,9.61
-1350.01,5.56,1360.63,16.17
-1355.77,5.56,1360.68,10.48
-1350.06,5.57,1360.43,15.94
-1356.57,5.57,1360.48,9.49
-1350.88,5.53,1360.65,15.30
-1356.51,5.54,1360.71,9.74
-1350.75,5.51,1360.50,15.26
-1356.54,5.52,1360.55,9.54
-1350.90,5.49,1360.64,15.24
-1356.59,5.50,1360.72,9.63
-1350.78,5.52,1360.54,15.27
-1356.49,5.52,1360.59,9.62
-1350.80,5.51,1360.58,15.29
-1356.53,5.51,1360.64,9.62
-1350.89,5.50,1360.91,15.51
-1356.54,5.50,1361.01,9.97
-1349.81,5.59,1360.69,16.47
-1355.84,5.59,1360.75,10.50
-1350.40,5.53,1361.25,16.38
-1356.43,5.54,1361.30,10.41
-1349.99,5.59,1360.58,16.18
-1356.42,5.59,1360.73,9.90
-1350.45,5.55,1360.71,15.81
-1356.48,5.56,1360.79,9.87
-1346.35,6.25,1360.70,20.61
-1352.33,6.26,1360.77,14.70
-1349.67,5.46,1361.63,17.42
-1355.88,5.46,1361.69,11.28
-1350.62,5.46,1360.49,15.32
-1356.48,5.47,1360.55,9.53
-1350.77,5.45,1360.52,15.20
-1356.47,5.46,1360.59,9.58
-1350.97,5.44,1360.49,14.97
-1356.47,5.45,1360.56,9.54
-1350.80,5.46,1360.53,15.19
-1356.44,5.47,1360.59,9.62
-1350.15,5.49,1360.66,16.00
-1355.78,5.50,1360.72,10.44
-1350.30,5.53,1362.18,17.42
-1356.48,5.54,1362.25,11.31
-1347.32,6.08,1363.16,21.92
-1353.64,6.08,1363.24,15.69
-1349.55,5.48,1360.80,16.74
-1355.85,5.49,1360.88,10.52
-1349.09,5.65,1361.01,17.57
-1356.44,5.65,1361.09,10.30
-1350.08,5.66,1360.96,16.55
-1356.28,5.67,1361.03,10.42
-1349.88,5.62,1360.71,16.45
-1356.24,5.63,1360.79,10.18
-1350.13,5.62,1360.71,16.20
-1356.31,5.63,1360.79,10.12
-1350.31,5.59,1360.59,15.88
-1356.33,5.60,1360.68,9.94
-1350.65,5.53,1360.64,15.53
-1356.46,5.54,1360.71,9.79
-1350.59,5.53,1360.63,15.58
-1356.45,5.54,1360.70,9.80
-1350.24,5.54,1360.79,16.09
-1356.09,5.55,1360.86,10.32
-1350.30,5.54,1360.82,16.06
-1356.30,5.55,1360.89,10.14
-1350.58,5.54,1360.99,15.96
-1356.48,5.55,1361.17,10.24
-1350.04,5.62,1360.70,16.28
-1356.44,5.62,1360.77,9.96
-1349.99,5.63,1360.67,16.31
-1356.12,5.63,1360.75,10.26
